,Concept_ID,ab,fi
0,Auge::N,ала,silmä
1,Ohr::N,алымҳа,korva
2,Nase::N,аҧынҵа,nenä
3,Mund::N,аҧышə,suu
4,Zahn::N,ахаҧыц,hammas
5,Zunge::N,абз,kieli
6,Lippe::N,ақьышə,huuli
7,Wange::N,аӡамҩа,poski
8,Gesicht::N,аҿы,naama
9,Gesicht::N,аҿы,kasvot
10,Stirn::N,алахь,otsa
11,Haar::N,ахəыц,hius
12,Haar::N,ахəыц,tukka
13,Schnurrbart::N,аҧаҵа,viikset
14,Bart::N,ажакьа,parta
15,Kinn::N,ацламкəыгə,leuka
16,Kiefer[Anatomie]::N,ацламҳəа,leukaluu
17,Kehle::N,ахəда,kurkku
18,Hals::N,ахəда,kaula
19,Genick::N,ахəдаџьал,niska
20,Kopf::N,ахы,pää
21,Rücken::N,азқəа,selkä
22,Bauch::N,амгəа,maha
23,Bauch::N,амгəа,vatsa
24,Nabel::N,аҷапан,napa
25,Busen::N,агəыҧҳəы,rinta
26,Brust::N,агəышҧы,rinta
27,Schulter::N,ажəҩахыр,olka
28,Schulter::N,ажəҩахыр,hartia
29,Schulter::N,ажəҩахыр,olkapää
30,Arm::N,амахəар,käsivarsi
31,Ellenbogen::N,амашьхəылҵ,kyynärpää
32,Hand::N,анапы,käsi
33,Handfläche::N,анапсаргəыҵа,kämmen
34,Finger::N,анацəа,sormi
35,Fingernagel::N,анапхыц,kynsi
36,Nagel[Anatomie]::N,ашьапхыц,kynsi
37,Zeh::N,ашьацəа,varvas
38,Fuß::N,ашьапсыргəыҵа,jalka
39,Ferse::N,ашьхəа,kantapää
40,Knie::N,ашьамхы,polvi
41,Oberschenkel::N,ауаҭəа,reisi
42,Bein::N,ашьапы,jalka
43,Körper::N,ацəеижь,keho
44,Körper::N,ацəеижь,ruumis
45,Haut::N,ацəа,iho
46,Blut::N,ашьа,veri
47,Ader::N,ада,suoni
48,Sehne::N,адаш,jänne
49,Knochen::N,абаҩ,luu
50,Gehirn::N,ахшлыбаҩ,aivot
51,Gehirn::N,ахшыбаҩ,aivot
52,Herz::N,агəы,sydän
53,Magen::N,аца,maha
54,Magen::N,аца,vatsa
55,Magen::N,ацар,maha
56,Magen::N,ацар,vatsa
57,Leber::N,агəаҵəа,maksa
58,Atem::N,аҧсыҧлагаҩгара,henki
59,Atem::N,аҧсыҧлагаҩгара,hengitys
60,Hunger::N,амла,nälkä
61,Träne::N,алабжыш,kyynel
62,Geschmack::N,агьама,maku
63,Geruch::N,афҩы,haju
64,Schlaf::N,ацəа,uni
65,Traum::N,аҧхыӡ,uni
66,Himmel::N,ажəҩан,taivas
67,Sonne::N,амра,aurinko
68,Mond::N,амза,kuu
69,Stern::N,аеҵəа,tähti
70,Luft::N,аҳаир,ilma
71,Wind::N,аҧша,tuuli
72,Welle::N,ацəқəырҧа,aalto
73,Wasser::N,аӡы,vesi
74,Stein::N,ахаҳə,kivi
75,Boden::N,адгьыл,maa
76,Boden::N,адгьыл,maaperä
77,Erde::N,адгьыл,maa
78,Staub::N,асаба,pöly
79,Rauch::N,алҩа,savu
80,Funke::N,акəиц,kipinä
81,Funke::N,ацҧхь,kipinä
82,Feuer::N,амца,tuli
83,Licht::N,алашара,valo
84,Schatten::N,ашəшьыра,varjo
85,Wetter::N,амш,sää
86,Nebel::N,анаҟəа,sumu
87,Wolke::N,аҧсҭҳəа,pilvi
88,Regen::N,ақəа,sade
89,Schnee::N,асы,lumi
90,Eis::N,аҵаа,jää
91,Frost::N,аҵаа,halla
92,Frost::N,аҵаа,pakkanen
93,Kälte::N,ахьҭа,vilu
94,Kälte::N,ахьҭа,kylmyys
95,Hitze::N,ашоура,helle
96,Hitze::N,ашоура,kuumuus
97,Raureif::N,аҵааҧшқа,huurre
98,Regenbogen::N,ацəаҟəа,sateenkaari
99,Donner::N,адыд,jyrinä
100,Strömung::N,аиасра,virtaus
101,Strömung::N,амҩасра,virtaus
102,Tropfen::N,ацəыкəбар,tippa
103,Tropfen::N,ацəыкəбар,pisara
104,Schaum::N,ашəах,vaahto
105,Schmutz::N,алымт,loka
106,See::N,аӡиа,järvi
107,Sumpf::N,аӡмах,suo
108,Wiese::N,адəы,niitty
109,Wald::N,абна,metsä
110,Hügel::N,ахəы,mäki
111,Hügel::N,ахəы,kumpu
112,Hügel::N,ахəы,kukkula
113,Anhöhe::N,аҳаракыра,mäki
114,Anhöhe::N,аҳаракыра,kumpare
115,Berg::N,ашьха,mäki
116,Berg::N,ашьха,vuori
117,Gipfel::N,ацəқəа,laki
118,Gipfel::N,ацəқəа,huippu
119,Höhle::N,аҳаҧы,luola
120,Abhang::N,анаара,rinne
121,Quelle::N,аҵҵырҭа,lähde
122,Bach::N,акəараҷҷа,puro
123,Fluss::N,аӡиас,joki
124,Ufer::N,ахықə,ranta
125,Küste::N,ахықə,rannikko
126,Festland::N,абарра,manner
127,Meer::N,амшын,meri
128,Bucht::N,аӡбжьахала,lahti
129,Insel::N,адгьылбжьаха,saari
130,Blume::N,ашəҭ,kukka
131,Gras::N,аҳасакьын,ruoho
132,Wurzel::N,адац,juuri
133,Baum::N,аҵла,puu
134,Stamm::N,ашьапы,runko
135,Rinde::N,ацəа,kuori
136,Rinde::N,ацəа,parkki
137,Ast::N,амахə,oksa
138,Ast::N,амахəҭа,oksa
139,Zweig::N,амахə,haara
140,Zweig::N,амахəҭа,haara
141,Blatt::N,абҕьы,lehti
142,Birke::N,аҵааҵла,koivu
143,Kiefer[Baum]::N,амза,mänty
144,Kiefer[Baum]::N,амза,petäjä
145,Weide[Baum]::N,аҧслыш,paju
146,Tanne::N,аҧсаӡ,kuusi
147,Horn::N,атəыҩа,sarvi
148,Feder::N,ахӡы,sulka
149,Feder::N,ахӡы,höyhen
150,Fell::N,ацəа,talja
151,Flügel::N,амҵəыжəа,siipi
152,Klaue::N,ашьапхыц,kynsi
153,Schwanz::N,аҵыхəа,häntä
154,Schwanz::N,аҵыхəа,pyrstö
155,Ei::N,акəтаӷь,muna
156,Nest::N,аҭра,pesä
157,Nest::N,аҵысҭра,pesä
158,Bau::N,аҭыҩра,pesä
159,Tier::N,аҧстəы,eläin
160,Tier::N,агыгшəыг,eläin
161,Herde::N,агəарҭа,lauma
162,Kuh::N,ажə,lehmä
163,Bulle::N,ацə,sonni
164,Pferd::N,аҽы,hevonen
165,Schaf::N,ауаса,lammas
166,Schwein::N,аҳəа,sika
167,Hund::N,ала,koira
168,Katze::N,ацгəы,kissa
169,Bär::N,амшə,karhu
170,Eichhörnchen::N,аеш,orava
171,Elch::N,аҽаҩа,hirvi
172,Fuchs::N,абгахəыҷы,kettu
173,Hase::N,ажьа,jänis
174,Maus::N,аҳəынаҧ,hiiri
175,Wolf::N,абгаду,susi
176,Vogel::N,аҧсаатə,lintu
177,Huhn::N,акəты,kana
178,Hahn::N,арбаҕь,kukko
179,Gans::N,аҟыз,hanhi
180,Adler::N,ауарба,kotka
181,Ente::N,акəата,ankka
182,Eule::N,аты,pöllö
183,Kranich::N,апҟа,kurki
184,Krähe::N,аҟəараан,varis
185,Kuckuck::N,акəыкəу,käki
186,Schwan::N,агьад,joutsen
187,Fisch::N,аҧсыӡ,kala
188,Barsch::N,ацəыбла,ahven
189,Hecht::N,ахиаала,hauki
190,Schlange[Tier]::N,амаҭ,käärme
191,Wurm::N,ахəа,mato
192,Wurm::N,ахəац,mato
193,Spinne::N,абызкаҭаҳа,hämähäkki
194,Ameise::N,ашышкамс,muurahainen
195,Laus::N,аҵа,täi
196,Mücke::N,акəыбры,sääski
197,Mücke::N,акəыбры,hyttynen
198,Fliege::N,амҵ,kärpänen
199,Schmetterling::N,аҧарҧалыкь,perhonen
200,Beere::N,аргуц,marja
201,Apfel::N,аҵəа,omena
202,Pilz::N,акəкəбаа,sieni
203,Zwiebel::N,аџьымшьы,sipuli
204,Zwiebel::N,аџьымшьхы,sipuli
205,Saat::N,ажəла,siemenet
206,Korn::N,арыц,jyvä
207,Korn::N,арыц,vilja
208,Heu::N,аҭəа,heinä
209,Schale::N,ацəа,kuori
210,Grube::N,ажра,kuoppa
211,Grube::N,атыша,kuoppa
212,Falle::N,арыҧҟьа,loukku
213,Schlinge::N,аҟəараҟəантə,ansa
214,Spur::N,ашьҭа,jälki
215,Asche::N,ахəа,tuhka
216,Dreck::N,аҳəынҵəа,lika
217,Dreck::N,аҟьамсар,lika
218,Eisen::N,аиха,rauta
219,Gold::N,ахьы,kulta
220,Silber::N,аразны,hopea
221,Kohle::N,арацəа,hiili
222,Glas::N,асаркьа,lasi
223,Lehm::N,анышəаҧшь,savi
224,Sand::N,аҧслымӡ,hiekka
225,Mensch::N,ауаҩы,ihminen
226,Mann::N,ахаҵа,mies
227,Frau::N,аҧҳəыс,nainen
228,Kind::N,ахəыҷы,lapsi
229,Junge::N,аҷкəын,poika
230,Junge::N,ахаҵарҧыс,poika
231,Mädchen::N,аӡӷаб,tyttö
232,Familie::N,аҭаацəа,perhe
233,Großvater::N,абду,isoisä
234,Großmutter::N,анду,isoäiti
235,Eltern::N,ани аби,vanhemmat
236,Vater::N,аб,isä
237,Mutter::N,ан,äiti
238,Sohn::N,аҧа,poika
239,Tochter::N,аҧҳа,tytär
240,Bruder::N,аиашьа,veli
241,Schwester::N,Аҳəшьа,sisko
242,Onkel::N,абиашьа,eno
243,Onkel::N,абиашьа,setä
244,Onkel::N,аншьа,eno
245,Onkel::N,аншьа,setä
246,Tante::N,абиаҳəшьа,täti
247,Ehemann::N,ахаҵа,mies
248,Ehemann::N,ахаҵа,aviomies
249,Ehemann::N,аҧшəма,mies
250,Ehemann::N,аҧшəма,aviomies
251,Ehefrau::N,аҧҳəыс,vaimo
252,Ehefrau::N,аҧҳəыс,aviovaimo
253,Freude::N,агəырӷьара,ilo
254,Freude::N,агəырӷьара,riemu
255,Gelächter::N,ачча,nauru
256,Gelächter::N,аччара,nauru
257,Glück::N,аразҟы,onni
258,Kummer::N,агəырҩа,suru
259,Kummer::N,агəырҩа,murhe
260,Wunsch::N,агəхəтəы,toive
261,Wunsch::N,агəхəтəы,toivomus
262,Wunsch::N,аҭахра,toive
263,Wunsch::N,аҭахра,toivomus
264,Lust::N,агəазыҳəара,himo
265,Geist::N,аҧсы,henki
266,Gedanke::N,ахəыцырҭа,aate
267,Gedanke::N,ахəыцырҭа,ajatus
268,Gedächtnis::N,агəынкылара,muisti
269,Verstand::N,ахшыҩ,äly
270,Verstand::N,ахшыҩ,järki
271,Verstand::N,ахшыҩ,ymmärrys
272,Sinn::N,аҵакы,merkitys
273,Grund::N,амзыз,syy
274,Grund::N,амзыз,peruste
275,Wahrheit::N,аиаша,tosi
276,Wahrheit::N,аиаша,totuus
277,Gespräch::N,аиҿцәажәара,puhelu
278,Gespräch::N,аиҿцәажәара,keskustelu
279,Märchen::N,алакə,satu
280,Erzählung::N,ажәабжь,tarina
281,Erzählung::N,ажәабжь,kertomus
282,Nachricht::N,адырраҭара,tieto
283,Nachricht::N,адырраҭара,ilmoitus
284,Neuigkeit::N,ажәабжь ҿыц,uutinen
285,Name::N,ахьӡ,nimi
286,Rätsel::N,ацуфара,arvoitus
287,Rede::N,ажәа,puhe
288,Sprache::N,абызшəа,kieli
289,Stimme::N,абжьы,ääni
290,Wort::N,ажәа,sana
291,Zeichen::N,адырга,merkki
292,Ruf::N,аҿҭы,kutsu
293,Lärm::N,ашьҭыбжь,melu
294,Lärm::N,ашьҭыбжь,hälinä
295,Laut::N,ашьҭыбжь,ääni
296,Ton::N,атон,sävel
297,Lied::N,ашəа,laulu
298,Ruhe::N,аҭынчра,lepo
299,Ruhe::N,аҭынчра,rauha
300,Leute::N,ауаа,väki
301,Leute::N,ауаа,ihmiset
302,Volk::N,ажəлар,kansa
303,Arbeit::N,аусура,työ
304,Gast::N,асас,vieras
305,Geschenk::N,аҳамҭа,lahja
306,Geschenk::N,аҿанҵа,lahja
307,Spiel::N,ахəмарра,peli
308,Spiel::N,ахəмарра,leikki
309,Gesellschaft::N,агəыҧ,seura
310,Hilfe::N,ацхыраара,apu
311,Freund::N,аҩыза,ystävä
312,Kamerad::N,Аҧхнагьла,toveri
313,Angelegenheit::N,аус,asia
314,Anzahl::N,ахыҧхьаӡара,lukumäärä
315,Art::N,ахкы,laji
316,Stück::N,аҽыҭ,pala
317,Stück::N,аҽыҭ,kappale
318,Teil::N,ахəҭа,osa
319,Hälfte::N,абжа,puoli
320,Kreis::N,агьагьа,ympyrä
321,Kreuz::N,аџьар,risti
322,Linie::N,аицтәар,viiva
323,Strich::N,ацəаҳəа,piirto
324,Abstand::N,абжьара,väli
325,Abstand::N,абжьара,väljyys
326,Entfernung::N,абжьара,etäisyys
327,Gegend::N,аҭыҧ,seutu
328,Platz::N,аҭыҧ,tila
329,Ort::N,аҭыҧ,kohta
330,Ort::N,аҭыҧ,paikka
331,Seite::N,аган,sivu
332,Seite::N,аган,kylki
333,Mitte::N,агəҭа,keskus
334,Mitte::N,агəҭа,puoliväli
335,Gegenstand::N,амаҭəар,kalu
336,Gegenstand::N,амаҭəар,esine
337,Rand::N,аҵкар,ääri
338,Rand::N,аҵкар,syrjä
339,Kante::N,авардым,särmä
340,Ecke::N,акəакь,nurkka
341,Spitze::N,аҧынҵа,terä
