,Concept_ID,es,is
0,Auge::N,ojo,auga
1,Ohr::N,oreja,eyra
2,Nase::N,nariz,nef
3,Mund::N,boca,munnur
4,Zahn::N,diente,tönn
5,Zunge::N,lengua,tunga
6,Lippe::N,labio,vör
7,Wange::N,mejilla,kinn
8,Wange::N,mejilla,vangi
9,Gesicht::N,cara,andlit
10,Stirn::N,frente,enni
11,Haar::N,cabello,hár
12,Schnurrbart::N,bigote,yfirskegg
13,Bart::N,barba,skegg
14,Kinn::N,barbilla,haka
15,Kiefer[Anatomie]::N,mandíbula,kjálki
16,Kiefer[Anatomie]::N,mandíbula,skoltur
17,Kehle::N,garganta,kverk
18,Hals::N,cuello,háls
19,Genick::N,nuca,hnakki
20,Genick::N,cerviz,hnakki
21,Kopf::N,cabeza,höfuð
22,Rücken::N,espalda,hryggur
23,Bauch::N,vientre,kviður
24,Nabel::N,ombligo,nafli
25,Busen::N,pecho,barmur
26,Brust::N,pecho,brjóst
27,Schulter::N,hombro,öxl
28,Arm::N,brazo,armur
29,Ellenbogen::N,codo,olnbogi
30,Hand::N,mano,hönd
31,Handfläche::N,palma,lófi
32,Finger::N,dedo,fingur
33,Fingernagel::N,uña,fingurnögl
34,Nagel[Anatomie]::N,uña,nögl
35,Zeh::N,dedo del pie,tá
36,Fuß::N,pie,fótur
37,Ferse::N,talón,hæll
38,Knie::N,rodilla,kné
39,Oberschenkel::N,muslo,læri
40,Bein::N,pierna,fótleggur
41,Körper::N,cuerpo,búkur
42,Körper::N,cuerpo,líkami
43,Haut::N,piel,húð
44,Haut::N,piel,skinn
45,Blut::N,sangre,blóð
46,Ader::N,vena,æð
47,Sehne::N,tendón,sin
48,Knochen::N,hueso,bein
49,Gehirn::N,cerebro,heili
50,Gehirn::N,encéfalo,heili
51,Herz::N,corazón,hjarta
52,Magen::N,estómago,magi
53,Leber::N,hígado,lifur
54,Atem::N,aliento,andi
55,Atem::N,aliento,andardráttur
56,Hunger::N,hambre,hungur
57,Träne::N,lágrima,tár
58,Geschmack::N,gusto,smekkur
59,Geruch::N,olor,lykt
60,Schlaf::N,sueño,svefn
61,Traum::N,sueño,draumur
62,Traum::N,ensueño,draumur
63,Himmel::N,cielo,himinn
64,Sonne::N,sol,sól
65,Mond::N,luna,tungl
66,Stern::N,estrella,stjarna
67,Luft::N,aire,loft
68,Wind::N,viento,vindur
69,Welle::N,ola,alda
70,Welle::N,ola,bylgja
71,Welle::N,onda,alda
72,Welle::N,onda,bylgja
73,Wasser::N,agua,vatn
74,Stein::N,piedra,steinn
75,Boden::N,suelo,botn
76,Erde::N,tierra,jörð
77,Staub::N,polvo,ryk
78,Staub::N,polvo,duft
79,Rauch::N,humo,reykur
80,Funke::N,chispa,neisti
81,Feuer::N,fuego,eldur
82,Licht::N,luz,ljós
