,Concept_ID,mhr,fr
0,Auge::N,шинча́,œil
1,Ohr::N,пы́лыш,oreille
2,Nase::N,нер,nez
3,Mund::N,умша́,bouche
4,Zahn::N,пӱй,dent
5,Zunge::N,йы́лме,langue
6,Lippe::N,тӱ́рвӧ,lèvre
7,Wange::N,шӱ́ргӧ,joue
8,Gesicht::N,чури́й,face
9,Gesicht::N,чури́й,visage
10,Stirn::N,саҥга́,front
11,Haar::N,ӱп,cheveu
12,Schnurrbart::N,ӧ́рыш,moustache
13,Bart::N,понда́ш,barbe
14,Kinn::N,оҥыла́ш,menton
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,mâchoire
16,Kiefer[Anatomie]::N,пӱйората́,mâchoire
17,Kehle::N,лога́р,gorge
18,Hals::N,шӱй,cou
19,Genick::N,шӱйло́дыш,nuque
20,Kopf::N,вуй,tête
21,Rücken::N,туп,dos
22,Bauch::N,мӱ́шкыр,ventre
23,Nabel::N,кы́лымде,nombril
24,Busen::N,чы́зе,sein
25,Brust::N,оҥ,poitrine
26,Schulter::N,ва́че,épaule
27,Arm::N,кид,bras
28,Ellenbogen::N,кынерву́й,coude
29,Hand::N,кид,main
30,Hand::N,копа́,main
31,Handfläche::N,со́во,paume
32,Finger::N,парня́,doigt
33,Fingernagel::N,кидкӱ́ч,ongle
34,Fingernagel::N,парнягӱ́ч,ongle
35,Nagel[Anatomie]::N,кӱч,ongle
36,Zeh::N,йолварня́,orteil
37,Zeh::N,йолварня́,doigt de pied
38,Fuß::N,йол,pied
39,Fuß::N,йолкопа́,pied
40,Ferse::N,тага́н,talon
41,Knie::N,пулву́й,genou
42,Oberschenkel::N,э́рде,cuisse
43,Bein::N,йол,jambe
44,Körper::N,кап,corps
45,Haut::N,кова́ште,peau
46,Blut::N,вӱр,sang
47,Ader::N,шӧн,veine
48,Sehne::N,шӧн,tendon
49,Sehne::N,кӱсе́н,tendon
50,Knochen::N,лу,os
51,Gehirn::N,вем,cerveau
52,Gehirn::N,вуйве́м,cerveau
53,Herz::N,шӱм,cœur
54,Magen::N,пага́р,estomac
55,Leber::N,мокш,foie
56,Atem::N,шӱ́лыш,haleine
57,Hunger::N,шужыма́ш,faim
58,Träne::N,шинчавӱ́д,larme
59,Geschmack::N,там,goût
60,Geschmack::N,там,saveur
61,Geruch::N,пуш,odeur
62,Schlaf::N,о́мо,sommeil
63,Traum::N,йӱдо́мо,songe
64,Himmel::N,кава́,ciel
65,Sonne::N,ке́че,soleil
66,Mond::N,ты́лзе,lune
67,Stern::N,шӱ́дыр,étoile
68,Luft::N,юж,air
69,Wind::N,марде́ж,vent
70,Welle::N,то́лкын,vague
71,Wasser::N,вӱд,eau
72,Stein::N,кӱ,pierre
73,Boden::N,рок,sol
74,Boden::N,рок,terrain
75,Erde::N,мла́нде,terre
76,Staub::N,пура́к,poussière
77,Rauch::N,шикш,fumée
78,Funke::N,сеске́м,étincelle
79,Funke::N,тулйы́п,étincelle
80,Feuer::N,тул,feu
81,Licht::N,со́то,lumière
82,Schatten::N,ӱ́мыл,ombre
83,Wetter::N,иге́че,temps
84,Nebel::N,тӱтыра́,brume
85,Nebel::N,тӱтыра́,brouillard
86,Wolke::N,пыл,nuage
87,Regen::N,йӱр,pluie
88,Schnee::N,лум,neige
89,Eis::N,ий,glace
90,Frost::N,чатлама́,gel
91,Frost::N,чатлама́,gelée
92,Kälte::N,йӱ́штӧ,froid
93,Hitze::N,шо́кшо,chaleur
94,Raureif::N,пӧрш,givre
95,Raureif::N,по́кшым,givre
96,Regenbogen::N,шонанпы́л,arc-en-ciel
97,Donner::N,кӱ́дырчӧ,tonnerre
98,Strömung::N,йо́гын,courant
99,Tropfen::N,чӱча́лтыш,goutte
100,Schaum::N,шоҥ,écume
101,Schaum::N,шоҥ,mousse
102,Schmutz::N,лавыра́,boue
103,Schmutz::N,лавыра́,saleté
104,See::N,ер,lac
105,Sumpf::N,лӱ́кӧ,marais
106,Sumpf::N,лӱ́кӧ,marécage
107,Moor::N,куп,tourbière
108,Wiese::N,о́лык,pré
109,Wald::N,чодыра́,bois
110,Wald::N,чодыра́,forêt
111,Hügel::N,арка́,coteau
112,Hügel::N,арка́,colline
113,Anhöhe::N,тӧва́,éminence
114,Anhöhe::N,тӧва́,élévation
115,Anhöhe::N,кӱкшака́,éminence
116,Anhöhe::N,кӱкшака́,élévation
117,Berg::N,ку́рык,mont
118,Berg::N,ку́рык,montagne
119,Gipfel::N,чаҥга́,cime
120,Gipfel::N,чаҥга́,sommet
121,Gipfel::N,курыкву́й,cime
122,Gipfel::N,курыкву́й,sommet
123,Höhle::N,пеще́р,caverne
124,Höhle::N,курыкпо́мыш,caverne
125,Abhang::N,та́йыл,pente
126,Abhang::N,та́йыл,versant
127,Quelle::N,важ,source
128,Quelle::N,важ,fontaine
129,Quelle::N,вӱдшинча́,source
130,Quelle::N,вӱдшинча́,fontaine
131,Bach::N,изэҥе́р,ruisseau
132,Fluss::N,эҥе́р,fleuve
133,Fluss::N,эҥе́р,rivière
134,Ufer::N,сер,bord
135,Ufer::N,сер,rivage
136,Küste::N,вӱдтӱ́р,côte
137,Festland::N,мла́нде,terre ferme
138,Meer::N,те́ҥыз,mer
139,Bucht::N,икса́,baie
140,Insel::N,отро́,île
141,Blume::N,пеле́дыш,fleur
142,Gras::N,шу́до,herbe
143,Wurzel::N,вож,racine
144,Baum::N,пуше́ҥге,arbre
145,Stamm::N,йы́тыр,tronc
146,Rinde::N,шӱм,écorce
147,Ast::N,укш,branche
148,Zweig::N,торма́к,rameau
149,Blatt::N,лышта́ш,feuille
150,Birke::N,куэ́,bouleau
151,Kiefer[Baum]::N,пӱ́нчӧ,pin
152,Weide[Baum]::N,уа́,saule
153,Tanne::N,кож,sapin
154,Horn::N,шур,corne
155,Feder::N,пы́стыл,plume
156,Fell::N,кова́ште,peau
157,Flügel::N,шу́лдыр,aile
158,Klaue::N,кӱч,serre
159,Kralle::N,ла́па,ongle
160,Kralle::N,ла́па,griffe
161,Kralle::N,копа́,ongle
162,Kralle::N,копа́,griffe
163,Schwanz::N,поч,queue
164,Ei::N,му́но,œuf
165,Nest::N,пыжа́ш,nid
166,Bau::N,пыжа́ш,terrier
167,Tier::N,я́нлык,animal
168,Tier::N,живо́тный,animal
169,Herde::N,кӱ́тӱ,troupeau
170,Herde::N,тӱшка́,troupeau
171,Kuh::N,ушка́л,vache
172,Bulle::N,ӱ́шкыж,taureau
173,Pferd::N,и́мне,cheval
174,Schaf::N,шо́рык,mouton
175,Schwein::N,сӧсна́,porc
176,Schwein::N,сӧсна́,cochon
177,Hund::N,пий,chien
178,Katze::N,пы́рыс,chat
179,Bär::N,маска́,ours
180,Eichhörnchen::N,ур,écureuil
181,Elch::N,шо́рдо,élan
182,Fuchs::N,ры́выж,renard
183,Hase::N,мера́ҥ,lièvre
184,Maus::N,коля́,souris
185,Wolf::N,пи́ре,loup
186,Vogel::N,ка́йык,oiseau
187,Schwarm::N,каша́к,nuée
188,Schwarm::N,каша́к,volée
189,Huhn::N,чы́ве,poule
190,Hahn::N,агыта́н,coq
191,Gans::N,ко́мбо,oie
192,Adler::N,карагу́ш,aigle
193,Ente::N,лу́до,canard
194,Eule::N,тумна́,hibou
195,Kranich::N,турня́,grue
196,Krähe::N,кора́к,corneille
197,Kuckuck::N,куку́,coucou
198,Schwan::N,йӱ́ксӧ,cygne
