,Concept_ID,,fi
0,Auge::N,,silmä
1,Ohr::N,,korva
2,Nase::N,,nenä
3,Mund::N,,suu
4,Zahn::N,,hammas
5,Zunge::N,,kieli
6,Lippe::N,,huuli
7,Wange::N,,poski
8,Gesicht::N,,naama
9,Gesicht::N,,kasvot
10,Stirn::N,,otsa
11,Haar::N,,hius
12,Haar::N,,tukka
13,Schnurrbart::N,,viikset
14,Bart::N,,parta
15,Kinn::N,,leuka
16,Kiefer[Anatomie]::N,,leukaluu
17,Kehle::N,,kurkku
18,Hals::N,,kaula
19,Genick::N,,niska
20,Kopf::N,,pää
21,Rücken::N,,selkä
22,Bauch::N,,maha
23,Bauch::N,,vatsa
24,Nabel::N,,napa
25,Busen::N,,rinta
26,Brust::N,,rinta
27,Schulter::N,,olka
28,Schulter::N,,hartia
29,Schulter::N,,olkapää
30,Arm::N,,käsivarsi
31,Ellenbogen::N,,kyynärpää
32,Hand::N,,käsi
33,Handfläche::N,,kämmen
34,Finger::N,,sormi
35,Fingernagel::N,,kynsi
36,Nagel[Anatomie]::N,,kynsi
37,Zeh::N,,varvas
38,Fuß::N,,jalka
39,Ferse::N,,kantapää
40,Knie::N,,polvi
41,Oberschenkel::N,,reisi
42,Bein::N,,jalka
43,Körper::N,,keho
44,Körper::N,,ruumis
45,Haut::N,,iho
46,Blut::N,,veri
47,Ader::N,,suoni
48,Sehne::N,,jänne
49,Knochen::N,,luu
50,Gehirn::N,,aivot
51,Herz::N,,sydän
52,Magen::N,,maha
53,Magen::N,,vatsa
54,Leber::N,,maksa
55,Atem::N,,henki
56,Atem::N,,hengitys
57,Hunger::N,,nälkä
58,Träne::N,,kyynel
59,Geschmack::N,,maku
60,Geruch::N,,haju
61,Schlaf::N,,uni
62,Traum::N,,uni
63,Himmel::N,,taivas
64,Sonne::N,,aurinko
65,Mond::N,,kuu
66,Stern::N,,tähti
67,Luft::N,,ilma
68,Wind::N,,tuuli
69,Welle::N,,aalto
70,Wasser::N,,vesi
71,Stein::N,,kivi
72,Boden::N,,maa
73,Boden::N,,maaperä
74,Erde::N,,maa
75,Staub::N,,pöly
76,Rauch::N,,savu
77,Funke::N,,kipinä
78,Feuer::N,,tuli
79,Licht::N,,valo
80,Schatten::N,,varjo
81,Wetter::N,,sää
82,Nebel::N,,sumu
83,Wolke::N,,pilvi
84,Regen::N,,sade
85,Schnee::N,,lumi
86,Eis::N,,jää
87,Frost::N,,halla
88,Frost::N,,pakkanen
89,Kälte::N,,vilu
90,Kälte::N,,kylmyys
91,Hitze::N,,helle
92,Hitze::N,,kuumuus
93,Raureif::N,,huurre
94,Regenbogen::N,,sateenkaari
95,Donner::N,,jyrinä
96,Strömung::N,,virtaus
97,Tropfen::N,,tippa
98,Tropfen::N,,pisara
99,Schaum::N,,vaahto
100,Schmutz::N,,loka
101,See::N,,järvi
102,Sumpf::N,,suo
103,Moor::N,,räme
104,Wiese::N,,niitty
105,Wald::N,,metsä
106,Hügel::N,,mäki
107,Hügel::N,,kumpu
108,Hügel::N,,kukkula
109,Anhöhe::N,,mäki
110,Anhöhe::N,,kumpare
111,Berg::N,,mäki
112,Berg::N,,vuori
113,Gipfel::N,,laki
114,Gipfel::N,,huippu
115,Höhle::N,,luola
116,Abhang::N,,rinne
117,Quelle::N,,lähde
118,Bach::N,,puro
119,Fluss::N,,joki
120,Ufer::N,,ranta
121,Küste::N,,rannikko
122,Festland::N,,manner
123,Meer::N,,meri
124,Bucht::N,,lahti
125,Insel::N,,saari
126,Blume::N,,kukka
127,Gras::N,,ruoho
128,Wurzel::N,,juuri
129,Baum::N,,puu
130,Stamm::N,,runko
131,Rinde::N,,kuori
132,Rinde::N,,parkki
133,Ast::N,,oksa
134,Zweig::N,,haara
135,Blatt::N,,lehti
136,Birke::N,,koivu
137,Kiefer[Baum]::N,,mänty
138,Kiefer[Baum]::N,,petäjä
139,Weide[Baum]::N,,paju
140,Tanne::N,,kuusi
141,Horn::N,,sarvi
142,Feder::N,,sulka
143,Feder::N,,höyhen
144,Fell::N,,talja
145,Flügel::N,,siipi
146,Klaue::N,,kynsi
147,Kralle::N,,kynsi
148,Schwanz::N,,häntä
149,Schwanz::N,,pyrstö
150,Ei::N,,muna
151,Nest::N,,pesä
152,Bau::N,,pesä
153,Tier::N,,eläin
154,Herde::N,,lauma
155,Kuh::N,,lehmä
156,Bulle::N,,sonni
157,Pferd::N,,hevonen
158,Schaf::N,,lammas
159,Schwein::N,,sika
160,Hund::N,,koira
161,Katze::N,,kissa
162,Bär::N,,karhu
163,Eichhörnchen::N,,orava
164,Elch::N,,hirvi
165,Fuchs::N,,kettu
166,Hase::N,,jänis
167,Maus::N,,hiiri
168,Wolf::N,,susi
169,Vogel::N,,lintu
170,Schwarm::N,,parvi
171,Huhn::N,,kana
172,Hahn::N,,kukko
173,Gans::N,,hanhi
174,Adler::N,,kotka
175,Ente::N,,ankka
176,Eule::N,,pöllö
177,Kranich::N,,kurki
178,Krähe::N,,varis
179,Kuckuck::N,,käki
180,Schwan::N,,joutsen
181,Fisch::N,,kala
182,Barsch::N,,ahven
183,Hecht::N,,hauki
184,Schlange[Tier]::N,,käärme
185,Wurm::N,,mato
186,Spinne::N,,hämähäkki
187,Ameise::N,,muurahainen
188,Laus::N,,täi
189,Mücke::N,,sääski
190,Mücke::N,,hyttynen
191,Fliege::N,,kärpänen
192,Schmetterling::N,,perhonen
193,Beere::N,,marja
194,Apfel::N,,omena
195,Pilz::N,,sieni
196,Zwiebel::N,,sipuli
197,Saat::N,,siemenet
198,Korn::N,,jyvä
199,Korn::N,,vilja
200,Heu::N,,heinä
201,Schale::N,,kuori
202,Grube::N,,kuoppa
203,Falle::N,,loukku
204,Schlinge::N,,ansa
205,Spur::N,,jälki
206,Asche::N,,tuhka
207,Dreck::N,,lika
208,Eisen::N,,rauta
209,Gold::N,,kulta
210,Silber::N,,hopea
211,Kohle::N,,hiili
212,Glas::N,,lasi
213,Lehm::N,,savi
214,Sand::N,,hiekka
215,Mensch::N,,ihminen
216,Mann::N,,mies
217,Frau::N,,nainen
218,Kind::N,,lapsi
219,Junge::N,,poika
220,Mädchen::N,,tyttö
221,Familie::N,,perhe
222,Großvater::N,,isoisä
223,Großmutter::N,,isoäiti
224,Eltern::N,,vanhemmat
225,Vater::N,,isä
226,Mutter::N,,äiti
227,Sohn::N,,poika
228,Tochter::N,,tytär
229,Bruder::N,,veli
230,Schwester::N,,sisko
231,Onkel::N,,eno
232,Onkel::N,,setä
233,Tante::N,,täti
234,Ehemann::N,,mies
235,Ehemann::N,,aviomies
236,Ehefrau::N,,vaimo
237,Ehefrau::N,,aviovaimo
238,Freude::N,,ilo
239,Freude::N,,riemu
240,Gelächter::N,,nauru
241,Glück::N,,onni
242,Kummer::N,,suru
243,Kummer::N,,murhe
244,Wunsch::N,,toive
245,Wunsch::N,,toivomus
246,Lust::N,,himo
247,Geist::N,,henki
248,Gedanke::N,,aate
249,Gedanke::N,,ajatus
250,Gedächtnis::N,,muisti
251,Verstand::N,,äly
252,Verstand::N,,järki
253,Verstand::N,,ymmärrys
254,Sinn::N,,merkitys
255,Grund::N,,syy
256,Grund::N,,peruste
257,Wahrheit::N,,tosi
258,Wahrheit::N,,totuus
259,Gespräch::N,,puhelu
260,Gespräch::N,,keskustelu
261,Märchen::N,,satu
