,Concept_ID,ja,da
0,Auge::N,目,øje
1,Ohr::N,耳,øre
2,Nase::N,鼻,næse
3,Mund::N,口,mund
4,Zahn::N,歯,tand
5,Zunge::N,舌,tunge
6,Lippe::N,唇,læbe
7,Wange::N,頬,kind
8,Gesicht::N,顔,ansigt
9,Stirn::N,額,pande
10,Haar::N,髪,hår
11,Schnurrbart::N,口髭,overskæg
12,Bart::N,髭,skæg
13,Kinn::N,顎,hage
14,Kiefer[Anatomie]::N,顎,kæbe
15,Kehle::N,喉,strube
16,Hals::N,首,hals
17,Genick::N,首,nakke
18,Kopf::N,頭,hoved
19,Rücken::N,背中,ryg
20,Bauch::N,腹,mave
21,Bauch::N,お腹,mave
22,Nabel::N,へそ,navle
23,Busen::N,乳房,barm
24,Brust::N,胸,bryst
25,Schulter::N,肩,skulder
26,Arm::N,腕,arm
27,Ellenbogen::N,肘,albue
28,Hand::N,手,hånd
29,Handfläche::N,手のひら,håndflade
30,Finger::N,指,finger
31,Fingernagel::N,爪,fingernegl
32,Nagel[Anatomie]::N,爪,negl
33,Zeh::N,足の指,tå
34,Fuß::N,足,fod
35,Ferse::N,かかと,hæl
36,Knie::N,膝,knæ
37,Oberschenkel::N,上腿,lår
38,Bein::N,足,ben
39,Körper::N,体,krop
40,Körper::N,体,legeme
41,Haut::N,皮膚,hud
42,Blut::N,血,blod
43,Ader::N,血管,åre
44,Sehne::N,腱,sene
45,Knochen::N,骨,ben
46,Gehirn::N,脳,hjerne
47,Herz::N,心,hjerte
48,Herz::N,心臓,hjerte
49,Magen::N,胃,mave
50,Leber::N,肝臓,lever
51,Atem::N,息,ånde
52,Atem::N,呼吸,ånde
53,Hunger::N,空腹,sult
54,Träne::N,涙,tåre
55,Geschmack::N,味,smag
56,Geruch::N,匂い,lugt
57,Schlaf::N,睡眠,søvn
58,Traum::N,夢,drøm
59,Himmel::N,空,himmel
60,Sonne::N,太陽,sol
61,Mond::N,月,måne
62,Stern::N,星,stjerne
63,Luft::N,空気,luft
64,Wind::N,風,vind
65,Welle::N,波,bølge
66,Wasser::N,水,vand
67,Stein::N,石,sten
68,Boden::N,土地,jord
69,Erde::N,土,jord
70,Staub::N,埃,støv
71,Rauch::N,煙,røg
72,Funke::N,火花,gnist
73,Feuer::N,火,ild
74,Licht::N,光,lys
75,Schatten::N,陰,skygge
76,Wetter::N,天気,vejr
77,Nebel::N,霧,tåge
78,Wolke::N,雲,sky
79,Regen::N,雨,regn
80,Schnee::N,雪,sne
81,Eis::N,氷,is
82,Frost::N,霜,frost
83,Kälte::N,寒さ,kulde
84,Hitze::N,暑さ,hede
85,Raureif::N,霧氷,rimfrost
86,Regenbogen::N,虹,regnbue
87,Donner::N,雷,torden
88,Strömung::N,流れ,strømning
89,Tropfen::N,滴,dråbe
90,Schaum::N,泡,skum
91,Schmutz::N,汚れ,snavs
92,See::N,湖,sø
93,Sumpf::N,沼,sump
94,Moor::N,湿原,mose
95,Wiese::N,草原,eng
96,Wald::N,森,skov
97,Hügel::N,丘,høj
98,Hügel::N,丘,bakke
99,Anhöhe::N,高み,høj
100,Anhöhe::N,高み,bakke
101,Berg::N,山,bjerg
102,Gipfel::N,頂上,top
103,Höhle::N,洞窟,hule
104,Abhang::N,斜面,skrænt
105,Abhang::N,斜面,skråning
106,Quelle::N,泉,kilde
107,Bach::N,小川,bæk
108,Fluss::N,川,flod
109,Ufer::N,岸,bred
110,Küste::N,海岸,kyst
111,Festland::N,陸,fastland
112,Meer::N,海,hav
113,Bucht::N,湾,bugt
114,Insel::N,島,ø
115,Blume::N,花,blomst
116,Gras::N,草,græs
117,Wurzel::N,根,rod
118,Baum::N,木,træ
119,Stamm::N,幹,stamme
120,Rinde::N,皮層,bark
121,Ast::N,枝,gren
122,Zweig::N,小枝,kvist
123,Blatt::N,葉,blad
124,Birke::N,樺,birk
125,Kiefer[Baum]::N,松,fyrretræ
126,Weide[Baum]::N,柳,piletræ
127,Tanne::N,樅,gran
128,Horn::N,角,horn
129,Feder::N,羽根,fjer
130,Fell::N,毛皮,skind
131,Flügel::N,羽,vinge
132,Klaue::N,鉤爪,klov
133,Kralle::N,爪,klo
134,Schwanz::N,尻尾,hale
135,Ei::N,卵,æg
136,Nest::N,巣,rede
137,Bau::N,穴,bo
138,Tier::N,動物,dyr
139,Herde::N,群れ,flok
140,Kuh::N,牛,ko
141,Bulle::N,雄牛,tyr
142,Pferd::N,馬,hest
143,Schaf::N,羊,får
144,Schwein::N,豚,gris
145,Hund::N,犬,hund
146,Katze::N,猫,kat
147,Bär::N,熊,bjørn
148,Eichhörnchen::N,栗鼠,egern
149,Elch::N,ヘラジカ,elg
150,Fuchs::N,狐,ræv
151,Hase::N,兎,hare
152,Maus::N,鼠,mus
153,Wolf::N,狼,ulv
154,Vogel::N,鳥,fugl
155,Schwarm::N,群れ,sværm
156,Huhn::N,鶏,høne
157,Hahn::N,雄鶏,hane
158,Gans::N,ガチョウ,gås
159,Adler::N,鷲,ørn
160,Ente::N,鴨,and
161,Eule::N,フクロウ,ugle
162,Kranich::N,鶴,trane
163,Krähe::N,烏,krage
164,Kuckuck::N,郭公,gøg
165,Schwan::N,白鳥,svane
166,Fisch::N,魚,fisk
167,Barsch::N,鱸,aborre
168,Hecht::N,川魳,gedde
169,Schlange[Tier]::N,蛇,slange
170,Wurm::N,虫,orm
171,Spinne::N,蜘蛛,edderkop
172,Ameise::N,蟻,myre
173,Laus::N,虱,lus
174,Mücke::N,蚊,myg
175,Fliege::N,蝿,flue
176,Schmetterling::N,蝶,sommerfugl
177,Beere::N,漿果,bær
178,Apfel::N,林檎,æble
179,Pilz::N,茸,svamp
180,Zwiebel::N,玉葱,løg
181,Saat::N,種,sæd
182,Korn::N,粒,korn
183,Heu::N,干し草,hø
184,Schale::N,皮,skræl
185,Grube::N,穴,grav
186,Falle::N,わな,fælde
187,Schlinge::N,輪,snare
188,Spur::N,跡,spor
189,Asche::N,灰,aske
190,Dreck::N,泥,snavs
191,Eisen::N,鉄,jern
192,Gold::N,金,guld
193,Silber::N,銀,sølv
194,Kohle::N,炭,kul
195,Glas::N,ガラス,glas
196,Lehm::N,ローム,ler
197,Sand::N,砂,sand
198,Mensch::N,人,mennesge
199,Mann::N,男,mand
200,Mann::N,男性,mand
201,Frau::N,女,kvinde
202,Frau::N,女性,kvinde
203,Kind::N,子,barn
204,Kind::N,子供,barn
205,Junge::N,男の子,dreng
206,Mädchen::N,女の子,pige
207,Familie::N,家族,familie
208,Großvater::N,祖父,bedstefar
209,Großvater::N,おじいさん,bedstefar
210,Großmutter::N,祖母,bedstemor
211,Großmutter::N,おばあさん,bedstemor
212,Eltern::N,親,forældre
213,Eltern::N,両親,forældre
214,Vater::N,父,far
215,Vater::N,お父さん,far
216,Mutter::N,母,mor
217,Mutter::N,お母さん,mor
218,Sohn::N,息子,søn
219,Sohn::N,息子さん,søn
220,Tochter::N,娘,datter
221,Tochter::N,お嬢さん,datter
222,Bruder::N,弟,bror
223,Schwester::N,妹,søster
224,Onkel::N,伯父,onkel
225,Onkel::N,伯父さん,onkel
226,Tante::N,叔母,tante
227,Tante::N,叔母さん,tante
228,Ehemann::N,夫,ægtemand
229,Ehemann::N,主人,ægtemand
230,Ehefrau::N,妻,hustru
231,Ehefrau::N,奥さん,hustru
232,Freude::N,喜び,glæde
233,Gelächter::N,笑い,latter
234,Glück::N,幸せ,lykke
235,Kummer::N,悩み,sorg
236,Wunsch::N,希望,ønske
237,Lust::N,気,lyst
238,Geist::N,精神,ånd
239,Gedanke::N,考え,tanke
240,Gedächtnis::N,記憶,hukommelse
241,Verstand::N,理解力,forstand
242,Sinn::N,意味,mening
243,Sinn::N,意味,betydning
244,Grund::N,理由,grund
