,Concept_ID,bg,be
0,Auge::N,око,вока
1,Ohr::N,ухо,вуха
2,Nase::N,нос,нос
3,Mund::N,уста,рот
4,Zahn::N,зъб,зуб
5,Zunge::N,език,язык
6,Lippe::N,устна,губа
7,Wange::N,буза,шчака
8,Gesicht::N,лице,твар
9,Gesicht::N,образ,твар
10,Stirn::N,чело,лоб
11,Haar::N,коса,волас
12,Haar::N,коса,валасы
13,Haar::N,косъм,волас
14,Haar::N,косъм,валасы
15,Schnurrbart::N,мустаци,вус
16,Schnurrbart::N,мустаци,вусы
17,Bart::N,брада,барада
18,Kinn::N,брада,падбародак
19,Kinn::N,брадичка,падбародак
20,Kiefer[Anatomie]::N,челюст,сківіца
21,Kehle::N,гърло,горла
22,Hals::N,врат,шыя
23,Genick::N,тил,патыліца
24,Kopf::N,глава,галава
25,Rücken::N,гръб,спіна
26,Bauch::N,корем,жывот
27,Nabel::N,пъп,пупок
28,Busen::N,бозка,грудзі
29,Brust::N,гръд,грудзі
30,Schulter::N,рамо,плячо
31,Schulter::N,плещи,плячо
32,Arm::N,ръка,рука
33,Ellenbogen::N,лакът,локаць
34,Hand::N,ръка,кісць
35,Hand::N,китка,кісць
36,Handfläche::N,длан,далонь
37,Finger::N,пръст,палец
38,Fingernagel::N,нокът,ногаць
39,Nagel[Anatomie]::N,нокът,ногаць
40,Zeh::N,пръст на крак,палец
41,Fuß::N,крак,нага
42,Fuß::N,нога,нага
43,Ferse::N,пета,пята
44,Ferse::N,пета,пятка
45,Knie::N,коляно,калена
46,Oberschenkel::N,бедро,бядро
47,Oberschenkel::N,бедро,сцягно
48,Bein::N,крак,нага
49,Bein::N,нога,нага
50,Körper::N,тяло,цела
51,Haut::N,кожа,скура
52,Blut::N,кръв,кроў
53,Ader::N,вена,вена
54,Ader::N,вена,сасуд
55,Ader::N,артерия,вена
56,Ader::N,артерия,сасуд
57,Sehne::N,жила,жыла
58,Sehne::N,жила,цеціва
59,Sehne::N,жила,сухажылле
60,Sehne::N,сухожилие,жыла
61,Sehne::N,сухожилие,цеціва
62,Sehne::N,сухожилие,сухажылле
63,Knochen::N,кост,косць
64,Gehirn::N,мозък,мозг
65,Herz::N,сърце,сэрца
66,Magen::N,стомах,страўнік
67,Leber::N,черен дроб,печань
68,Atem::N,дишане,дыханне
69,Hunger::N,глад,голад
70,Träne::N,сълза,сляза
71,Geschmack::N,вкус,смак
72,Geruch::N,миризма,пах
73,Schlaf::N,сън,сон
74,Traum::N,сън,сон
75,Himmel::N,небе,неба
76,Sonne::N,слънце,сонца
77,Mond::N,луна,месяц
78,Mond::N,месец,месяц
79,Stern::N,звезда,зорка
80,Luft::N,въздух,паветра
81,Wind::N,вятър,вецер
82,Welle::N,вълна,хваля
83,Wasser::N,вода,вада
84,Stein::N,камък,камень
85,Boden::N,земя,глеба
86,Boden::N,почва,глеба
87,Erde::N,земя,зямля
88,Erde::N,почва,зямля
89,Staub::N,прах,пыл
90,Rauch::N,дим,дым
91,Rauch::N,пушек,дым
92,Funke::N,искра,іскра
93,Feuer::N,огън,агонь
94,Licht::N,светлина,святло
95,Schatten::N,сянка,цень
96,Wetter::N,време,пагода
97,Wetter::N,време,надворʼе
98,Nebel::N,мъгла,туман
99,Wolke::N,облак,воблака
100,Regen::N,дъжд,дождж
101,Schnee::N,сняг,снег
102,Eis::N,лед,лёд
103,Frost::N,мраз,мароз
104,Kälte::N,студ,холад
105,Hitze::N,жега,спёка
106,Hitze::N,горещина,спёка
107,Raureif::N,скреж,іней
108,Raureif::N,слана,іней
109,Regenbogen::N,дъга,вясёлка
110,Donner::N,гръм,гром
111,Strömung::N,течение,цячэнне
112,Tropfen::N,капка,кропля
113,Schaum::N,пяна,пена
114,Schmutz::N,кал,гразь
115,Schmutz::N,мръсотия,гразь
116,See::N,езеро,возера
117,Sumpf::N,блато,багна
118,Moor::N,мочурище,балота
119,Wiese::N,ливада,луг
120,Wald::N,гора,лес
121,Hügel::N,рид,узгорак
122,Hügel::N,хълм,узгорак
123,Anhöhe::N,могила,узвышша
124,Anhöhe::N,възвишение,узвышша
125,Berg::N,планина,гара
126,Gipfel::N,връх,вяршыня
127,Höhle::N,пещера,пячора
128,Abhang::N,склон,схіл
129,Abhang::N,стръмнина,схіл
130,Quelle::N,извор,крыніца
131,Bach::N,поток,ручай
132,Fluss::N,река,рака
133,Ufer::N,бряг,бераг
134,Küste::N,бряг,узбярэжжа
135,Küste::N,крайбрежие,узбярэжжа
136,Festland::N,суша,суша
137,Meer::N,море,мора
138,Bucht::N,залив,бухта
139,Insel::N,остров,востраў
140,Blume::N,цвете,кветка
141,Gras::N,трева,трава
142,Wurzel::N,корен,корань
143,Baum::N,дърво,дрэва
144,Stamm::N,стъбло,ствол
145,Rinde::N,кора,кара
146,Ast::N,клон,сук
147,Zweig::N,клон,галіна
148,Blatt::N,лист,ліст
149,Birke::N,бреза,бяроза
150,Kiefer[Baum]::N,бор,хвоя
151,Kiefer[Baum]::N,бор,сасна
152,Weide[Baum]::N,върба,вярба
153,Tanne::N,ела,яліна
154,Horn::N,рог,рог
155,Feder::N,перо,пяро
156,Fell::N,кожа,шкура
157,Flügel::N,крило,крыло
158,Klaue::N,нокът,кіпцюр
159,Kralle::N,нокът,лапа
160,Schwanz::N,опашка,хвост
161,Ei::N,яйце,яйка
162,Nest::N,гнездо,гняздо
163,Bau::N,дупка,нара
164,Tier::N,животно,жывёла
165,Herde::N,стадо,статак
166,Kuh::N,крава,карова
167,Bulle::N,бик,бык
168,Pferd::N,кон,конь
169,Schaf::N,овца,авечка
170,Schwein::N,свиня,свіння
171,Hund::N,куче,сабака
172,Katze::N,котка,кошка
173,Bär::N,мечка,мядзведзь
174,Eichhörnchen::N,катерица,вавёрка
175,Elch::N,лос,лось
176,Fuchs::N,лисица,ліса
177,Hase::N,заек,заяц
178,Maus::N,мишка,мыш
179,Wolf::N,вълк,воўк
180,Vogel::N,птица,птах
181,Vogel::N,птица,птушка
182,Schwarm::N,рой,чарада
183,Schwarm::N,рояк,чарада
184,Huhn::N,кокошка,курыца
185,Hahn::N,петел,певень
186,Gans::N,гъска,гусь
187,Adler::N,орел,арол
188,Ente::N,патица,качка
189,Eule::N,сова,сава
190,Kranich::N,жерав,жораў
191,Kranich::N,жерав,журавель
192,Krähe::N,врана,варона
193,Kuckuck::N,кукувица,зязюля
194,Schwan::N,лебед,лебедзь
195,Fisch::N,риба,рыба
196,Barsch::N,костур,акунь
197,Hecht::N,щука,шчупак
198,Schlange[Tier]::N,змия,змяя
199,Wurm::N,червей,чарвяк
200,Spinne::N,паяк,павук
201,Ameise::N,мравка,мурашка
202,Laus::N,въшка,вош
203,Mücke::N,комар,камар
204,Fliege::N,муха,муха
205,Schmetterling::N,пеперуда,матыль
206,Beere::N,плод,ягада
207,Apfel::N,ябълка,яблык
208,Pilz::N,гъба,грыб
209,Zwiebel::N,лук,цыбуля
210,Zwiebel::N,кромид,цыбуля
211,Saat::N,семе,семя
212,Korn::N,зърно,зерне
213,Heu::N,сено,сена
214,Schale::N,кора,шалупінне
215,Grube::N,яма,яма
216,Grube::N,дупка,яма
217,Falle::N,примка,пастка
218,Schlinge::N,клуп,сіло
219,Spur::N,диря,след
220,Spur::N,следа,след
221,Asche::N,пепел,попел
222,Dreck::N,кал,бруд
223,Eisen::N,желязо,жалеза
224,Gold::N,злато,золата
225,Silber::N,сребро,сребра
226,Kohle::N,въглища,вугаль
227,Glas::N,стъкло,шкло
228,Lehm::N,глина,гліна
229,Sand::N,пясък,пясок
230,Mensch::N,човек,чалавек
231,Mann::N,мъж,мужчына
232,Frau::N,жена,жанчына
233,Kind::N,дете,дзіця
234,Junge::N,момче,хлопчык
235,Mädchen::N,момиче,дзяўчынка
236,Familie::N,фамилия,сямʼя
237,Familie::N,семейство,сямʼя
238,Großvater::N,дядо,дзядуля
239,Großmutter::N,баба,бабуля
240,Eltern::N,родители,бацькі
241,Vater::N,баща,бацька
242,Mutter::N,майка,маці
243,Sohn::N,син,сын
244,Tochter::N,дъщеря,дачка
245,Bruder::N,брат,брат
246,Schwester::N,сестра,сястра
247,Onkel::N,чичо,дзядзька
248,Onkel::N,вуйчо,дзядзька
249,Tante::N,леля,цётка
250,Ehemann::N,съпруг,муж
251,Ehefrau::N,съпруга,жонка
252,Freude::N,радост,радасць
253,Gelächter::N,смях,смех
254,Glück::N,щастие,шчасце
255,Kummer::N,тъга,гора
256,Wunsch::N,желание,жаданне
257,Lust::N,желание,цяга
258,Geist::N,дух,дух
259,Gedanke::N,мисъл,думка
260,Gedächtnis::N,памет,памяць
261,Verstand::N,ум,розум
262,Verstand::N,разум,розум
263,Sinn::N,смисъл,сэнс
264,Grund::N,причина,зачэпка
265,Wahrheit::N,правда,праўда
266,Gespräch::N,разговор,размова
267,Märchen::N,приказка,казка
268,Erzählung::N,разказ,расказ
269,Erzählung::N,разказ,апавяданне
270,Nachricht::N,вест,вестка
271,Nachricht::N,вест,паведамленне
272,Nachricht::N,известие,вестка
273,Nachricht::N,известие,паведамленне
274,Neuigkeit::N,новина,навіна
275,Name::N,име,імя
276,Rätsel::N,гатанка,загадка
277,Rede::N,реч,прамова
278,Rede::N,слово,прамова
279,Sprache::N,език,мова
280,Stimme::N,глас,голас
281,Wort::N,дума,слова
282,Zeichen::N,знак,знак
283,Ruf::N,зов,кліч
284,Lärm::N,шум,шум
285,Lärm::N,глъчка,шум
286,Laut::N,звук,гук
287,Ton::N,тон,гучанне
288,Lied::N,песен,песня
289,Ruhe::N,тишина,спакой
290,Ruhe::N,спокойствие,спакой
291,Leute::N,хора,людзі
292,Volk::N,народ,народ
293,Arbeit::N,труд,праца
294,Arbeit::N,труд,работа
295,Arbeit::N,работа,праца
296,Arbeit::N,работа,работа
297,Gast::N,гост,госць
