,Concept_ID,lez,ta
160,Ente::N,пӏатӏ,வாத்து
161,Eule::N,тӏиб,ஆந்தை
162,Kranich::N,дурна,நாரை
163,Krähe::N,къаргъа,காகம்
164,Kuckuck::N,кукупӏ,குயில்
165,Schwan::N,къугь,அன்னம்
166,Fisch::N,гъед,மீன்
167,Barsch::N,окунь,பேர்ச்
168,Hecht::N,щука,கோலாச்சி மீன்
169,Schlange[Tier]::N,илан,பாம்பு
170,Schlange[Tier]::N,гъуьлягъ,பாம்பு
171,Wurm::N,квак,புழு
172,Spinne::N,хуьшрекан,சிலந்தி
173,Ameise::N,цегв,எறும்பு
174,Laus::N,нет,பேன்
175,Mücke::N,ветӏ,கொசுவினப்பூச்சி
176,Fliege::N,тӏветӏ,ஈ
177,Schmetterling::N,чепелукь,வண்ணத்துப்பூச்சி
178,Beere::N,куьлуь емиш,சதைப்பழம்
179,Apfel::N,ич,ஆப்பிள பழம்
180,Pilz::N,къарникъуз,காளான்
181,Zwiebel::N,чичӏек,வெங்காயம்
182,Saat::N,тумар,விதை
183,Korn::N,твар,தானியம்
184,Heu::N,векь,வைக்கோல்
185,Heu::N,векьер,வைக்கோல்
186,Schale::N,пириш,தோல்
187,Schale::N,хъуьруьш,தோல்
188,Grube::N,фур,குழி
189,Falle::N,ракьар,பொறி
190,Schlinge::N,гьалкъа,கண்ணி
191,Spur::N,гел,சுவடு
192,Asche::N,руьхъ,சாம்பல்
193,Dreck::N,чирк,அழுக்கு
194,Dreck::N,кьуруш,அழுக்கு
195,Eisen::N,ракь,இரும்பு
196,Gold::N,алтун,தங்கம்
197,Silber::N,гимиш,வெள்ளி
198,Kohle::N,цӏивин,நிலக்கரி
199,Glas::N,шуьше,கண்ணாடி
200,Lehm::N,ччеб,களிமண்
201,Sand::N,къум,மணல்
202,Mensch::N,инсан,மனிதர்கள்
203,Mann::N,итим,மனிதன்
204,Frau::N,паб,பெண்
205,Frau::N,дишегьли,பெண்
206,Kind::N,аял,குழந்தை
207,Junge::N,гада,பையன்
208,Mädchen::N,руш,சிறுமி
209,Familie::N,хзан,குடும்பம்
210,Familie::N,килфет,குடும்பம்
211,Großvater::N,чӏехи буба,தாத்தா
212,Großmutter::N,чӏехи диде,பாட்டி
213,Eltern::N,диде-буба,பெற்றோர்
214,Vater::N,буба,தந்தை
215,Mutter::N,диде,தாய்
216,Sohn::N,хва,மகன்
217,Tochter::N,руш,மகள்
218,Bruder::N,стха,சகோதரன்
219,Schwester::N,вах,அக்கா
220,Onkel::N,ими,தாய் மாமன்
221,Onkel::N,халу,தாய் மாமன்
222,Tante::N,эме,அத்தை
223,Tante::N,хала,அத்தை
224,Ehemann::N,гъуьл,கணவன்
