,Concept_ID,kv,hr
0,Auge::N,син,oko
1,Ohr::N,пель,uho
2,Nase::N,ныр,nos
3,Mund::N,ӧм,usta
4,Zahn::N,пинь,zub
5,Zunge::N,кыв,jezik
6,Lippe::N,тырп,usna
7,Wange::N,рожабан,obraz
8,Gesicht::N,бан,lice
9,Stirn::N,кымӧс,čelo
10,Haar::N,юрси,kosa
11,Schnurrbart::N,уссэз,brkovi
12,Bart::N,тош,brada
13,Kinn::N,тшӧка,brada
14,Kinn::N,тшӧка,podbradak
15,Kiefer[Anatomie]::N,ан,čeljust
16,Kehle::N,юан,grlo
17,Hals::N,юан,vrat
18,Genick::N,юр бӧр,zatiljak
19,Kopf::N,юр,glava
20,Rücken::N,мышк,leđa
21,Rücken::N,мышк,hrbat
22,Bauch::N,кынӧм,trbuh
23,Nabel::N,гӧг,pupak
24,Busen::N,морос,sisa
25,Busen::N,морос,njedra
26,Brust::N,морос,prsa
27,Schulter::N,пельпон,rame
28,Schulter::N,пельпон,pleći
29,Arm::N,ки,ruka
30,Ellenbogen::N,гырдзза,lakat
31,Hand::N,кикар,ruka
32,Handfläche::N,ки пыдӧс,dlan
33,Finger::N,чунь,prst
34,Fingernagel::N,гыж,nokat
35,Nagel[Anatomie]::N,гыж,nokat
36,Zeh::N,чунь,nozni prst
37,Fuß::N,кокпыдӧс,noga
38,Fuß::N,кокпыдӧс,stopalo
39,Ferse::N,кокдзир,peta
40,Knie::N,пидзӧс,koljeno
41,Oberschenkel::N,лядьбей,bedro
42,Bein::N,кок,noga
43,Körper::N,вывтыр,tijelo
44,Haut::N,кучик,put
45,Haut::N,кучик,koža
46,Blut::N,вир,krv
47,Ader::N,сӧн,žila
48,Sehne::N,жила,tetiva
49,Knochen::N,коска,kost
50,Gehirn::N,вем,
51,Herz::N,сьӧлӧм,srce
52,Magen::N,жӧвдӧк,stomak
53,Magen::N,жӧвдӧк,želudac
54,Leber::N,мус,jetra
55,Atem::N,лолалӧм,dah
56,Hunger::N,тшыг,glad
57,Träne::N,синва,suza
58,Geschmack::N,кӧр,ukus
59,Geruch::N,дук,njuh
60,Geruch::N,дук,miris
61,Schlaf::N,он,san
62,Traum::N,вӧт,san
63,Himmel::N,небо,nebo
64,Sonne::N,шондi,sunce
65,Mond::N,тӧлiсь,mjesec
66,Stern::N,кӧдзыв,zvijezda
67,Luft::N,ру,zrak
68,Wind::N,тӧв,vjetar
69,Welle::N,гы,val
70,Welle::N,гы,talas
71,Wasser::N,ва,voda
72,Stein::N,из,kamen
73,Boden::N,му,tlo
74,Boden::N,му,zemlja
75,Erde::N,му,zemlja
76,Staub::N,бус,prah
77,Staub::N,бус,prašina
78,Rauch::N,тшын,dim
79,Funke::N,бичир,iskra
80,Funke::N,бичир,varnica
81,Feuer::N,би,vatra
82,Licht::N,би,svjetlo
83,Schatten::N,вуджӧр,hlad
84,Schatten::N,вуджӧр,sjena
85,Wetter::N,погоддя,vrijeme
86,Nebel::N,туман,magla
87,Wolke::N,кымӧр,oblak
88,Regen::N,зэр,kiša
89,Schnee::N,лым,snijeg
90,Eis::N,йы,led
91,Frost::N,мороз,mraz
92,Kälte::N,кӧдзыт,studen
93,Kälte::N,кӧдзыт,hladnoća
94,Hitze::N,ӧд,vrućina
95,Raureif::N,кижа,inje
96,Regenbogen::N,енӧшка,duga
97,Donner::N,гым,grom
98,Donner::N,гым,grmljavina
99,Strömung::N,визывтӧм,struja
100,Strömung::N,визывтӧм,strujanje
101,Tropfen::N,тёп,kap
102,Tropfen::N,тёп,kaplja
103,Schaum::N,быг,pjena
104,Schmutz::N,нять,nečistoća
