,Concept_ID,ku,az
0,Auge::N,çav,göz
1,Ohr::N,guh,qulaq
2,Nase::N,bêvil,burun
3,Mund::N,dev,ağız
4,Zahn::N,didan,diş
5,Zunge::N,ziman,dil
6,Lippe::N,lêv,dodaq
7,Wange::N,dêm,yanaq
8,Wange::N,hinarik,yanaq
9,Gesicht::N,rû,üz
10,Stirn::N,enî,alın
11,Haar::N,por,saç
12,Schnurrbart::N,simbêl,bığ
13,Bart::N,rih,saqqal
14,Kinn::N,zenî,çənə
15,Kiefer[Anatomie]::N,arguşk,çənə
16,Kehle::N,qirik,boğaz
17,Hals::N,stû,boyun
18,Hals::N,qirik,boyun
19,Genick::N,stû,ənsə
20,Kopf::N,serî,baş
21,Rücken::N,pişt,bel
22,Bauch::N,ûr,qarın
23,Bauch::N,zik,qarın
24,Nabel::N,navik,göbək
25,Busen::N,sîng,məmə
26,Brust::N,sîng,döş
27,Schulter::N,mil,çiyin
28,Arm::N,çepil,qol
29,Ellenbogen::N,enîşk,dirsək
30,Hand::N,dest,əl
31,Handfläche::N,kefadest,ovuc
32,Finger::N,tilî,barmaq
33,Fingernagel::N,neynuk,barmaq dırnağı
34,Nagel[Anatomie]::N,bizmar,dırnak
35,Zeh::N,tilî linga,ayaq barmağı
36,Fuß::N,ling,ayaq
37,Ferse::N,pahnî,daban
38,Knie::N,kabok,diz
39,Oberschenkel::N,rahn,bud
40,Bein::N,çip,qıç
41,Körper::N,laş,əndam
42,Körper::N,gowde,əndam
43,Haut::N,çerm,dəri
44,Blut::N,xwîn,qan
45,Ader::N,reh,damar
46,Sehne::N,reh,vətər
47,Knochen::N,hestî,sümük
48,Gehirn::N,mêjî,beyin
49,Herz::N,dil,ürək
50,Magen::N,navêş,mədə
51,Leber::N,kezeb,qara ciyər
52,Atem::N,hilm,nəfəs
53,Hunger::N,birçîtî,aclıq
54,Träne::N,hêstir,göz yaşı
55,Geschmack::N,tam,tam
56,Geschmack::N,tam,ləzzət
57,Geruch::N,bêhn,qoxu
58,Schlaf::N,xew,yuxu
59,Traum::N,xewn,röya
60,Himmel::N,ezman,göy
61,Himmel::N,ezman,səma
62,Sonne::N,roj,günəş
63,Mond::N,heyv,ay
64,Stern::N,stêrk,ulduz
65,Luft::N,ba,hava
66,Wind::N,ba,yel
67,Wind::N,ba,külək
68,Welle::N,şewl,dalğa
69,Wasser::N,av,su
70,Stein::N,kevir,daş
71,Boden::N,herd,yer
72,Boden::N,herd,zəmin
73,Erde::N,ax,yer torpaq
74,Staub::N,toz,toz
75,Rauch::N,dû,tüstü
76,Funke::N,çirûşk,qığılcım
77,Feuer::N,agir,od
78,Licht::N,ronahî,işıq
79,Schatten::N,sî,kölgə
80,Wetter::N,hewa,hava
81,Nebel::N,mij,duman
82,Wolke::N,ewr,bulud
83,Regen::N,baran,yağış
84,Regen::N,baran,yağmur
85,Schnee::N,berf,qar
86,Eis::N,qeşa,buz
87,Frost::N,xûsik,ayaz
88,Kälte::N,serma,soyuq
89,Hitze::N,germayî,coşğunluq
90,Raureif::N,şext,qırov
91,Regenbogen::N,heftreng,göy qurşağı
92,Donner::N,gire-gir,göy gurultusu
93,Strömung::N,şewl,axın
94,Tropfen::N,dilop,damcı
95,Schaum::N,kef,köpük
96,Schmutz::N,gemar,çamır
97,See::N,gol,göl
98,Sumpf::N,hezek,bataqlıq
99,Moor::N,mafêl,bataqlıq
100,Wiese::N,sûrik,çəmən
101,Wald::N,çiya,meşə
102,Wald::N,daristan,meşə
103,Hügel::N,gir,təpə
104,Anhöhe::N,sere gir,təpə
105,Berg::N,kaş,dağ
106,Gipfel::N,sere gir,zirvə
107,Höhle::N,şikeft,mağara
108,Abhang::N,kaş,yamac
109,Quelle::N,kanî,bulaq
110,Bach::N,çem,kiçik çay
111,Fluss::N,çem,çay
112,Fluss::N,rûbar,çay
113,Ufer::N,kevî,kənar
114,Küste::N,berav,sahil
115,Festland::N,bejahî,materik
116,Meer::N,behr,dəniz
117,Bucht::N,derav,körfəz
118,Insel::N,girav,ada
119,Blume::N,kulînk,çiçək
120,Gras::N,giha,ot
121,Wurzel::N,reh,kök
122,Baum::N,dar,ağac
123,Stamm::N,bavik,gövdə
124,Rinde::N,qaqil,qabıq
125,Ast::N,gulî,şax
126,Zweig::N,şax,budaq
127,Blatt::N,pel,yarpaq
128,Birke::N,dara sipî,tozağacı
129,Kiefer[Baum]::N,dara bî,şam
130,Weide[Baum]::N,dara belalûk,söyüd
131,Tanne::N,merx,küknar
132,Horn::N,strô,buynuz
133,Feder::N,pîrtîk,tük
134,Feder::N,pîrtîk,lələk
135,Fell::N,heyar,xəz
136,Flügel::N,per,qanad
137,Klaue::N,napîk,pəncə
138,Kralle::N,dinik,dırnaq
139,Kralle::N,dirnax,dırnaq
140,Schwanz::N,dûv,quyruq
141,Ei::N,hêk,yumurta
142,Nest::N,hêlîn,yuva
143,Bau::N,avahî,yuva
144,Tier::N,heywan,heyvan
145,Herde::N,hoz,sürü
146,Kuh::N,çêlek,inək
147,Bulle::N,ga,öküz
148,Pferd::N,hesp,at
149,Schaf::N,mîh,qoyun
150,Schwein::N,beraz,donuz
151,Hund::N,seh,it
152,Hund::N,seh,köpək
153,Katze::N,pişîk,pişik
154,Bär::N,hirç,ayı
155,Eichhörnchen::N,pilûr,dələ
156,Elch::N,pazkovî,sığın
157,Fuchs::N,rovî,tülkü
158,Hase::N,kîroşk,dovşan
159,Maus::N,mişk,siçan
160,Wolf::N,gur,qurd
161,Vogel::N,çûk,quş
162,Schwarm::N,lufik,sürü
163,Huhn::N,mirîşk,toyuq
164,Hahn::N,dîk,xoruz
165,Gans::N,qaz,qaz
166,Adler::N,eylo,qartal
167,Adler::N,eylo,qaraquş
168,Ente::N,werdek,ördək
169,Eule::N,bûm,bayquş
170,Eule::N,kund,bayquş
171,Kranich::N,quling,durna
172,Krähe::N,qijik,qarğa
173,Kuckuck::N,pepûk,ququ
174,Schwan::N,qû,qu quşu
175,Fisch::N,masî,balıq
176,Barsch::N,okûn,tar
177,Hecht::N,mesîyê lûf,durnabalığı
178,Schlange[Tier]::N,mar,ilan
179,Wurm::N,kurm,qurd
180,Spinne::N,pîrê,hörümçək
181,Ameise::N,mîro,qarışqa
182,Ameise::N,gêrîk,qarışqa
183,Laus::N,spi,bit
184,Mücke::N,mêş,ağcaqanad
185,Fliege::N,mêş,milçək
186,Schmetterling::N,perperîk,kəpənək
187,Beere::N,hirç,gilə
188,Apfel::N,sêv,alma
189,Pilz::N,bîrov,göbələk
190,Zwiebel::N,pîvaz,soğan
191,Saat::N,tov,əkin
192,Korn::N,dexl,taxıl
193,Heu::N,sap,quru ot
194,Schale::N,qaşik,qabıq
195,Grube::N,çahl,çuxur
196,Falle::N,dafik,tələ
197,Falle::N,dafik,duzaq
198,Schlinge::N,dahf,ilmək
199,Spur::N,rêç,iz
200,Asche::N,xweli,kül
201,Dreck::N,gemarî,kir
202,Eisen::N,hesing,dəmir
203,Gold::N,zêr,altun
204,Silber::N,zîv,gümüş
205,Kohle::N,komir,kömür
206,Glas::N,qedeh,şüşə
207,Lehm::N,kelpîç,gil
208,Lehm::N,kelpîç,palçıq
209,Sand::N,qûm,qum
210,Mensch::N,mirov,adam
211,Mensch::N,mirov,insan
212,Mann::N,mêr,kişi
213,Frau::N,jin,qadın
214,Kind::N,zarok,uşaq
215,Junge::N,kur,oğlan
216,Mädchen::N,keç,qız
217,Mädchen::N,keçik,qız
218,Familie::N,malbat,ailə
219,Großvater::N,bapîr,baba
220,Großmutter::N,pîrik,nənə
221,Eltern::N,bavudê,valideyn
222,Vater::N,bav,ata
223,Mutter::N,dê,ana
224,Mutter::N,dayik,ana
225,Sohn::N,kur,oğul
226,Tochter::N,keç,qız
227,Bruder::N,bira,qardaş
228,Schwester::N,xweh,bacı
229,Onkel::N,am,əmi
230,Onkel::N,am,dayı
231,Onkel::N,xal,əmi
232,Onkel::N,xal,dayı
233,Tante::N,metik,bibi
234,Tante::N,xaltîk,bibi
235,Ehemann::N,mêr,ər
236,Ehefrau::N,kulfet,arvad
237,Freude::N,kêfxweşî,nəşə
238,Freude::N,kêfxweşî,sevinc
239,Gelächter::N,pîrqînî,gülüş
240,Gelächter::N,pîrqînî,qəhqəhə
241,Glück::N,bext,səadət
242,Glück::N,bext,xoşbəxtlik
243,Kummer::N,derd,qəm
244,Kummer::N,derd,kədər
245,Wunsch::N,daxwaz,arzu
246,Wunsch::N,xwestek,arzu
247,Lust::N,şewq,həvəs
248,Geist::N,aqil,ruh
249,Gedanke::N,fikir,fikir
250,Gedanke::N,fikir,düşüncə
251,Gedächtnis::N,aqil,xatir
252,Gedächtnis::N,aqil,hafizə
253,Verstand::N,fêm,ağıl
254,Sinn::N,aqil,məna
255,Grund::N,asas,səbəb
256,Wahrheit::N,rastî,haqq
257,Wahrheit::N,rastî,doğruluq
258,Gespräch::N,guftûgo,söhbət
259,Gespräch::N,guftûgo,qonuşma
260,Märchen::N,çirok,nağıl
261,Erzählung::N,çirok,hekayə
262,Erzählung::N,vegotin,hekayə
263,Nachricht::N,nûçe,xəbər
264,Neuigkeit::N,hewal,xəbər
265,Neuigkeit::N,hewal,yenilik
266,Name::N,nav,ad
267,Name::N,paşnav,ad
268,Rätsel::N,tiştonek,tapmaca
269,Rede::N,gotar,nitq
270,Rede::N,axavtin,nitq
271,Sprache::N,ziman,dil
272,Stimme::N,pejn,səs
273,Wort::N,gotin,söz
274,Wort::N,gotin,kəlmə
275,Zeichen::N,şanek,nişan
276,Ruf::N,hawar,çığırtı
277,Lärm::N,xarbalix,gurultu
278,Laut::N,deng,səs
279,Laut::N,hês,səs
280,Ton::N,awaz,ton
281,Lied::N,sitran,mahnı
282,Ruhe::N,rihetî,sakitlik
283,Leute::N,xelk,xalq
284,Volk::N,xelk,millət
285,Arbeit::N,xebat,iş
286,Arbeit::N,xebat,əmək
287,Gast::N,mêvan,qonaq
288,Gast::N,mêvan,müsafir
289,Geschenk::N,diyarî,hədiyyə
290,Spiel::N,lîstik,oyun
291,Spiel::N,lîstik,tamaşa
292,Gesellschaft::N,komal,cəmiyyet
293,Hilfe::N,alîkarî,kömək
294,Hilfe::N,alîkarî,yardım
295,Freund::N,heval,dost
296,Kamerad::N,heval,yoldaş
297,Angelegenheit::N,pirsgirêk,iş
298,Anzahl::N,çend,say
299,Art::N,çeh,çeşid
300,Stück::N,lib,dənə
301,Stück::N,lib,parça
302,Stück::N,parçe,dənə
303,Stück::N,parçe,parça
304,Teil::N,parçe,qisim
305,Hälfte::N,nîvî,yarım
306,Kreis::N,çemil,dairə
307,Kreuz::N,xaç,xaç
308,Linie::N,xezik,xətt
309,Strich::N,xezik,cızıq
310,Abstand::N,dûrahî,məsafə
311,Entfernung::N,dûrahî,məsafə
312,Entfernung::N,dûrahî,uzaqlıq
313,Gegend::N,dever,bölgə
314,Platz::N,çih,yer
315,Ort::N,dever,yer
316,Seite::N,rûpel,yan
317,Seite::N,rûpel,tərəf
318,Mitte::N,nav,orta
319,Mitte::N,nabênê,orta
320,Gegenstand::N,tişt,şey
321,Sache::N,tişt,şey
322,Rand::N,kevî,kənar
323,Kante::N,kevî,tiyə
324,Kante::N,kevî,kənar
325,Ecke::N,qunç,bucaq
326,Spitze::N,derzî,uc
327,Ende::N,talî,son
328,Ende::N,talî,axır
329,Loch::N,qul,deşik
330,Winkel::N,kurnîşk,guşə
331,Muster::N,desen,ülgü
332,Größe::N,mezinî,böyüklük
333,Länge::N,dirêjahî,uzunluq
334,Höhe::N,bilindayî,yüksəklik
335,Gewicht::N,giranî,çəki
336,Gewicht::N,giranî,ağırlıq
337,Menge::N,qas,miqdar
338,Haufen::N,lod,yığın
