,Concept_ID,ba,tr
0,Auge::N,күҙ,göz
1,Ohr::N,ҡолаҡ,kulak
2,Nase::N,танау,burun
3,Mund::N,ауыҙ,ağız
4,Zahn::N,теш,diş
5,Zunge::N,тел,dil
6,Lippe::N,ирен,dudak
7,Wange::N,яцаҡтар,yanak
8,Gesicht::N,бит,yüz
9,Stirn::N,маңлай,alın
10,Haar::N,сәс,saç
11,Schnurrbart::N,мылтыҡ,bıyık
12,Bart::N,һаҡал,sakal
13,Kinn::N,эйэк,çene
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,çene
15,Kehle::N,тамаҡ,boğaz
16,Hals::N,муйын,boyun
17,Hals::N,муйын,gerdan
18,Genick::N,соңҡа,ense
19,Kopf::N,баш,baş
20,Kopf::N,баш,kafa
21,Rücken::N,арҡа,arka
22,Bauch::N,ҡорһаҡ,karın
23,Nabel::N,кендек,göbek
24,Busen::N,күкрәк,koyun
25,Brust::N,түш,göğüs
26,Schulter::N,яурын,omuz
27,Arm::N,ҡул,kol
28,Ellenbogen::N,терһәк,dirsek
29,Hand::N,ҡул,el
30,Hand::N,ҡул суғы,el
31,Handfläche::N,ус төбө,avuç
32,Handfläche::N,ус төбө,el ayası
33,Finger::N,бармаҡ,parmak
34,Fingernagel::N,тырнаҡ,el tırnağı
35,Nagel[Anatomie]::N,тырнаҡ,tırnak
36,Zeh::N,бармаҡ,ayak parmağı
37,Fuß::N,табан,ayak
38,Ferse::N,үксә,topuk
39,Knie::N,тубыҡ,diz
40,Oberschenkel::N,сандыр,uyluk
41,Bein::N,аяҡ,bacak
42,Körper::N,тән,vücut
43,Haut::N,тире,cilt
44,Blut::N,ҡан,kan
45,Ader::N,тамыр,damar
46,Sehne::N,һеңер,kiriş
47,Sehne::N,тарамыш,kiriş
48,Knochen::N,һойәк,kemik
49,Gehirn::N,мейе,beyin
50,Herz::N,йорәк,kalp
51,Herz::N,йорәк,yürek
52,Magen::N,ашҡаҙан,mide
53,Leber::N,бауыр,karaciğer
54,Atem::N,һулыш,nefes
55,Hunger::N,аслыҡ,açlık
56,Träne::N,күҙ иәше,gözyaşı
57,Geschmack::N,тәм,tat
58,Geschmack::N,тәм,lezzet
59,Geruch::N,еҫ,koku
60,Schlaf::N,йоҡлау,uyku
61,Traum::N,төш,düş
62,Traum::N,төш,rüya
63,Himmel::N,күк,gök
64,Sonne::N,ҡояш,güneş
65,Mond::N,ай,ay
66,Stern::N,йондоҙ,yıldız
67,Luft::N,һауа,hava
68,Wind::N,ел,yel
69,Wind::N,ел,rüzgâr
70,Welle::N,тулҡын,dalga
71,Wasser::N,һыу,su
72,Stein::N,таш,taş
73,Boden::N,тупраҡ,yer
74,Boden::N,тупраҡ,zemin
75,Erde::N,балсҡ,toprak
76,Staub::N,туҙан,toz
77,Rauch::N,төтөн,duman
78,Funke::N,осҡон,kıvılcım
79,Feuer::N,ут,ateş
80,Licht::N,яҡтылыҡ,ışık
81,Schatten::N,күләгә,gölge
82,Wetter::N,һауа торошо,hava
83,Nebel::N,төман,pus
84,Wolke::N,болот,bulut
85,Regen::N,ямғыр,yağmur
86,Schnee::N,ҡар,kar
87,Eis::N,боҙ,buz
88,Frost::N,һалҡын,don
89,Kälte::N,һыуыҡ,soğukluk
90,Hitze::N,томра,sıcaklık
91,Hitze::N,эҫелек,sıcaklık
92,Raureif::N,ҡырау,kırç
93,Regenbogen::N,йәйғор,gökkuşağı
94,Donner::N,күк күкрәү,gök gürlemesi
95,Strömung::N,ағым,akıntı
96,Strömung::N,ағым,cereyan
97,Tropfen::N,тамсы,damla
