,Concept_ID,hi,es
0,Auge::N,आँख,ojo
1,Auge::N,चक्षु,ojo
2,Ohr::N,कान,oreja
3,Ohr::N,कर्ण,oreja
4,Nase::N,नाक,nariz
5,Nase::N,नासा,nariz
6,Mund::N,मुख,boca
7,Mund::N,मुँह,boca
8,Zahn::N,दंत,diente
9,Zahn::N,दाँत,diente
10,Zunge::N,जीभ,lengua
11,Zunge::N,ज़बान,lengua
12,Zunge::N,जिह्वा,lengua
13,Lippe::N,ओंठ,labio
14,Lippe::N,होंठ,labio
15,Wange::N,गाल,mejilla
16,Wange::N,कपोल,mejilla
17,Gesicht::N,मुँह,cara
18,Gesicht::N,चेहरा,cara
19,Stirn::N,माथा,frente
20,Stirn::N,मस्तक,frente
21,Haar::N,बाल,cabello
22,Schnurrbart::N,मूँछें,bigote
23,Bart::N,दाढ़ी,barba
24,Kinn::N,चिबुक,barbilla
25,Kiefer[Anatomie]::N,जबड़ा,mandíbula
26,Kehle::N,गला,garganta
27,Hals::N,गला,cuello
28,Hals::N,गरदन,cuello
29,Genick::N,गरदन,nuca
30,Genick::N,गरदन,cerviz
31,Genick::N,ग्रीवा,nuca
32,Genick::N,ग्रीवा,cerviz
33,Kopf::N,सिर,cabeza
34,Kopf::N,शीर्ष,cabeza
35,Rücken::N,पीठ,espalda
36,Bauch::N,उदर,vientre
37,Nabel::N,नाभि,ombligo
38,Nabel::N,ढोंढी,ombligo
39,Busen::N,कुच,pecho
40,Busen::N,स्तन,pecho
41,Brust::N,वक्ष,pecho
42,Schulter::N,कंधा,hombro
43,Schulter::N,स्कंध,hombro
44,Arm::N,बाँह,brazo
45,Arm::N,बाज़ू,brazo
46,Ellenbogen::N,कुहनी,codo
47,Hand::N,हाथ,mano
48,Hand::N,हस्त,mano
49,Handfläche::N,हथेली,palma
50,Finger::N,उँगली,dedo
51,Finger::N,अँगुली,dedo
52,Fingernagel::N,नख,uña
53,Fingernagel::N,नाख़ून,uña
54,Nagel[Anatomie]::N,नख,uña
55,Nagel[Anatomie]::N,नाख़ून,uña
56,Zeh::N,उँगली,dedo del pie
57,Zeh::N,पाँव की उँगली,dedo del pie
58,Fuß::N,चरण,pie
59,Fuß::N,पाँव,pie
60,Ferse::N,एड़ी,talón
61,Knie::N,जानु,rodilla
62,Knie::N,घुटना,rodilla
63,Oberschenkel::N,उरु,muslo
64,Bein::N,टाँग,pierna
65,Körper::N,तन,cuerpo
66,Körper::N,देह,cuerpo
67,Körper::N,शरीर,cuerpo
68,Haut::N,चर्म,piel
69,Haut::N,त्वचा,piel
70,Blut::N,लहू,sangre
71,Blut::N,ख़ून,sangre
72,Ader::N,रग,vena
73,Ader::N,शिरा,vena
74,Sehne::N,कंडरा,tendón
75,Sehne::N,स्नायु,tendón
76,Knochen::N,अस्थि,hueso
77,Gehirn::N,दिमाग़,cerebro
78,Gehirn::N,दिमाग़,encéfalo
79,Gehirn::N,मस्तिष्क,cerebro
80,Gehirn::N,मस्तिष्क,encéfalo
81,Herz::N,दिल,corazón
82,Herz::N,हृदय,corazón
83,Magen::N,मेदा,estómago
84,Magen::N,अमाशय,estómago
85,Leber::N,जिगर,hígado
86,Leber::N,यकृत्,hígado
87,Atem::N,दम,aliento
88,Atem::N,साँस,aliento
89,Atem::N,श्वास,aliento
90,Hunger::N,भूख,hambre
91,Hunger::N,क्षुधा,hambre
92,Träne::N,आँसू,lágrima
93,Träne::N,अश्रु,lágrima
94,Geschmack::N,स्वाद,gusto
95,Geschmack::N,ज़ायक़ा,gusto
96,Geruch::N,बू,olor
97,Geruch::N,गंध,olor
98,Schlaf::N,नींद,sueño
99,Schlaf::N,निद्रा,sueño
100,Traum::N,सपना,sueño
101,Traum::N,सपना,ensueño
102,Traum::N,स्वप्न,sueño
103,Traum::N,स्वप्न,ensueño
104,Himmel::N,आकाश,cielo
105,Himmel::N,आसमान,cielo
106,Sonne::N,रवि,sol
107,Sonne::N,सूरज,sol
108,Sonne::N,सूर्य,sol
109,Mond::N,चाँद,luna
110,Mond::N,चंद्र,luna
111,Stern::N,तारा,estrella
112,Stern::N,सितारा,estrella
113,Luft::N,हवा,aire
114,Luft::N,वायु,aire
115,Wind::N,पाद,viento
116,Welle::N,लहर,ola
117,Welle::N,लहर,onda
118,Welle::N,तरंग,ola
119,Welle::N,तरंग,onda
120,Wasser::N,जल,agua
121,Wasser::N,पानी,agua
122,Stein::N,पत्थर,piedra
123,Boden::N,मिट्टी,suelo
124,Erde::N,भूमि,tierra
125,Erde::N,ज़मीन,tierra
126,Staub::N,धूल,polvo
127,Rauch::N,धूआँ,humo
128,Rauch::N,धुम्र,humo
129,Funke::N,चिनगारी,chispa
130,Funke::N,स्फुलिंग,chispa
131,Feuer::N,आग,fuego
132,Feuer::N,आतिश,fuego
133,Feuer::N,अग्नि,fuego
134,Licht::N,रोशनी,luz
135,Licht::N,प्रकाश,luz
136,Schatten::N,छाया,sombra
137,Schatten::N,परछाई,sombra
138,Wetter::N,ऋतु,tiempo
139,Wetter::N,मौसम,tiempo
140,Nebel::N,धुँध,niebla
141,Nebel::N,कुहरा,niebla
142,Wolke::N,मेघ,nube
143,Wolke::N,अभ्र,nube
144,Regen::N,मेंह,lluvia
