,Concept_ID,ja,lbe
0,Auge::N,目,я
1,Ohr::N,耳,вичӏи
2,Nase::N,鼻,май
3,Mund::N,口,кьацӏ
4,Zahn::N,歯,ккарччи
5,Zunge::N,舌,маз
6,Lippe::N,唇,мурччи
7,Wange::N,頬,чӏав
8,Gesicht::N,顔,лажин
9,Stirn::N,額,ненттабакӏ
10,Haar::N,髪,чӏара
11,Schnurrbart::N,口髭,ссирссилтту
12,Bart::N,髭,чӏири
13,Kinn::N,顎,лунттубакӏ
14,Kiefer[Anatomie]::N,顎,ххинчулул
15,Kehle::N,喉,кьакьари
16,Hals::N,首,ссурссу
17,Genick::N,首,махъабакӏ
18,Kopf::N,頭,бакӏ
19,Rücken::N,背中,ттиликӏ
20,Bauch::N,腹,лякьа
21,Bauch::N,お腹,лякьа
22,Nabel::N,へそ,цӏумуккутӏ
23,Busen::N,乳房,ккукку
24,Brust::N,胸,хъазам
25,Schulter::N,肩,хъачӏ
26,Arm::N,腕,ка
27,Ellenbogen::N,肘,ссюрхъ
28,Hand::N,手,бартка
29,Handfläche::N,手のひら,хъат
30,Handfläche::N,手のひら,битӏянхъ
31,Finger::N,指,кӏисса
32,Fingernagel::N,爪,михь
33,Nagel[Anatomie]::N,爪,михь
34,Zeh::N,足の指,кӏисса
35,Fuß::N,足,чӏанччан
36,Ferse::N,かかと,никъа
37,Knie::N,膝,ник
38,Oberschenkel::N,上腿,жира
39,Bein::N,足,ччан
40,Körper::N,体,чурх
41,Haut::N,皮膚,бурчу
42,Blut::N,血,оь
43,Ader::N,血管,тунну
44,Sehne::N,腱,хьхьа
45,Knochen::N,骨,ттаркӏ
46,Gehirn::N,脳,ня
47,Herz::N,心,дакӏ
48,Herz::N,心,къюкӏ
49,Herz::N,心臓,дакӏ
50,Herz::N,心臓,къюкӏ
51,Magen::N,胃,лякьа
52,Leber::N,肝臓,
53,Atem::N,息,ссихӏ ласаву
54,Atem::N,息,ссихӏ бигьаву
55,Atem::N,呼吸,ссихӏ ласаву
56,Atem::N,呼吸,ссихӏ бигьаву
57,Hunger::N,空腹,ккаши
58,Träne::N,涙,макь
59,Geschmack::N,味,тӏин
60,Geschmack::N,味,тӏааьн
61,Geruch::N,匂い,кьанкь
62,Schlaf::N,睡眠,шану
63,Traum::N,夢,макӏру
64,Himmel::N,空,ссав
65,Sonne::N,太陽,баргъ
66,Mond::N,月,барз
67,Stern::N,星,цӏуку
68,Luft::N,空気,гьава
69,Wind::N,風,марч
70,Welle::N,波,щатӏи
71,Wasser::N,水,щин
72,Stein::N,石,чару
73,Boden::N,土地,аьрщи
74,Erde::N,土,аьрщи
75,Staub::N,埃,ххит
76,Rauch::N,煙,пуркӏу
77,Funke::N,火花,пиягь
78,Feuer::N,火,цӏу
79,Licht::N,光,чани
80,Schatten::N,陰,ххют
81,Wetter::N,天気,гьава
82,Nebel::N,霧,шархь ттурлу
83,Wolke::N,雲,ттурлу
84,Regen::N,雨,гъарал
85,Schnee::N,雪,марххала
86,Eis::N,氷,микӏ
87,Frost::N,霜,дяркъу
88,Frost::N,霜,замгьар
89,Kälte::N,寒さ,дяркъу
90,Hitze::N,暑さ,кӏиришиву
91,Raureif::N,霧氷,сил
92,Raureif::N,霧氷,бурса
93,Regenbogen::N,虹,ссурул ккуртта
94,Donner::N,雷,къув
95,Strömung::N,流れ,экьинанаву
96,Tropfen::N,滴,кӏунтӏ
97,Schaum::N,泡,хьама
98,Schmutz::N,汚れ,кьяркьи
99,See::N,湖,бяр
100,Sumpf::N,沼,кунцӏа
101,Moor::N,湿原,
102,Wiese::N,草原,кьан
103,Wald::N,森,вацӏа
104,Hügel::N,丘,бакӏу
105,Anhöhe::N,高み,
106,Berg::N,山,зунтту
107,Gipfel::N,頂上,мицӏ
108,Höhle::N,洞窟,нух
109,Abhang::N,斜面,сун
110,Quelle::N,泉,дайдихьу
111,Quelle::N,泉,бакӏ
112,Bach::N,小川,чӏрир нех
113,Fluss::N,川,нех
114,Ufer::N,岸,зума
115,Küste::N,海岸,зумаинхалу
116,Küste::N,海岸,зуманицӏалу
117,Festland::N,陸,кьири
118,Meer::N,海,хьхьири
119,Bucht::N,湾,
120,Insel::N,島,жазира
121,Blume::N,花,тӏутӏи
122,Gras::N,草,уртту
123,Wurzel::N,根,мархха
124,Baum::N,木,мурхь
125,Stamm::N,幹,ттарцӏ
126,Rinde::N,皮層,ккамара
127,Ast::N,枝,матӏи
128,Zweig::N,小枝,къяртта
129,Blatt::N,葉,чӏапӏи
130,Birke::N,樺,кӏялахӏи
131,Birke::N,樺,кӏялахӏилул мурхь
132,Kiefer[Baum]::N,松,ттар
133,Kiefer[Baum]::N,松,ттарлил мурхь
134,Weide[Baum]::N,柳,щавщи
135,Tanne::N,樅,ттарлил мурхь
136,Horn::N,角,хъи
137,Feder::N,羽根,лелуххул тӏиму
138,Fell::N,毛皮,бурчу
139,Flügel::N,羽,хъа
140,Flügel::N,羽,ххурупӏайрал тӏиму
141,Klaue::N,鉤爪,михь
142,Kralle::N,爪,ххяппа
143,Schwanz::N,尻尾,магъ
144,Ei::N,卵,ккунук
145,Nest::N,巣,кюру
146,Bau::N,穴,цукъуккутӏ
147,Tier::N,動物,хӏайван
148,Herde::N,群れ,газу
149,Kuh::N,牛,оьл
150,Bulle::N,雄牛,ниц
151,Pferd::N,馬,чу
152,Schaf::N,羊,тта
153,Schwein::N,豚,дунгъуз
154,Hund::N,犬,ккаччи
155,Katze::N,猫,ччиту
156,Bär::N,熊,цуша
157,Eichhörnchen::N,栗鼠,бюрхттукку
158,Elch::N,ヘラジカ,ниц-бюрин
159,Fuchs::N,狐,цулчӏа
160,Fuchs::N,狐,куча цулчӏа
161,Hase::N,兎,бюрх
162,Maus::N,鼠,кӏулу
163,Wolf::N,狼,барцӏ
164,Vogel::N,鳥,лелуххи
165,Schwarm::N,群れ,гьухъала
166,Huhn::N,鶏,аьнакӏи
167,Hahn::N,雄鶏,ажари
168,Gans::N,ガチョウ,къаз
169,Adler::N,鷲,барзу
170,Ente::N,鴨,урдак
171,Eule::N,フクロウ,ису
172,Eule::N,フクロウ,ччиккумяв
173,Kranich::N,鶴,кьурукь
174,Krähe::N,烏,хъатӏу
175,Kuckuck::N,郭公,ччикку
176,Schwan::N,白鳥,урттил къаз
177,Fisch::N,魚,чавахъ
178,Barsch::N,鱸,
179,Hecht::N,川魳,
180,Schlange[Tier]::N,蛇,шатта
181,Wurm::N,虫,кьюнукьай шатта
182,Spinne::N,蜘蛛,ххялцу
183,Ameise::N,蟻,митӏикьукьу
184,Laus::N,虱,
185,Mücke::N,蚊,мичӏак
186,Fliege::N,蝿,зимиз
187,Schmetterling::N,蝶,чӏимучӏали
188,Beere::N,漿果,хӏаллил ахъулсса
189,Apfel::N,林檎,гьивч
190,Pilz::N,茸,ттуккул иис
191,Zwiebel::N,玉葱,лаччул чсмусул бакӏ
192,Saat::N,種,гьанна
193,Korn::N,粒,къама
194,Heu::N,干し草,ххулув
195,Schale::N,皮,ккиртту
196,Grube::N,穴,кӏаланг
197,Falle::N,わな,къатӏа
198,Schlinge::N,輪,хӏатӏ
199,Spur::N,跡,ша
200,Asche::N,灰,лах
201,Dreck::N,泥,кьяркьи
202,Dreck::N,泥,венп
203,Eisen::N,鉄,мах
204,Gold::N,金,муси
205,Silber::N,銀,арцу
206,Kohle::N,炭,кӏалаш
207,Kohle::N,炭,хъуручӏ
208,Glas::N,ガラス,пюрун
209,Lehm::N,ローム,сина аьрщи
210,Sand::N,砂,къун
211,Mensch::N,人,инсан
212,Mann::N,男,чув
213,Mann::N,男,адимина
214,Mann::N,男性,чув
215,Mann::N,男性,адимина
216,Frau::N,女,щарсса
217,Frau::N,女,хъамитайпа
218,Frau::N,女性,щарсса
219,Frau::N,女性,хъамитайпа
220,Kind::N,子,чӏиви оьрчӏ
221,Kind::N,子供,чӏиви оьрчӏ
222,Junge::N,男の子,оьрчӏ
223,Junge::N,男の子,бурхьин оьрчӏ
224,Mädchen::N,女の子,душ
225,Familie::N,家族,кулпат
226,Großvater::N,祖父,ттатта
