,Concept_ID,os,uz
0,Auge::N,цӕст,ko'z
1,Ohr::N,хъус,quloq
2,Nase::N,фындз,burun
3,Mund::N,дзых,og'iz
4,Zahn::N,дӕндаг,tish
5,Zunge::N,ӕвзаг,til
6,Lippe::N,был,dudoq
7,Wange::N,рус,bet
8,Wange::N,уадул,bet
9,Wange::N,ӕхсӕрфарс,bet
10,Gesicht::N,цӕсгом,yuz
11,Stirn::N,ных,manglay
12,Haar::N,хил,soch
13,Schnurrbart::N,рихи,mo'ylov
14,Bart::N,зачъе,soqol
15,Kinn::N,роцъо,ängak
16,Kiefer[Anatomie]::N,ӕфсӕр,iyak
17,Kehle::N,хъуыр,bo'g'iz
18,Hals::N,къубал,bo'yin
19,Genick::N,къӕбут,gardan
20,Kopf::N,сӕр,bosh
21,Rücken::N,фӕсонтӕ,orqa
22,Bauch::N,гуыбын,qorin
23,Nabel::N,бикъ,kindik
24,Busen::N,дзидзи,ämchak
25,Brust::N,риу,ko'krak
26,Schulter::N,уӕхск,elka
27,Arm::N,цонг,bilak
28,Ellenbogen::N,рæмбын,tirsak
29,Hand::N,къух,qo'l
30,Handfläche::N,армытъӕпӕн,kaft
31,Finger::N,ӕнруылдз,barmoq
32,Fingernagel::N,ных,tirnoq
33,Nagel[Anatomie]::N,ных,tirnoq
34,Zeh::N,къух,oyoq barmog'i
35,Fuß::N,фад,oyoq
36,Ferse::N,зӕвӕт,tovon
37,Knie::N,уӕраг,tiz
38,Oberschenkel::N,агъд,son
39,Bein::N,зӕнг,oyoq
40,Körper::N,буар,badna
41,Haut::N,царм,teri
42,Blut::N,туг,qon
43,Ader::N,дадзин,qon tomir
44,Ader::N,тугдадзин,qon tomir
45,Sehne::N,хъиутæ,tomir
46,Sehne::N,нуар,tomir
47,Knochen::N,стӕг,suyak
48,Gehirn::N,магъз,miya
49,Herz::N,зӕрдӕ,qalb
50,Magen::N,ахсӕн,oshqozon
51,Leber::N,игæр,bag'ir
52,Atem::N,улӕфт,dam
53,Hunger::N,стонг,ochlik
54,Träne::N,цæссыг,yosh
55,Geschmack::N,ад,tam
56,Geruch::N,смаг,jid
57,Schlaf::N,хуыссӕг,uyqu
58,Traum::N,фын,tush
59,Himmel::N,арв,osmon
60,Himmel::N,уӕларв,osmon
61,Sonne::N,хур,quyosh
62,Mond::N,мӕй,oy
63,Stern::N,стъалы,yulduz
64,Luft::N,уӕлдӕф,havo
65,Wind::N,дымгӕ,el
66,Welle::N,уылӕн,to'lqin
67,Wasser::N,дон,suv
68,Stein::N,дур,tosh
69,Boden::N,зӕхх,tuproq
70,Erde::N,сыджыт,er
71,Staub::N,рыг,chang
72,Rauch::N,фӕздӕг,tutun
73,Funke::N,цӕхӕр,yalt
74,Feuer::N,зынг,o't
75,Licht::N,рухс,yorug'
76,Schatten::N,аууон,soya
77,Wetter::N,боныхъӕд,havo
78,Nebel::N,мигъ,tuman
79,Wolke::N,ӕврагъ,bulut
80,Regen::N,уарын,yomg'ir
81,Schnee::N,мит,qor
