,Concept_ID,et,cv
0,Auge::N,silm,куҫ
1,Ohr::N,kõrv,хӑлха
2,Nase::N,nina,сӑмса
3,Mund::N,suu,ҫӑвар
4,Zahn::N,hammas,шӑл
5,Zunge::N,keel,чӗлхе
6,Lippe::N,huul,тута
7,Wange::N,põsk,пит ҫӑмарти
8,Gesicht::N,nägu,пит
9,Gesicht::N,nägu,пит-куҫ
10,Stirn::N,otsmik,ҫамка
11,Haar::N,juus,ҫӳҫ
12,Schnurrbart::N,vurrud,усси
13,Schnurrbart::N,vuntsid,усси
14,Bart::N,habe,сухал
15,Kinn::N,lõug,янах
16,Kiefer[Anatomie]::N,lõualuu,янах
17,Kehle::N,kõri,пыр
18,Kehle::N,kõri,карланкӑ
19,Hals::N,kael,пыр
20,Genick::N,kukal,ӗнсе
21,Kopf::N,pea,пуҫ
22,Rücken::N,selg,ҫурӑм
23,Bauch::N,kõht,
24,Nabel::N,naba,кӑвапа
25,Busen::N,rind,кӑкӑр
26,Brust::N,rind,умӗ
27,Schulter::N,õlg,хул пуҫҫи
28,Arm::N,käsivars,алӑ
29,Ellenbogen::N,küünarnukk,чавса
30,Hand::N,käsi,алӑ сыппи
31,Handfläche::N,pihk,ал лаппи
32,Finger::N,sõrm,пӳрне
33,Fingernagel::N,küüs,чӗрне
34,Nagel[Anatomie]::N,küüs,чӗрне
35,Zeh::N,varvas,пӳрне
36,Fuß::N,jalg,ура лаппи
37,Ferse::N,kand,кӗле
38,Knie::N,põlv,чӗркуҫҫи
39,Oberschenkel::N,reis,пӗҫӗ
40,Bein::N,jalg,ура
41,Körper::N,ihu,ӳт
42,Körper::N,ihu,ӳт-пӳ
43,Körper::N,keha,ӳт
44,Körper::N,keha,ӳт-пӳ
45,Haut::N,nahk,тир
46,Blut::N,veri,юн
47,Ader::N,veen,вена
48,Sehne::N,kõõlus,шӑнӑр
49,Knochen::N,luu,шӑмӑ
50,Gehirn::N,aju,миме
51,Herz::N,süda,чӗре
52,Magen::N,magu,хырӑмлӑх
53,Leber::N,maks,пӗвер
54,Atem::N,hingeõhk,сывлав
55,Atem::N,hingamine,сывлав
56,Hunger::N,nälg,выҫлӑх
57,Träne::N,pisar,куҫҫуль
58,Geschmack::N,maitse,техӗм
59,Geruch::N,lõhn,шӑршӑ
60,Schlaf::N,uni,ыйхӑ
61,Traum::N,unenägu,тӗлӗк
62,Himmel::N,taevas,пӗлӗт
63,Sonne::N,päike,хӗвел
64,Mond::N,kuu,уйӑх
65,Stern::N,täht,ҫӑлтӑр
66,Luft::N,õhk,сывлӑш
67,Wind::N,tuul,ҫил
68,Welle::N,laine,хум
69,Wasser::N,vesi,шыв
70,Wasser::N,vesi,шыв-шур
71,Stein::N,kivi,чул
72,Boden::N,maa,тӑпра
73,Boden::N,pinnas,тӑпра
74,Erde::N,maa,ҫӗр
75,Staub::N,põrm,тусан
76,Rauch::N,suits,тӗтӗм
77,Funke::N,säde,хӗм
78,Feuer::N,tuli,вут
79,Feuer::N,tuli,ҫулӑм
80,Licht::N,valgus,ҫутӑ
81,Schatten::N,vari,сулхӑн
82,Wetter::N,ilm,ҫанталӑк
83,Nebel::N,udu,тӗтре
84,Wolke::N,pilv,пӗлӗт
85,Regen::N,sadu,ҫумӑр
86,Schnee::N,lumi,юр
87,Eis::N,jää,пӑр
88,Frost::N,pakane,сивӗ
89,Kälte::N,külm,сивӗ
90,Kälte::N,külmus,сивӗ
91,Hitze::N,kuumus,вӗри
92,Hitze::N,kuumus,шӑрӑх
93,Hitze::N,palavus,вӗри
94,Hitze::N,palavus,шӑрӑх
95,Raureif::N,härmatis,пас
96,Regenbogen::N,vikerkaar,асамат кӗперӗ
97,Donner::N,kõu,аслати
98,Donner::N,müristamine,аслати
99,Strömung::N,voolus,юхӑ
100,Strömung::N,jõevool,юхӑ
101,Tropfen::N,tilk,тумлам
102,Schaum::N,vaht,кӑпӑк
103,Schmutz::N,pori,пылчӑк
104,Schmutz::N,mustus,пылчӑк
105,See::N,järv,кӳлӗ
106,Sumpf::N,soo,шур
107,Sumpf::N,soo,шурлӑх
108,Moor::N,raba,торфлӑ шурлӑх
109,Wiese::N,aas,улӑх
110,Wiese::N,aas,ҫаран
111,Wiese::N,nurm,улӑх
112,Wiese::N,nurm,ҫаран
113,Wald::N,mets,вӑрман
114,Hügel::N,küngas,сӑрт
115,Hügel::N,küngas,тӗмеске
116,Anhöhe::N,küngas,сӑрт
117,Berg::N,mägi,ту
118,Gipfel::N,mäetipp,тӳпе
119,Höhle::N,koobas,ҫӗр хӑвӑлӗ
120,Abhang::N,nõlvak,тӑвайкки
121,Quelle::N,allikas,ҫӑл куҫ
122,Bach::N,oja,пӗчӗк шыв
123,Fluss::N,jõgi,юхан шыв
124,Ufer::N,kallas,ҫыран
125,Küste::N,rannik,тинӗс ҫыранӗ
126,Festland::N,mander,тип ҫӗр
127,Festland::N,maismaa,тип ҫӗр
128,Meer::N,meri,тинӗс
129,Bucht::N,laht,тинӗс кукӑрӗ
130,Insel::N,saar,утрав
131,Blume::N,lill,чечек
132,Gras::N,rohi,курӑк
133,Wurzel::N,juur,тымар
134,Baum::N,puu,йывӑҫ
135,Stamm::N,tüvi,вулӑ
136,Rinde::N,koor,хуйӑр
137,Ast::N,oks,турат
138,Zweig::N,oks,турат
139,Blatt::N,leht,ҫулҫӑ
140,Birke::N,kask,хурӑн
141,Kiefer[Baum]::N,mänd,хыр
142,Weide[Baum]::N,paju,хӑва
143,Tanne::N,nulg,чӑрӑш
144,Horn::N,sarv,мӑйрака
145,Feder::N,sulg,тӗк
146,Fell::N,karvkate,ҫӑм
147,Fell::N,karusnahk,ҫӑм
148,Flügel::N,tiib,ҫунат
149,Flügel::N,tiivik,ҫунат
150,Klaue::N,küüs,чӗрне
151,Kralle::N,küünis,ура
152,Schwanz::N,saba,хӳре
153,Ei::N,muna,ҫӑмарта
154,Nest::N,pesa,йӑва
155,Bau::N,urg,йӗнӗ
156,Tier::N,loom,выльӑх
157,Herde::N,kari,кӗтӳ
158,Kuh::N,lehm,ӗне
159,Bulle::N,pull,вӑкӑр
160,Pferd::N,hobune,лаша
161,Schaf::N,lammas,сурӑх
162,Schwein::N,siga,сысна
163,Hund::N,koer,йытӑ
164,Katze::N,kass,кушак
165,Bär::N,karu,упа
166,Eichhörnchen::N,orav,пакша
167,Elch::N,põder,пӑши
168,Fuchs::N,rebane,тилӗ
169,Hase::N,jänes,куян
170,Hase::N,jänes,мулкач
171,Maus::N,hiir,шӑши
172,Wolf::N,hunt,кашкӑр
173,Vogel::N,lind,кайӑк
174,Vogel::N,lind,вӗҫен кайӑк
175,Schwarm::N,parv,ушкӑн
176,Huhn::N,kana,чӑх
177,Huhn::N,kana,чӑхӑ
178,Hahn::N,kukk,автан
179,Gans::N,hani,хур
180,Adler::N,kotkas,ӑмӑрт кайӑк
181,Ente::N,part,кӑвакал
182,Eule::N,kakk,тӑмана
183,Eule::N,öökull,тӑмана
184,Kranich::N,kurg,тӑрна
185,Krähe::N,vares,ула курак
186,Kuckuck::N,kägu,куккук
187,Schwan::N,luik,акӑш
188,Fisch::N,kala,пулӑ
189,Barsch::N,ahven,уланкӑ
190,Hecht::N,haug,ҫӑрттан
191,Schlange[Tier]::N,uss,ҫӗлен
192,Wurm::N,uss,ӑман
193,Wurm::N,vagel,ӑман
194,Spinne::N,ämblik,эрешмен
195,Ameise::N,sipelgas,кӑткӑ
196,Laus::N,täi,пыйтӑ
197,Mücke::N,sääsk,вӑрӑм туна
198,Fliege::N,kärbes,шӑна
199,Schmetterling::N,liblikas,лӗпӗш
200,Beere::N,mari,ҫырла
201,Apfel::N,õun,улма
202,Apfel::N,õun,пан улми
203,Pilz::N,seen,кӑмпа
204,Zwiebel::N,sibul,сухан
205,Saat::N,seeme,вӑрӑ
206,Korn::N,iva,тӗшӗ
207,Korn::N,iva,пӗрчӗ
208,Korn::N,tera,тӗшӗ
209,Korn::N,tera,пӗрчӗ
210,Heu::N,hein,утӑ
211,Schale::N,koor,хупӑ
212,Grube::N,kaevand,шӑтӑк
213,Falle::N,lõks,тапӑ
214,Falle::N,lõks,капкӑн
215,Falle::N,püünis,тапӑ
216,Falle::N,püünis,капкӑн
217,Schlinge::N,aas,йӑлӑ
218,Spur::N,jälg,йӗр
219,Asche::N,tuhk,кӗл
220,Dreck::N,saast,пылчӑк
221,Dreck::N,mustus,пылчӑк
222,Eisen::N,raud,тимӗр
223,Gold::N,kuld,ылтӑн
224,Silber::N,hõbe,кӗмӗл
225,Kohle::N,süsi,кӑмрӑк
226,Glas::N,klaas,кӗленче
227,Lehm::N,savi,тӑм
228,Sand::N,liiv,хӑйӑр
229,Mensch::N,inimene,ҫын
230,Mensch::N,inimene,этем
231,Mann::N,mees,ар
232,Frau::N,naine,хӗрарӑм
233,Kind::N,laps,ача
234,Junge::N,poiss,ача
235,Junge::N,poiss,ар ҫын ача
