,Concept_ID,se,eu
0,Auge::N,tjelmie,begi
1,Auge::N,tjalmme,begi
2,Auge::N,čalbmi,begi
3,Auge::N,čalme,begi
4,Auge::N,čâ´lmm,begi
5,Auge::N,ча̄лльм,begi
6,Ohr::N,bieljie,belarri
7,Ohr::N,biellje,belarri
8,Ohr::N,beallji,belarri
9,Ohr::N,pelji,belarri
10,Ohr::N,pe´llj,belarri
11,Ohr::N,пе̄лльй,belarri
12,Nase::N,njuenie,sudur
13,Nase::N,njunnje,sudur
14,Nase::N,njunni,sudur
15,Nase::N,njuṇe,sudur
16,Nase::N,njuu´nn,sudur
17,Nase::N,нюннҍ,sudur
18,Mund::N,njaelmie,aho
19,Mund::N,njálmme,aho
20,Mund::N,njálbmi,aho
21,Mund::N,njälmi,aho
22,Mund::N,njä´lmm,aho
23,Mund::N,ня̄лльм,aho
24,Zahn::N,baenie,hortz
25,Zahn::N,bádne,hortz
26,Zahn::N,bátni,hortz
27,Zahn::N,pääṇi,hortz
28,Zahn::N,pää´nn,hortz
29,Zahn::N,па̄ннҍ,hortz
30,Zunge::N,njoektjeme,mihi
31,Zunge::N,njuovtjav,mihi
32,Zunge::N,njuovčča,mihi
33,Zunge::N,njuovčâ,mihi
34,Zunge::N,njuhččâm,mihi
35,Zunge::N,нюхчем,mihi
36,Lippe::N,bangseme,ezpain
37,Lippe::N,njálmmerabdda,ezpain
38,Lippe::N,bavssa,ezpain
39,Lippe::N,poovsâ,ezpain
40,Lippe::N,põõus,ezpain
41,Lippe::N,пэ̄кс,ezpain
42,Wange::N,skiehrie,masail
43,Wange::N,nierra,masail
44,Wange::N,muohtu,masail
45,Wange::N,nieṛâ,masail
46,Wange::N,njiõrr,masail
47,Wange::N,нӣрр,masail
48,Gesicht::N,ååredæjja,aurpegi
49,Gesicht::N,muohto,aurpegi
50,Gesicht::N,muođut,aurpegi
51,Gesicht::N,ámadadju,aurpegi
52,Gesicht::N,muáđuh,aurpegi
53,Gesicht::N,muâđ,aurpegi
54,Gesicht::N,ка̄ссв,aurpegi
55,Stirn::N,gaalloe,bekoki
56,Stirn::N,gállo,bekoki
57,Stirn::N,gállu,bekoki
58,Stirn::N,kállu,bekoki
59,Stirn::N,käll,bekoki
60,Stirn::N,вуэххьц,bekoki
61,Haar::N,voepte,ile
62,Haar::N,voepte,bilo
63,Haar::N,vuoppta,ile
64,Haar::N,vuoppta,bilo
65,Haar::N,vuokta,ile
66,Haar::N,vuokta,bilo
67,Haar::N,vuop'tâ,ile
68,Haar::N,vuop'tâ,bilo
69,Haar::N,vuõpt,ile
70,Haar::N,vuõpt,bilo
71,Haar::N,вӯппт,ile
72,Haar::N,вӯппт,bilo
73,Schnurrbart::N,bijjie-skaavtjoe,bibote
74,Schnurrbart::N,bijjie-skaavtjoe,sudurpeko
75,Schnurrbart::N,njunjevuolskávttjá,bibote
76,Schnurrbart::N,njunjevuolskávttjá,sudurpeko
77,Schnurrbart::N,seamu,bibote
78,Schnurrbart::N,seamu,sudurpeko
79,Schnurrbart::N,siämu,bibote
80,Schnurrbart::N,siämu,sudurpeko
81,Schnurrbart::N,ää´bben,bibote
82,Schnurrbart::N,ää´bben,sudurpeko
83,Schnurrbart::N,о̄а̄бпан,bibote
84,Schnurrbart::N,о̄а̄бпан,sudurpeko
85,Bart::N,skaavtja,bizar
86,Bart::N,skaavtjoe,bizar
87,Bart::N,skávttjá,bizar
88,Bart::N,seamu,bizar
89,Bart::N,siämu,bizar
90,Bart::N,seäm,bizar
91,Bart::N,ся̄м,bizar
92,Kinn::N,gaejpie,kokots
93,Kinn::N,gájbbe,kokots
94,Kinn::N,gáibi,kokots
95,Kinn::N,käibi,kokots
96,Kinn::N,käi´bb,kokots
97,Kinn::N,ка̄ййп,kokots
98,Kiefer[Anatomie]::N,gaejpie,masailezur
99,Kiefer[Anatomie]::N,oalol,masailezur
100,Kiefer[Anatomie]::N,oaloldákte,masailezur
101,Kiefer[Anatomie]::N,gáibi,masailezur
102,Kiefer[Anatomie]::N,uá'lultähti,masailezur
103,Kiefer[Anatomie]::N,vuâl'lõš,masailezur
104,Kiefer[Anatomie]::N,вуаллнешш,masailezur
105,Kehle::N,gealoe,eztarri
106,Kehle::N,tjåttå,eztarri
107,Kehle::N,njiello,eztarri
108,Kehle::N,čotta,eztarri
109,Kehle::N,čuudâ,eztarri
110,Kehle::N,čoodd,eztarri
111,Kehle::N,чонт,eztarri
112,Kehle::N,кэ̄ҏс,eztarri
113,Hals::N,tjeapohke,sama
114,Hals::N,tjiebet,sama
115,Hals::N,čeabet,sama
116,Hals::N,čiäppát,sama
117,Hals::N,čeäppat,sama
118,Hals::N,ча̄пэх,sama
119,Genick::N,tjovrese,garondo
120,Genick::N,nisske,garondo
121,Genick::N,niehkki,garondo
122,Genick::N,niski,garondo
123,Genick::N,niek'ki,garondo
124,Genick::N,nji´šǩǩmaadd,garondo
125,Genick::N,нышшькмоант,garondo
126,Kopf::N,åejjie,buru
127,Kopf::N,oajvve,buru
128,Kopf::N,oaivi,buru
129,Kopf::N,uái'vi,buru
130,Kopf::N,vuei´vv,buru
131,Kopf::N,вуэййв,buru
132,Rücken::N,rudtje,bizkar
133,Rücken::N,hárddo,bizkar
134,Rücken::N,tjavelk,bizkar
135,Rücken::N,sealgi,bizkar
136,Rücken::N,selgi,bizkar
137,Rücken::N,čielgi,bizkar
138,Rücken::N,seä´lǧǧ,bizkar
139,Rücken::N,се̄лльк,bizkar
140,Bauch::N,tjåejjie,sabel
141,Bauch::N,tjoajvve,sabel
142,Bauch::N,čoavji,sabel
143,Bauch::N,čuáv'ji,sabel
144,Bauch::N,čåu´jj,sabel
145,Bauch::N,чо̄ввьй,sabel
146,Nabel::N,naepie,zilbor
147,Nabel::N,náhpe,zilbor
148,Nabel::N,náhpi,zilbor
149,Nabel::N,nääpi,zilbor
150,Nabel::N,nää´pp,zilbor
151,Nabel::N,на̄бпь,zilbor
152,Busen::N,boenge,titi
153,Busen::N,boenge,ugatz
154,Busen::N,bållå,titi
155,Busen::N,bållå,ugatz
156,Busen::N,čižži,titi
157,Busen::N,čižži,ugatz
158,Busen::N,njamma,titi
159,Busen::N,njamma,ugatz
160,Busen::N,njižže,titi
161,Busen::N,njižže,ugatz
162,Busen::N,nje´ǯǯ,titi
163,Busen::N,nje´ǯǯ,ugatz
164,Busen::N,раннҍт,titi
165,Busen::N,раннҍт,ugatz
166,Brust::N,mïelke,bular
167,Brust::N,radde,bular
168,Brust::N,mielgga,bular
169,Brust::N,raddi,bular
170,Brust::N,radde,bular
171,Brust::N,râ´dd,bular
172,Brust::N,раннҍт,bular
173,Schulter::N,åelkie,besaburu
174,Schulter::N,oalgge,besaburu
175,Schulter::N,hárdu,besaburu
176,Schulter::N,ärdee,besaburu
177,Schulter::N,uál'gi,besaburu
178,Schulter::N,a´rddi,besaburu
179,Schulter::N,vuä´lǧǧ,besaburu
180,Schulter::N,вуэллык,besaburu
181,Arm::N,gïete,beso
182,Arm::N,giehta,beso
183,Arm::N,giehta,beso
184,Arm::N,kietâ,beso
185,Arm::N,kie'tâkaaṿâ,beso
186,Arm::N,ǩiõtt,beso
187,Arm::N,кӣдт,beso
188,Ellenbogen::N,gernjere,ukondo
189,Ellenbogen::N,garŋŋel,ukondo
190,Ellenbogen::N,gargŋil,ukondo
191,Ellenbogen::N,käŋŋir,ukondo
192,Ellenbogen::N,kõõnjâr,ukondo
193,Ellenbogen::N,карьнэль,ukondo
194,Hand::N,gïete,esku
195,Hand::N,giehta,esku
196,Hand::N,giehta,esku
197,Hand::N,kietâ,esku
198,Hand::N,ǩiõtt,esku
199,Hand::N,кӣдт,esku
200,Handfläche::N,gïeten-låapoe,ahur
201,Handfläche::N,giehtavuodo,ahur
202,Handfläche::N,tjårmmåvuodo,ahur
203,Handfläche::N,giehtaloahpu,ahur
204,Handfläche::N,kiämád,ahur
205,Handfläche::N,kuámmir,ahur
206,Handfläche::N,kuä´m'mer,ahur
207,Handfläche::N,ǩiõttǩeä´m'men,ahur
208,Handfläche::N,ко̄а̄ллдэгк,ahur
209,Handfläche::N,кӣдткоалдэгк,ahur
210,Finger::N,soerme,hatz
211,Finger::N,tjuvdde,hatz
212,Finger::N,suorbma,hatz
213,Finger::N,čuvde,hatz
214,Finger::N,suor'mâ,hatz
215,Finger::N,suõrmm,hatz
216,Finger::N,це̄ххп,hatz
217,Fingernagel::N,gadtse,azazkal
218,Fingernagel::N,guehpere,azazkal
219,Fingernagel::N,gadtsa,azazkal
220,Fingernagel::N,gazza,azazkal
221,Fingernagel::N,kozzâ,azazkal
222,Fingernagel::N,kõʒʒ,azazkal
223,Fingernagel::N,кэ̄ннц,azazkal
224,Nagel[Anatomie]::N,gadtse,azazkal
225,Nagel[Anatomie]::N,guehpere,azazkal
226,Nagel[Anatomie]::N,gadtsa,azazkal
227,Nagel[Anatomie]::N,gazza,azazkal
228,Nagel[Anatomie]::N,kozzâ,azazkal
229,Nagel[Anatomie]::N,kõʒʒ,azazkal
230,Nagel[Anatomie]::N,кэ̄ннц,azazkal
231,Zeh::N,tjiehtjere,behatz
232,Zeh::N,juolggetjuvdde,behatz
233,Zeh::N,juolgesuorbma,behatz
