,Concept_ID,lv,lv
0,Auge::N,син,син
1,Auge::N,син,acs
2,Auge::N,acs,син
3,Auge::N,acs,acs
4,Ohr::N,пель,пель
5,Ohr::N,пель,auss
6,Ohr::N,auss,пель
7,Ohr::N,auss,auss
8,Nase::N,ныр,ныр
9,Nase::N,ныр,deguns
10,Nase::N,deguns,ныр
11,Nase::N,deguns,deguns
12,Mund::N,вом,вом
13,Mund::N,вом,mute
14,Mund::N,mute,вом
15,Mund::N,mute,mute
16,Zahn::N,пинь,пинь
17,Zahn::N,пинь,zobs
18,Zahn::N,zobs,пинь
19,Zahn::N,zobs,zobs
20,Zunge::N,кыв,кыв
21,Zunge::N,кыв,mēle
22,Zunge::N,mēle,кыв
23,Zunge::N,mēle,mēle
24,Lippe::N,вом дор,вом дор
25,Lippe::N,вом дор,lūpa
26,Lippe::N,lūpa,вом дор
27,Lippe::N,lūpa,lūpa
28,Wange::N,бан,бан
29,Wange::N,бан,vaigs
30,Wange::N,vaigs,бан
31,Wange::N,vaigs,vaigs
32,Gesicht::N,чужӧм,чужӧм
33,Gesicht::N,чужӧм,seja
34,Gesicht::N,чужӧм,ģīmis
35,Gesicht::N,seja,чужӧм
36,Gesicht::N,seja,seja
37,Gesicht::N,seja,ģīmis
38,Gesicht::N,ģīmis,чужӧм
39,Gesicht::N,ģīmis,seja
40,Gesicht::N,ģīmis,ģīmis
41,Stirn::N,плеш,плеш
42,Stirn::N,плеш,кымӧс
43,Stirn::N,плеш,piere
44,Stirn::N,кымӧс,плеш
45,Stirn::N,кымӧс,кымӧс
46,Stirn::N,кымӧс,piere
47,Stirn::N,piere,плеш
48,Stirn::N,piere,кымӧс
49,Stirn::N,piere,piere
50,Haar::N,си,си
51,Haar::N,си,юрси
52,Haar::N,си,mats
53,Haar::N,юрси,си
54,Haar::N,юрси,юрси
55,Haar::N,юрси,mats
56,Haar::N,mats,си
57,Haar::N,mats,юрси
58,Haar::N,mats,mats
59,Schnurrbart::N,ус,ус
60,Schnurrbart::N,ус,пыртсим
61,Schnurrbart::N,ус,ūsas
62,Schnurrbart::N,пыртсим,ус
63,Schnurrbart::N,пыртсим,пыртсим
64,Schnurrbart::N,пыртсим,ūsas
65,Schnurrbart::N,ūsas,ус
66,Schnurrbart::N,ūsas,пыртсим
67,Schnurrbart::N,ūsas,ūsas
68,Bart::N,тош,тош
69,Bart::N,тош,bārda
70,Bart::N,bārda,тош
71,Bart::N,bārda,bārda
72,Kinn::N,тшӧка,тшӧка
73,Kinn::N,тшӧка,zods
74,Kinn::N,тшӧка,smakrs
75,Kinn::N,zods,тшӧка
76,Kinn::N,zods,zods
77,Kinn::N,zods,smakrs
78,Kinn::N,smakrs,тшӧка
79,Kinn::N,smakrs,zods
80,Kinn::N,smakrs,smakrs
81,Kiefer[Anatomie]::N,черлы,черлы
82,Kiefer[Anatomie]::N,черлы,алака лы
83,Kiefer[Anatomie]::N,черлы,вомкӧтш лы
84,Kiefer[Anatomie]::N,черлы,žoklis
85,Kiefer[Anatomie]::N,алака лы,черлы
86,Kiefer[Anatomie]::N,алака лы,алака лы
87,Kiefer[Anatomie]::N,алака лы,вомкӧтш лы
88,Kiefer[Anatomie]::N,алака лы,žoklis
89,Kiefer[Anatomie]::N,вомкӧтш лы,черлы
90,Kiefer[Anatomie]::N,вомкӧтш лы,алака лы
91,Kiefer[Anatomie]::N,вомкӧтш лы,вомкӧтш лы
92,Kiefer[Anatomie]::N,вомкӧтш лы,žoklis
93,Kiefer[Anatomie]::N,žoklis,черлы
94,Kiefer[Anatomie]::N,žoklis,алака лы
95,Kiefer[Anatomie]::N,žoklis,вомкӧтш лы
96,Kiefer[Anatomie]::N,žoklis,žoklis
97,Kehle::N,голя,голя
98,Kehle::N,голя,rīkle
99,Kehle::N,rīkle,голя
100,Kehle::N,rīkle,rīkle
101,Hals::N,сьылі,сьылі
102,Hals::N,сьылі,kakls
103,Hals::N,kakls,сьылі
104,Hals::N,kakls,kakls
105,Genick::N,юрбӧр,юрбӧр
106,Genick::N,юрбӧр,балябӧж
107,Genick::N,юрбӧр,sprands
108,Genick::N,балябӧж,юрбӧр
109,Genick::N,балябӧж,балябӧж
110,Genick::N,балябӧж,sprands
111,Genick::N,sprands,юрбӧр
112,Genick::N,sprands,балябӧж
113,Genick::N,sprands,sprands
114,Kopf::N,юр,юр
115,Kopf::N,юр,galva
116,Kopf::N,galva,юр
117,Kopf::N,galva,galva
118,Rücken::N,мыш,мыш
119,Rücken::N,мыш,mugura
120,Rücken::N,mugura,мыш
121,Rücken::N,mugura,mugura
122,Bauch::N,рушку,рушку
123,Bauch::N,рушку,vēders
124,Bauch::N,vēders,рушку
125,Bauch::N,vēders,vēders
126,Nabel::N,гӧг,гӧг
127,Nabel::N,гӧг,naba
128,Nabel::N,naba,гӧг
129,Nabel::N,naba,naba
130,Busen::N,морӧс,морӧс
131,Busen::N,морӧс,krūts
132,Busen::N,krūts,морӧс
133,Busen::N,krūts,krūts
134,Brust::N,морӧс,морӧс
135,Brust::N,морӧс,krūts
136,Brust::N,krūts,морӧс
137,Brust::N,krūts,krūts
138,Schulter::N,пельпом,пельпом
139,Schulter::N,пельпом,plecs
140,Schulter::N,plecs,пельпом
141,Schulter::N,plecs,plecs
142,Arm::N,ки,ки
143,Arm::N,ки,roka
144,Arm::N,ки,delms
145,Arm::N,roka,ки
146,Arm::N,roka,roka
147,Arm::N,roka,delms
148,Arm::N,delms,ки
149,Arm::N,delms,roka
150,Arm::N,delms,delms
151,Ellenbogen::N,гырддза,гырддза
152,Ellenbogen::N,гырддза,elkonis
153,Ellenbogen::N,elkonis,гырддза
154,Ellenbogen::N,elkonis,elkonis
155,Hand::N,ки,ки
156,Hand::N,ки,roka
157,Hand::N,ки,plauksta
158,Hand::N,roka,ки
159,Hand::N,roka,roka
160,Hand::N,roka,plauksta
161,Hand::N,plauksta,ки
162,Hand::N,plauksta,roka
