,Concept_ID,mrj,fr
0,Auge::N,сӹнзӓ,œil
1,Ohr::N,пӹлӹш,oreille
2,Nase::N,нер,nez
3,Mund::N,ышма,bouche
4,Zahn::N,пӱ,dent
5,Zunge::N,йӹлмӹ,langue
6,Lippe::N,тӹрвӹ,lèvre
7,Wange::N,шӹргӹ,joue
8,Gesicht::N,лицӓ,face
9,Gesicht::N,лицӓ,visage
10,Stirn::N,лепкӓ,front
11,Haar::N,ӱп,cheveu
12,Schnurrbart::N,öрш,moustache
13,Bart::N,пандаш,barbe
14,Kinn::N,онгылаш,menton
15,Kiefer[Anatomie]::N,пӱ арата,mâchoire
16,Kehle::N,логер,gorge
17,Hals::N,шӱ,cou
18,Genick::N,ланга,nuque
19,Kopf::N,вуй,tête
20,Rücken::N,туп,dos
21,Bauch::N,мӹшкӹр,ventre
22,Nabel::N,кӹлӹмдӹ,nombril
23,Busen::N,цӹзӹ,sein
24,Brust::N,мел,poitrine
25,Schulter::N,ӹнгӹжӓ,épaule
26,Arm::N,кид,bras
27,Ellenbogen::N,кӹнервуй,coude
28,Hand::N,лапа,main
29,Handfläche::N,кид лапа,paume
30,Finger::N,парня,doigt
31,Fingernagel::N,кӹч,ongle
32,Nagel[Anatomie]::N,кӹч,ongle
33,Zeh::N,парня,orteil
34,Zeh::N,парня,doigt de pied
35,Fuß::N,ял лапа,pied
36,Ferse::N,ялгавал,talon
37,Ferse::N,ял кавал,talon
38,Knie::N,пылвуй,genou
39,Oberschenkel::N,ӓрдӹ,cuisse
40,Bein::N,ял,jambe
41,Körper::N,монгыр,corps
42,Haut::N,кавашты,peau
43,Blut::N,вӹр,sang
44,Ader::N,вӹршӓр,veine
45,Sehne::N,кукшышӱн,tendon
46,Knochen::N,лу,os
47,Gehirn::N,вим,cerveau
48,Herz::N,шӱм,cœur
49,Magen::N,шӱм,estomac
50,Leber::N,мокш,foie
51,Atem::N,шӱлӹш,haleine
52,Hunger::N,шужымаш,faim
53,Träne::N,сӹнзӓвӹд,larme
54,Geschmack::N,тот,goût
55,Geschmack::N,тот,saveur
56,Geruch::N,пыш,odeur
57,Schlaf::N,ом,sommeil
58,Traum::N,ом,songe
59,Himmel::N,пӹлгом,ciel
60,Sonne::N,кечӹ,soleil
61,Mond::N,тӹлзӹ,lune
62,Stern::N,шӹдӹр,étoile
63,Luft::N,юж,air
64,Luft::N,воздух,air
65,Wind::N,мардеж,vent
66,Welle::N,ко,vague
67,Welle::N,коэ,vague
68,Wasser::N,вӹд,eau
69,Stein::N,кӱ,pierre
70,Boden::N,рок,sol
71,Boden::N,рок,terrain
72,Erde::N,свет,terre
73,Staub::N,пырак,poussière
74,Rauch::N,шӹкш,fumée
75,Funke::N,ип,étincelle
76,Funke::N,тылип,étincelle
77,Feuer::N,тыл,feu
78,Licht::N,соты,lumière
79,Licht::N,валгыды,lumière
80,Schatten::N,ӹмӹл,ombre
81,Wetter::N,игечӹ,temps
82,Nebel::N,тӹтӹрӓ,brume
83,Nebel::N,тӹтӹрӓ,brouillard
84,Wolke::N,пӹл,nuage
85,Regen::N,юр,pluie
86,Schnee::N,лым,neige
87,Eis::N,и,glace
88,Frost::N,ӱштӹ,gel
89,Frost::N,ӱштӹ,gelée
90,Kälte::N,ӱштӹ,froid
91,Hitze::N,шокшы,chaleur
92,Raureif::N,пöрш,givre
93,Regenbogen::N,шанавӹл,arc-en-ciel
94,Donner::N,хӹдӹртӹш,tonnerre
95,Strömung::N,йогы,courant
96,Tropfen::N,капльы,goutte
97,Tropfen::N,капльык,goutte
98,Schaum::N,шонг,écume
99,Schaum::N,шонг,mousse
100,Schmutz::N,лявӹрӓ,boue
101,Schmutz::N,лявӹрӓ,saleté
102,See::N,йӓр,lac
103,Sumpf::N,лӱкӹ,marais
104,Sumpf::N,лӱкӹ,marécage
105,Moor::N,куп,tourbière
106,Wiese::N,алык,pré
107,Wald::N,шӹргӹ,bois
108,Wald::N,шӹргӹ,forêt
109,Hügel::N,пӱгӹрикӓ,coteau
110,Hügel::N,пӱгӹрикӓ,colline
111,Anhöhe::N,кӱкшикӓ,éminence
112,Anhöhe::N,кӱкшикӓ,élévation
113,Berg::N,кырык,mont
114,Berg::N,кырык,montagne
115,Gipfel::N,неркӓ,cime
116,Gipfel::N,неркӓ,sommet
117,Höhle::N,ы́раж,caverne
