,Concept_ID,xal,tr
0,Auge::N,нүдн,göz
1,Ohr::N,чикн,kulak
2,Nase::N,хамр,burun
3,Mund::N,амн,ağız
4,Zahn::N,шүдн,diş
5,Zunge::N,келн,dil
6,Lippe::N,урл,dudak
7,Wange::N,халх,yanak
8,Gesicht::N,нүр,yüz
9,Stirn::N,маңна,alın
10,Haar::N,үсн,saç
11,Schnurrbart::N,сахл,bıyık
12,Bart::N,сахл,sakal
13,Bart::N,өргнә сахл,sakal
14,Kinn::N,өргн,çene
15,Kiefer[Anatomie]::N,өргн,çene
16,Kehle::N,хол,boğaz
17,Hals::N,күзүн,boyun
18,Hals::N,күзүн,gerdan
19,Genick::N,гиҗг,ense
20,Kopf::N,толһа,baş
21,Kopf::N,толһа,kafa
22,Rücken::N,нурһн,arka
23,Bauch::N,гесн,karın
24,Nabel::N,киисн,göbek
25,Busen::N,көкн,koyun
26,Brust::N,чееҗ,göğüs
27,Schulter::N,ээм,omuz
28,Arm::N,һар,kol
29,Ellenbogen::N,тоха,dirsek
30,Hand::N,баһлцг,el
31,Handfläche::N,альхн,avuç
32,Handfläche::N,альхн,el ayası
33,Finger::N,хурһн,parmak
34,Finger::N,һарин хурһн,parmak
35,Fingernagel::N,хумсн,el tırnağı
36,Nagel[Anatomie]::N,хумсн,tırnak
37,Zeh::N,хурһн,ayak parmağı
38,Zeh::N,көлин хурһн,ayak parmağı
39,Fuß::N,тавг,ayak
40,Ferse::N,өскә,topuk
41,Knie::N,өвдг,diz
42,Oberschenkel::N,һуй,uyluk
43,Bein::N,көл,bacak
44,Körper::N,махмуд,vücut
45,Haut::N,арсн,cilt
46,Blut::N,цусн,kan
47,Ader::N,судцн,damar
48,Sehne::N,шүрүсн,kiriş
49,Knochen::N,ясн,kemik
50,Gehirn::N,экн,beyin
51,Herz::N,зүркн,kalp
52,Herz::N,зүркн,yürek
53,Magen::N,гесн,mide
54,Leber::N,элкн,karaciğer
55,Atem::N,әмсхл,nefes
56,Hunger::N,харһнлһн,açlık
57,Träne::N,нульмсн,gözyaşı
58,Geschmack::N,амтн,tat
59,Geschmack::N,амтн,lezzet
60,Geruch::N,үнр,koku
61,Schlaf::N,нөр,uyku
62,Traum::N,зүүдн,düş
63,Traum::N,зүүдн,rüya
64,Himmel::N,теңгр,gök
65,Sonne::N,нарн,güneş
66,Mond::N,сар,ay
67,Stern::N,одн,yıldız
68,Luft::N,аһар,hava
69,Wind::N,салькн,yel
70,Wind::N,салькн,rüzgâr
71,Welle::N,дольган,dalga
72,Wasser::N,усн,su
73,Stein::N,чолун,taş
74,Boden::N,Һазр,yer
75,Boden::N,Һазр,zemin
76,Erde::N,Һазр,toprak
77,Staub::N,тоосн,toz
78,Rauch::N,утан,duman
79,Funke::N,очн,kıvılcım
80,Feuer::N,һал,ateş
81,Licht::N,герл,ışık
82,Schatten::N,сүүдр,gölge
83,Wetter::N,теңгр,hava
84,Nebel::N,будн,pus
85,Wolke::N,үүлн,bulut
86,Regen::N,хур,yağmur
87,Schnee::N,цасн,kar
88,Eis::N,мөсн,buz
89,Frost::N,киитн,don
90,Kälte::N,киитн,soğukluk
91,Hitze::N,халун,sıcaklık
92,Raureif::N,цаң,kırç
93,Raureif::N,кирү,kırç
94,Regenbogen::N,солңһ,gökkuşağı
95,Donner::N,оһтрһун дун,gök gürlemesi
