,Concept_ID,mdf,ja
0,Auge::N,сельме,目
1,Ohr::N,пиле,耳
2,Nase::N,шалхка,鼻
3,Mund::N,курга,口
4,Zahn::N,пей,歯
5,Zunge::N,кяль,舌
6,Lippe::N,търва́,唇
7,Wange::N,щёка,頬
8,Gesicht::N,шама,顔
9,Stirn::N,коня,額
10,Haar::N,шя́ярь,髪
11,Schnurrbart::N,уса́,口髭
12,Bart::N,сакал,髭
13,Kinn::N,ула,顎
14,Kiefer[Anatomie]::N,саласка,顎
15,Kehle::N,кълдома,喉
16,Kehle::N,кърга́парь,喉
17,Hals::N,сялдаз,首
18,Genick::N,шовонь,首
19,Kopf::N,пря,頭
20,Rücken::N,копорь,背中
21,Bauch::N,пеке,腹
22,Bauch::N,пеке,お腹
23,Nabel::N,по́кон,へそ
24,Busen::N,потя,乳房
25,Brust::N,мяште,胸
26,Schulter::N,лафту,肩
27,Arm::N,кядь,腕
28,Ellenbogen::N,кенерьба́карь,肘
29,Hand::N,кядь,手
30,Handfläche::N,кядьлапш,手のひら
31,Finger::N,сур,指
32,Fingernagel::N,кенже,爪
33,Nagel[Anatomie]::N,кенже,爪
34,Zeh::N,пильгосу́р,足の指
35,Fuß::N,пильге,足
36,Fuß::N,пильгелапа,足
37,Ferse::N,кочкяря,かかと
38,Knie::N,эль,膝
39,Knie::N,пълма́нжа,膝
40,Oberschenkel::N,пильгепукша,上腿
41,Bein::N,пильге,足
42,Körper::N,ро́нга,体
43,Körper::N,по́нда,体
44,Haut::N,киське,皮膚
45,Blut::N,вер,血
46,Ader::N,сан,血管
47,Ader::N,верза́н,血管
48,Sehne::N,коське сан,腱
49,Knochen::N,пакарь,骨
50,Gehirn::N,уй,脳
51,Herz::N,седи,心
52,Herz::N,седи,心臓
53,Magen::N,коткърдазь,胃
54,Leber::N,макса,肝臓
55,Atem::N,лекома,息
56,Atem::N,лекома,呼吸
57,Atem::N,ваймонь тарксема,息
58,Atem::N,ваймонь тарксема,呼吸
59,Hunger::N,вачеши,空腹
60,Träne::N,сельмове́дь,涙
61,Geschmack::N,таньф,味
62,Geruch::N,шине,匂い
63,Schlaf::N,удома́,睡眠
64,Traum::N,он,夢
65,Himmel::N,менель,空
66,Sonne::N,ши,太陽
67,Mond::N,ков,月
68,Stern::N,тяште,星
69,Luft::N,кожф,空気
70,Wind::N,варма,風
71,Welle::N,тавла,波
72,Wasser::N,ведь,水
73,Stein::N,кев,石
74,Boden::N,мода,土地
75,Boden::N,потмакс,土地
76,Erde::N,мода,土
77,Erde::N,мастор,土
78,Staub::N,пуль,埃
79,Rauch::N,качам,煙
80,Funke::N,ця́тка,火花
81,Feuer::N,тол,火
82,Licht::N,ва́лда,光
83,Schatten::N,цильф,陰
84,Wetter::N,уша,天気
85,Nebel::N,тума́н,霧
86,Wolke::N,ковол,雲
87,Regen::N,пизем,雨
88,Schnee::N,лов,雪
89,Eis::N,эй,氷
90,Frost::N,ке́льме,霜
91,Kälte::N,якшама,寒さ
92,Hitze::N,пси,暑さ
93,Raureif::N,леш,霧氷
94,Regenbogen::N,а́тямъёнга,虹
95,Donner::N,атям,雷
96,Strömung::N,шудема́,流れ
97,Tropfen::N,путькс,滴
98,Tropfen::N,пътняфкс,滴
99,Schaum::N,шов,泡
100,Schmutz::N,ърда́з,汚れ
101,See::N,эрьхке,湖
102,Sumpf::N,шяй,沼
103,Moor::N,шяй,湿原
104,Wiese::N,луга,草原
105,Wald::N,вирь,森
106,Hügel::N,губо́р,丘
107,Hügel::N,пандоня,丘
108,Anhöhe::N,губо́р,高み
109,Berg::N,панда,山
110,Gipfel::N,пря,頂上
111,Höhle::N,у́нда,洞窟
112,Abhang::N,па́нда ша́ма,斜面
113,Quelle::N,эшиня,泉
114,Bach::N,шудерькс,小川
115,Fluss::N,ляй,川
116,Ufer::N,търва́,岸
117,Küste::N,ляйтърва́,海岸
118,Festland::N,мода,陸
119,Meer::N,моря,海
120,Bucht::N,ведьуське,湾
121,Insel::N,цёнга,島
122,Blume::N,панчф,花
123,Gras::N,тише,草
124,Wurzel::N,юр,根
125,Wurzel::N,ункс,根
126,Baum::N,шуфта,木
127,Stamm::N,ро́нга,幹
128,Rinde::N,кер,皮層
129,Ast::N,морга,枝
130,Zweig::N,тарад,小枝
131,Blatt::N,лопа,葉
132,Birke::N,ке́лу,樺
133,Kiefer[Baum]::N,пиче,松
134,Weide[Baum]::N,каль,柳
135,Tanne::N,куз,樅
136,Horn::N,сюра,角
137,Feder::N,толга,羽根
138,Fell::N,кедь,毛皮
139,Flügel::N,паця,羽
140,Klaue::N,кенже,鉤爪
141,Kralle::N,кенже,爪
142,Schwanz::N,пула,尻尾
143,Ei::N,ал,卵
144,Nest::N,пиза,巣
145,Bau::N,пиза,穴
146,Tier::N,жува́та,動物
147,Herde::N,нал,群れ
148,Herde::N,стада,群れ
149,Kuh::N,скал,牛
150,Kuh::N,тракс,牛
151,Bulle::N,бука,雄牛
152,Pferd::N,лишме,馬
153,Schaf::N,уча́,羊
154,Schwein::N,тува,豚
155,Hund::N,пине,犬
156,Katze::N,катоня,猫
157,Katze::N,аваката,猫
158,Bär::N,офта,熊
159,Eichhörnchen::N,ур,栗鼠
160,Elch::N,ся́рда,ヘラジカ
161,Fuchs::N,келазь,狐
162,Hase::N,ну́мол,兎
163,Maus::N,шеер,鼠
164,Wolf::N,върьгаз,狼
165,Vogel::N,нармонь,鳥
166,Schwarm::N,ко́вол,群れ
167,Schwarm::N,ме́швеле,群れ
168,Huhn::N,сараз,鶏
169,Hahn::N,а́тякш,雄鶏
170,Gans::N,маци,ガチョウ
171,Adler::N,куцькан,鷲
172,Ente::N,яксярга,鴨
173,Eule::N,ко́рож,フクロウ
174,Kranich::N,ка́рга,鶴
175,Krähe::N,ва́рси,烏
176,Kuckuck::N,ку́ку,郭公
177,Schwan::N,ло́ксти,白鳥
178,Fisch::N,кал,魚
179,Barsch::N,о́кунь,鱸
180,Hecht::N,щу́ка,川魳
181,Schlange[Tier]::N,куй,蛇
182,Wurm::N,сукс,虫
183,Spinne::N,унжа́,蜘蛛
184,Ameise::N,панжам,蟻
185,Laus::N,си,虱
186,Mücke::N,ся́ське,蚊
187,Fliege::N,кару,蝿
188,Schmetterling::N,ме́лав,蝶
189,Beere::N,и́мож,漿果
190,Apfel::N,марь,林檎
191,Pilz::N,панга,茸
192,Zwiebel::N,шурьхкя́,玉葱
193,Saat::N,видьмот,種
194,Korn::N,сёра,粒
195,Heu::N,тише,干し草
196,Schale::N,кедь,皮
197,Grube::N,лотка,穴
198,Falle::N,туфкс,わな
199,Falle::N,кунда́ма,わな
200,Schlinge::N,килькш,輪
201,Spur::N,пильгоки́,跡
202,Asche::N,кулу,灰
203,Dreck::N,ърда́з,泥
204,Eisen::N,кшни,鉄
205,Gold::N,ока,金
206,Gold::N,золота,金
207,Silber::N,сия́,銀
208,Kohle::N,седь,炭
209,Kohle::N,седьвальмя,炭
210,Glas::N,кля́нцек,ガラス
211,Lehm::N,сёвонь,ローム
212,Sand::N,шува́р,砂
213,Mensch::N,ломань,人
214,Mann::N,аля,男
215,Mann::N,аля,男性
216,Mann::N,цёраломань,男
217,Mann::N,цёраломань,男性
218,Frau::N,ава,女
219,Frau::N,ава,女性
220,Kind::N,идь,子
221,Kind::N,идь,子供
222,Kind::N,шаба,子
223,Kind::N,шаба,子供
224,Junge::N,цёраня,男の子
225,Mädchen::N,стирня́,女の子
226,Familie::N,тнал,家族
227,Familie::N,семья,家族
228,Großvater::N,атя,祖父
229,Großvater::N,атя,おじいさん
230,Großvater::N,щя́тя,祖父
231,Großvater::N,щя́тя,おじいさん
232,Großmutter::N,баба,祖母
233,Großmutter::N,баба,おばあさん
234,Eltern::N,тя́дят-а́лят,親
235,Eltern::N,тя́дят-а́лят,両親
236,Vater::N,аля,父
237,Vater::N,аля,お父さん
238,Mutter::N,ава,母
239,Mutter::N,ава,お母さん
240,Mutter::N,тядя,母
241,Mutter::N,тядя,お母さん
242,Sohn::N,цёра,息子
243,Sohn::N,цёра,息子さん
244,Tochter::N,стирь,娘
245,Tochter::N,стирь,お嬢さん
246,Bruder::N,дуган,弟
247,Bruder::N,пяльне,弟
248,Schwester::N,ака,妹
249,Schwester::N,сазор,妹
250,Onkel::N,оця,伯父
251,Onkel::N,оця,伯父さん
252,Onkel::N,патя,伯父
253,Onkel::N,патя,伯父さん
254,Onkel::N,щеня́,伯父
255,Onkel::N,щеня́,伯父さん
256,Tante::N,ака,叔母
257,Tante::N,ака,叔母さん
258,Tante::N,щака,叔母
259,Tante::N,щака,叔母さん
260,Ehemann::N,мирде,夫
261,Ehemann::N,мирде,主人
262,Ehefrau::N,ърьвя́,妻
263,Ehefrau::N,ърьвя́,奥さん
264,Freude::N,ке́нярдема,喜び
265,Gelächter::N,рахсема,笑い
266,Glück::N,паваз,幸せ
267,Kummer::N,ризф,悩み
268,Kummer::N,пичефкс,悩み
269,Wunsch::N,мяль,希望
270,Wunsch::N,таколдома,希望
271,Lust::N,таколдома,気
272,Geist::N,вайме,精神
273,Gedanke::N,мяль,考え
274,Gedächtnis::N,прявий,記憶
275,Verstand::N,прявий,理解力
276,Sinn::N,ён,意味
277,Grund::N,туфта́л,理由
278,Wahrheit::N,ви́де,真実
279,Wahrheit::N,видеши́,真実
280,Gespräch::N,корхтама,会話
281,Märchen::N,ёфкс,童話
282,Erzählung::N,азкс,物語
283,Nachricht::N,куля́,報告
284,Neuigkeit::N,куля́,ニュース
285,Name::N,лем,名前
286,Rätsel::N,со́дама ёфкс,謎
287,Rede::N,вал,演説
288,Rede::N,корхтама,演説
289,Sprache::N,кяль,言語
290,Stimme::N,вайгяль,声
291,Wort::N,вал,言葉
292,Zeichen::N,тя́ште,記号
293,Zeichen::N,тя́штькс,記号
294,Ruf::N,тердема,呼び声
295,Lärm::N,гайф,騒音
296,Lärm::N,жалакодома,騒音
297,Laut::N,вайгяль,音
298,Ton::N,вайгяль,音
299,Lied::N,мора,歌
300,Ruhe::N,сетьме,静けさ
301,Leute::N,ломатть,人々
302,Volk::N,наро́д,民族
303,Arbeit::N,тев,仕事
304,Gast::N,и́нжи,客
305,Gast::N,ко́нак,客
306,Geschenk::N,казне,贈り物
307,Spiel::N,налхкома,遊び
308,Spiel::N,налхксема,遊び
309,Gesellschaft::N,кружок,社会
310,Hilfe::N,лездома,援助
311,Freund::N,я́лга,友達
312,Kamerad::N,я́лга,同志
313,Angelegenheit::N,тев,件
314,Anzahl::N,лувкс,数
315,Art::N,вид,種類
316,Stück::N,пакш,部分
317,Teil::N,часть,部分
318,Teil::N,пялькс,部分
319,Hälfte::N,пяле,半分
320,Kreis::N,шаркс,円
321,Kreuz::N,крёз,十字
322,Linie::N,межа,線
323,Linie::N,китькс,線
324,Strich::N,межа,線
325,Abstand::N,ётка,距離
326,Entfernung::N,ётка,距離
327,Gegend::N,ва́ста,辺
328,Gegend::N,ва́ста,地域
329,Gegend::N,перьфпя́ль,辺
330,Gegend::N,перьфпя́ль,地域
331,Platz::N,ва́ста,ゆとり
332,Ort::N,ва́ста,所
333,Ort::N,ва́ста,場所
334,Seite::N,пяле,横
335,Mitte::N,кучка́,真ん中
336,Gegenstand::N,веща,物件
337,Sache::N,тев,物
338,Sache::N,веща,物
339,Rand::N,пе,端
340,Kante::N,и́рдез,縁
341,Ecke::N,ужа,角
342,Spitze::N,пря,先頭
343,Ende::N,пе,端
344,Loch::N,варя,穴
345,Winkel::N,ужа,片隅
346,Muster::N,сёрма,模様
347,Größe::N,серь,大きさ
348,Länge::N,кува́лма,長さ
349,Höhe::N,серь,高さ
350,Gewicht::N,сталма,重さ
351,Menge::N,лувкс,量
352,Haufen::N,мар,堆積
353,Reihe::N,ряд,並び
354,Boot::N,венеж,ボート
355,Ruder::N,миле,オール
356,Schlitten::N,ну́рда,そり
357,Ski::N,сокс,スキー
358,Lagerfeuer::N,то́лмар,篝火
359,Last::N,канкс,荷物
360,Last::N,сталма,荷物
361,Gang::N,молема,歩み
362,Schritt::N,аськолкс,歩
363,Norden::N,якшама шире,北
364,Süden::N,ля́мбе ши́ре,南
365,Westen::N,ши валгома шире,西
366,Osten::N,шинь стяма шире,東
367,Holz::N,вирь,木
368,Holz::N,вирь,木材
369,Holz::N,шуфта,木
370,Holz::N,шуфта,木材
371,Brett::N,лавця,板
372,Platte::N,плита́,盤
373,Stütze::N,неже,支柱
374,Stange::N,олга,棒
375,Stock::N,байдек,杖
376,Stab::N,олгоня,棒
377,Rohr::N,турама,管
378,Haus::N,куд,家
379,Heim::N,куд,家
380,Ofen::N,пянакуд,ストーブ
381,Fußboden::N,кия́кс,床
382,Tisch::N,шра,机
383,Tisch::N,моркш,机
384,Stuhl::N,стул,椅子
385,Wiege::N,нюря́м,揺籃
386,Bett::N,ацам,ベッド
387,Regal::N,лавцяланга,棚
388,Kiste::N,парга,箱
389,Fenster::N,валмья,窓
390,Tür::N,кенкш,戸
391,Tür::N,кенкш,ドア
392,Tor::N,ортат,門
393,Zaun::N,перяфкс,垣根
394,Dach::N,кудпря,屋根
395,Leiter::N,куцема,梯子
396,Besen::N,тяльме,ほうき
397,Spaten::N,ка́йме,スコップ
398,Schaufel::N,ко́поня,シャベル
399,Schaufel::N,ця́рдом,シャベル
400,Gabel::N,ця́нгоня,フォーク
401,Löffel::N,куцю,スプーン
402,Messer::N,пеель,ナイフ
403,Nagel::N,эска,釘
404,Haken::N,кя́чказ,鉤
405,Haken::N,кя́чказ,フック
406,Griff::N,недь,取っ手
407,Griff::N,кунда́мка,取っ手
408,Schloss::N,замо́к,錠
409,Bild::N,карти́на,絵
410,Figur::N,ронга-понда,像
411,Puppe::N,ня́ка,人形
412,Beutel::N,кяскав,袋
413,Bündel::N,кярьме,束
414,Bündel::N,кярьме,包み
415,Tasche::N,кошяльня,かばん
416,Eimer::N,ве́дарка,バケツ
417,Deckel::N,тавадкс,蓋
418,Deckel::N,вельхкс,蓋
419,Geschirr::N,кядьге,食器
420,Sack::N,кяскав,袋
421,Tasse::N,ша́ваня,カップ
422,Topf::N,кавозь,鍋
423,Kessel::N,сргавозь,釜
424,Essen::N,ярхцама,食事
425,Nahrung::N,ярхцампяль,食物
426,Speise::N,ярхцама,料理
427,Fleisch::N,пал,肉
428,Fleisch::N,сиволь,肉
