,Concept_ID,lv,vep
0,Auge::N,син,sil'm
1,Auge::N,acs,sil'm
2,Ohr::N,пель,korv
3,Ohr::N,auss,korv
4,Nase::N,ныр,nena
5,Nase::N,deguns,nena
6,Mund::N,вом,su
7,Mund::N,mute,su
8,Zahn::N,пинь,pi
9,Zahn::N,пинь,hambaz
10,Zahn::N,zobs,pi
11,Zahn::N,zobs,hambaz
12,Zunge::N,кыв,kel'
13,Zunge::N,mēle,kel'
14,Lippe::N,вом дор,hul'
15,Lippe::N,lūpa,hul'
16,Wange::N,бан,modpolišk
17,Wange::N,vaigs,modpolišk
18,Gesicht::N,чужӧм,mod
19,Gesicht::N,seja,mod
20,Gesicht::N,ģīmis,mod
21,Stirn::N,плеш,oc
22,Stirn::N,кымӧс,oc
23,Stirn::N,piere,oc
24,Haar::N,си,tuk
25,Haar::N,си,hibuz
26,Haar::N,юрси,tuk
27,Haar::N,юрси,hibuz
28,Haar::N,mats,tuk
29,Haar::N,mats,hibuz
30,Schnurrbart::N,ус,habinod
31,Schnurrbart::N,пыртсим,habinod
32,Schnurrbart::N,ūsas,habinod
33,Bart::N,тош,bard
34,Bart::N,bārda,bard
35,Kinn::N,тшӧка,löug
36,Kinn::N,zods,löug
37,Kinn::N,smakrs,löug
38,Kiefer[Anatomie]::N,черлы,hambazlu
39,Kiefer[Anatomie]::N,алака лы,hambazlu
40,Kiefer[Anatomie]::N,вомкӧтш лы,hambazlu
41,Kiefer[Anatomie]::N,žoklis,hambazlu
42,Kehle::N,голя,kurk
43,Kehle::N,rīkle,kurk
44,Hals::N,сьылі,kagl
45,Hals::N,kakls,kagl
46,Genick::N,юрбӧр,tagarai
47,Genick::N,балябӧж,tagarai
48,Genick::N,sprands,tagarai
49,Kopf::N,юр,pä
50,Kopf::N,galva,pä
51,Rücken::N,мыш,sel'g
52,Rücken::N,mugura,sel'g
53,Bauch::N,рушку,vac
54,Bauch::N,рушку,koht
55,Bauch::N,vēders,vac
56,Bauch::N,vēders,koht
57,Nabel::N,гӧг,naba
58,Nabel::N,naba,naba
59,Busen::N,морӧс,niža
60,Busen::N,krūts,niža
61,Brust::N,морӧс,rind
62,Brust::N,krūts,rind
63,Schulter::N,пельпом,oug
64,Schulter::N,plecs,oug
65,Arm::N,ки,käzi
66,Arm::N,roka,käzi
67,Arm::N,delms,käzi
68,Ellenbogen::N,гырддза,künambruz
69,Ellenbogen::N,elkonis,künambruz
70,Hand::N,ки,käzi
71,Hand::N,ки,käzitera
72,Hand::N,roka,käzi
73,Hand::N,roka,käzitera
74,Hand::N,plauksta,käzi
75,Hand::N,plauksta,käzitera
76,Handfläche::N,ки пыдӧс,kämen
77,Handfläche::N,delna,kämen
78,Handfläche::N,plauksta,kämen
79,Finger::N,чунь,sor'm
80,Finger::N,pirksts,sor'm
81,Fingernagel::N,гыж,künz'
82,Fingernagel::N,nags,künz'
83,Nagel[Anatomie]::N,гыж,künz'
84,Nagel[Anatomie]::N,nags,künz'
