,Concept_ID,ku,kl
0,Auge::N,çav,isi
1,Ohr::N,guh,siut
2,Nase::N,bêvil,
3,Mund::N,dev,paaq
4,Mund::N,dev,qaneq
5,Zahn::N,didan,kigut
6,Zunge::N,ziman,oqaq
7,Lippe::N,lêv,qarloq
8,Wange::N,dêm,ersaq
9,Wange::N,hinarik,ersaq
10,Gesicht::N,rû,kiinaq
11,Stirn::N,enî,qaaq
12,Haar::N,por,meqqoq
13,Schnurrbart::N,simbêl,
14,Bart::N,rih,umik
15,Kinn::N,zenî,talloq
16,Kiefer[Anatomie]::N,arguşk,alleroq
17,Kehle::N,qirik,malaq
18,Hals::N,stû,qungaseq
19,Hals::N,qirik,qungaseq
20,Genick::N,stû,pukusuk
21,Kopf::N,serî,niaqoq
22,Rücken::N,pişt,qimerlut
23,Bauch::N,ûr,naaq
24,Bauch::N,zik,naaq
25,Nabel::N,navik,qalaseq
26,Busen::N,sîng,iviangeq
27,Brust::N,sîng,iviangeq
28,Schulter::N,mil,ersik
29,Schulter::N,mil,assaqqoq
30,Arm::N,çepil,taleq
31,Ellenbogen::N,enîşk,ikusik
32,Hand::N,dest,assak
33,Handfläche::N,kefadest,itumak
34,Finger::N,tilî,inuak
35,Fingernagel::N,neynuk,kikiak
36,Nagel[Anatomie]::N,bizmar,kukik
37,Zeh::N,tilî linga,isigak
38,Fuß::N,ling,
39,Ferse::N,pahnî,kimmik
40,Knie::N,kabok,seeqqoq
41,Oberschenkel::N,rahn,uppat
42,Oberschenkel::N,rahn,quttoraq
43,Bein::N,çip,isigak
44,Körper::N,laş,timi
45,Körper::N,gowde,timi
46,Haut::N,çerm,mattak
47,Blut::N,xwîn,aak
48,Ader::N,reh,taqaq
49,Sehne::N,reh,ujalu
50,Sehne::N,reh,ujaloq
51,Knochen::N,hestî,saanikut
52,Gehirn::N,mêjî,qarasaq
53,Herz::N,dil,uummat
54,Magen::N,navêş,aqajaroq
55,Leber::N,kezeb,tinguk
56,Atem::N,hilm,anerneq
57,Hunger::N,birçîtî,kaanneq
58,Träne::N,hêstir,qia
59,Träne::N,hêstir,qiak
60,Geschmack::N,tam,qilanaartuut
61,Geruch::N,bêhn,tipi
62,Geruch::N,bêhn,tipik
63,Schlaf::N,xew,
64,Traum::N,xewn,sinnattoq
65,Traum::N,xewn,sinnattugaq
66,Himmel::N,ezman,qilak
67,Sonne::N,roj,seqineq
68,Mond::N,heyv,qaammat
69,Stern::N,stêrk,ulloriaq
70,Luft::N,ba,silaannaq
71,Wind::N,ba,anori
72,Wind::N,ba,anorsarik
73,Welle::N,şewl,aalappaa
74,Wasser::N,av,imeq
75,Stein::N,kevir,ujarak
76,Boden::N,herd,nateq
77,Erde::N,ax,issoq
78,Staub::N,toz,pujualanerit
79,Staub::N,toz,pujoralanerit
80,Rauch::N,dû,iseq
81,Rauch::N,dû,pujoq
82,Funke::N,çirûşk,illoorneq
83,Feuer::N,agir,inneq
84,Licht::N,ronahî,qaamaneq
85,Schatten::N,sî,tarraq
86,Wetter::N,hewa,sila
87,Nebel::N,mij,pujoq
88,Wolke::N,ewr,nuia
89,Regen::N,baran,sialuk
90,Schnee::N,berf,aput
91,Eis::N,qeşa,siku
92,Frost::N,xûsik,issi
93,Frost::N,xûsik,issik
94,Kälte::N,serma,issi
95,Hitze::N,germayî,kianneq
96,Hitze::N,germayî,kiassuseq
97,Raureif::N,şext,kaneq
98,Regenbogen::N,heftreng,neriusaaq
99,Donner::N,gire-gir,kalleq
100,Strömung::N,şewl,
101,Tropfen::N,dilop,kuseriarneq
102,Schaum::N,kef,qapuk
103,Schmutz::N,gemar,minguk
104,See::N,gol,taseq
105,Sumpf::N,hezek,maqulluk
106,Moor::N,mafêl,
