,Concept_ID,uk,nl
136,Horn::N,ріг,hoorn
137,Feder::N,перо,veer
138,Feder::N,перо,pluim
139,Fell::N,хутро,vel
140,Flügel::N,крило,vleugel
141,Klaue::N,кіготь,klauw
142,Kralle::N,лапа,klauw
143,Schwanz::N,хвіст,staart
144,Ei::N,яйце,ei
145,Nest::N,гніздо,nest
146,Bau::N,лігво,hol
147,Tier::N,тварина,dier
148,Herde::N,стадо,kudde
149,Kuh::N,корова,koe
150,Bulle::N,бик,stier
151,Bulle::N,бугай,stier
152,Pferd::N,кінь,paard
153,Schaf::N,вівця,schaap
154,Schwein::N,свиня,varken
155,Hund::N,собака,hond
156,Katze::N,кішка,kat
157,Bär::N,ведмідь,beer
158,Eichhörnchen::N,білка,eekhoorntje
159,Elch::N,лось,eland
160,Fuchs::N,лисиця,vos
161,Hase::N,заєць,haas
162,Maus::N,миша,muis
163,Wolf::N,вовк,wolf
164,Vogel::N,птах,vogel
165,Schwarm::N,зграя,zwerm
166,Huhn::N,курка,kip
167,Huhn::N,курка,hoen
168,Hahn::N,півень,haan
169,Gans::N,гуска,gans
170,Adler::N,орел,arend
171,Ente::N,качка,eend
172,Eule::N,сова,uil
173,Kranich::N,журавель,kraanvogel
174,Krähe::N,ворона,kraai
175,Kuckuck::N,зозуля,koekoek
176,Schwan::N,лебідь,zwaan
177,Fisch::N,риба,vis
178,Barsch::N,окунь,baars
179,Hecht::N,щука,snoek
180,Schlange[Tier]::N,змія,slang
181,Wurm::N,черв’як,worm
182,Spinne::N,павук,spin
183,Ameise::N,мурашка,mier
184,Laus::N,воша,luis
185,Mücke::N,комар,mug
186,Fliege::N,муха,vlieg
187,Schmetterling::N,метелик,vlinder
188,Beere::N,ягода,bes
189,Apfel::N,яблуко,appel
190,Pilz::N,гриб,paddestoel
191,Zwiebel::N,цибуля,ui
192,Saat::N,сім’я,zaad
193,Korn::N,зерно,graan
194,Korn::N,зерно,korrel
195,Heu::N,сіно,hooi
196,Schale::N,шкірка,schil
197,Grube::N,яма,kuil
198,Falle::N,пастка,val
199,Schlinge::N,петля,strop
200,Spur::N,слід,spoor
201,Asche::N,зола,as
202,Asche::N,попіл,as
203,Dreck::N,бруд,drek
204,Eisen::N,залізо,ijzer
205,Gold::N,золото,goud
206,Silber::N,срібло,zilver
207,Kohle::N,вугілля,kool
208,Glas::N,скло,glas
209,Lehm::N,глина,klei
210,Sand::N,пісок,zand
211,Mensch::N,людина,mens
212,Mann::N,чоловік,man
213,Frau::N,жінка,vrouw
214,Kind::N,дитина,kind
215,Junge::N,хлопець,jongen
216,Mädchen::N,дівчина,meisje
217,Familie::N,сім’я,gezin
218,Familie::N,сім’я,familie
219,Familie::N,родина,gezin
220,Familie::N,родина,familie
221,Großvater::N,дідусь,grootvader
222,Großmutter::N,бабуся,grootmoeder
223,Eltern::N,батьки,ouders
224,Vater::N,батько,vader
225,Mutter::N,мати,moeder
226,Sohn::N,син,zoon
227,Tochter::N,дочка,dochter
228,Bruder::N,брат,broer
229,Bruder::N,брат,broeder
230,Schwester::N,сестра,zus
231,Schwester::N,сестра,zuster
232,Onkel::N,дядько,oom
233,Tante::N,тітка,tante
234,Ehemann::N,чоловік,echtgenoot
235,Ehefrau::N,жінка,echtgenote
236,Ehefrau::N,дружина,echtgenote
237,Freude::N,радощі,vreugde
238,Gelächter::N,сміх,gelach
239,Glück::N,щастя,geluk
240,Kummer::N,горе,verdriet
241,Wunsch::N,бажання,wens
242,Wunsch::N,бажання,verlangen
243,Lust::N,бажання,zin
244,Lust::N,бажання,lust
245,Geist::N,дух,geest
246,Gedanke::N,думка,gedachte
247,Gedächtnis::N,пам’ять,geheugen
248,Verstand::N,розум,verstand
249,Sinn::N,зміст,betekenis
250,Sinn::N,значення,betekenis
251,Grund::N,причина,reden
252,Wahrheit::N,правда,waarheid
253,Gespräch::N,розмова,gesprek
254,Märchen::N,байка,sprookje
255,Erzählung::N,повість,verhaal
256,Erzählung::N,оповідання,verhaal
257,Nachricht::N,повідомлення,tijding
258,Neuigkeit::N,новина,nieuws
259,Neuigkeit::N,новина,nieuwtje
260,Name::N,ім’я,naam
261,Rätsel::N,загадка,raadsel
262,Rede::N,промова,rede
263,Sprache::N,мова,taal
264,Stimme::N,голос,stem
265,Wort::N,слово,woord
266,Zeichen::N,знак,teken
267,Ruf::N,оклик,roep
268,Lärm::N,шум,lawaai
269,Laut::N,звук,klank
270,Laut::N,звук,geluid
271,Ton::N,тон,toon
272,Ton::N,тон,klank
273,Lied::N,пісня,lied
274,Ruhe::N,спокій,rust
275,Ruhe::N,спокій,stilte
276,Leute::N,люди,lui
277,Leute::N,люди,mensen
278,Volk::N,народ,volk
279,Arbeit::N,робота,werk
280,Arbeit::N,робота,arbeid
281,Gast::N,гість,gast
282,Geschenk::N,подарунок,cadeau
283,Geschenk::N,подарунок,geschenk
284,Spiel::N,гра,spel
285,Gesellschaft::N,товариство,gezelschap
286,Hilfe::N,допомога,hulp
287,Freund::N,друг,vriend
288,Freund::N,приятель,vriend
289,Kamerad::N,товариш,maat
290,Kamerad::N,товариш,metgezel
291,Angelegenheit::N,справа,zaak
292,Angelegenheit::N,справа,aangelegenheid
293,Anzahl::N,число,tal
294,Anzahl::N,число,aantal
295,Art::N,рід,slag
296,Art::N,рід,soort
297,Stück::N,кусок,stuk
298,Teil::N,частина,deel
299,Hälfte::N,половина,helft
300,Kreis::N,круг,kring
301,Kreis::N,круг,cirkel
302,Kreis::N,коло,kring
303,Kreis::N,коло,cirkel
304,Kreuz::N,хрест,kruis
305,Linie::N,лінія,lijn
306,Strich::N,штрих,haal
307,Strich::N,штрих,streep
308,Abstand::N,проміжок,afstand
309,Entfernung::N,відстань,afstand
310,Gegend::N,місцевість,streek
311,Platz::N,площа,ruimte
312,Ort::N,місце,oord
313,Ort::N,місце,plaats
314,Seite::N,сторона,zij
315,Seite::N,сторона,kant
316,Seite::N,сторона,zijde
317,Mitte::N,середина,midden
318,Gegenstand::N,предмет,voorwerp
319,Sache::N,річ,zaak
320,Rand::N,край,rand
321,Rand::N,край,boord
322,Kante::N,ребро,kant
323,Ecke::N,ріг,hoek
324,Spitze::N,кінчик,punt
325,Spitze::N,кінчик,spits
326,Ende::N,кінець,einde
327,Ende::N,кінець,uiteinde
328,Loch::N,діра,gat
329,Winkel::N,куток,hoek
330,Muster::N,узор,dessin
331,Muster::N,узор,patroon
332,Größe::N,розмір,grootte
333,Länge::N,довжина,lengte
334,Höhe::N,висота,hoogte
335,Gewicht::N,вага,gewicht
336,Menge::N,кількість,hoeveelheid
337,Haufen::N,купа,hoop
338,Reihe::N,ряд,rij
339,Reihe::N,ряд,reeks
340,Boot::N,човен,boot
341,Ruder::N,весло,roeiriem
342,Schlitten::N,сани,slee
343,Schlitten::N,сани,slede
344,Ski::N,лижа,ski
345,Lagerfeuer::N,вогнище,kampvuur
346,Last::N,тягар,last
347,Last::N,тягар,vracht
348,Last::N,вантаж,last
349,Last::N,вантаж,vracht
350,Gang::N,хід,wandeling
351,Schritt::N,крок,stap
352,Schritt::N,крок,schrede
353,Norden::N,північ,noorden
354,Süden::N,південь,zuiden
355,Westen::N,захід,westen
356,Osten::N,схід,oosten
357,Holz::N,дрова,hout
358,Brett::N,дошка,plank
359,Platte::N,плита,plaat
360,Stütze::N,підпірка,stut
361,Stütze::N,підпірка,steun
362,Stange::N,жердина,stang
363,Stock::N,палиця,stok
364,Stab::N,палиця,staf
365,Rohr::N,труба,pijp
366,Haus::N,дім,huis
367,Haus::N,хата,huis
368,Heim::N,житло,tehuis
369,Ofen::N,піч,kachel
370,Fußboden::N,підлога,vloer
371,Tisch::N,стіл,tafel
372,Stuhl::N,стілець,stoel
373,Wiege::N,колиска,wieg
374,Bett::N,ліжко,bed
375,Bett::N,постіль,bed
376,Regal::N,полиця,rek
377,Kiste::N,ящик,kist
378,Fenster::N,вікно,raam
379,Fenster::N,вікно,venster
380,Tür::N,двері,deur
381,Tor::N,ворота,poort
382,Zaun::N,паркан,omheining
383,Zaun::N,огорожа,omheining
384,Dach::N,дах,dak
385,Leiter::N,драбина,ladder
386,Besen::N,мітла,bezem
387,Spaten::N,заступ,schop
388,Schaufel::N,совок,schep
389,Schaufel::N,лопата,schep
390,Gabel::N,виделка,vork
391,Löffel::N,ложка,lepel
392,Messer::N,ніж,mes
393,Nagel::N,цвях,spijker
394,Netz::N,сіть,net
395,Haken::N,крюк,haak
