,Concept_ID,te,sl
0,Auge::N,కన్ను,okó
1,Ohr::N,చెవి,uhó
2,Nase::N,ముక్కు,nós
3,Mund::N,నోరు,ústa
4,Zahn::N,పల్లు,zób
5,Zunge::N,నాలుక,jêzik
6,Lippe::N,పెదవి,ústnica
7,Wange::N,చెంప,líce
8,Gesicht::N,ముఖము,oblíčje
9,Stirn::N,నుదురు,čêlo
10,Haar::N,వెండ్రుక,lás
11,Schnurrbart::N,మీసము,bŕki
12,Bart::N,గడ్డము,bráda
13,Kinn::N,గడ్డము,bráda
14,Kiefer[Anatomie]::N,దౌడ,čeljúst
15,Kehle::N,గొంతు,gŕlo
16,Hals::N,మెడ,vrát
17,Genick::N,మూపు,zatílnik
18,Kopf::N,తల,gláva
19,Rücken::N,వెన్ను,hrbèt
20,Bauch::N,కడుపు,trébuh
21,Nabel::N,బొడ్డు,pópek
22,Busen::N,స్తనము,nédrja
23,Brust::N,ఱొమ్ము,pŕsi
24,Schulter::N,భుజము,ráma
25,Schulter::N,భుజము,plêče
26,Arm::N,చేయి,rôka
27,Ellenbogen::N,మోచేయి,komólec
28,Hand::N,చేయి,rôka
29,Handfläche::N,అరచేయు,dlán
30,Finger::N,చేతిప్రేలు,pŕst
31,Fingernagel::N,గోరు,nóht na rôki
32,Nagel[Anatomie]::N,గోరు,nóht
33,Zeh::N,కాలిప్రేలు,pŕst na nôgi
34,Fuß::N,అడుగు,nôga
35,Ferse::N,మడమ,pêta
36,Knie::N,మోకాలు,koléno
37,Oberschenkel::N,తొడ,stêgno
38,Bein::N,కాలు,nôga
39,Körper::N,కాయము,teló
40,Haut::N,చర్మము,kóža
41,Blut::N,రక్తము,krí
42,Ader::N,సిర,žíla
43,Sehne::N,స్నాయువు,kíta
44,Knochen::N,ఎముక,kóst
45,Gehirn::N,మెదడు,možgáni
46,Herz::N,హృదయము,srcé
47,Magen::N,కడుపు,želódec
48,Leber::N,కాలేయము,jétra
49,Atem::N,ఉపిరి,díh
50,Hunger::N,ఆకలి,glád
51,Träne::N,కన్నీటిచుక్క,sólza
52,Geschmack::N,రుచి,okús
53,Geruch::N,వాసన,vónj
54,Schlaf::N,నిద్ర,sèn
55,Schlaf::N,నిద్ర,spánec
56,Traum::N,కల,sánje
57,Himmel::N,ఆకాశము,nebó
58,Sonne::N,సూర్యుడు,sónce
59,Mond::N,చంద్రుడు,lúna
60,Mond::N,చంద్రుడు,mésec
61,Stern::N,నక్షత్రము,zvézda
62,Luft::N,గాలి,zràk
63,Wind::N,వీచుచున్నగాలి,véter
64,Welle::N,అల,vál
65,Wasser::N,నీరు,vôda
66,Stein::N,ఱాయి,kámen
67,Boden::N,నేల,tlà
68,Erde::N,మన్ను,pŕst
69,Erde::N,మన్ను,zêmlja
70,Staub::N,దుమ్ము,práh
71,Rauch::N,పొగ,dìm
72,Funke::N,అగ్నికణము,ískra
73,Feuer::N,అగ్ని,ôgenj
74,Licht::N,కాంతి,lúč
75,Schatten::N,నీడ,sénca
76,Wetter::N,వాతావరణ స్థితి,vrême
77,Nebel::N,పొగమంచు,meglà
78,Wolke::N,మేఘము,oblák
79,Regen::N,వాన,dèž
80,Schnee::N,హిమము,snég
81,Eis::N,మంచుగడ్డ,léd
82,Frost::N,పేరిన మంచు,zmrzál
83,Kälte::N,చలి,mràz
84,Hitze::N,వేడిమి,pripéka
85,Raureif::N,మంచు,ívje
86,Raureif::N,మంచు,slána
87,Regenbogen::N,ఇంద్రధనుస్సు,mávrica
88,Donner::N,ఉరుము,gròm
89,Strömung::N,ప్రవాహము,strúja
90,Tropfen::N,చుక్క,káplja
91,Schaum::N,నురుగు,péna
92,Schmutz::N,మైల,nesnága
93,See::N,సరస్సు,jézero
94,Sumpf::N,చిత్తడినేల,močvírje
95,Moor::N,చిత్తడినేల,bárje
96,Wiese::N,పచ్చిక బయలు,trávnik
97,Wald::N,అడవి,lés
98,Wald::N,అడవి,gòzd
99,Hügel::N,చివ్నకొండ,brég
100,Hügel::N,చివ్నకొండ,goríca
101,Anhöhe::N,కొండ,gríč
102,Anhöhe::N,కొండ,višína
103,Berg::N,పర్వతము,gôra
104,Berg::N,పర్వతము,planína
105,Gipfel::N,శిఖరము,vŕh
106,Höhle::N,గుహ,jáma
107,Höhle::N,గుహ,votlína
108,Abhang::N,ఏటవాలు,pobóčje
109,Quelle::N,మూలము,izvír
110,Bach::N,కాలువ,pôtok
111,Fluss::N,నది,réka
112,Ufer::N,తీరము,brég
113,Küste::N,తీరము,obála
114,Küste::N,తీరము,obréžje
115,Festland::N,భూమి,celína
116,Festland::N,భూమి,kopnína
117,Meer::N,సముద్రము,mórje
118,Bucht::N,మరుగు,zalív
119,Insel::N,దీవి,ôtok
120,Blume::N,పుష్పము,cvetlíca
121,Gras::N,పచ్చగడ్డి,tráva
122,Wurzel::N,వేరు,korenína
123,Baum::N,చెట్టు,drevó
124,Stamm::N,చెట్టుబోదె,dêblo
125,Rinde::N,చెట్టుపట్ట,lúbje
126,Rinde::N,చెట్టుపట్ట,skórja
127,Ast::N,కొమ్మ,véja
