,Concept_ID,ka,sv
317,Hilfe::N,შველა,hjälp
318,Hilfe::N,დახმარება,hjälp
319,Freund::N,მეგობარი,vän
320,Kamerad::N,ამხანაგი,kamrat
321,Angelegenheit::N,საქმე,ärende
322,Angelegenheit::N,საქმე,angelägenhet
323,Anzahl::N,ოდენობა,antal
324,Art::N,სახეობა,art
325,Art::N,სახეობა,slag
326,Stück::N,ნატეხი,stycke
327,Teil::N,წილი,del
328,Hälfte::N,ნახევარი,halva
329,Kreis::N,წრე,krets
330,Kreis::N,წრე,cirkel
331,Kreuz::N,ჯვარი,kors
332,Kreuz::N,ჯვარი,kryss
333,Linie::N,ხაზი,linje
334,Strich::N,შტრიხი,streck
335,Abstand::N,მანძილი,avstånd
336,Entfernung::N,სიშორე,avstånd
337,Gegend::N,არე,trakt
338,Gegend::N,მხარე,trakt
339,Platz::N,ფართობი,plats
340,Ort::N,ადგილი,plats
341,Ort::N,ადგილი,ställe
342,Seite::N,მხარე,sida
343,Mitte::N,შუა,mitt
344,Gegenstand::N,საგანი,föremål
345,Sache::N,ნივთი,sak
346,Rand::N,კიდე,rand
347,Kante::N,ნაწიბული,kant
348,Ecke::N,კუთხე,vrå
349,Ecke::N,კუთხე,hörn
350,Spitze::N,წვეტი,spets
351,Ende::N,ბოლო,ända
352,Loch::N,ხვრელი,hål
353,Winkel::N,კუთხე,vinkel
354,Muster::N,მოხატულობა,mönster
355,Größe::N,ზომა,storlek
356,Größe::N,სიდიდე,storlek
357,Länge::N,სიგრძე,längd
358,Höhe::N,სიმაღლე,höjd
359,Gewicht::N,წონა,tyngd
360,Menge::N,რაოდენობა,mängd
361,Haufen::N,გროვა,hög
362,Reihe::N,რიგი,rad
363,Reihe::N,წყება,rad
364,Boot::N,გემი,båt
365,Ruder::N,ხოფი,åra
366,Ruder::N,ნიჩაბი,åra
367,Schlitten::N,მარხილი,släde
368,Ski::N,თხილამური,skida
369,Lagerfeuer::N,კოცონი,lägereld
370,Last::N,ტვირთი,last
371,Last::N,ტვირთი,börda
372,Gang::N,სვლა,gång
373,Schritt::N,ბიჯი,steg
374,Norden::N,ჩრდილოეთი,norr
375,Süden::N,სამხრეთი,söder
376,Westen::N,დასავლეთი,väster
377,Osten::N,აღმოსავლეთი,öster
378,Holz::N,ხე,trä
379,Brett::N,დაფა,bräda
380,Brett::N,ფიცარი,bräda
381,Platte::N,თლილი ქვა,platta
382,Stütze::N,საყრდენი,stöd
383,Stütze::N,საყრდენი,stötta
384,Stange::N,ჭოკი,stång
385,Stock::N,კეტი,käpp
386,Stock::N,კეტი,pinne
387,Stab::N,ლატანი,stav
388,Rohr::N,მილაკი,rör
389,Haus::N,სახლი,hus
390,Heim::N,ოჯახის კერა,hem
391,Ofen::N,ღუმელი,ugn
392,Fußboden::N,იატაკი,golv
