,Concept_ID,ar,lt
0,Auge::N,عين,akis
1,Ohr::N,أذن,ausis
2,Nase::N,أنف,nosis
3,Mund::N,فم,burna
4,Zahn::N,سن,dantis
5,Zunge::N,لسان,liežuvis
6,Lippe::N,شفة,lūpa
7,Wange::N,خد,žandas
8,Wange::N,خد,skruostas
9,Wange::N,وجنة,žandas
10,Wange::N,وجنة,skruostas
11,Gesicht::N,وجه,veidas
12,Stirn::N,جبين,kakta
13,Haar::N,شعر,plaukai
14,Schnurrbart::N,شارب,ūsai
15,Bart::N,لحية,barzda
16,Kinn::N,ذقن,smakras
17,Kiefer[Anatomie]::N,فك,žandikaulis
18,Kehle::N,حلق,gerklė
19,Hals::N,عنق,kaklas
20,Hals::N,رقبة,kaklas
21,Genick::N,قفا,sprandas
22,Kopf::N,رأس,galva
23,Rücken::N,ظهر,nugara
24,Bauch::N,بطن,pilvas
25,Nabel::N,سرة,bamba
26,Busen::N,ثدي,krūtinė
27,Brust::N,صدر,krūtis
28,Schulter::N,كتف,petys
29,Arm::N,ذراع,ranka
30,Ellenbogen::N,كوع,alkūnė
31,Hand::N,يد,ranka
32,Hand::N,يد,plaštaka
33,Handfläche::N,كف,delnas
34,Handfläche::N,كف,plaštaka
35,Finger::N,إصبع,pirštas
36,Fingernagel::N,ظفر,nagas
37,Nagel[Anatomie]::N,ظفر,nagas
38,Zeh::N,إصبع القدم,pirštas
39,Fuß::N,قدم,pėda
40,Ferse::N,كعب,kulnas
41,Knie::N,ركبة,kelis
42,Oberschenkel::N,فخذ,kulšis
43,Oberschenkel::N,فخذ,šlaunis
44,Bein::N,ساق,koja
45,Körper::N,جسم,kūnas
46,Haut::N,بشرة,oda
47,Blut::N,دم,kraujas
48,Ader::N,عرق,kraujagyslė
49,Sehne::N,طنب,sausgyslė
50,Knochen::N,عظم,kaulas
51,Gehirn::N,دماغ,smegenys
52,Herz::N,قلب,širdis
53,Magen::N,معدة,skrandis
54,Leber::N,كبد,kepenys
55,Atem::N,نفس,kvapas
56,Hunger::N,جوع,badas
57,Hunger::N,جوع,alkis
58,Träne::N,دمعة,ašara
59,Geschmack::N,طعم,skonis
60,Geschmack::N,مذاق,skonis
61,Geruch::N,رائحة,kvapas
62,Schlaf::N,نوم,miegas
63,Schlaf::N,منام,miegas
64,Traum::N,حلم,sapnas
65,Himmel::N,سماء,dangus
66,Sonne::N,شمس,saulė
67,Mond::N,قمر,mėnulis
68,Stern::N,نجم,žvaigždė
69,Stern::N,كوكب,žvaigždė
70,Luft::N,هواء,oras
71,Wind::N,ريح,vėjas
72,Welle::N,موجة,banga
73,Welle::N,موجة,vilnis
74,Wasser::N,ماء,vanduo
75,Stein::N,حجر,akmuo
76,Boden::N,تراب,žemė
77,Boden::N,تراب,dugnas
78,Erde::N,أرض,žemė
79,Staub::N,غبار,dulkės
80,Rauch::N,دخان,dūmai
81,Funke::N,شرارة,kibirkštis
82,Feuer::N,نار,ugnis
83,Licht::N,نور,šviesa
84,Licht::N,ضوء,šviesa
85,Schatten::N,ظل,paūksmė
86,Schatten::N,فيء,paūksmė
87,Wetter::N,جو,oras
88,Wetter::N,طقس,oras
89,Nebel::N,ضباب,migla
90,Nebel::N,ضباب,rūkas
91,Wolke::N,غيمة,debesis
92,Wolke::N,سحابة,debesis
93,Regen::N,مطر,lietus
94,Schnee::N,ثلج,sniegas
95,Eis::N,جليد,ledas
96,Frost::N,صقيع,šalna
97,Kälte::N,برد,šaltis
98,Hitze::N,حر,karštis
99,Hitze::N,حرارة,karštis
100,Raureif::N,صقيع,šerkšnas
101,Regenbogen::N,قوس قزح,vaivorykštė
102,Donner::N,رعد,perkūnas
103,Donner::N,رعد,griaustinis
104,Strömung::N,تيار,tėkmė
105,Tropfen::N,قطرة,lašas
106,Schaum::N,زبد,putos
107,Schaum::N,رغوة,putos
108,Schmutz::N,وسخ,purvas
109,See::N,بحيرة,ežeras
110,Sumpf::N,مستنقع,klampynė
111,Sumpf::N,مستنقع,liūnas
112,Moor::N,مستنقع,pelkė
113,Wiese::N,مرج,pieva
114,Wald::N,غابة,miškas
115,Hügel::N,تل,kalva
116,Anhöhe::N,تل,kauburys
117,Berg::N,جبل,kalnas
118,Gipfel::N,قمة,viršūnė
119,Höhle::N,كهف,ola
120,Abhang::N,منحدر,šlaitas
121,Abhang::N,منحدر,nuokalnė
122,Quelle::N,منبع,versmė
123,Quelle::N,منبع,šaltinis
124,Bach::N,مجرى,upelis
125,Fluss::N,نهر,upė
126,Ufer::N,ضفة,krantas
127,Küste::N,ساحل,pajūris
128,Festland::N,بر,sausuma
129,Meer::N,بحر,jūra
130,Bucht::N,خليج,įlanka
131,Bucht::N,خليج,užutekis
132,Insel::N,جزيرة,sala
133,Blume::N,زهرة,gėlė
134,Gras::N,حشيش,žolė
135,Wurzel::N,أصل,šaknis
136,Baum::N,شجرة,medis
137,Stamm::N,جذع,kamienas
138,Rinde::N,قشرة,žievė
139,Ast::N,فرع,šaka
140,Zweig::N,غصن,šakelė
141,Blatt::N,ورقة,lapas
142,Birke::N,قضبان,beržas
143,Kiefer[Baum]::N,صنوبرة,pušis
144,Weide[Baum]::N,صفصاف,karklas
145,Tanne::N,شوح,eglė
146,Tanne::N,شوح,kėnis
147,Tanne::N,تبوب,eglė
148,Tanne::N,تبوب,kėnis
149,Horn::N,قرن,ragas
150,Feder::N,ريشة,plunksna
151,Fell::N,فرو,kailis
152,Flügel::N,جناح,sparnas
153,Klaue::N,مخلب,kanopa
154,Kralle::N,مخلب,nagas
155,Schwanz::N,ذيل,uodega
156,Ei::N,بيض,kiaušinis
157,Nest::N,عش,gūžta
158,Nest::N,عش,lizdas
159,Bau::N,جحر,ola
160,Tier::N,حيوان,gyvūnas
161,Herde::N,قطيع,banda
162,Herde::N,قطيع,kaimenė
163,Kuh::N,بقرة,karvė
164,Bulle::N,ثور,bulius
165,Pferd::N,خيل,arklys
166,Schaf::N,شاة,avis
167,Schwein::N,خنزير,kiaulė
168,Hund::N,كلب,šuo
169,Katze::N,قطة,katė
170,Bär::N,دب,lokys
171,Eichhörnchen::N,سنجاب,voveraitė
172,Elch::N,موظ,briedis
173,Fuchs::N,ثعلب,lapė
174,Hase::N,أرنب,kiškas
175,Maus::N,فأرة,pelė
176,Wolf::N,ذئب,vilkas
177,Vogel::N,طير,paukštis
178,Schwarm::N,سرب,spiečius
179,Huhn::N,دجاجة,višta
180,Hahn::N,ديك,gaidys
181,Gans::N,وزة,žąsis
182,Adler::N,نسر,erelis
183,Ente::N,بطة,antis
184,Eule::N,بوم,pelėda
185,Kranich::N,كركي,gervė
186,Krähe::N,غراب,varna
187,Kuckuck::N,وقواق,gegužė
188,Schwan::N,إوز عراقي,gulbė
189,Fisch::N,سمك,žuvis
190,Barsch::N,فرخ أوربي,ešerys
191,Hecht::N,سمك الكراكي,lydeka
192,Schlange[Tier]::N,حية,gyvatė
193,Schlange[Tier]::N,ثعبان,gyvatė
194,Wurm::N,دودة,kirmėlė
195,Spinne::N,عنكبوت,voras
196,Ameise::N,نملة,skruzdė
197,Laus::N,قملة,utėlė
198,Mücke::N,ناموسة,uodas
199,Fliege::N,ذبابة,musė
200,Schmetterling::N,فراشة,drugys
201,Schmetterling::N,فراشة,peteliškė
202,Beere::N,حبة,uoga
203,Apfel::N,تفاح,obuolys
204,Pilz::N,فطر,grybas
205,Zwiebel::N,بصل,svogūnas
206,Saat::N,زرع,sėkla
207,Korn::N,حبة,grūdai
208,Heu::N,دريس,šienas
209,Schale::N,قشرة,žievelė
210,Grube::N,نقرة,duobė
211,Falle::N,فخ,pinklės
212,Falle::N,فخ,žabangai
213,Falle::N,مصيدة,pinklės
214,Falle::N,مصيدة,žabangai
215,Schlinge::N,عروة,kilpa
216,Spur::N,أثر,vėžė
217,Spur::N,أثر,pėdos
218,Spur::N,أثر,pėdsakas
219,Asche::N,رماد,pelenai
220,Dreck::N,قذر,purvas
221,Eisen::N,حديد,geležis
222,Gold::N,ذهب,auksas
223,Silber::N,فضة,sidabras
224,Kohle::N,فحم,anglis
225,Glas::N,زجاج,stiklas
226,Lehm::N,طين,molis
227,Sand::N,رمل,smėlis
228,Mensch::N,إنسان,žmogus
229,Mann::N,رجل,vyras
230,Mann::N,رجل,vyriškis
231,Frau::N,امرأة,moteris
232,Kind::N,طفل,vaikas
233,Junge::N,ولد,vaikinas
234,Junge::N,ولد,berniukas
235,Mädchen::N,بنت,mergytė
236,Mädchen::N,بنت,mergaitė
237,Familie::N,عائلة,šeima
238,Großvater::N,جد,senelis
239,Großmutter::N,جدة,senelė
240,Eltern::N,أبوان,tėvai
241,Eltern::N,والدان,tėvai
242,Vater::N,أب,tėvas
243,Mutter::N,أم,motina
244,Sohn::N,إبن,sūnus
245,Tochter::N,بنت,duktė
246,Tochter::N,إبنة,duktė
247,Bruder::N,أخ,brolis
248,Bruder::N,شقيق,brolis
249,Schwester::N,أخت,sesuo
250,Onkel::N,عم,dėdė
251,Tante::N,عمة,teta
252,Ehemann::N,زوج,vyras
253,Ehefrau::N,زوجة,žmona
254,Freude::N,فرح,džiaugsmas
255,Freude::N,سرور,džiaugsmas
256,Gelächter::N,قهقهة,juokas
257,Glück::N,سعادة,laimė
258,Kummer::N,غم,vargas
259,Kummer::N,غم,rūpestis
260,Wunsch::N,منية,troškimas
261,Wunsch::N,منية,pageidavimas
262,Lust::N,شهوة,noras
263,Lust::N,شهوة,geidulys
264,Geist::N,روح,dvasia
265,Gedanke::N,فكرة,mintis
266,Gedächtnis::N,ذاكرة,atmintis
267,Verstand::N,عقل,protas
268,Sinn::N,معنى,prasmė
269,Grund::N,سبب,priežastis
270,Wahrheit::N,حقيقة,tiesa
271,Wahrheit::N,حقيقة,teisybė
272,Gespräch::N,محادثة,pokalbis
273,Märchen::N,خرافة,pasaka
274,Erzählung::N,قصة,apsakymas
275,Erzählung::N,قصة,pasakojimas
276,Erzählung::N,حكاية,apsakymas
277,Erzählung::N,حكاية,pasakojimas
278,Nachricht::N,خبر,žinia
279,Neuigkeit::N,خبر جديد,naujiena
280,Name::N,اسم,vardas
281,Rätsel::N,لغز,mįslė
282,Rede::N,خطبة,kalba
283,Sprache::N,لغة,kalba
284,Stimme::N,صوت,balsas
285,Wort::N,كلمة,žodis
286,Zeichen::N,رمز,žymė
287,Zeichen::N,رمز,ženklas
288,Zeichen::N,إشارة,žymė
289,Zeichen::N,إشارة,ženklas
290,Ruf::N,نداء,šauksmas
291,Lärm::N,صخب,triukšmas
292,Lärm::N,ضجة,triukšmas
293,Laut::N,صوت,garsas
294,Ton::N,نغمة,tonas
295,Ton::N,نغمة,garsas
296,Lied::N,أغنية,daina
297,Lied::N,أغنية,giesmė
298,Ruhe::N,هدوء,ramybė
299,Ruhe::N,هدوء,ramumas
300,Leute::N,ناس,žmonės
301,Volk::N,شعب,tauta
302,Arbeit::N,عمل,darbas
303,Arbeit::N,عمل,triūsas
304,Gast::N,ضيف,svečias
305,Geschenk::N,هدية,dovana
306,Spiel::N,لعب,žaismas
307,Spiel::N,لعب,žaidimas
308,Gesellschaft::N,صحبة,draugija
309,Gesellschaft::N,صحبة,kompanija
310,Hilfe::N,عون,pagalba
311,Hilfe::N,مساعدة,pagalba
312,Freund::N,صديق,draugas
313,Freund::N,صديق,bičiulis
314,Kamerad::N,زميل,draugas
315,Angelegenheit::N,أمر,dalykas
316,Angelegenheit::N,أمر,reikalas
317,Angelegenheit::N,شأن,dalykas
318,Angelegenheit::N,شأن,reikalas
319,Anzahl::N,عدد,kiekis
320,Anzahl::N,عدد,skaičius
321,Art::N,نوع,rūšis
322,Stück::N,قطعة,gabalas
323,Teil::N,قسم,dalis
324,Hälfte::N,نصف,pusė
325,Kreis::N,دائرة,ratas
326,Kreis::N,دائرة,apskritis
327,Kreis::N,دائرة,apskritimas
328,Kreuz::N,صليب,kryžius
329,Linie::N,خط,linija
330,Strich::N,شرطة,brėžis
331,Strich::N,شرطة,brūkšnys
332,Abstand::N,مسافة,atstumas
333,Entfernung::N,بعد,atstumas
334,Gegend::N,ناحية,vietovė
335,Platz::N,فراغ,vieta
336,Ort::N,مكان,vieta
337,Ort::N,مكان,vietovė
338,Seite::N,جانب,pusė
339,Seite::N,جانب,šonas
340,Mitte::N,وسط,vidurys
341,Gegenstand::N,موضوع,dalykas
342,Sache::N,شيء,daiktas
343,Rand::N,حافة,kraštas
344,Rand::N,حافة,pakraštys
345,Kante::N,حافة,kraštas
346,Ecke::N,ركن,kertė
347,Ecke::N,ركن,kampas
348,Spitze::N,سن,priekis
349,Spitze::N,سن,priešakys
350,Ende::N,طرف,galas
351,Loch::N,ثقب,skylė
352,Winkel::N,زاوية,kampas
353,Winkel::N,زاوية,kampelis
354,Muster::N,عينة,raštas
355,Größe::N,حجم,dydis
356,Größe::N,حجم,didumas
357,Länge::N,طول,ilgis
358,Länge::N,طول,ilgumas
359,Höhe::N,علو,aukštis
360,Höhe::N,علو,aukštuma
361,Höhe::N,ارتفاع,aukštis
362,Höhe::N,ارتفاع,aukštuma
363,Gewicht::N,وزن,svoris
364,Gewicht::N,وزن,svarstis
365,Menge::N,كمية,kiekis
366,Menge::N,كمية,daugybė
367,Haufen::N,كوم,krūva
368,Haufen::N,كوم,šūsnis
369,Reihe::N,صف,greta
370,Boot::N,قارب,valtis
371,Boot::N,قارب,laivelis
372,Boot::N,زورق,valtis
373,Boot::N,زورق,laivelis
374,Ruder::N,مجذاف,irklas
375,Schlitten::N,مزلقة,rogės
376,Schlitten::N,مزلقة,rogutės
377,Ski::N,زلاجة,slidė
378,Lagerfeuer::N,نار المخيم,laužas
379,Last::N,حمل,našta
380,Last::N,حمل,nešulys
381,Gang::N,مشية,eisena
382,Schritt::N,خطوة,žingsnis
383,Norden::N,شمال,šiaurė
384,Norden::N,شمال,žiemiai
385,Süden::N,جنوب,pietūs
386,Westen::N,غرب,vakarai
387,Osten::N,شرق,rytai
388,Holz::N,خشب,mediena
389,Brett::N,لوح,lenta
390,Platte::N,صفيحة,plokštė
391,Stütze::N,سند,atrama
392,Stütze::N,سند,atspara
393,Stütze::N,دعامة,atrama
394,Stütze::N,دعامة,atspara
395,Stange::N,عود,lazda
396,Stange::N,عود,kartis
397,Stock::N,عصا,lazda
398,Stab::N,قضيب,kartis
399,Rohr::N,أنبوبة,vamzdis
400,Haus::N,دار,namas
401,Haus::N,بيت,namas
402,Heim::N,بيت,namai
403,Heim::N,مسكن,namai
404,Ofen::N,مدفأة,krosnis
405,Fußboden::N,أرضية,grindys
406,Tisch::N,مائدة,stalas
407,Stuhl::N,كرسي,kėdė
408,Wiege::N,مهد,lopšys
409,Bett::N,سرير,lova
410,Bett::N,سرير,patalai
411,Regal::N,رف,lentyna
412,Kiste::N,صندوق,dėžė
413,Fenster::N,شباك,langas
414,Fenster::N,نافذة,langas
415,Tür::N,باب,durys
416,Tor::N,بوابة,vartai
417,Zaun::N,سياج,tvora
418,Dach::N,سطح,stogas
419,Leiter::N,سلم,kopėčios
420,Besen::N,مكنسة,šluota
421,Spaten::N,مسحاة,lopeta
422,Spaten::N,مسحاة,kastuvas
423,Schaufel::N,مجرفة,semtuvas
424,Gabel::N,شوكة,šakutė
425,Löffel::N,ملعقة,šaukštas
426,Messer::N,سكين,peilis
427,Nagel::N,مسمار,vinis
428,Netz::N,شبكة,tinklas
429,Haken::N,خطاف,vagis
430,Haken::N,خطاف,kablys
431,Haken::N,صنارة,vagis
432,Haken::N,صنارة,kablys
433,Griff::N,قبضة,kotas
434,Griff::N,قبضة,rankena
435,Schloss::N,قفل,spyna
436,Schloss::N,قفل,užraktas
437,Bild::N,صورة,paveikslas
438,Figur::N,تمثال,figūra
439,Puppe::N,دمية,lėlė
440,Beutel::N,كيس,krepšys
441,Beutel::N,كيس,maišelis
442,Bündel::N,ربطة,ryšulys
443,Tasche::N,شنطة,krepšelis
444,Tasche::N,محفظة,krepšelis
445,Eimer::N,سطل,kibiras
446,Eimer::N,جردل,kibiras
447,Deckel::N,سداد,dangtis
448,Geschirr::N,أوان,indai
449,Sack::N,زكيبة,maišas
450,Tasse::N,فنجان,puodukas
451,Topf::N,قدر,puodas
452,Topf::N,طنجرة,puodas
453,Kessel::N,قدر,katilas
454,Kessel::N,غلاية,katilas
455,Essen::N,طعام,valgis
456,Nahrung::N,غذاء,penas
457,Nahrung::N,غذاء,maistas
458,Speise::N,أكل,patiekalas
459,Fleisch::N,لحم,mėsa
460,Getreide::N,حبوب,javai
461,Brei::N,عصيدة,košė
462,Brot::N,خبز,duona
463,Scheibe::N,شريحة,riekė
464,Fett::N,سمن,taukai
465,Fett::N,سمن,riebalai
466,Butter::N,زبدة,sviestas
467,Öl::N,زيت,aliejus
468,Salz::N,ملح,druska
469,Suppe::N,حساء,sriuba
470,Suppe::N,شربة,sriuba
471,Honig::N,عسل,medus
472,Milch::N,حليب,pienas
473,Tee::N,شاي,arbata
474,Leder::N,جلد,oda
475,Wolle::N,صوف,vilna
476,Stoff::N,قماش,audeklas
477,Nadel::N,إبرة,adata
478,Faden::N,خيط,gija
479,Faden::N,خيط,siūlas
480,Knopf::N,زر,saga
481,Knoten::N,عقدة,mazgas
482,Farbe::N,صبغة,dažai
483,Kleidung::N,ملابس,rūbai
484,Kleidung::N,ملابس,drabužiai
485,Hemd::N,قميص,marškiniai
486,Kragen::N,ياقة,apykaklė
487,Ärmel::N,كم,rankovė
488,Hose::N,سروال,kelnės
489,Hose::N,بنطلون,kelnės
490,Gürtel::N,حزام,juosta
491,Gürtel::N,حزام,diržas
492,Mütze::N,طاقية,kepurė
493,Schuh::N,حذاء,batas
494,Stiefel::N,جزمة,auliniai batai
495,Stiefel::N,حذاء طويل,auliniai batai
496,Ring::N,حلقة,žiedas
497,Band::N,شريط,kaspinas
498,Kamm::N,مشط,šukos
499,Spiegel::N,مرآة,veidrodis
500,Riemen::N,سير,diržas
501,Schnur::N,حبل,virvė
502,Schnur::N,دوبارة,virvė
503,Leine::N,قيد,pavadėlis
504,Decke::N,بطانية,antklodė
505,Kissen::N,وسادة,pagalvė
506,Kissen::N,وسادة,priegalvis
507,Tuch::N,منديل,skarelė
508,Handtuch::N,فوطة,rankšluostis
509,Handtuch::N,منشفة,rankšluostis
510,Kraft::N,قدرة,jėga
511,Stärke::N,قوة,stiprumas
512,Gesundheit::N,صحة,sveikata
513,Krankheit::N,مرض,liga
514,Schmerz::N,ألم,skausmas
515,Schmerz::N,وجع,skausmas
516,Wunde::N,جرح,žaizda
517,Fieber::N,حمى,karštis
518,Arznei::N,دواء,vaistas
519,Brücke::N,جسر,tiltas
520,Brunnen::N,بئر,šulinys
521,Weide::N,مرعى,ganykla
522,Weide::N,مرعى,gluosnis
523,Pfad::N,درب,takas
524,Weg::N,سكة,kelias
525,Straße::N,طريق,gatvė
526,Dorf::N,قرية,kaimas
527,Dorf::N,قرية,sodžius
528,Stadt::N,مدينة,miestas
529,Brief::N,خطاب,laiškas
530,Brief::N,مكتوب,laiškas
531,Buch::N,كتاب,knyga
532,Buchstabe::N,حرف,raidė
533,Zeitung::N,جريدة,laikraštis
534,Leben::N,عيش,gyvybė
535,Leben::N,عيش,gyvenimas
536,Leben::N,حياة,gyvybė
537,Leben::N,حياة,gyvenimas
538,Tod::N,موت,mirtis
539,Tod::N,وفاة,mirtis
540,Grab::N,قبر,kapas
541,Kirche::N,كنيسة,bažnyčia
542,Sünde::N,خطيئة,nuodėmė
543,Sünde::N,خطيئة,nusidėjimas
544,Gott::N,إله,dievas
545,Arbeiter::N,عامل,darbininkas
546,Chef::N,رئيس,šefas
547,Chef::N,رئيس,vadovas
548,Chef::N,رئيس,viršininkas
549,Meister::N,أسطى,meistras
550,Arzt::N,طبيب,gydytojas
551,Lehrer::N,مدرس,mokytojas
552,Geld::N,نقود,pinigai
553,Geschäft::N,صفقة,biznis
554,Laden::N,دكان,krautuvė
555,Laden::N,دكان,parduotuvė
556,Preis::N,سعر,kaina
557,Ware::N,بضاعة,prekė
558,Nutzen::N,فائدة,nauda
559,Nutzen::N,فائدة,pelnas
560,Reichtum::N,غنى,turtas
561,Reichtum::N,ثروة,turtas
562,Welt::N,عالم,pasaulis
563,Welt::N,دنيا,pasaulis
564,Land::N,بلد,žemė
565,Land::N,بلد,šalis
566,Staat::N,دولة,valstija
567,König::N,ملك,karalius
568,Macht::N,سلطة,galia
569,Macht::N,سلطة,valdžia
570,Grenze::N,حدود,riba
571,Grenze::N,حدود,siena
572,Krieg::N,حرب,karas
573,Feind::N,عدو,priešas
574,Gewalt::N,عنف,jėga
575,Gewalt::N,عنف,smurtas
576,Gewalt::N,عنف,prievarta
577,Kampf::N,قتال,kova
578,Bogen[Waffe]::N,قوس,lankas
579,Pfeil::N,سهم,strėlė
580,Gewehr::N,بندقية,šautuvas
581,Fehler::N,خطأ,klaida
