,Concept_ID,ku,nl
0,Auge::N,çav,oog
1,Ohr::N,guh,oor
2,Nase::N,bêvil,neus
3,Mund::N,dev,mond
4,Zahn::N,didan,tand
5,Zunge::N,ziman,tong
6,Lippe::N,lêv,lip
7,Wange::N,dêm,wang
8,Wange::N,hinarik,wang
9,Gesicht::N,rû,gelaat
10,Gesicht::N,rû,gezicht
11,Stirn::N,enî,voorhoofd
12,Haar::N,por,haar
13,Schnurrbart::N,simbêl,snor
14,Bart::N,rih,baard
15,Kinn::N,zenî,kin
16,Kiefer[Anatomie]::N,arguşk,kaak
17,Kehle::N,qirik,keel
18,Kehle::N,qirik,strot
19,Hals::N,stû,hals
20,Hals::N,qirik,hals
21,Genick::N,stû,nek
22,Kopf::N,serî,hoofd
23,Rücken::N,pişt,rug
24,Bauch::N,ûr,buik
25,Bauch::N,zik,buik
26,Nabel::N,navik,navel
27,Busen::N,sîng,boezem
28,Brust::N,sîng,borst
29,Schulter::N,mil,schouder
30,Arm::N,çepil,arm
31,Ellenbogen::N,enîşk,elleboog
32,Hand::N,dest,hand
33,Handfläche::N,kefadest,handpalm
34,Finger::N,tilî,vinger
35,Fingernagel::N,neynuk,nagel
36,Nagel[Anatomie]::N,bizmar,nagel
37,Zeh::N,tilî linga,teen
38,Fuß::N,ling,voet
39,Ferse::N,pahnî,hak
40,Ferse::N,pahnî,hiel
41,Knie::N,kabok,knie
42,Oberschenkel::N,rahn,dij
43,Bein::N,çip,been
44,Körper::N,laş,lichaam
45,Körper::N,gowde,lichaam
46,Haut::N,çerm,huid
47,Blut::N,xwîn,bloed
48,Ader::N,reh,ader
49,Sehne::N,reh,pees
50,Knochen::N,hestî,bot
51,Knochen::N,hestî,been
52,Knochen::N,hestî,knook
53,Gehirn::N,mêjî,hersenen
54,Herz::N,dil,hart
55,Magen::N,navêş,maag
56,Leber::N,kezeb,lever
57,Atem::N,hilm,adem
58,Hunger::N,birçîtî,honger
59,Träne::N,hêstir,traan
60,Geschmack::N,tam,smaak
61,Geruch::N,bêhn,geur
62,Schlaf::N,xew,slaap
63,Traum::N,xewn,droom
64,Himmel::N,ezman,hemel
65,Sonne::N,roj,zon
66,Mond::N,heyv,maan
67,Stern::N,stêrk,ster
68,Luft::N,ba,lucht
69,Wind::N,ba,wind
70,Welle::N,şewl,golf
71,Wasser::N,av,water
72,Stein::N,kevir,steen
73,Boden::N,herd,grond
74,Erde::N,ax,aarde
75,Staub::N,toz,stof
76,Rauch::N,dû,rook
77,Funke::N,çirûşk,vonk
78,Feuer::N,agir,vuur
79,Licht::N,ronahî,licht
80,Schatten::N,sî,schaduw
81,Wetter::N,hewa,weer
82,Nebel::N,mij,mist
83,Nebel::N,mij,nevel
84,Wolke::N,ewr,wolk
85,Regen::N,baran,regen
86,Schnee::N,berf,sneeuw
87,Eis::N,qeşa,ijs
88,Frost::N,xûsik,vorst
89,Kälte::N,serma,kou
90,Kälte::N,serma,koude
91,Hitze::N,germayî,hitte
92,Raureif::N,şext,rijp
93,Regenbogen::N,heftreng,regenboog
94,Donner::N,gire-gir,donder
95,Strömung::N,şewl,stroming
96,Tropfen::N,dilop,druppel
97,Schaum::N,kef,schuim
98,Schmutz::N,gemar,vuil
99,See::N,gol,meer
100,Sumpf::N,hezek,moeras
101,Moor::N,mafêl,veen
102,Wiese::N,sûrik,wei
103,Wiese::N,sûrik,weide
104,Wald::N,çiya,bos
105,Wald::N,daristan,bos
106,Hügel::N,gir,heuvel
107,Anhöhe::N,sere gir,hoogte
108,Berg::N,kaş,berg
109,Gipfel::N,sere gir,top
110,Höhle::N,şikeft,hol
111,Abhang::N,kaş,helling
112,Quelle::N,kanî,bron
113,Bach::N,çem,beek
114,Fluss::N,çem,stroom
115,Fluss::N,rûbar,stroom
116,Ufer::N,kevî,wal
117,Ufer::N,kevî,oever
118,Küste::N,berav,kust
119,Festland::N,bejahî,vasteland
120,Meer::N,behr,zee
121,Bucht::N,derav,baai
122,Bucht::N,derav,inham
123,Insel::N,girav,eiland
124,Blume::N,kulînk,bloem
125,Gras::N,giha,gras
126,Wurzel::N,reh,wortel
127,Baum::N,dar,boom
128,Stamm::N,bavik,stam
129,Rinde::N,qaqil,schors
130,Ast::N,gulî,tak
131,Zweig::N,şax,twijg
132,Blatt::N,pel,blad
133,Birke::N,dara sipî,berk
134,Kiefer[Baum]::N,dara bî,den
135,Weide[Baum]::N,dara belalûk,wilg
136,Tanne::N,merx,spar
137,Horn::N,strô,hoorn
138,Feder::N,pîrtîk,veer
139,Feder::N,pîrtîk,pluim
140,Fell::N,heyar,vel
141,Flügel::N,per,vleugel
142,Klaue::N,napîk,klauw
143,Kralle::N,dinik,klauw
144,Kralle::N,dirnax,klauw
145,Schwanz::N,dûv,staart
146,Ei::N,hêk,ei
147,Nest::N,hêlîn,nest
148,Bau::N,avahî,hol
149,Tier::N,heywan,dier
150,Herde::N,hoz,kudde
151,Kuh::N,çêlek,koe
152,Bulle::N,ga,stier
153,Pferd::N,hesp,paard
154,Schaf::N,mîh,schaap
155,Schwein::N,beraz,varken
156,Hund::N,seh,hond
157,Katze::N,pişîk,kat
158,Bär::N,hirç,beer
159,Eichhörnchen::N,pilûr,eekhoorntje
160,Elch::N,pazkovî,eland
161,Fuchs::N,rovî,vos
162,Hase::N,kîroşk,haas
163,Maus::N,mişk,muis
164,Wolf::N,gur,wolf
165,Vogel::N,çûk,vogel
166,Schwarm::N,lufik,zwerm
167,Huhn::N,mirîşk,kip
168,Huhn::N,mirîşk,hoen
169,Hahn::N,dîk,haan
170,Gans::N,qaz,gans
171,Adler::N,eylo,arend
172,Ente::N,werdek,eend
173,Eule::N,bûm,uil
174,Eule::N,kund,uil
175,Kranich::N,quling,kraanvogel
176,Krähe::N,qijik,kraai
177,Kuckuck::N,pepûk,koekoek
178,Schwan::N,qû,zwaan
179,Fisch::N,masî,vis
180,Barsch::N,okûn,baars
181,Hecht::N,mesîyê lûf,snoek
182,Schlange[Tier]::N,mar,slang
183,Wurm::N,kurm,worm
184,Spinne::N,pîrê,spin
185,Ameise::N,mîro,mier
186,Ameise::N,gêrîk,mier
187,Laus::N,spi,luis
188,Mücke::N,mêş,mug
189,Fliege::N,mêş,vlieg
190,Schmetterling::N,perperîk,vlinder
191,Beere::N,hirç,bes
192,Apfel::N,sêv,appel
193,Pilz::N,bîrov,paddestoel
194,Zwiebel::N,pîvaz,ui
195,Saat::N,tov,zaad
196,Korn::N,dexl,graan
197,Korn::N,dexl,korrel
198,Heu::N,sap,hooi
199,Schale::N,qaşik,schil
200,Grube::N,çahl,kuil
201,Falle::N,dafik,val
202,Schlinge::N,dahf,strop
203,Spur::N,rêç,spoor
204,Asche::N,xweli,as
205,Dreck::N,gemarî,drek
206,Eisen::N,hesing,ijzer
207,Gold::N,zêr,goud
208,Silber::N,zîv,zilver
209,Kohle::N,komir,kool
210,Glas::N,qedeh,glas
211,Lehm::N,kelpîç,klei
212,Sand::N,qûm,zand
213,Mensch::N,mirov,mens
214,Mann::N,mêr,man
215,Frau::N,jin,vrouw
216,Kind::N,zarok,kind
217,Junge::N,kur,jongen
218,Mädchen::N,keç,meisje
219,Mädchen::N,keçik,meisje
220,Familie::N,malbat,gezin
221,Familie::N,malbat,familie
222,Großvater::N,bapîr,grootvader
223,Großmutter::N,pîrik,grootmoeder
224,Eltern::N,bavudê,ouders
225,Vater::N,bav,vader
226,Mutter::N,dê,moeder
227,Mutter::N,dayik,moeder
228,Sohn::N,kur,zoon
229,Tochter::N,keç,dochter
230,Bruder::N,bira,broer
231,Bruder::N,bira,broeder
232,Schwester::N,xweh,zus
233,Schwester::N,xweh,zuster
