,Concept_ID,ca,ab
171,Maus::N,ratolí,аҳəынаҧ
172,Wolf::N,llop,абгаду
173,Vogel::N,au,аҧсаатə
174,Vogel::N,ocēll,аҧсаатə
175,Schwarm::N,bandada,
176,Huhn::N,gallina,акəты
177,Hahn::N,gall,арбаҕь
178,Gans::N,oca,аҟыз
179,Adler::N,àguila,ауарба
180,Ente::N,ànec,акəата
181,Eule::N,òliba,аты
182,Eule::N,mussol,аты
183,Kranich::N,grua,апҟа
184,Krähe::N,cornella,аҟəараан
185,Kuckuck::N,cucut,акəыкəу
186,Schwan::N,cigne,агьад
187,Fisch::N,peix,аҧсыӡ
188,Barsch::N,perca,ацəыбла
189,Hecht::N,lluç,ахиаала
190,Schlange[Tier]::N,serp,амаҭ
191,Wurm::N,cuc,ахəа
192,Wurm::N,cuc,ахəац
193,Spinne::N,aranya,абызкаҭаҳа
194,Ameise::N,formiga,ашышкамс
195,Laus::N,poll,аҵа
196,Mücke::N,mosquit,акəыбры
197,Fliege::N,mosca,амҵ
198,Schmetterling::N,papallona,аҧарҧалыкь
199,Beere::N,baia,аргуц
200,Apfel::N,poma,аҵəа
201,Pilz::N,bolet,акəкəбаа
202,Zwiebel::N,ceba,аџьымшьы
203,Zwiebel::N,ceba,аџьымшьхы
204,Saat::N,sembra,ажəла
205,Korn::N,gra,арыц
206,Heu::N,fenc,аҭəа
207,Schale::N,closca,ацəа
208,Grube::N,sot,ажра
209,Grube::N,sot,атыша
210,Grube::N,clot,ажра
211,Grube::N,clot,атыша
212,Falle::N,trampa,арыҧҟьа
213,Schlinge::N,baga,аҟəараҟəантə
214,Spur::N,traça,ашьҭа
215,Asche::N,cendra,ахəа
216,Dreck::N,llot,аҳəынҵəа
217,Dreck::N,llot,аҟьамсар
218,Eisen::N,ferro,аиха
219,Gold::N,or,ахьы
220,Silber::N,plata,аразны
221,Kohle::N,carbó,арацəа
222,Glas::N,vidre,асаркьа
223,Lehm::N,fang,анышəаҧшь
224,Lehm::N,argila,анышəаҧшь
225,Sand::N,arena,аҧслымӡ
226,Mensch::N,humà,ауаҩы
227,Mensch::N,persona,ауаҩы
228,Mann::N,home,ахаҵа
229,Frau::N,dona,аҧҳəыс
230,Kind::N,nen,ахəыҷы
231,Junge::N,noi,аҷкəын
232,Junge::N,noi,ахаҵарҧыс
233,Mädchen::N,noia,аӡӷаб
234,Familie::N,família,аҭаацəа
235,Großvater::N,avi,абду
236,Großmutter::N,àvia,анду
237,Eltern::N,pares,ани аби
238,Vater::N,pare,аб
239,Mutter::N,mare,ан
240,Sohn::N,fill,аҧа
241,Tochter::N,filla,аҧҳа
242,Bruder::N,germà,аиашьа
243,Schwester::N,germana,Аҳəшьа
244,Onkel::N,oncle,абиашьа
245,Onkel::N,oncle,аншьа
246,Tante::N,tia,абиаҳəшьа
247,Ehemann::N,espòs,ахаҵа
248,Ehemann::N,espòs,аҧшəма
249,Ehefrau::N,muller,аҧҳəыс
250,Freude::N,goig,агəырӷьара
251,Freude::N,alegria,агəырӷьара
252,Gelächter::N,riallada,ачча
253,Gelächter::N,riallada,аччара
254,Glück::N,felicitat,аразҟы
255,Kummer::N,pena,агəырҩа
256,Wunsch::N,desig,агəхəтəы
257,Wunsch::N,desig,аҭахра
258,Lust::N,ganes,агəазыҳəара
259,Geist::N,ment,аҧсы
260,Geist::N,esperit,аҧсы
261,Gedanke::N,pensament,ахəыцырҭа
262,Gedächtnis::N,memòria,агəынкылара
263,Verstand::N,raó,ахшыҩ
264,Verstand::N,seny,ахшыҩ
265,Sinn::N,solta,аҵакы
266,Sinn::N,sentit,аҵакы
267,Grund::N,raó,амзыз
268,Grund::N,causa,амзыз
269,Wahrheit::N,veritāt,аиаша
270,Gespräch::N,conversa,аиҿцәажәара
271,Märchen::N,conte,алакə
272,Erzählung::N,narració,ажәабжь
273,Nachricht::N,missatge,адырраҭара
274,Neuigkeit::N,novetat,ажәабжь ҿыц
275,Name::N,nom,ахьӡ
276,Rätsel::N,endevinalla,ацуфара
277,Rede::N,discurs,ажәа
278,Sprache::N,llēngua,абызшəа
279,Stimme::N,veu,абжьы
280,Wort::N,mot,ажәа
281,Wort::N,paraula,ажәа
282,Zeichen::N,signe,адырга
283,Zeichen::N,senyal,адырга
284,Ruf::N,crida,аҿҭы
285,Lärm::N,sorōll,ашьҭыбжь
286,Laut::N,so,ашьҭыбжь
287,Ton::N,to,атон
288,Lied::N,cançó,ашəа
289,Ruhe::N,calma,аҭынчра
290,Ruhe::N,silenci,аҭынчра
291,Leute::N,gent,ауаа
292,Volk::N,poble,ажəлар
293,Arbeit::N,labor,аусура
294,Arbeit::N,treball,аусура
295,Gast::N,hoste,асас
296,Geschenk::N,regal,аҳамҭа
297,Geschenk::N,regal,аҿанҵа
298,Geschenk::N,obsequi,аҳамҭа
299,Geschenk::N,obsequi,аҿанҵа
300,Spiel::N,joc,ахəмарра
301,Gesellschaft::N,companyia,агəыҧ
302,Hilfe::N,ajut,ацхыраара
303,Freund::N,amīc,аҩыза
304,Kamerad::N,company,Аҧхнагьла
305,Kamerad::N,camarada,Аҧхнагьла
306,Angelegenheit::N,afer,аус
307,Angelegenheit::N,assumpte,аус
308,Anzahl::N,nombre,ахыҧхьаӡара
309,Anzahl::N,quantitat,ахыҧхьаӡара
310,Art::N,tipus,ахкы
311,Art::N,classe,ахкы
312,Stück::N,peça,аҽыҭ
313,Teil::N,part,ахəҭа
314,Hälfte::N,meitat,абжа
315,Kreis::N,cercle,агьагьа
316,Kreuz::N,creu,аџьар
317,Linie::N,línia,аицтәар
318,Strich::N,traç,ацəаҳəа
319,Strich::N,ratlla,ацəаҳəа
320,Abstand::N,distància,абжьара
321,Entfernung::N,distància,абжьара
322,Gegend::N,regió,аҭыҧ
323,Gegend::N,contrada,аҭыҧ
324,Platz::N,cabuda,аҭыҧ
325,Ort::N,lloc,аҭыҧ
326,Seite::N,banda,аган
327,Seite::N,costāt,аган
328,Mitte::N,mig,агəҭа
329,Mitte::N,centre,агəҭа
330,Gegenstand::N,objecte,амаҭəар
331,Sache::N,cosa,
332,Rand::N,vora,аҵкар
333,Rand::N,marge,аҵкар
334,Kante::N,caire,авардым
335,Kante::N,cantell,авардым
336,Ecke::N,cantonada,акəакь
337,Spitze::N,punta,аҧынҵа
338,Ende::N,cap,анаӡара
339,Loch::N,forāt,акылҵəара
340,Winkel::N,racó,агҿаҩра
341,Winkel::N,racó,акəындхə
342,Winkel::N,racó,акəакь
343,Muster::N,dibuix,аҟҟа
344,Muster::N,disseny,аҟҟа
345,Größe::N,grandària,изаҟароу
346,Länge::N,longitud,аура
347,Höhe::N,altura,агылара
348,Höhe::N,altitud,агылара
349,Gewicht::N,pes,акапан
350,Menge::N,quantitat,
351,Haufen::N,pila,ачаҟəа
352,Reihe::N,fila,ацəаҳəа
353,Boot::N,bot,анышь
354,Boot::N,barca,анышь
355,Ruder::N,rem,ажəҩа
356,Schlitten::N,trineu,ашəаҩауардын
357,Ski::N,esquí,ашəаҩа
358,Ski::N,esquí,ашьахаха
359,Lagerfeuer::N,foc de campament,еиқуу амца
360,Last::N,càrrega,ахьанҭара
361,Gang::N,marxa,аныҟəара
362,Schritt::N,pas,ашьаҿа
363,Norden::N,nord,аҩада
364,Süden::N,sud,алада
365,Westen::N,oest,амраҭашəара
366,Westen::N,occident,амраҭашəара
367,Osten::N,est,амрагылара
368,Osten::N,orient,амрагылара
369,Holz::N,fusta,амҿымаҭəахə
370,Brett::N,taula,аӷəы
371,Platte::N,placa,ахаҳәцәы
372,Stütze::N,suport,аҵаргəа
373,Stütze::N,suport,агəышьаҟа
374,Stange::N,vara,акьат
375,Stock::N,pal,алаба
376,Stab::N,bastó,акьат
377,Rohr::N,tub,абыкь
378,Haus::N,casa,аҩны
379,Heim::N,llar,аҭаацəа
380,Ofen::N,estufa,аҳақə
381,Ofen::N,estufa,ауаџьаҟ
382,Ofen::N,estufa,афрына
383,Fußboden::N,terra,адашьма
384,Tisch::N,taula,аишәа
385,Stuhl::N,cadira,аҟəардə
386,Wiege::N,bressol,агара
387,Bett::N,llit,акаруаҭ
388,Regal::N,prestatgeria,акыӷəра
389,Kiste::N,caixa,аидчаҧала
390,Fenster::N,finestra,аҧенџьыр
391,Tür::N,porta,ашə
392,Tor::N,portal,агəашə
393,Zaun::N,tanca,аанда
394,Dach::N,teulada,ахыб
395,Leiter::N,escala,амардуан
396,Leiter::N,escala de mà,амардуан
397,Besen::N,escombra,аҧссага
398,Spaten::N,pala,ажыга
399,Schaufel::N,pala,аҭəарӷəы
400,Gabel::N,forquilla,ачқьыҧ
401,Löffel::N,cullera,амҳаҵə
402,Messer::N,coltell,аҳəызба
403,Nagel::N,clau,аҵəымӷ
404,Netz::N,filat,акаҭа
405,Haken::N,ganxo,аҵəаҳə
406,Griff::N,puny,амаа
407,Griff::N,mànec,амаа
408,Schloss::N,pany,асаҧаҭ
409,Bild::N,imatge,асахьа
410,Figur::N,figura,афигура
411,Puppe::N,nina,акьанџьа
412,Beutel::N,bossa,асакь
413,Bündel::N,feix,аҿаҳəара
414,Bündel::N,paquet,аҿаҳəара
415,Tasche::N,bossa,арҭмаҟ
416,Eimer::N,galleda,аведра
417,Deckel::N,tapa,ахҩа
418,Deckel::N,tapadora,ахҩа
419,Geschirr::N,vaixella,ачысмаҭəа
420,Sack::N,sac,асакь
421,Sack::N,saca,асакь
422,Tasse::N,tassa,аҵəца
423,Topf::N,pot,акаструлиа
424,Topf::N,olla,акаструлиа
425,Kessel::N,caldera,ачуан
426,Essen::N,àpat,
427,Essen::N,menjada,
428,Nahrung::N,aliment,афатə
429,Speise::N,plat,афатə
430,Fleisch::N,carn,акəац
431,Getreide::N,cereals,ачакуа
432,Brei::N,puré,ақашь
433,Brot::N,pa,ача
434,Scheibe::N,tall,аҽыҭ
435,Scheibe::N,tall,аҿаҵа
436,Scheibe::N,llesca,аҽыҭ
437,Scheibe::N,llesca,аҿаҵа
438,Fett::N,greix,ашша
439,Butter::N,mantega,ахəша
440,Öl::N,oli,азеҭ
441,Salz::N,sal,аџьыка
442,Suppe::N,sopa,асуҧ
443,Honig::N,mel,ацха
