,Concept_ID,sl,de
0,Auge::N,okó,Auge
1,Ohr::N,uhó,Ohr
2,Nase::N,nós,Nase
3,Mund::N,ústa,Mund
4,Zahn::N,zób,Zahn
5,Zunge::N,jêzik,Zunge
6,Lippe::N,ústnica,Lippe
7,Wange::N,líce,Wange
8,Gesicht::N,oblíčje,Gesicht
9,Stirn::N,čêlo,Stirn
10,Haar::N,lás,Haar
11,Schnurrbart::N,bŕki,Schnurrbart
12,Bart::N,bráda,Bart
13,Kinn::N,bráda,Kinn
14,Kiefer[Anatomie]::N,čeljúst,Kiefer
15,Kehle::N,gŕlo,Kehle
16,Hals::N,vrát,Hals
17,Genick::N,zatílnik,Genick
18,Kopf::N,gláva,Kopf
19,Rücken::N,hrbèt,Rücken
20,Bauch::N,trébuh,Bauch
21,Nabel::N,pópek,Nabel
22,Busen::N,nédrja,Busen
23,Brust::N,pŕsi,Brust
24,Schulter::N,ráma,Schulter
25,Schulter::N,plêče,Schulter
26,Arm::N,rôka,Arm
27,Ellenbogen::N,komólec,Ellenbogen
28,Hand::N,rôka,Hand
29,Handfläche::N,dlán,Handfläche
30,Finger::N,pŕst,Finger
31,Fingernagel::N,nóht na rôki,Fingernagel
32,Nagel[Anatomie]::N,nóht,Nagel
33,Zeh::N,pŕst na nôgi,Zeh
34,Fuß::N,nôga,Fuß
35,Ferse::N,pêta,Ferse
36,Knie::N,koléno,Knie
37,Oberschenkel::N,stêgno,Oberschenkel
38,Bein::N,nôga,Bein
39,Körper::N,teló,Körper
40,Haut::N,kóža,Haut
41,Blut::N,krí,Blut
42,Ader::N,žíla,Ader
43,Sehne::N,kíta,Sehne
44,Knochen::N,kóst,Knochen
45,Gehirn::N,možgáni,Gehirn
46,Herz::N,srcé,Herz
47,Magen::N,želódec,Magen
48,Leber::N,jétra,Leber
49,Atem::N,díh,Atem
50,Hunger::N,glád,Hunger
51,Träne::N,sólza,Träne
52,Geschmack::N,okús,Geschmack
53,Geruch::N,vónj,Geruch
