,Concept_ID,lv,ka
283,Küste::N,вадор,ნაპირი
284,Küste::N,piekraste,ნაპირი
285,Festland::N,му,ხმელეთი
286,Festland::N,sauszeme,ხმელეთი
287,Meer::N,саридз,ზღვა
288,Meer::N,jūra,ზღვა
289,Bucht::N,куръя,ყურე
290,Bucht::N,līcis,ყურე
291,Insel::N,ді,კუნძული
292,Insel::N,sala,კუნძული
293,Blume::N,дзоридз,ყვავილი
294,Blume::N,puķe,ყვავილი
295,Blume::N,zieds,ყვავილი
296,Gras::N,турун,ბალახი
297,Gras::N,zāle,ბალახი
298,Wurzel::N,вуж,ძირი
299,Wurzel::N,вуж,ფესვი
300,Wurzel::N,sakne,ძირი
301,Wurzel::N,sakne,ფესვი
302,Baum::N,пу,ხე
303,Baum::N,koks,ხე
304,Stamm::N,пучер,ტანი
305,Stamm::N,stumbrs,ტანი
306,Rinde::N,кырсь,ქერქი
307,Rinde::N,miza,ქერქი
308,Ast::N,ув,ტოტი
309,Ast::N,zars,ტოტი
310,Zweig::N,вож,შტო
311,Zweig::N,nozare,შტო
312,Blatt::N,кор,ფოთოლი
313,Blatt::N,lapa,ფოთოლი
314,Birke::N,кыдз,არყი
315,Birke::N,bērzs,არყი
316,Kiefer[Baum]::N,пожӧм,ფიჭვი
317,Kiefer[Baum]::N,priede,ფიჭვი
318,Weide[Baum]::N,бадь,ტირიფი
319,Weide[Baum]::N,kārkls,ტირიფი
320,Tanne::N,коз,ნაძვი
321,Tanne::N,egle,ნაძვი
322,Horn::N,сюр,რქა
323,Horn::N,rags,რქა
324,Feder::N,гӧн,ფრთა
325,Feder::N,тывборд,ფრთა
326,Feder::N,spalva,ფრთა
327,Fell::N,ку,ტყავი
328,Fell::N,āda,ტყავი
329,Flügel::N,борд,ფრთა
330,Flügel::N,spārns,ფრთა
331,Klaue::N,гыж,კლანჭი
332,Klaue::N,nags,კლანჭი
333,Kralle::N,гыж,ტორი
334,Kralle::N,nags,ტორი
335,Schwanz::N,бӧж,კუდი
336,Schwanz::N,ļipa,კუდი
337,Ei::N,кольк,კვერცხი
338,Ei::N,ola,კვერცხი
339,Nest::N,поз,ბუდე
340,Nest::N,ligzda,ბუდე
341,Bau::N,горс,სორო
342,Bau::N,пырмӧс,სორო
343,Bau::N,гу,სორო
344,Bau::N,ala,სორო
345,Tier::N,пемӧс,ნადირი
346,Tier::N,пемӧс,ცხოველი
347,Tier::N,dzīvnieks,ნადირი
348,Tier::N,dzīvnieks,ცხოველი
349,Herde::N,стада,ფარა
350,Herde::N,кельӧб,ფარა
351,Herde::N,ganāmpulks,ფარა
352,Kuh::N,мӧс,ფური
353,Kuh::N,мӧс,ძროხა
354,Kuh::N,govs,ფური
355,Kuh::N,govs,ძროხა
356,Bulle::N,ӧш,ხარი
357,Bulle::N,bullis,ხარი
358,Pferd::N,вӧв,რაში
359,Pferd::N,вӧв,ცხენი
360,Pferd::N,zirgs,რაში
361,Pferd::N,zirgs,ცხენი
362,Schaf::N,ыж,ცხვარი
363,Schaf::N,aita,ცხვარი
364,Schwein::N,порсь,ღორი
365,Schwein::N,cūka,ღორი
366,Hund::N,пон,ძაღლი
367,Hund::N,suns,ძაღლი
368,Katze::N,кань,კატა
369,Katze::N,kaķis,კატა
370,Bär::N,ош,დათვი
371,Bär::N,lācis,დათვი
372,Eichhörnchen::N,ур,ციყვი
373,Eichhörnchen::N,vāvere,ციყვი
374,Elch::N,йӧра,ცხენ-ირემი
375,Elch::N,alnis,ცხენ-ირემი
376,Fuchs::N,руч,მელა
377,Fuchs::N,lapsa,მელა
378,Hase::N,кӧч,კურდღელი
379,Hase::N,zaķis,კურდღელი
380,Maus::N,шыр,თაგვი
381,Maus::N,pele,თაგვი
382,Wolf::N,кӧин,მგელი
383,Wolf::N,vilks,მგელი
384,Vogel::N,кай,ჩიტი
385,Vogel::N,кай,ფრინველი
386,Vogel::N,лэбач,ჩიტი
387,Vogel::N,лэбач,ფრინველი
388,Vogel::N,putns,ჩიტი
389,Vogel::N,putns,ფრინველი
390,Schwarm::N,чукӧр,გუნდი
391,Schwarm::N,spiets,გუნდი
392,Huhn::N,курӧг,დედალი
393,Huhn::N,vista,დედალი
394,Hahn::N,петук,მამალი
395,Hahn::N,gailis,მამალი
396,Gans::N,дзодзӧг,ბატი
397,Gans::N,zoss,ბატი
398,Adler::N,кутш,არწივი
399,Adler::N,ērglis,არწივი
400,Ente::N,утка,იხვი
401,Ente::N,pīle,იხვი
402,Eule::N,сюзь,ბუ
403,Eule::N,pūce,ბუ
404,Kranich::N,тури,წერო
405,Kranich::N,dzērve,წერო
406,Krähe::N,рака,ყვავი
407,Krähe::N,vārna,ყვავი
408,Kuckuck::N,кӧк,გუგული
409,Kuckuck::N,dzeguze,გუგული
410,Schwan::N,юсь,გედი
411,Schwan::N,gulbis,გედი
412,Fisch::N,чери,თევზი
413,Fisch::N,zivs,თევზი
414,Barsch::N,ёкыш,ქორჭილა
415,Barsch::N,asaris,ქორჭილა
416,Hecht::N,сир,ქარიყლაპია
417,Hecht::N,līdaka,ქარიყლაპია
418,Schlange[Tier]::N,кый,გველი
419,Schlange[Tier]::N,čūska,გველი
420,Wurm::N,номыр,ჭია
421,Wurm::N,tārps,ჭია
422,Spinne::N,черань,ობობა
423,Spinne::N,zirneklis,ობობა
424,Ameise::N,кодзувкот,ჭიანჭველა
425,Ameise::N,skudra,ჭიანჭველა
426,Laus::N,той,ტილი
427,Laus::N,той,მკბენარი
428,Laus::N,uts,ტილი
429,Laus::N,uts,მკბენარი
430,Mücke::N,ном,კოღო
431,Mücke::N,ods,კოღო
432,Fliege::N,гут,ბუზი
433,Fliege::N,muša,ბუზი
434,Schmetterling::N,бобув,პეპელა
435,Schmetterling::N,tauriņš,პეპელა
436,Beere::N,тусь,კენკრა
437,Beere::N,вотӧс,კენკრა
438,Beere::N,oga,კენკრა
439,Apfel::N,яблӧг,ვაშლი
440,Apfel::N,ābols,ვაშლი
441,Pilz::N,тшак,სოკო
442,Pilz::N,sēne,სოკო
443,Zwiebel::N,луккок,ხახვი
444,Zwiebel::N,йӧнгыль,ხახვი
445,Zwiebel::N,sīpols,ხახვი
446,Saat::N,тусь,თესლი
447,Saat::N,кӧйдыс,თესლი
448,Saat::N,sēkla,თესლი
449,Korn::N,тусь,მარცვალი
450,Korn::N,grauds,მარცვალი
451,Heu::N,турун,თივა
452,Heu::N,siens,თივა
453,Schale::N,кор,ჩენჩო
454,Schale::N,čaula,ჩენჩო
455,Schale::N,čaumala,ჩენჩო
456,Grube::N,гу,ორმო
457,Grube::N,bedre,ორმო
458,Falle::N,лэч,ხაფანგი
459,Falle::N,slazds,ხაფანგი
460,Falle::N,lamatas,ხაფანგი
461,Schlinge::N,лэч,მახე
462,Schlinge::N,cilpa,მახე
463,Spur::N,туй,კვალი
464,Spur::N,pēda,კვალი
465,Asche::N,пӧм,ფერფლი
466,Asche::N,pelni,ფერფლი
467,Dreck::N,няйт,ტალახი
468,Dreck::N,няйт,სიბინძურე
469,Dreck::N,dubļi,ტალახი
470,Dreck::N,dubļi,სიბინძურე
471,Eisen::N,кӧрт,რკინა
472,Eisen::N,dzelzs,რკინა
473,Gold::N,зарни,ოქრო
474,Gold::N,zelts,ოქრო
475,Silber::N,эзысь,ვერცხლი
476,Silber::N,sudrabs,ვერცხლი
477,Kohle::N,шом,ნახშირი
478,Kohle::N,ogle,ნახშირი
479,Glas::N,стеклӧ,მინა
480,Glas::N,stikls,მინა
481,Lehm::N,сёй,თიხა
482,Lehm::N,māls,თიხა
483,Sand::N,лыа,ქვიშა
484,Sand::N,smiltis,ქვიშა
485,Mensch::N,морт,ადამიანი
486,Mensch::N,cilvēks,ადამიანი
487,Mann::N,аймӧрт,კაცი
488,Mann::N,мужичӧй,კაცი
489,Mann::N,vīrietis,კაცი
490,Frau::N,ань,ქალი
491,Frau::N,нывбаба,ქალი
492,Frau::N,sieviete,ქალი
493,Kind::N,кага,ბავშვი
494,Kind::N,bērns,ბავშვი
495,Junge::N,пи,ვაჟი
496,Junge::N,zēns,ვაჟი
497,Junge::N,puika,ვაჟი
498,Junge::N,puisis,ვაჟი
499,Mädchen::N,ныв,გოგო
500,Mädchen::N,meiča,გოგო
501,Mädchen::N,skuķis,გოგო
502,Mädchen::N,meitene,გოგო
503,Familie::N,семья,ოჯახი
504,Familie::N,ģimene,ოჯახი
505,Großvater::N,пӧль,პაპა
506,Großvater::N,пӧль,ბაბუა
507,Großvater::N,vecaistēvs,პაპა
508,Großvater::N,vecaistēvs,ბაბუა
509,Großmutter::N,баб,ბებია
510,Großmutter::N,баб,დიდედა
511,Großmutter::N,vecāmāte,ბებია
512,Großmutter::N,vecāmāte,დიდედა
513,Eltern::N,ай-мам,მშობლები
514,Eltern::N,бать-мам,მშობლები
515,Eltern::N,vecāki,მშობლები
516,Vater::N,бать,მამა
517,Vater::N,ай,მამა
518,Vater::N,tēvs,მამა
519,Mutter::N,мам,დედა
520,Mutter::N,māte,დედა
521,Sohn::N,пи,ვაჟიშვილი
522,Sohn::N,dēls,ვაჟიშვილი
523,Tochter::N,ныв,ქალიშვილი
524,Tochter::N,meita,ქალიშვილი
525,Bruder::N,вок,ძმა
526,Bruder::N,brālis,ძმა
527,Schwester::N,чой,და
528,Schwester::N,māsa,და
529,Onkel::N,дядь,ბიძა
530,Onkel::N,tēvocis,ბიძა
531,Tante::N,тьӧт,დეიდა
532,Tante::N,тьӧт,მამიდა
533,Tante::N,tante,დეიდა
534,Tante::N,tante,მამიდა
535,Ehemann::N,верӧс,ქმარი
536,Ehemann::N,vīrs,ქმარი
537,Ehefrau::N,гӧтыр,ცოლი
538,Ehefrau::N,sieva,ცოლი
539,Freude::N,радлун,სიხარული
540,Freude::N,prieks,სიხარული
541,Gelächter::N,серам,სიცილი
542,Gelächter::N,smiekli,სიცილი
543,Glück::N,шуд,ბედნიერება
544,Glück::N,laime,ბედნიერება
545,Kummer::N,шог,მწუხარება
546,Kummer::N,bēdas,მწუხარება
547,Kummer::N,raizes,მწუხარება
548,Wunsch::N,кӧсйӧм,წადილი
549,Wunsch::N,кӧсйӧм,სურვილი
550,Wunsch::N,vēlme,წადილი
551,Wunsch::N,vēlme,სურვილი
552,Wunsch::N,vēlējums,წადილი
553,Wunsch::N,vēlējums,სურვილი
554,Lust::N,кыскӧм,წადილი
555,Lust::N,радейтӧм,წადილი
556,Lust::N,kāre,წადილი
557,Geist::N,лов,სული
558,Geist::N,gars,სული
559,Gedanke::N,мӧвп,ფიქრი
560,Gedanke::N,doma,ფიქრი
561,Gedächtnis::N,паметь,მეხსიერება
562,Gedächtnis::N,atmiņa,მეხსიერება
563,Verstand::N,вежӧр,ჭკუა
564,Verstand::N,вежӧр,გონება
565,Verstand::N,prāts,ჭკუა
566,Verstand::N,prāts,გონება
567,Sinn::N,мог,მნიშვნელობა
568,Sinn::N,вежӧртас,მნიშვნელობა
569,Sinn::N,nozīme,მნიშვნელობა
570,Grund::N,помка,მიზეზი
571,Grund::N,pamats,მიზეზი
572,Grund::N,iemesls,მიზეზი
573,Wahrheit::N,збыль,სიმართლე
574,Wahrheit::N,збыль,ჭეშმარიტება
575,Wahrheit::N,збыльтор,სიმართლე
576,Wahrheit::N,збыльтор,ჭეშმარიტება
577,Wahrheit::N,taisnība,სიმართლე
578,Wahrheit::N,taisnība,ჭეშმარიტება
579,Wahrheit::N,patiesība,სიმართლე
580,Wahrheit::N,patiesība,ჭეშმარიტება
581,Gespräch::N,сёрни,ბაასი
582,Gespräch::N,сёрни,საუბარი
583,Gespräch::N,saruna,ბაასი
584,Gespräch::N,saruna,საუბარი
585,Märchen::N,мойд,არაკი
586,Märchen::N,мойд,ზღაპარი
587,Märchen::N,pasaka,არაკი
588,Märchen::N,pasaka,ზღაპარი
589,Erzählung::N,висьт,თქმულება
590,Erzählung::N,stāsts,თქმულება
591,Erzählung::N,nostāsts,თქმულება
592,Nachricht::N,юӧртӧм,ცნობა
593,Nachricht::N,юӧртӧм,ამბავი
594,Nachricht::N,ziņa,ცნობა
595,Nachricht::N,ziņa,ამბავი
596,Neuigkeit::N,выльтор,სიახლე
597,Neuigkeit::N,jaunums,სიახლე
598,Name::N,ним,სახელი
599,Name::N,vārds,სახელი
600,Rätsel::N,нӧдкыв,გამოცანა
601,Rätsel::N,mīkla,გამოცანა
602,Rede::N,сёрни,სიტყვა
603,Rede::N,runa,სიტყვა
604,Sprache::N,кыв,ენა
605,Sprache::N,valoda,ენა
606,Stimme::N,гӧлӧс,ხმა
607,Stimme::N,вом шы,ხმა
608,Stimme::N,balss,ხმა
609,Wort::N,кыв,სიტყვა
610,Wort::N,vārds,სიტყვა
611,Zeichen::N,пас,ნიშანი
612,Zeichen::N,zīme,ნიშანი
613,Ruf::N,чукӧстчӧм,ძახილი
614,Ruf::N,корӧм,ძახილი
615,Ruf::N,sauciens,ძახილი
616,Lärm::N,шы,ხმაური
617,Lärm::N,зык,ხმაური
618,Lärm::N,зычитӧм,ხმაური
619,Lärm::N,troksnis,ხმაური
620,Laut::N,шы,ხმა
621,Laut::N,шы,ბგერა
622,Laut::N,skaņa,ხმა
623,Laut::N,skaņa,ბგერა
624,Ton::N,шы,ტონი
625,Ton::N,tonis,ტონი
626,Lied::N,сьылан,სიმღერა
627,Lied::N,сьыланкыв,სიმღერა
628,Lied::N,dziesma,სიმღერა
629,Ruhe::N,чӧв,სიწყნარე
630,Ruhe::N,miers,სიწყნარე
631,Leute::N,йӧз,ადამიანები
632,Leute::N,войтыр,ადამიანები
633,Leute::N,ļaudis,ადამიანები
634,Leute::N,cilvēki,ადამიანები
635,Volk::N,йӧз,ერი
636,Volk::N,йӧз,ხალხი
637,Volk::N,войтыр,ერი
638,Volk::N,войтыр,ხალხი
639,Volk::N,tauta,ერი
640,Volk::N,tauta,ხალხი
641,Arbeit::N,удж,მუშაობა
642,Arbeit::N,darbs,მუშაობა
643,Gast::N,гӧсть,სტუმარი
644,Gast::N,viešņa,სტუმარი
645,Gast::N,ciemiņš,სტუმარი
