,Concept_ID,udm,cs
186,Kranich::N,тури,jeřáb
187,Krähe::N,куака,vrána
188,Kuckuck::N,кикы,kukačka
189,Schwan::N,юсь,labuť
190,Fisch::N,чорыг,ryba
191,Barsch::N,юш,okoun
192,Hecht::N,чипей,štika
193,Schlange[Tier]::N,кый,had
194,Wurm::N,нумыр,červ
195,Spinne::N,чонари,pavouk
196,Ameise::N,кузьыли,mravenec
197,Laus::N,тэй,veš
198,Mücke::N,нымы,komár
199,Mücke::N,чибинь,komár
200,Fliege::N,кут,moucha
201,Schmetterling::N,бубыли,motýl
202,Beere::N,узы-боры,bobule
203,Apfel::N,яблок,jablko
204,Pilz::N,губи,houba
205,Zwiebel::N,сугон,cibule
206,Saat::N,кидыс,osivo
207,Korn::N,тысь,zrno
208,Heu::N,турын,seno
209,Schale::N,кыд,slupka
210,Schale::N,кыд,skořápka
211,Grube::N,гу,jáma
212,Grube::N,гоп,jáma
213,Falle::N,налик,past
214,Falle::N,налик,léčka
215,Schlinge::N,гиӟ,smyčka
216,Schlinge::N,герд,smyčka
217,Spur::N,пытьы,stopa
218,Spur::N,бервыл,stopa
219,Asche::N,пень,popel
220,Dreck::N,дэри,špína
221,Eisen::N,корт,železo
222,Gold::N,зарни,zlato
223,Silber::N,азвесь,stříbro
224,Kohle::N,эгыр,uhlí
225,Glas::N,стекло,sklo
226,Glas::N,пияла,sklo
227,Lehm::N,сюй,jíl
228,Lehm::N,сюй,hlína
229,Sand::N,луо,písek
230,Mensch::N,мурт,člověk
231,Mensch::N,адями,člověk
232,Mann::N,воргорон,muž
233,Frau::N,кышномурт,žena
234,Kind::N,нуны,dítě
235,Kind::N,пинал,dítě
236,Junge::N,пи,hoch
237,Junge::N,пи,chlapec
238,Mädchen::N,ныл,děvče
239,Familie::N,семья,rodina
240,Großvater::N,песятай,děd
241,Großvater::N,песятай,dědeček
242,Großvater::N,пересь атай,děd
243,Großvater::N,пересь атай,dědeček
244,Großmutter::N,песянай,babička
245,Großmutter::N,пересь анай,babička
246,Eltern::N,атай-анай,rodiče
247,Eltern::N,бубы-мумы,rodiče
248,Vater::N,айы,otec
249,Vater::N,атай,otec
250,Mutter::N,мумы,matka
251,Sohn::N,пи,syn
252,Tochter::N,ныл,dcera
253,Bruder::N,агай,bratr
254,Schwester::N,апа,sestra
255,Schwester::N,сузэр,sestra
256,Onkel::N,агай,strýc
257,Tante::N,апа,teta
258,Tante::N,кенак,teta
259,Ehemann::N,карт,choť
260,Ehemann::N,карт,manžel
261,Ehefrau::N,кышно,choť
262,Ehefrau::N,кышно,manželka
263,Freude::N,шумпотон,radost
264,Gelächter::N,горем,smích
265,Glück::N,шуд,štěstí
266,Kummer::N,кайгу,žal
267,Kummer::N,кайгу,trápení
268,Kummer::N,куректон,žal
269,Kummer::N,куректон,trápení
270,Wunsch::N,мылпотон,přání
271,Lust::N,потон,chuť
