,Concept_ID,sah,fr
0,Auge::N,харах,œil
1,Ohr::N,кулгаах,oreille
2,Nase::N,мурун,nez
3,Mund::N,айах,bouche
4,Zahn::N,тиис,dent
5,Zunge::N,тыл,langue
6,Lippe::N,уос,lèvre
7,Wange::N,иэдэс,joue
8,Gesicht::N,сирэй,face
9,Gesicht::N,сирэй,visage
10,Stirn::N,сүүс,front
11,Haar::N,баттах,cheveu
12,Schnurrbart::N,уос бытыга,moustache
13,Bart::N,сэҥийэ бытыга,barbe
14,Kinn::N,сэҥийэ,menton
15,Kiefer[Anatomie]::N,сыҥаах,mâchoire
16,Kehle::N,тамах,gorge
17,Kehle::N,күөмэй,gorge
18,Hals::N,моой,cou
19,Genick::N,кэтэх,nuque
20,Kopf::N,бас,tête
21,Rücken::N,көҕүс,dos
22,Bauch::N,ис,ventre
23,Nabel::N,киин,nombril
24,Busen::N,эмиий,sein
25,Brust::N,түөс,poitrine
26,Schulter::N,сарын,épaule
27,Arm::N,илии,bras
28,Ellenbogen::N,тоҕонох,coude
29,Hand::N,илии,main
30,Handfläche::N,ытыс,paume
31,Finger::N,тарбах,doigt
32,Fingernagel::N,тыҥырах,ongle
33,Nagel[Anatomie]::N,тыҥырах,ongle
34,Zeh::N,тарбах,orteil
35,Zeh::N,тарбах,doigt de pied
36,Fuß::N,уллуҥах,pied
37,Ferse::N,тилэх,talon
38,Knie::N,тобук,genou
39,Knie::N,дьилбэк,genou
40,Oberschenkel::N,уллук,cuisse
41,Oberschenkel::N,өттүк,cuisse
42,Bein::N,атах,jambe
43,Körper::N,бэйэ,corps
44,Haut::N,тирии,peau
45,Blut::N,хаан,sang
46,Ader::N,вена,veine
47,Ader::N,күөх_тымыр,veine
48,Sehne::N,иҥиир,tendon
49,Knochen::N,уҥуох,os
50,Knochen::N,уҥгуох,os
51,Gehirn::N,мэйии,cerveau
52,Herz::N,сүрэх,cœur
53,Magen::N,куртах,estomac
54,Leber::N,быар,foie
55,Atem::N,тыын,haleine
56,Hunger::N,аас,faim
57,Träne::N,харах уута,larme
58,Geschmack::N,амтан,goût
59,Geschmack::N,амтан,saveur
60,Geruch::N,сыт,odeur
61,Schlaf::N,утуйуу,sommeil
62,Traum::N,түүл,songe
63,Himmel::N,халлаан,ciel
64,Sonne::N,күн,soleil
65,Mond::N,ый,lune
66,Stern::N,сулус,étoile
67,Luft::N,салгын,air
68,Wind::N,тыал,vent
69,Welle::N,долгун,vague
70,Welle::N,балхаан,vague
71,Wasser::N,уу,eau
72,Stein::N,таас,pierre
73,Boden::N,сир,sol
74,Boden::N,сир,terrain
75,Erde::N,буор,terre
76,Staub::N,быыл,poussière
77,Rauch::N,буруо,fumée
78,Funke::N,кыым,étincelle
79,Feuer::N,уот,feu
80,Licht::N,уот,lumière
81,Schatten::N,күлүк,ombre
82,Wetter::N,күн-дьыл,temps
83,Nebel::N,туман,brume
84,Nebel::N,туман,brouillard
85,Wolke::N,былыт,nuage
86,Regen::N,самыыр,pluie
87,Schnee::N,хаар,neige
88,Eis::N,муус,glace
89,Frost::N,тымныы,gel
90,Frost::N,тымныы,gelée
91,Kälte::N,тымныы,froid
92,Hitze::N,куйаас,chaleur
93,Raureif::N,кырыа,givre
94,Regenbogen::N,кустук,arc-en-ciel
95,Donner::N,этиҥ,tonnerre
96,Strömung::N,сүүрүк,courant
97,Tropfen::N,таммах,goutte
98,Tropfen::N,хааппыла,goutte
99,Schaum::N,күүгэн,écume
100,Schaum::N,күүгэн,mousse
101,Schmutz::N,кир,boue
102,Schmutz::N,кир,saleté
103,See::N,күөл,lac
104,Sumpf::N,бадараан,marais
105,Sumpf::N,бадараан,marécage
106,Moor::N,дьэбэрэ,tourbière
107,Wiese::N,ходуһа,pré
108,Wald::N,ойуур,bois
109,Wald::N,ойуур,forêt
110,Hügel::N,булгунньах,coteau
111,Hügel::N,булгунньах,colline
112,Anhöhe::N,үрдэл,éminence
113,Anhöhe::N,үрдэл,élévation
114,Berg::N,хайа,mont
115,Berg::N,хайа,montagne
116,Gipfel::N,чыпчаал,cime
117,Gipfel::N,чыпчаал,sommet
118,Höhle::N,хайа_хаспаҕа,caverne
119,Höhle::N,көҥүс,caverne
120,Abhang::N,эниэ,pente
121,Abhang::N,эниэ,versant
122,Quelle::N,дьүүктэ,source
123,Quelle::N,дьүүктэ,fontaine
124,Bach::N,үрүйэ,ruisseau
125,Fluss::N,өрүс,fleuve
126,Fluss::N,өрүс,rivière
127,Ufer::N,биэрэк,bord
128,Ufer::N,биэрэк,rivage
129,Küste::N,кытыл,côte
130,Festland::N,кураанах сир,terre ferme
131,Meer::N,муора,mer
132,Bucht::N,хомо,baie
133,Bucht::N,бухта,baie
134,Insel::N,арыы,île
135,Blume::N,сибэкки,fleur
136,Gras::N,от,herbe
137,Wurzel::N,силис,racine
138,Baum::N,мас,arbre
139,Stamm::N,умнас,tronc
140,Rinde::N,хатырык,écorce
141,Ast::N,мутук,branche
142,Zweig::N,лабаа,rameau
143,Blatt::N,сэбирдэх,feuille
144,Birke::N,хатыҥ,bouleau
145,Kiefer[Baum]::N,бэс,pin
146,Weide[Baum]::N,үөт,saule
147,Weide[Baum]::N,талах,saule
148,Tanne::N,харыйа,sapin
149,Horn::N,муос,corne
150,Feder::N,куорсун,plume
151,Fell::N,тирии,peau
152,Flügel::N,кынат,aile
153,Klaue::N,тыҥырах,serre
154,Kralle::N,баппаҕай,ongle
155,Kralle::N,баппаҕай,griffe
156,Schwanz::N,кутурук,queue
157,Ei::N,сымыыт,œuf
158,Nest::N,уйа,nid
159,Bau::N,хороон,terrier
160,Tier::N,кыыл,animal
161,Tier::N,харамай,animal
162,Herde::N,үөр,troupeau
163,Kuh::N,ынах,vache
164,Bulle::N,оҕус,taureau
165,Pferd::N,сылгы,cheval
166,Schaf::N,овца,mouton
167,Schwein::N,сибиинньэ,porc
168,Schwein::N,сибиинньэ,cochon
169,Hund::N,ыт,chien
170,Katze::N,куоска,chat
171,Bär::N,эһэ,ours
172,Eichhörnchen::N,тииҥ,écureuil
173,Elch::N,тайах,élan
174,Fuchs::N,саһыл,renard
175,Hase::N,куобах,lièvre
176,Maus::N,кутуйах,souris
177,Wolf::N,бөрө,loup
178,Vogel::N,көтөр,oiseau
179,Schwarm::N,бөлөх,nuée
180,Schwarm::N,бөлөх,volée
181,Huhn::N,куурусса,poule
182,Hahn::N,бөтүүк,coq
183,Gans::N,хаас,oie
184,Adler::N,хотой,aigle
185,Ente::N,кус,canard
186,Eule::N,мэкчиргэ,hibou
187,Kranich::N,туруйа,grue
188,Krähe::N,тураах,corneille
189,Kuckuck::N,кэҕэ,coucou
190,Schwan::N,куба,cygne
191,Fisch::N,балык,poisson
192,Barsch::N,алыһар,perche
193,Hecht::N,сордон,brochet
194,Schlange[Tier]::N,моҕой,serpent
195,Schlange[Tier]::N,эриэн үөн,serpent
196,Wurm::N,үөн,ver
197,Spinne::N,ооҕуй,araignée
198,Ameise::N,кымырдаҕас,fourmi
199,Laus::N,быт,pou
200,Mücke::N,кумаар,moucheron
201,Fliege::N,сахсырҕа,mouche
202,Schmetterling::N,лыах,papillon
203,Schmetterling::N,үрүмэччи,papillon
204,Beere::N,отон,baie
205,Apfel::N,яблоко,pomme
206,Pilz::N,тэллэй,champignon
207,Zwiebel::N,луук,oignon
208,Saat::N,сиэмэ,semence
209,Korn::N,сиэмэ,grain
210,Heu::N,от,foin
211,Schale::N,хах,pelure
212,Grube::N,дьаама,fosse
213,Falle::N,сохсо,piège
214,Schlinge::N,уктаа,lacs
215,Spur::N,суол,trace
216,Asche::N,күл,cendre
217,Dreck::N,бадараан,crotte
218,Eisen::N,тимир,fer
219,Gold::N,көмүс,or
220,Gold::N,кыһыл көмүс,or
221,Silber::N,көмүс,argent
222,Silber::N,үрүҥ көмүс,argent
223,Kohle::N,чох,charbon
224,Glas::N,өстүөкүлэ,verre
225,Lehm::N,туой,glaise
226,Sand::N,кумах,sable
227,Mensch::N,киһи,homme
228,Mann::N,эр,homme
229,Frau::N,дьахтар,femme
230,Kind::N,оҕо,enfant
