,Concept_ID,it,os
0,Auge::N,occhio,цӕст
1,Ohr::N,orecchio,хъус
2,Nase::N,naso,фындз
3,Mund::N,bocca,дзых
4,Zahn::N,dente,дӕндаг
5,Zunge::N,lingua,ӕвзаг
6,Lippe::N,labbro,был
7,Wange::N,guancia,рус
8,Wange::N,guancia,уадул
9,Wange::N,guancia,ӕхсӕрфарс
10,Gesicht::N,viso,цӕсгом
11,Gesicht::N,faccia,цӕсгом
12,Stirn::N,fronte,ных
13,Haar::N,capello,хил
14,Schnurrbart::N,baffi,рихи
15,Schnurrbart::N,mustacchi,рихи
16,Bart::N,barba,зачъе
17,Kinn::N,mento,роцъо
18,Kiefer[Anatomie]::N,mascella,ӕфсӕр
19,Kehle::N,gola,хъуыр
20,Hals::N,collo,къубал
21,Genick::N,nuca,къӕбут
22,Kopf::N,capo,сӕр
23,Kopf::N,testa,сӕр
24,Rücken::N,dorso,фӕсонтӕ
25,Rücken::N,schiena,фӕсонтӕ
26,Bauch::N,ventre,гуыбын
27,Nabel::N,ombelico,бикъ
28,Busen::N,seno,дзидзи
29,Brust::N,petto,риу
30,Schulter::N,spalla,уӕхск
31,Arm::N,braccio,цонг
32,Ellenbogen::N,gomito,рæмбын
33,Hand::N,mano,къух
34,Handfläche::N,palma,армытъӕпӕн
35,Finger::N,dito,ӕнруылдз
36,Fingernagel::N,unghia,ных
37,Nagel[Anatomie]::N,unghia,ных
38,Zeh::N,dito del piede,къух
39,Fuß::N,piede,фад
40,Ferse::N,tallone,зӕвӕт
41,Ferse::N,calcagno,зӕвӕт
42,Knie::N,ginocchio,уӕраг
43,Oberschenkel::N,fèmore,агъд
44,Bein::N,gamba,зӕнг
45,Körper::N,corpo,буар
46,Haut::N,pelle,царм
47,Blut::N,sangue,туг
48,Ader::N,vena,дадзин
49,Ader::N,vena,тугдадзин
50,Sehne::N,tèndine,хъиутæ
51,Sehne::N,tèndine,нуар
52,Knochen::N,osso,стӕг
53,Gehirn::N,cervello,магъз
54,Herz::N,cuore,зӕрдӕ
55,Magen::N,stòmaco,ахсӕн
56,Leber::N,fegato,игæр
57,Atem::N,fiato,улӕфт
58,Atem::N,respiro,улӕфт
59,Hunger::N,fame,стонг
60,Träne::N,làcrima,цæссыг
61,Geschmack::N,gusto,ад
62,Geschmack::N,sapore,ад
63,Geruch::N,odore,смаг
64,Schlaf::N,sonno,хуыссӕг
65,Traum::N,sogno,фын
66,Himmel::N,cielo,арв
67,Himmel::N,cielo,уӕларв
68,Sonne::N,sole,хур
69,Mond::N,luna,мӕй
70,Stern::N,stella,стъалы
71,Luft::N,aria,уӕлдӕф
72,Wind::N,vento,дымгӕ
73,Welle::N,onda,уылӕн
74,Wasser::N,acqua,дон
75,Stein::N,sasso,дур
76,Stein::N,pietra,дур
77,Boden::N,suolo,зӕхх
78,Boden::N,terreno,зӕхх
79,Erde::N,terra,сыджыт
80,Staub::N,polvere,рыг
81,Rauch::N,fumo,фӕздӕг
82,Funke::N,scintilla,цӕхӕр
83,Feuer::N,fuoco,зынг
84,Licht::N,luce,рухс
85,Schatten::N,ombra,аууон
86,Wetter::N,tempo,боныхъӕд
87,Nebel::N,nebbia,мигъ
88,Wolke::N,nube,ӕврагъ
89,Wolke::N,nùvola,ӕврагъ
90,Regen::N,pioggia,уарын
91,Schnee::N,neve,мит
92,Eis::N,ghiaccio,их
93,Frost::N,gelo,ихæн
94,Kälte::N,freddo,уазал
95,Hitze::N,caldo,ӕнтӕф
96,Hitze::N,calura,ӕнтӕф
97,Raureif::N,brina,халас
98,Regenbogen::N,arcobaleno,арвырон
99,Regenbogen::N,arcobaleno,арвырдын
100,Donner::N,tuono,æрвнæрын
101,Strömung::N,corrente,цыд
102,Tropfen::N,goccia,æртах
103,Schaum::N,spuma,фынк
104,Schaum::N,schiuma,фынк
105,Schmutz::N,sudiciume,цъыф
106,See::N,lago,цад
107,Sumpf::N,palude,цъыфдзаст
108,Moor::N,torbiera,цъыфдзаст
109,Wiese::N,prato,уыгӕрдӕн
110,Wald::N,bosco,хъӕд
111,Wald::N,foresta,хъӕд
112,Hügel::N,colle,обау
113,Hügel::N,colle,къуыбыр
114,Hügel::N,collina,обау
115,Hügel::N,collina,къуыбыр
116,Anhöhe::N,altura,уæлвæз
117,Anhöhe::N,altura,уæлхох
118,Berg::N,monte,хох
119,Berg::N,montagna,хох
120,Gipfel::N,cima,цъупп
121,Höhle::N,grotta,лӕгӕт
122,Höhle::N,caverna,лӕгӕт
123,Abhang::N,pendìo,къул
124,Quelle::N,sorgente,суадон
125,Bach::N,ruscello,мӕсчъыдон
126,Fluss::N,fiume,дон
127,Fluss::N,fiume,цӕугӕдон
128,Ufer::N,riva,был
129,Küste::N,costa,донбыл
130,Festland::N,terraferma,сурзæхх
131,Meer::N,mare,денджыз
132,Bucht::N,cala,донбакæлæн
133,Insel::N,ìsola,сакъадах
134,Blume::N,fiore,дидинӕг
135,Gras::N,erba,кӕрдӕг
136,Wurzel::N,radice,уидаг
137,Baum::N,àlbero,бӕлас
138,Stamm::N,tronco,хӕтӕл
139,Rinde::N,corteccia,цъар
140,Ast::N,ramo,арх
141,Zweig::N,ramo,къалиу
142,Blatt::N,foglia,сыф
143,Birke::N,betulla,бæрз
144,Kiefer[Baum]::N,pino,нӕзы
145,Weide[Baum]::N,sàlice,хӕрис
146,Tanne::N,abete,наз
147,Horn::N,corno,сыкъа
148,Feder::N,penna,сис
149,Fell::N,manto,царм
150,Fell::N,pelame,царм
151,Flügel::N,ala,базыр
152,Klaue::N,grinfia,ных
153,Kralle::N,unghia,дзӕмбы
154,Kralle::N,artiglio,дзӕмбы
155,Schwanz::N,coda,къӕдзил
156,Ei::N,uovo,айк
157,Nest::N,nido,ахстон
158,Bau::N,covo,хуынкъ
159,Tier::N,bestia,сырд
160,Tier::N,bestia,цӕрӕгой
161,Tier::N,animale,сырд
162,Tier::N,animale,цӕрӕгой
163,Herde::N,gregge,дзуг
164,Herde::N,gregge,рӕгъау
165,Kuh::N,vacca,хъуг
166,Bulle::N,toro,гал
167,Pferd::N,cavallo,бӕх
168,Schaf::N,pècora,фыс
169,Schwein::N,porco,хуы
170,Schwein::N,maiale,хуы
171,Hund::N,cane,куыдз
172,Katze::N,gatta,гӕды
173,Bär::N,orso,арс
174,Eichhörnchen::N,scoiàttolo,æхсæрæг
