,Concept_ID,sah,fi
0,Auge::N,харах,silmä
1,Ohr::N,кулгаах,korva
2,Nase::N,мурун,nenä
3,Mund::N,айах,suu
4,Zahn::N,тиис,hammas
5,Zunge::N,тыл,kieli
6,Lippe::N,уос,huuli
7,Wange::N,иэдэс,poski
8,Gesicht::N,сирэй,naama
9,Gesicht::N,сирэй,kasvot
10,Stirn::N,сүүс,otsa
11,Haar::N,баттах,hius
12,Haar::N,баттах,tukka
13,Schnurrbart::N,уос бытыга,viikset
14,Bart::N,сэҥийэ бытыга,parta
15,Kinn::N,сэҥийэ,leuka
16,Kiefer[Anatomie]::N,сыҥаах,leukaluu
17,Kehle::N,тамах,kurkku
18,Kehle::N,күөмэй,kurkku
19,Hals::N,моой,kaula
20,Genick::N,кэтэх,niska
21,Kopf::N,бас,pää
22,Rücken::N,көҕүс,selkä
23,Bauch::N,ис,maha
24,Bauch::N,ис,vatsa
25,Nabel::N,киин,napa
26,Busen::N,эмиий,rinta
27,Brust::N,түөс,rinta
28,Schulter::N,сарын,olka
29,Schulter::N,сарын,hartia
30,Schulter::N,сарын,olkapää
31,Arm::N,илии,käsivarsi
32,Ellenbogen::N,тоҕонох,kyynärpää
33,Hand::N,илии,käsi
34,Handfläche::N,ытыс,kämmen
35,Finger::N,тарбах,sormi
36,Fingernagel::N,тыҥырах,kynsi
37,Nagel[Anatomie]::N,тыҥырах,kynsi
38,Zeh::N,тарбах,varvas
39,Fuß::N,уллуҥах,jalka
40,Ferse::N,тилэх,kantapää
41,Knie::N,тобук,polvi
42,Knie::N,дьилбэк,polvi
43,Oberschenkel::N,уллук,reisi
44,Oberschenkel::N,өттүк,reisi
45,Bein::N,атах,jalka
46,Körper::N,бэйэ,keho
47,Körper::N,бэйэ,ruumis
48,Haut::N,тирии,iho
49,Blut::N,хаан,veri
50,Ader::N,вена,suoni
51,Ader::N,күөх_тымыр,suoni
52,Sehne::N,иҥиир,jänne
53,Knochen::N,уҥуох,luu
54,Knochen::N,уҥгуох,luu
55,Gehirn::N,мэйии,aivot
56,Herz::N,сүрэх,sydän
57,Magen::N,куртах,maha
58,Magen::N,куртах,vatsa
59,Leber::N,быар,maksa
60,Atem::N,тыын,henki
61,Atem::N,тыын,hengitys
62,Hunger::N,аас,nälkä
63,Träne::N,харах уута,kyynel
64,Geschmack::N,амтан,maku
65,Geruch::N,сыт,haju
66,Schlaf::N,утуйуу,uni
67,Traum::N,түүл,uni
68,Himmel::N,халлаан,taivas
69,Sonne::N,күн,aurinko
70,Mond::N,ый,kuu
71,Stern::N,сулус,tähti
72,Luft::N,салгын,ilma
73,Wind::N,тыал,tuuli
74,Welle::N,долгун,aalto
75,Welle::N,балхаан,aalto
76,Wasser::N,уу,vesi
77,Stein::N,таас,kivi
78,Boden::N,сир,maa
79,Boden::N,сир,maaperä
80,Erde::N,буор,maa
81,Staub::N,быыл,pöly
82,Rauch::N,буруо,savu
83,Funke::N,кыым,kipinä
84,Feuer::N,уот,tuli
85,Licht::N,уот,valo
86,Schatten::N,күлүк,varjo
87,Wetter::N,күн-дьыл,sää
88,Nebel::N,туман,sumu
89,Wolke::N,былыт,pilvi
90,Regen::N,самыыр,sade
91,Schnee::N,хаар,lumi
92,Eis::N,муус,jää
93,Frost::N,тымныы,halla
94,Frost::N,тымныы,pakkanen
95,Kälte::N,тымныы,vilu
96,Kälte::N,тымныы,kylmyys
97,Hitze::N,куйаас,helle
98,Hitze::N,куйаас,kuumuus
99,Raureif::N,кырыа,huurre
100,Regenbogen::N,кустук,sateenkaari
101,Donner::N,этиҥ,jyrinä
102,Strömung::N,сүүрүк,virtaus
103,Tropfen::N,таммах,tippa
104,Tropfen::N,таммах,pisara
105,Tropfen::N,хааппыла,tippa
106,Tropfen::N,хааппыла,pisara
107,Schaum::N,күүгэн,vaahto
108,Schmutz::N,кир,loka
109,See::N,күөл,järvi
110,Sumpf::N,бадараан,suo
111,Moor::N,дьэбэрэ,räme
112,Wiese::N,ходуһа,niitty
113,Wald::N,ойуур,metsä
114,Hügel::N,булгунньах,mäki
115,Hügel::N,булгунньах,kumpu
116,Hügel::N,булгунньах,kukkula
117,Anhöhe::N,үрдэл,mäki
118,Anhöhe::N,үрдэл,kumpare
119,Berg::N,хайа,mäki
120,Berg::N,хайа,vuori
121,Gipfel::N,чыпчаал,laki
122,Gipfel::N,чыпчаал,huippu
123,Höhle::N,хайа_хаспаҕа,luola
124,Höhle::N,көҥүс,luola
