,Concept_ID,is,no
0,Auge::N,auga,øye
1,Ohr::N,eyra,øre
2,Nase::N,nef,nese
3,Mund::N,munnur,munn
4,Zahn::N,tönn,tann
5,Zunge::N,tunga,tunge
6,Lippe::N,vör,leppe
7,Wange::N,kinn,kinn
8,Wange::N,vangi,kinn
9,Gesicht::N,andlit,fjes
10,Gesicht::N,andlit,ansikt
11,Stirn::N,enni,panne
12,Haar::N,hár,hår
13,Schnurrbart::N,yfirskegg,bart
14,Bart::N,skegg,skjegg
15,Kinn::N,haka,hake
16,Kiefer[Anatomie]::N,kjálki,kjeve
17,Kiefer[Anatomie]::N,skoltur,kjeve
18,Kehle::N,kverk,strupe
19,Hals::N,háls,hals
20,Genick::N,hnakki,nakke
21,Kopf::N,höfuð,hode
22,Rücken::N,hryggur,rygg
23,Bauch::N,kviður,buk
24,Bauch::N,kviður,mage
25,Nabel::N,nafli,navle
26,Busen::N,barmur,barm
27,Brust::N,brjóst,bryst
28,Schulter::N,öxl,skulder
29,Arm::N,armur,arm
30,Ellenbogen::N,olnbogi,albue
31,Hand::N,hönd,hånd
32,Handfläche::N,lófi,håndflate
33,Finger::N,fingur,finger
34,Fingernagel::N,fingurnögl,fingernegl
35,Nagel[Anatomie]::N,nögl,negl
36,Zeh::N,tá,tå
37,Fuß::N,fótur,fot
38,Ferse::N,hæll,hæl
39,Knie::N,kné,kne
40,Oberschenkel::N,læri,lår
41,Bein::N,fótleggur,bein
42,Körper::N,búkur,kropp
43,Körper::N,búkur,legeme
44,Körper::N,líkami,kropp
45,Körper::N,líkami,legeme
46,Haut::N,húð,hud
47,Haut::N,húð,skinn
48,Haut::N,skinn,hud
49,Haut::N,skinn,skinn
50,Blut::N,blóð,blod
51,Ader::N,æð,åre
52,Sehne::N,sin,sene
53,Knochen::N,bein,bein
54,Knochen::N,bein,knokkel
55,Gehirn::N,heili,hjerne
56,Herz::N,hjarta,hjerte
57,Magen::N,magi,mage
58,Leber::N,lifur,lever
59,Atem::N,andi,pust
60,Atem::N,andardráttur,pust
61,Hunger::N,hungur,sult
62,Träne::N,tár,tåre
63,Geschmack::N,smekkur,smak
64,Geruch::N,lykt,lukt
65,Schlaf::N,svefn,søvn
66,Traum::N,draumur,drøm
67,Himmel::N,himinn,himmel
68,Sonne::N,sól,sol
69,Mond::N,tungl,måne
70,Stern::N,stjarna,stjerne
71,Luft::N,loft,luft
72,Wind::N,vindur,vind
73,Welle::N,alda,bølge
74,Welle::N,bylgja,bølge
75,Wasser::N,vatn,vann
76,Stein::N,steinn,stein
77,Boden::N,botn,bakke
78,Erde::N,jörð,jord
79,Staub::N,ryk,støv
80,Staub::N,duft,støv
81,Rauch::N,reykur,røyk
82,Funke::N,neisti,gnist
83,Feuer::N,eldur,ild
84,Licht::N,ljós,lys
85,Schatten::N,skuggi,skygge
86,Wetter::N,veður,vær
87,Nebel::N,þoka,tåke
88,Wolke::N,ský,sky
89,Regen::N,regn,regn
90,Schnee::N,snjór,snø
91,Eis::N,ís,is
92,Frost::N,frost,frost
93,Kälte::N,kuldi,kulde
94,Hitze::N,hiti,hete
95,Raureif::N,hrím,rimfrost
96,Regenbogen::N,regnbogi,regnbue
97,Donner::N,þruma,torden
98,Strömung::N,straumur,strømning
99,Tropfen::N,dropi,dråpe
100,Schaum::N,froða,skum
101,Schmutz::N,óhreinindi,søl
102,Schmutz::N,óhreinindi,skitt
