,Concept_ID,bg,ce
0,Auge::N,око,бӏаьрг
1,Ohr::N,ухо,лерг
2,Nase::N,нос,мара
3,Mund::N,уста,бага
4,Zahn::N,зъб,церг
5,Zunge::N,език,мотт
6,Lippe::N,устна,балда
7,Wange::N,буза,бесни
8,Gesicht::N,лице,юьхь
9,Gesicht::N,образ,юьхь
10,Stirn::N,чело,хьаж
11,Haar::N,коса,мас
12,Haar::N,косъм,мас
13,Schnurrbart::N,мустаци,мекх
14,Bart::N,брада,маж
15,Kinn::N,брада,чӏениг
16,Kinn::N,брадичка,чӏениг
17,Kiefer[Anatomie]::N,челюст,мочхал
18,Kehle::N,гърло,къамкъарг
19,Hals::N,врат,ворта
20,Genick::N,тил,кӏесаркӏаг
21,Kopf::N,глава,корта
22,Rücken::N,гръб,букъ
23,Bauch::N,корем,кийра
24,Nabel::N,пъп,цӏонга
25,Busen::N,бозка,зударийн накха
26,Brust::N,гръд,накха
27,Schulter::N,рамо,белш
28,Schulter::N,плещи,белш
29,Arm::N,ръка,пхьарс
30,Ellenbogen::N,лакът,пхьаьрсан гола
31,Hand::N,ръка,куьг
32,Hand::N,китка,куьг
33,Handfläche::N,длан,кераюкъ
34,Finger::N,пръст,пӏелг
35,Fingernagel::N,нокът,мӏара
36,Nagel[Anatomie]::N,нокът,мӏара
37,Zeh::N,пръст на крак,кога пӏелг
38,Fuß::N,крак,ког
39,Fuß::N,нога,ког
40,Ferse::N,пета,кӏажа
41,Knie::N,коляно,гола
42,Oberschenkel::N,бедро,варе
43,Bein::N,крак,ког
44,Bein::N,нога,ког
45,Körper::N,тяло,хӏума
46,Haut::N,кожа,чкъор
47,Blut::N,кръв,цӏий
48,Ader::N,вена,пха
49,Ader::N,артерия,пха
50,Sehne::N,жила,хьорзам
51,Sehne::N,сухожилие,хьорзам
52,Knochen::N,кост,даьӏахк
53,Gehirn::N,мозък,хье
54,Herz::N,сърце,дог
55,Magen::N,стомах,зорх
56,Leber::N,черен дроб,доӏах
57,Atem::N,дишане,садеӏар
58,Hunger::N,глад,мацалла
59,Träne::N,сълза,бӏаьрхи
60,Geschmack::N,вкус,чам
61,Geruch::N,миризма,хьожа
62,Schlaf::N,сън,наб
63,Traum::N,сън,гӏан
64,Himmel::N,небе,стигал
65,Sonne::N,слънце,малх
66,Mond::N,луна,бутт
67,Mond::N,месец,бутт
68,Stern::N,звезда,седа
69,Luft::N,въздух,xӏаваъ
70,Wind::N,вятър,мох
71,Welle::N,вълна,тулгӏе
72,Wasser::N,вода,хи
73,Stein::N,камък,тӏулг
74,Boden::N,земя,цӏенкъа
75,Boden::N,почва,цӏенкъа
76,Erde::N,земя,латта
77,Erde::N,почва,латта
78,Staub::N,прах,чан
79,Rauch::N,дим,кӏур
80,Rauch::N,пушек,кӏур
81,Funke::N,искра,суй
82,Feuer::N,огън,цӏе
83,Licht::N,светлина,серло
84,Schatten::N,сянка,ӏиндагӏ
85,Wetter::N,време,хенан хӏоттам
86,Nebel::N,мъгла,дохк
87,Wolke::N,облак,марха
88,Regen::N,дъжд,догӏа
89,Schnee::N,сняг,ло
90,Eis::N,лед,ша
91,Frost::N,мраз,шело
92,Kälte::N,студ,шело
93,Hitze::N,жега,йовхо
94,Hitze::N,горещина,йовхо
95,Raureif::N,скреж,йис
96,Raureif::N,слана,йис
97,Regenbogen::N,дъга,стелаӏад
98,Donner::N,гръм,ткъес
99,Strömung::N,течение,дӏаэхар
100,Strömung::N,течение,дӏасалелар
101,Tropfen::N,капка,тӏадам
102,Schaum::N,пяна,чопа
103,Schmutz::N,кал,хатт
104,Schmutz::N,мръсотия,хатт
105,See::N,езеро,ӏам
106,Sumpf::N,блато,уьшал
107,Moor::N,мочурище,уьшал
108,Wiese::N,ливада,бай
109,Wald::N,гора,хьун
110,Hügel::N,рид,гу
111,Hügel::N,рид,шу
112,Hügel::N,рид,барз
113,Hügel::N,хълм,гу
114,Hügel::N,хълм,шу
115,Hügel::N,хълм,барз
116,Anhöhe::N,могила,акъари
117,Anhöhe::N,възвишение,акъари
118,Berg::N,планина,лам
119,Gipfel::N,връх,бохь
120,Höhle::N,пещера,хьех
121,Abhang::N,склон,басе
122,Abhang::N,стръмнина,басе
123,Quelle::N,извор,шовда
124,Bach::N,поток,татол
125,Fluss::N,река,хи
126,Ufer::N,бряг,хийист
127,Küste::N,бряг,йист
128,Küste::N,крайбрежие,йист
129,Festland::N,суша,латта
130,Meer::N,море,xӏорд
131,Bucht::N,залив,чож
132,Insel::N,остров,гӏайре
133,Blume::N,цвете,зезаг
134,Gras::N,трева,буц
135,Wurzel::N,корен,орам
136,Baum::N,дърво,дитт
137,Stamm::N,стъбло,гӏад
138,Stamm::N,стъбло,тайпа
139,Rinde::N,кора,кевстиг
140,Ast::N,клон,га
141,Zweig::N,клон,га
142,Blatt::N,лист,гӏа
143,Birke::N,бреза,дакх
144,Kiefer[Baum]::N,бор,бага
145,Weide[Baum]::N,върба,дак
146,Tanne::N,ела,база
147,Horn::N,рог,маӏа
148,Feder::N,перо,пелаг
149,Fell::N,кожа,цӏока
150,Flügel::N,крило,тӏам
151,Klaue::N,нокът,мӏара
152,Kralle::N,нокът,тlод
153,Schwanz::N,опашка,цӏога
154,Ei::N,яйце,xӏoa
155,Nest::N,гнездо,бен
156,Bau::N,дупка,lуьрг
157,Tier::N,животно,дийнат
158,Herde::N,стадо,жа
159,Kuh::N,крава,етт
160,Bulle::N,бик,сту
161,Pferd::N,кон,говр
162,Schaf::N,овца,жий
163,Schaf::N,овца,уьстагӏ
164,Schwein::N,свиня,хьакха
165,Hund::N,куче,жӏаьла
166,Katze::N,котка,цициг
167,Bär::N,мечка,ча
168,Eichhörnchen::N,катерица,тарсал
169,Elch::N,лос,сай
170,Fuchs::N,лисица,цхьогал
171,Hase::N,заек,пхьагал
172,Maus::N,мишка,дахка
173,Wolf::N,вълк,борз
174,Vogel::N,птица,олхазар
175,Schwarm::N,рой,
176,Schwarm::N,рояк,
177,Huhn::N,кокошка,котам
178,Hahn::N,петел,нӏаьна
179,Hahn::N,петел,боргӏал
180,Gans::N,гъска,гӏаз
181,Adler::N,орел,aьрзу
182,Ente::N,патица,бад
183,Eule::N,сова,бухӏа
184,Kranich::N,жерав,гӏаргӏули
185,Krähe::N,врана,къиг
186,Kuckuck::N,кукувица,aттйокх
187,Schwan::N,лебед,гӏургӏаз
188,Fisch::N,риба,чӏара
189,Barsch::N,костур,окунь
190,Hecht::N,щука,гӏазкхийн чӏара
191,Schlange[Tier]::N,змия,лаьхьа
192,Wurm::N,червей,нӏаьна
193,Spinne::N,паяк,гезг
194,Ameise::N,мравка,зингат
195,Laus::N,въшка,меза
196,Laus::N,въшка,гӏениг
197,Mücke::N,комар,чуьрк
198,Fliege::N,муха,моза
199,Schmetterling::N,пеперуда,полла
200,Beere::N,плод,цӏазам
201,Apfel::N,ябълка,ӏаж
202,Pilz::N,гъба,жӏаьлин нускал
203,Zwiebel::N,лук,xох
204,Zwiebel::N,кромид,xох
205,Saat::N,семе,чlу
206,Korn::N,зърно,буьртиг
207,Heu::N,сено,йол
208,Schale::N,кора,пардо
209,Grube::N,яма,ор
210,Grube::N,дупка,ор
211,Falle::N,примка,кӏело
212,Schlinge::N,клуп,
213,Spur::N,диря,лар
214,Spur::N,следа,лар
215,Asche::N,пепел,чим
216,Dreck::N,кал,мода
217,Eisen::N,желязо,эчиг
218,Gold::N,злато,деши
219,Silber::N,сребро,дети
220,Kohle::N,въглища,кӏора
221,Glas::N,стъкло,aнгали
222,Lehm::N,глина,поппар
223,Sand::N,пясък,гӏум
224,Mensch::N,човек,адам
225,Mann::N,мъж,майра
226,Frau::N,жена,зуда
227,Kind::N,дете,бер
228,Junge::N,момче,жимха
229,Mädchen::N,момиче,жима йоӏ
230,Familie::N,фамилия,доьзал
231,Familie::N,семейство,доьзал
232,Großvater::N,дядо,ненада
233,Großmutter::N,баба,денана
234,Eltern::N,родители,да-нана
235,Vater::N,баща,да
236,Mutter::N,майка,нана
237,Sohn::N,син,кӏант
238,Tochter::N,дъщеря,йоӏ
239,Bruder::N,брат,ваша
240,Schwester::N,сестра,йиша
241,Onkel::N,чичо,деваша
242,Onkel::N,вуйчо,деваша
243,Tante::N,леля,дейиша
244,Ehemann::N,съпруг,майра
245,Ehefrau::N,съпруга,зуда
246,Freude::N,радост,самукъа
247,Freude::N,радост,хазахетар
248,Gelächter::N,смях,белам
249,Glück::N,щастие,ирс
250,Kummer::N,тъга,бала
251,Wunsch::N,желание,лаам
252,Lust::N,желание,лаам
253,Geist::N,дух,са
254,Gedanke::N,мисъл,ойла
255,Gedächtnis::N,памет,диццадалар
256,Verstand::N,ум,хьекъал
257,Verstand::N,разум,хьекъал
258,Sinn::N,смисъл,маьӏна
259,Grund::N,причина,бахьана
260,Wahrheit::N,правда,бакъдерг
261,Gespräch::N,разговор,къамел
262,Märchen::N,приказка,туьйра
263,Erzählung::N,разказ,дийцар
264,Nachricht::N,вест,хаам
265,Nachricht::N,известие,хаам
266,Neuigkeit::N,новина,керланиг
267,Name::N,име,цӏе
268,Rätsel::N,гатанка,хӏетал-метал
269,Rede::N,реч,къамел
270,Rede::N,слово,къамел
271,Sprache::N,език,мотт
272,Stimme::N,глас,aз
273,Wort::N,дума,дош
274,Zeichen::N,знак,билгало
275,Ruf::N,зов,кхайкхар
276,Lärm::N,шум,гӏовгӏа
277,Lärm::N,глъчка,гӏовгӏа
278,Laut::N,звук,аз
279,Ton::N,тон,aз
280,Lied::N,песен,илли
281,Ruhe::N,тишина,тийналла
282,Ruhe::N,спокойствие,тийналла
283,Leute::N,хора,нах
284,Volk::N,народ,халкъ
285,Arbeit::N,труд,болх
286,Arbeit::N,работа,болх
287,Gast::N,гост,хьаша
288,Geschenk::N,дар,совгӏат
289,Geschenk::N,подарък,совгӏат
290,Spiel::N,игра,ловзар
291,Gesellschaft::N,общество,юкъаралла
292,Hilfe::N,помощ,гӏо
293,Freund::N,приятел,доттагl
294,Kamerad::N,другар,накъост
295,Angelegenheit::N,работа,гӏуллакх
296,Anzahl::N,брой,терахь
297,Anzahl::N,количество,терахь
298,Art::N,вид,
299,Stück::N,къс,юьхк
300,Stück::N,парче,юьхк
301,Teil::N,дял,дакъа
302,Teil::N,част,дакъа
303,Hälfte::N,половина,ах
304,Kreis::N,кръг,го
305,Kreuz::N,кръст,жӏара
306,Linie::N,черта,сиз
307,Strich::N,щрих,сиз
308,Strich::N,черта,сиз
309,Abstand::N,дистанция,юкъ
310,Abstand::N,разстояние,юкъ
311,Entfernung::N,разстояние,
312,Gegend::N,местност,мeттиг
313,Platz::N,място,майда
314,Ort::N,място,меттиг
315,Seite::N,страна,aгӏo
316,Mitte::N,среда,юкъ
317,Gegenstand::N,предмет,хӏума
318,Sache::N,вещ,хӏума
319,Rand::N,ръб,йист
320,Kante::N,ръб,йист
321,Kante::N,кант,йист
322,Ecke::N,ъгъл,са
323,Spitze::N,връх,ралла
324,Spitze::N,острие,ралла
325,Ende::N,край,юьхьиг
326,Loch::N,дупка,ӏуьрг
327,Winkel::N,кът,са
328,Winkel::N,ъгъл,са
329,Muster::N,десен,дагар
330,Muster::N,десен,тӏамар
331,Muster::N,образец,дагар
332,Muster::N,образец,тӏамар
333,Größe::N,големина,барам
334,Länge::N,дължина,йохалла
335,Höhe::N,висота,локхалла
336,Höhe::N,височина,локхалла
337,Gewicht::N,тегло,йозалла
338,Gewicht::N,тежест,йозалла
339,Menge::N,количество,дукхалла
340,Haufen::N,куп,сал
341,Haufen::N,куп,оьла
342,Haufen::N,грамада,сал
343,Haufen::N,грамада,оьла
344,Reihe::N,ред,рагӏ
345,Reihe::N,ред,могӏа
346,Reihe::N,редица,рагӏ
347,Reihe::N,редица,могӏа
348,Boot::N,лодка,кема
349,Ruder::N,весло,пийсиг
350,Ruder::N,гребло,пийсиг
351,Schlitten::N,шейна,салаз
352,Ski::N,ски,когсалаз
353,Lagerfeuer::N,огнище,цӏе
354,Last::N,товар,дукъ
355,Gang::N,ход,лелар
356,Gang::N,вървеж,лелар
357,Schritt::N,стъпка,гӏулч
358,Norden::N,север,къилбаседе
359,Süden::N,юг,къилбе
360,Westen::N,запад,малхбузе
361,Osten::N,изток,малхбале
362,Holz::N,дърво,дечиг
363,Brett::N,дъска,у
364,Stange::N,прът,гӏуркх
365,Stange::N,върлина,гӏуркх
366,Stock::N,прът,ӏаса
367,Stock::N,тояга,ӏаса
368,Stab::N,прът,гӏаж
369,Rohr::N,цев,биргӏа
370,Rohr::N,тръба,биргӏа
371,Haus::N,къща,цӏа
372,Heim::N,дом,кхерч
373,Ofen::N,печка,кхерч
374,Fußboden::N,под,цӏенкъа
375,Tisch::N,маса,шун
376,Stuhl::N,стол,гӏант
377,Wiege::N,люлка,ага
378,Bett::N,легло,маьнга
379,Bett::N,креват,маьнга
380,Regal::N,рафт,терхи
381,Regal::N,етажерка,терхи
382,Kiste::N,кутия,яьшка
383,Kiste::N,сандък,яьшка
384,Fenster::N,прозорец,кор
385,Tür::N,врата,неӏ
386,Tor::N,врата,ков
387,Zaun::N,ограда,керт
388,Dach::N,покрив,тхов
389,Leiter::N,стълба,лами
390,Besen::N,метла,нуй
391,Spaten::N,лопата,бел
392,Schaufel::N,лопата,аьшкал
393,Gabel::N,вилица,мӏара
394,Löffel::N,лъжица,ӏайг
395,Messer::N,нож,урс
396,Nagel::N,гвоздей,хьостам
397,Netz::N,мрежа,бой
398,Haken::N,кука,мӏара
399,Haken::N,закачалка,мӏара
400,Griff::N,ръчка,
401,Griff::N,дръжка,
402,Schloss::N,брава,чӏега
403,Schloss::N,ключалка,чӏега
