,Concept_ID,el,ar
0,Auge::N,μάτι,عين
1,Auge::N,οφθαλμός,عين
2,Ohr::N,αυτί,أذن
3,Nase::N,μύτη,أنف
4,Mund::N,στόμα,فم
5,Zahn::N,δόντι,سن
6,Zunge::N,γλώσσα,لسان
7,Lippe::N,χείλος,شفة
8,Wange::N,παρειά,خد
9,Wange::N,παρειά,وجنة
10,Wange::N,μάγουλο,خد
11,Wange::N,μάγουλο,وجنة
12,Gesicht::N,πρόσωπο,وجه
13,Stirn::N,μέτωπο,جبين
14,Haar::N,μαλλιά,شعر
15,Schnurrbart::N,μουστάκι,شارب
16,Bart::N,γένια,لحية
17,Kinn::N,πιγούνι,ذقن
18,Kiefer[Anatomie]::N,σαγόνι,فك
19,Kehle::N,λαρύγγι,حلق
20,Hals::N,λαιμός,عنق
21,Hals::N,λαιμός,رقبة
22,Genick::N,σβέρκος,قفا
23,Kopf::N,κεφάλι,رأس
24,Rücken::N,ράχη,ظهر
25,Bauch::N,κοιλιά,بطن
26,Nabel::N,αφαλός,سرة
27,Busen::N,στήθος,ثدي
28,Brust::N,στήθος,صدر
29,Schulter::N,ώμος,كتف
30,Arm::N,χέρι,ذراع
31,Arm::N,μπράτςο,ذراع
32,Ellenbogen::N,αγκώνας,كوع
33,Hand::N,χέρι,يد
34,Handfläche::N,παλάμη,كف
35,Finger::N,δάχτυλο,إصبع
36,Fingernagel::N,νύχι,ظفر
37,Nagel[Anatomie]::N,νύχι,ظفر
38,Zeh::N,δάχτυλο του ποδιού,إصبع القدم
39,Fuß::N,πόδι,قدم
40,Ferse::N,φτέρνα,كعب
41,Knie::N,γόνατο,ركبة
42,Oberschenkel::N,μηρός,فخذ
43,Bein::N,πόδι,ساق
44,Körper::N,σώμα,جسم
45,Körper::N,κορμί,جسم
46,Haut::N,πετσί,بشرة
47,Blut::N,αίμα,دم
48,Ader::N,φλέβα,عرق
49,Sehne::N,νεύρο,طنب
50,Sehne::N,τένοντας,طنب
51,Knochen::N,οστό,عظم
52,Knochen::N,κόκκαλο,عظم
53,Gehirn::N,μυαλό,دماغ
54,Gehirn::N,εγκέφαλος,دماغ
55,Herz::N,καρδιά,قلب
56,Magen::N,στομάχι,معدة
57,Leber::N,ήπαρ,كبد
58,Leber::N,συκωτί,كبد
59,Atem::N,αναπνοή,نفس
60,Hunger::N,πείνα,جوع
61,Träne::N,δάκρυ,دمعة
62,Geschmack::N,γεύση,طعم
63,Geschmack::N,γεύση,مذاق
64,Geruch::N,οσμή,رائحة
65,Geruch::N,μυρωδία,رائحة
66,Schlaf::N,ύπνος,نوم
67,Schlaf::N,ύπνος,منام
68,Traum::N,όνειρο,حلم
69,Himmel::N,ουρανός,سماء
70,Sonne::N,ήλιος,شمس
71,Mond::N,σελήνη,قمر
72,Mond::N,φεγγάρι,قمر
73,Stern::N,άστρο,نجم
74,Stern::N,άστρο,كوكب
75,Stern::N,αστέρι,نجم
76,Stern::N,αστέρι,كوكب
77,Luft::N,αέρας,هواء
78,Wind::N,αέρας,ريح
79,Wind::N,άνεμος,ريح
80,Welle::N,κύμα,موجة
81,Wasser::N,νερό,ماء
82,Stein::N,πέτρα,حجر
83,Boden::N,χώμα,تراب
84,Erde::N,γη,أرض
85,Staub::N,σκόνη,غبار
86,Rauch::N,καπνός,دخان
87,Funke::N,σπίθα,شرارة
88,Funke::N,σπινθήρας,شرارة
89,Feuer::N,φωτιά,نار
90,Licht::N,φως,نور
91,Licht::N,φως,ضوء
92,Schatten::N,σκιά,ظل
93,Schatten::N,σκιά,فيء
94,Schatten::N,ίσκιος,ظل
95,Schatten::N,ίσκιος,فيء
96,Wetter::N,καιρός,جو
97,Wetter::N,καιρός,طقس
98,Nebel::N,ομίχλη,ضباب
99,Wolke::N,σύννεφο,غيمة
100,Wolke::N,σύννεφο,سحابة
101,Regen::N,βροχή,مطر
102,Schnee::N,χιόνι,ثلج
103,Eis::N,πάγος,جليد
104,Frost::N,παγωνία,صقيع
105,Kälte::N,κρύο,برد
106,Kälte::N,ψύχος,برد
107,Hitze::N,ζέστη,حر
108,Hitze::N,ζέστη,حرارة
109,Raureif::N,πάχνη,صقيع
110,Regenbogen::N,ουράνιο τόξο,قوس قزح
111,Donner::N,βροντή,رعد
112,Strömung::N,ρεύμα,تيار
113,Tropfen::N,στάλα,قطرة
114,Schaum::N,αφρός,زبد
115,Schaum::N,αφρός,رغوة
116,Schmutz::N,βρωμιά,وسخ
117,See::N,λίμνη,بحيرة
118,Sumpf::N,βάλτος,مستنقع
119,Moor::N,έλος,مستنقع
120,Wiese::N,λιβάδι,مرج
121,Wald::N,δάσος,غابة
122,Hügel::N,λόφος,تل
123,Anhöhe::N,ύψωμα,تل
124,Berg::N,όρος,جبل
125,Berg::N,βουνό,جبل
126,Gipfel::N,κορυφή,قمة
127,Höhle::N,σπηλιά,كهف
128,Abhang::N,πλαγιά,منحدر
129,Quelle::N,πηγή,منبع
130,Quelle::N,βρύση,منبع
131,Bach::N,ρυάκι,مجرى
132,Fluss::N,ποτάμι,نهر
133,Fluss::N,ποταμός,نهر
134,Ufer::N,όχθη,ضفة
135,Küste::N,ακτή,ساحل
136,Küste::N,ακρογιαλιά,ساحل
137,Festland::N,στεριά,بر
138,Meer::N,θάλασσα,بحر
139,Bucht::N,κόλπος,خليج
140,Insel::N,νησί,جزيرة
141,Insel::N,νήσος,جزيرة
142,Blume::N,άνθος,زهرة
143,Blume::N,λουλούδι,زهرة
144,Gras::N,χόρτο,حشيش
145,Gras::N,χορτάρι,حشيش
146,Wurzel::N,ρίζα,أصل
147,Baum::N,δέντρο,شجرة
148,Stamm::N,κορμός,جذع
149,Rinde::N,φλούδα,قشرة
150,Ast::N,κλαδί,فرع
151,Zweig::N,κλαδί,غصن
152,Zweig::N,κλάδος,غصن
153,Blatt::N,φύλλο,ورقة
154,Birke::N,σημύδα,قضبان
155,Kiefer[Baum]::N,πεύκο,صنوبرة
156,Weide[Baum]::N,ιτιά,صفصاف
157,Tanne::N,έλατο,شوح
158,Tanne::N,έλατο,تبوب
159,Horn::N,κέρας,قرن
160,Horn::N,κέρατο,قرن
161,Feder::N,φτερό,ريشة
162,Fell::N,δέρμα,فرو
163,Fell::N,τομάρι,فرو
164,Flügel::N,πτερύγιο,جناح
165,Klaue::N,κουλό,مخلب
166,Kralle::N,νύχι,مخلب
167,Schwanz::N,ουρά,ذيل
168,Ei::N,αβγό,بيض
169,Nest::N,φωλιά,عش
170,Bau::N,φωλιά,جحر
171,Tier::N,ζώο,حيوان
172,Herde::N,κοπάδι,قطيع
173,Kuh::N,αγελάδα,بقرة
174,Bulle::N,ταύρος,ثور
175,Pferd::N,άλογο,خيل
176,Schaf::N,πρόβατο,شاة
177,Schwein::N,γουρούνι,خنزير
178,Hund::N,σκυλί,كلب
179,Hund::N,σκύλος,كلب
180,Katze::N,γάτα,قطة
181,Bär::N,άρκτος,دب
182,Bär::N,αρκούδα,دب
183,Eichhörnchen::N,βερβερίτσα,سنجاب
184,Elch::N,άλκη,موظ
185,Fuchs::N,αλεπού,ثعلب
186,Hase::N,λαγός,أرنب
187,Maus::N,ποντικός,فأرة
188,Wolf::N,λύκος,ذئب
189,Vogel::N,πουλί,طير
190,Schwarm::N,σμήνος,سرب
191,Huhn::N,κότα,دجاجة
192,Huhn::N,όρνιθα,دجاجة
193,Hahn::N,πετεινός,ديك
194,Gans::N,χήνα,وزة
195,Adler::N,αετός,نسر
196,Ente::N,πάπια,بطة
197,Eule::N,κουκουβάγια,بوم
198,Kranich::N,γερανός,كركي
199,Krähe::N,καρακάξα,غراب
200,Kuckuck::N,κούκος,وقواق
201,Schwan::N,κύκνος,إوز عراقي
202,Fisch::N,ψάρι,سمك
203,Barsch::N,πέρκα,فرخ أوربي
204,Hecht::N,λούτσος,سمك الكراكي
205,Schlange[Tier]::N,φίδι,حية
206,Schlange[Tier]::N,φίδι,ثعبان
207,Wurm::N,σκουλήκι,دودة
208,Spinne::N,αράχνη,عنكبوت
209,Ameise::N,μυρμήγκι,نملة
210,Laus::N,ψείρα,قملة
211,Mücke::N,κουνούπι,ناموسة
212,Fliege::N,μύγα,ذبابة
213,Schmetterling::N,πεταλούδα,فراشة
214,Beere::N,ρόγα,حبة
215,Apfel::N,μήλο,تفاح
216,Pilz::N,μανιτάρι,فطر
217,Zwiebel::N,κρεμμύδι,بصل
218,Saat::N,σπόρος,زرع
219,Korn::N,σπυρί,حبة
220,Heu::N,σανός,دريس
221,Schale::N,τσόφλι,قشرة
222,Grube::N,λάκκος,نقرة
223,Falle::N,παγίδα,فخ
224,Falle::N,παγίδα,مصيدة
225,Schlinge::N,θηλειά,عروة
226,Spur::N,ίχνος,أثر
227,Asche::N,στάχτη,رماد
228,Dreck::N,βρωμιά,قذر
229,Eisen::N,σίδερο,حديد
230,Gold::N,μάλαμα,ذهب
231,Gold::N,χρυσάφι,ذهب
232,Silber::N,ασήμι,فضة
233,Silber::N,άργυρος,فضة
234,Kohle::N,κάρβουνο,فحم
235,Glas::N,γυαλί,زجاج
236,Lehm::N,πηλός,طين
237,Sand::N,άμμος,رمل
238,Mensch::N,άνθρωπος,إنسان
239,Mann::N,άνδρας,رجل
240,Frau::N,γυναίκα,امرأة
241,Kind::N,παιδί,طفل
242,Junge::N,αγόρι,ولد
243,Mädchen::N,κοπέλα,بنت
244,Mädchen::N,κορίτσι,بنت
245,Familie::N,οικογένεια,عائلة
246,Großvater::N,παππούς,جد
247,Großmutter::N,γιαγιά,جدة
248,Eltern::N,γονείς,أبوان
249,Eltern::N,γονείς,والدان
250,Vater::N,πατέρας,أب
251,Mutter::N,μητέρα,أم
252,Sohn::N,γιος,إبن
253,Tochter::N,κόρη,بنت
254,Tochter::N,κόρη,إبنة
255,Bruder::N,αδελφός,أخ
256,Bruder::N,αδελφός,شقيق
257,Schwester::N,αδελφή,أخت
258,Onkel::N,θείος,عم
259,Tante::N,θεία,عمة
260,Ehemann::N,σύζυγος,زوج
261,Ehefrau::N,σύζυγος,زوجة
262,Freude::N,χαρά,فرح
263,Freude::N,χαρά,سرور
264,Gelächter::N,γέλια,قهقهة
265,Glück::N,ευτυχία,سعادة
266,Kummer::N,έγνοια,غم
267,Wunsch::N,επιθυμία,منية
268,Lust::N,όρεξη,شهوة
269,Geist::N,πνέυμα,روح
270,Gedanke::N,σκέψη,فكرة
271,Gedächtnis::N,μνήμη,ذاكرة
272,Verstand::N,νους,عقل
273,Sinn::N,νόημα,معنى
274,Grund::N,λόγος,سبب
275,Wahrheit::N,αλήθεια,حقيقة
276,Gespräch::N,συνομιλία,محادثة
277,Märchen::N,παραμύθι,خرافة
278,Erzählung::N,διήγημα,قصة
279,Erzählung::N,διήγημα,حكاية
280,Nachricht::N,είδηση,خبر
281,Neuigkeit::N,νέο,خبر جديد
282,Name::N,όνομα,اسم
283,Rätsel::N,αίνιγμα,لغز
284,Rede::N,λόγος,خطبة
285,Rede::N,ομιλία,خطبة
286,Sprache::N,γλώσσα,لغة
287,Stimme::N,φωνή,صوت
288,Wort::N,λέξη,كلمة
289,Zeichen::N,σημείο,رمز
290,Zeichen::N,σημείο,إشارة
291,Ruf::N,κραυγή,نداء
292,Lärm::N,θόρυβος,صخب
293,Lärm::N,θόρυβος,ضجة
294,Laut::N,ήχος,صوت
295,Ton::N,ήχος,نغمة
296,Ton::N,τόνος,نغمة
297,Lied::N,τραγούδι,أغنية
298,Ruhe::N,ησυχία,هدوء
299,Leute::N,κόσμος,ناس
300,Leute::N,άνθρωποι,ناس
301,Volk::N,λαός,شعب
302,Arbeit::N,εργασία,عمل
303,Gast::N,επισκέπτης,ضيف
304,Geschenk::N,δώρο,هدية
305,Spiel::N,παιχνίδι,لعب
306,Gesellschaft::N,κοινωνία,صحبة
307,Hilfe::N,βοήθεια,عون
308,Hilfe::N,βοήθεια,مساعدة
309,Freund::N,φίλος,صديق
310,Kamerad::N,σύντροφος,زميل
311,Angelegenheit::N,υπόθεση,أمر
312,Angelegenheit::N,υπόθεση,شأن
313,Anzahl::N,αριθμός,عدد
314,Art::N,είδος,نوع
315,Stück::N,κομμάτι,قطعة
316,Teil::N,μέρος,قسم
317,Hälfte::N,μισό,نصف
318,Kreis::N,κύκλος,دائرة
319,Kreuz::N,σταυρός,صليب
320,Linie::N,γραμμή,خط
321,Strich::N,γραμμή,شرطة
322,Abstand::N,απόσταση,مسافة
323,Entfernung::N,απόσταση,بعد
324,Gegend::N,περιοχή,ناحية
325,Gegend::N,τοποθεσία,ناحية
326,Platz::N,χώρος,فراغ
327,Ort::N,τόπος,مكان
328,Seite::N,πλευρά,جانب
329,Mitte::N,μέση,وسط
330,Gegenstand::N,αντικείμενο,موضوع
331,Sache::N,πράγμα,شيء
332,Rand::N,άκρη,حافة
333,Rand::N,χείλος,حافة
334,Kante::N,άκρη,حافة
335,Ecke::N,γωνιά,ركن
336,Spitze::N,μύτη,سن
337,Ende::N,άκρη,طرف
338,Loch::N,τρύπα,ثقب
339,Winkel::N,γωνία,زاوية
340,Muster::N,σχέδιο,عينة
341,Größe::N,μέγεθος,حجم
342,Länge::N,μήκος,طول
343,Höhe::N,ύψος,علو
344,Höhe::N,ύψος,ارتفاع
345,Gewicht::N,βάρος,وزن
346,Menge::N,ποσότητα,كمية
347,Haufen::N,σωρός,كوم
348,Reihe::N,αράδα,صف
349,Boot::N,βάρκα,قارب
350,Boot::N,βάρκα,زورق
351,Ruder::N,κουπί,مجذاف
352,Schlitten::N,έλκηθρο,مزلقة
353,Ski::N,σκι,زلاجة
354,Lagerfeuer::N,φωτιά,نار المخيم
355,Last::N,φορτίο,حمل
356,Gang::N,δρόμος,مشية
357,Schritt::N,βήμα,خطوة
358,Norden::N,βορράς,شمال
359,Süden::N,νότος,جنوب
360,Westen::N,δύση,غرب
361,Osten::N,ανατολή,شرق
362,Holz::N,ξύλο,خشب
363,Brett::N,σανίδι,لوح
364,Platte::N,πλάκα,صفيحة
365,Stütze::N,στήριγμα,سند
366,Stütze::N,στήριγμα,دعامة
367,Stange::N,ραβδί,عود
368,Stange::N,κοντός,عود
369,Stock::N,ξύλο,عصا
370,Stock::N,μπαστούνι,عصا
371,Stab::N,ραβδί,قضيب
372,Rohr::N,σωλήνας,أنبوبة
373,Haus::N,σπίτι,دار
374,Haus::N,σπίτι,بيت
375,Heim::N,σπίτι,بيت
376,Heim::N,σπίτι,مسكن
377,Ofen::N,σόμπα,مدفأة
378,Ofen::N,θερμάστρα,مدفأة
379,Fußboden::N,πάτωμα,أرضية
380,Tisch::N,τραπέζι,مائدة
381,Stuhl::N,καρέκλα,كرسي
382,Wiege::N,κούνια,مهد
383,Bett::N,κρεβάτι,سرير
384,Regal::N,ράφι,رف
385,Kiste::N,κιβώτιο,صندوق
386,Fenster::N,παράθυρο,شباك
387,Fenster::N,παράθυρο,نافذة
388,Tür::N,πόρτα,باب
389,Tor::N,πύλη,بوابة
390,Zaun::N,φράχτης,سياج
391,Dach::N,στέγη,سطح
392,Leiter::N,σκάλα,سلم
393,Leiter::N,κλίμακα,سلم
394,Besen::N,σκούπα,مكنسة
395,Spaten::N,φτυάρι,مسحاة
396,Schaufel::N,φτυάρι,مجرفة
397,Gabel::N,πιρούνι,شوكة
398,Löffel::N,κουτάλι,ملعقة
399,Messer::N,μαχαίρι,سكين
400,Nagel::N,καρφί,مسمار
401,Netz::N,δίχτυ,شبكة
402,Haken::N,γάντζος,خطاف
403,Haken::N,γάντζος,صنارة
404,Haken::N,αγκίστρι,خطاف
405,Haken::N,αγκίστρι,صنارة
406,Griff::N,λαβή,قبضة
407,Schloss::N,κλειδαριά,قفل
408,Bild::N,εικόνα,صورة
409,Figur::N,ανάστημα,تمثال
410,Puppe::N,κούκλα,دمية
411,Beutel::N,πουγγί,كيس
412,Bündel::N,δεμάτι,ربطة
413,Tasche::N,τσάντα,شنطة
414,Tasche::N,τσάντα,محفظة
415,Eimer::N,κουβάς,سطل
416,Eimer::N,κουβάς,جردل
417,Deckel::N,καπάκι,سداد
418,Geschirr::N,σκεύη,أوان
419,Sack::N,σάκος,زكيبة
420,Tasse::N,φλιτζάνι,فنجان
421,Topf::N,χύτρα,قدر
422,Topf::N,χύτρα,طنجرة
423,Kessel::N,καζάνι,قدر
424,Kessel::N,καζάνι,غلاية
425,Essen::N,φαγητό,طعام
426,Nahrung::N,τροφή,غذاء
427,Speise::N,φαγητό,أكل
428,Fleisch::N,κρέας,لحم
429,Getreide::N,σιτάρι,حبوب
430,Brei::N,χυλός,عصيدة
431,Brot::N,ψωμί,خبز
432,Brot::N,άρτος,خبز
433,Scheibe::N,φέτα,شريحة
434,Fett::N,πάχος,سمن
435,Butter::N,βούτυρο,زبدة
436,Öl::N,λάδι,زيت
437,Salz::N,αλάτι,ملح
438,Suppe::N,σούπα,حساء
439,Suppe::N,σούπα,شربة
440,Honig::N,μέλι,عسل
441,Milch::N,γάλα,حليب
442,Tee::N,τσάι,شاي
443,Leder::N,πετσί,جلد
444,Wolle::N,μαλλί,صوف
445,Stoff::N,ύφασμα,قماش
446,Nadel::N,βελόνα,إبرة
447,Faden::N,κλωστή,خيط
448,Knopf::N,κουμπί,زر
449,Knoten::N,κόμπος,عقدة
450,Farbe::N,μπογιά,صبغة
451,Kleidung::N,ρούχα,ملابس
452,Kleidung::N,ενδυμασία,ملابس
453,Hemd::N,πουκάμισο,قميص
454,Kragen::N,κολάρο,ياقة
455,Ärmel::N,μανίκι,كم
456,Hose::N,πανταλόνι,سروال
457,Hose::N,πανταλόνι,بنطلون
458,Gürtel::N,ζώνη,حزام
459,Mütze::N,σκούφος,طاقية
460,Schuh::N,παπούτσι,حذاء
461,Stiefel::N,μπότα,جزمة
462,Stiefel::N,μπότα,حذاء طويل
463,Ring::N,δαχτυλίδι,حلقة
464,Band::N,κορδέλα,شريط
465,Kamm::N,χτένα,مشط
466,Spiegel::N,καθρέφτης,مرآة
467,Riemen::N,λουρί,سير
468,Schnur::N,κορδόνι,حبل
469,Schnur::N,κορδόνι,دوبارة
470,Leine::N,σχοινί,قيد
471,Decke::N,κουβέρτα,بطانية
472,Kissen::N,μαξιλάρι,وسادة
473,Tuch::N,πανί,منديل
474,Tuch::N,μαντήλι,منديل
475,Handtuch::N,πετσέτα,فوطة
476,Handtuch::N,πετσέτα,منشفة
477,Kraft::N,δύναμη,قدرة
478,Stärke::N,ισχύς,قوة
479,Stärke::N,δύναμη,قوة
480,Gesundheit::N,υγεία,صحة
481,Krankheit::N,αρρώστια,مرض
482,Schmerz::N,πόνος,ألم
483,Schmerz::N,πόνος,وجع
484,Wunde::N,πληγή,جرح
485,Fieber::N,πυρετός,حمى
486,Arznei::N,φάρμακο,دواء
487,Brücke::N,γέφυρα,جسر
488,Brunnen::N,πηγάδι,بئر
489,Weide::N,βοσκή,مرعى
