,Concept_ID,cs,ar
0,Auge::N,oko,عين
1,Ohr::N,ucho,أذن
2,Nase::N,nos,أنف
3,Mund::N,pusa,فم
4,Zahn::N,zub,سن
5,Zunge::N,jazyk,لسان
6,Lippe::N,ret,شفة
7,Wange::N,tvář,خد
8,Wange::N,tvář,وجنة
9,Gesicht::N,obličej,وجه
10,Stirn::N,čelo,جبين
11,Haar::N,vlas,شعر
12,Haar::N,vlasy,شعر
13,Schnurrbart::N,kníry,شارب
14,Bart::N,vousy,لحية
15,Kinn::N,brada,ذقن
16,Kiefer[Anatomie]::N,čelist,فك
17,Kehle::N,hrdlo,حلق
18,Hals::N,krk,عنق
19,Hals::N,krk,رقبة
20,Genick::N,týl,قفا
21,Kopf::N,hlava,رأس
22,Rücken::N,záda,ظهر
23,Rücken::N,hřbet,ظهر
24,Bauch::N,břicho,بطن
25,Nabel::N,pupek,سرة
26,Busen::N,ňadra,ثدي
27,Brust::N,prsa,صدر
28,Schulter::N,plece,كتف
29,Schulter::N,rameno,كتف
30,Arm::N,ruka,ذراع
31,Ellenbogen::N,loket,كوع
32,Hand::N,ruka,يد
33,Handfläche::N,dlaň,كف
34,Finger::N,prst,إصبع
35,Fingernagel::N,nehet,ظفر
36,Nagel[Anatomie]::N,nehet,ظفر
37,Zeh::N,prst u nohy,إصبع القدم
38,Fuß::N,noha,قدم
39,Ferse::N,pata,كعب
40,Knie::N,koleno,ركبة
41,Oberschenkel::N,stehno,فخذ
42,Bein::N,noha,ساق
43,Körper::N,tělo,جسم
44,Haut::N,kůže,بشرة
45,Blut::N,krev,دم
46,Ader::N,céva,عرق
47,Sehne::N,šlacha,طنب
48,Knochen::N,kost,عظم
49,Gehirn::N,mozek,دماغ
50,Herz::N,srdce,قلب
51,Magen::N,žaludek,معدة
52,Leber::N,játra,كبد
53,Atem::N,dech,نفس
54,Hunger::N,hlad,جوع
55,Träne::N,slza,دمعة
56,Geschmack::N,vkus,طعم
57,Geschmack::N,vkus,مذاق
58,Geruch::N,vůně,رائحة
59,Geruch::N,zápach,رائحة
60,Schlaf::N,spánek,نوم
61,Schlaf::N,spánek,منام
62,Traum::N,sen,حلم
63,Himmel::N,nebe,سماء
64,Sonne::N,slunce,شمس
65,Mond::N,měsíc,قمر
66,Stern::N,hvězda,نجم
67,Stern::N,hvězda,كوكب
68,Luft::N,vzduch,هواء
69,Wind::N,vítr,ريح
70,Welle::N,vlna,موجة
71,Wasser::N,voda,ماء
72,Stein::N,kámen,حجر
73,Boden::N,půda,تراب
74,Erde::N,země,أرض
75,Staub::N,prach,غبار
76,Rauch::N,dým,دخان
77,Rauch::N,kouř,دخان
78,Funke::N,jiskra,شرارة
