,Concept_ID,os,br
0,Auge::N,цӕст,lagad
1,Ohr::N,хъус,skouarn
2,Nase::N,фындз,fri
3,Mund::N,дзых,genoù
4,Zahn::N,дӕндаг,dant
5,Zunge::N,ӕвзаг,teod
6,Lippe::N,был,muzell
7,Wange::N,рус,chot
8,Wange::N,уадул,chot
9,Wange::N,ӕхсӕрфарс,chot
10,Gesicht::N,цӕсгом,dremm
11,Stirn::N,ных,tal
12,Haar::N,хил,blev
13,Schnurrbart::N,рихи,mourenn
14,Bart::N,зачъе,barv
15,Kinn::N,роцъо,groñj
16,Kiefer[Anatomie]::N,ӕфсӕр,javed
17,Kehle::N,хъуыр,gouzoug
18,Hals::N,къубал,gouzoug
19,Genick::N,къӕбут,choug
20,Kopf::N,сӕр,penn
21,Rücken::N,фӕсонтӕ,kein
22,Bauch::N,гуыбын,kof
23,Nabel::N,бикъ,begel
24,Busen::N,дзидзи,bronn
25,Brust::N,риу,bruched
26,Schulter::N,уӕхск,skoaz
27,Arm::N,цонг,brec'h
28,Ellenbogen::N,рæмбын,ilin
29,Hand::N,къух,dorn
30,Handfläche::N,армытъӕпӕн,palv
31,Finger::N,ӕнруылдз,biz
32,Fingernagel::N,ных,ivin
33,Nagel[Anatomie]::N,ных,ivin
34,Zeh::N,къух,biz-troad
35,Fuß::N,фад,troad
36,Ferse::N,зӕвӕт,seul
37,Knie::N,уӕраг,glin
38,Oberschenkel::N,агъд,morzhed
39,Bein::N,зӕнг,gar
40,Körper::N,буар,korf
41,Haut::N,царм,kroc'hen
42,Blut::N,туг,gwad
43,Ader::N,дадзин,gwazhi
44,Ader::N,тугдадзин,gwazhi
45,Sehne::N,хъиутæ,stir
46,Sehne::N,нуар,stir
47,Knochen::N,стӕг,askorn
48,Gehirn::N,магъз,empenn
49,Herz::N,зӕрдӕ,kalon
50,Magen::N,ахсӕн,stomog
51,Leber::N,игæр,avu
52,Atem::N,улӕфт,anal
53,Hunger::N,стонг,naon
54,Träne::N,цæссыг,daer
55,Geschmack::N,ад,blaz
56,Geruch::N,смаг,c'hwezh
57,Schlaf::N,хуыссӕг,kousked
58,Traum::N,фын,hune
59,Himmel::N,арв,oabl
60,Himmel::N,уӕларв,oabl
61,Sonne::N,хур,heol
62,Mond::N,мӕй,loar
63,Stern::N,стъалы,steredenn
64,Luft::N,уӕлдӕф,aer
65,Wind::N,дымгӕ,avel
66,Welle::N,уылӕн,houlenn
67,Wasser::N,дон,dour
68,Stein::N,дур,maen
69,Boden::N,зӕхх,tachenn
70,Erde::N,сыджыт,douar
71,Staub::N,рыг,poultr
72,Rauch::N,фӕздӕг,moged
73,Funke::N,цӕхӕр,ful
74,Feuer::N,зынг,tan
75,Licht::N,рухс,gouloù
76,Schatten::N,аууон,disheol
77,Wetter::N,боныхъӕд,amzer
78,Nebel::N,мигъ,brumenn
79,Wolke::N,ӕврагъ,koumoulenn
80,Regen::N,уарын,glav
81,Schnee::N,мит,erc'h
82,Eis::N,их,skorn
83,Frost::N,ихæн,rev
84,Kälte::N,уазал,yen
85,Hitze::N,ӕнтӕф,tommder
86,Raureif::N,халас,frim
87,Regenbogen::N,арвырон,gwareg-ar-glav
88,Regenbogen::N,арвырдын,gwareg-ar-glav
89,Donner::N,æрвнæрын,kurun
90,Strömung::N,цыд,red
91,Tropfen::N,æртах,bannac'h
92,Tropfen::N,æртах,takenn
93,Schaum::N,фынк,spoum
94,Schmutz::N,цъыф,fank
95,See::N,цад,lenn
96,Sumpf::N,цъыфдзаст,gwern
97,Moor::N,цъыфдзаст,taouarc'heg
98,Wiese::N,уыгӕрдӕн,prad
99,Wald::N,хъӕд,koad
100,Hügel::N,обау,torgenn
101,Hügel::N,къуыбыр,torgenn
102,Anhöhe::N,уæлвæз,run
103,Anhöhe::N,уæлхох,run
104,Berg::N,хох,menez
105,Gipfel::N,цъупп,barr
106,Höhle::N,лӕгӕт,kav
107,Abhang::N,къул,naou
108,Quelle::N,суадон,feunteun
109,Bach::N,мӕсчъыдон,gwazh
110,Fluss::N,дон,stêr
111,Fluss::N,цӕугӕдон,stêr
112,Ufer::N,был,ribl
113,Küste::N,донбыл,aod
114,Festland::N,сурзæхх,douar
115,Meer::N,денджыз,mor
116,Bucht::N,донбакæлæн,mor-bihan
117,Insel::N,сакъадах,enez
118,Blume::N,дидинӕг,bleunienn
119,Gras::N,кӕрдӕг,geot
120,Wurzel::N,уидаг,gwrizienn
121,Baum::N,бӕлас,gwezenn
122,Stamm::N,хӕтӕл,kef
123,Rinde::N,цъар,rusk
124,Ast::N,арх,barr
125,Zweig::N,къалиу,bod
126,Blatt::N,сыф,delienn
127,Birke::N,бæрз,bezvenn
128,Kiefer[Baum]::N,нӕзы,pinenn
129,Weide[Baum]::N,хӕрис,halegenn
130,Tanne::N,наз,sapenn
131,Horn::N,сыкъа,korn
132,Feder::N,сис,pluñv
133,Fell::N,царм,kreoñ
134,Flügel::N,базыр,askell
135,Klaue::N,ных,skilf
136,Kralle::N,дзӕмбы,skilf
137,Schwanz::N,къӕдзил,lost
138,Ei::N,айк,vi
139,Nest::N,ахстон,neizh
140,Bau::N,хуынкъ,douarenn
141,Tier::N,сырд,loen
142,Tier::N,цӕрӕгой,loen
143,Herde::N,дзуг,tropell
144,Herde::N,рӕгъау,tropell
145,Kuh::N,хъуг,buoc'h
146,Bulle::N,гал,tarv
147,Pferd::N,бӕх,marc'h
148,Schaf::N,фыс,dañvad
149,Schwein::N,хуы,pemoc'h
150,Hund::N,куыдз,ki
151,Katze::N,гӕды,kazh
152,Bär::N,арс,arzh
153,Eichhörnchen::N,æхсæрæг,gwiñver
154,Elch::N,цæгатаг саг,karv-dour
155,Fuchs::N,рувас,louarn
156,Hase::N,тæрхъус,gad
157,Maus::N,мыст,logodenn
158,Wolf::N,бирӕгъ,bleiz
159,Vogel::N,цъиу,labous
160,Vogel::N,маргъ,labous
161,Schwarm::N,бал,nijad
162,Huhn::N,карк,yar
163,Hahn::N,уасӕг,kilhog
164,Gans::N,хъаз,gwazenn
165,Adler::N,цӕргӕс,erer
166,Ente::N,ацц,houad
167,Eule::N, уыг,toud
168,Eule::N,сидахъ,toud
169,Kranich::N,зырнæг,garan
170,Kranich::N,хърихъупп,garan
171,Krähe::N,халон,bran
172,Kuckuck::N,гаккук,koukoug
173,Schwan::N,доныхъаз,alarc'h
174,Fisch::N,кӕсаг,pesk
175,Barsch::N,окунь,brell
176,Hecht::N,хихор кӕсаг,beked
177,Schlange[Tier]::N,калм,naer
178,Wurm::N,зулкъ,preñv
179,Wurm::N,къуыдыргалм,preñv
