,Concept_ID,et,cy
0,Auge::N,silm,llygad
1,Ohr::N,kõrv,clust
2,Nase::N,nina,trwyn
3,Mund::N,suu,ceg
4,Zahn::N,hammas,dant
5,Zunge::N,keel,tafod
6,Lippe::N,huul,gwefus
7,Wange::N,põsk,boch
8,Gesicht::N,nägu,wyneb
9,Stirn::N,otsmik,talcen
10,Haar::N,juus,blew
11,Schnurrbart::N,vurrud,mwstas
12,Schnurrbart::N,vuntsid,mwstas
13,Bart::N,habe,barf
14,Kinn::N,lõug,gên
15,Kiefer[Anatomie]::N,lõualuu,gên
16,Kehle::N,kõri,gwddf
17,Hals::N,kael,gwddf
18,Genick::N,kukal,gwar
19,Genick::N,kukal,gwegil
20,Kopf::N,pea,pen
21,Rücken::N,selg,cefn
22,Bauch::N,kõht,bol
23,Nabel::N,naba,bogail
24,Busen::N,rind,bron
25,Brust::N,rind,brest
26,Schulter::N,õlg,ysgwydd
27,Arm::N,käsivars,braich
28,Ellenbogen::N,küünarnukk,penelin
29,Hand::N,käsi,llaw
30,Handfläche::N,pihk,palf
31,Finger::N,sõrm,bys
32,Fingernagel::N,küüs,ewin
33,Nagel[Anatomie]::N,küüs,ewin
34,Zeh::N,varvas,bys troed
35,Fuß::N,jalg,troed
36,Ferse::N,kand,sawdl
37,Knie::N,põlv,glin
38,Oberschenkel::N,reis,clun
39,Bein::N,jalg,coes
40,Körper::N,ihu,corff
41,Körper::N,keha,corff
42,Haut::N,nahk,croen
43,Blut::N,veri,gwaed
44,Ader::N,veen,gwythïen
45,Sehne::N,kõõlus,gewyn
46,Knochen::N,luu,asgwrn
47,Gehirn::N,aju,ymennydd
48,Herz::N,süda,calon
49,Magen::N,magu,cylla
50,Magen::N,magu,stumog
51,Leber::N,maks,iau
52,Atem::N,hingeõhk,anadl
53,Atem::N,hingamine,anadl
54,Hunger::N,nälg,newyn
55,Träne::N,pisar,deigryn
56,Geschmack::N,maitse,cyflas
57,Geruch::N,lõhn,aroglau
58,Schlaf::N,uni,cwsg
59,Traum::N,unenägu,breuddwyd
60,Himmel::N,taevas,awyr
61,Sonne::N,päike,haul
62,Mond::N,kuu,lleuad
63,Stern::N,täht,seren
64,Luft::N,õhk,awyr
65,Wind::N,tuul,gwynt
66,Welle::N,laine,ton
67,Wasser::N,vesi,dŵr
68,Stein::N,kivi,carreg
69,Boden::N,maa,llawr
70,Boden::N,pinnas,llawr
71,Erde::N,maa,pridd
72,Staub::N,põrm,llwch
73,Rauch::N,suits,mwg
74,Funke::N,säde,gwreichioni
75,Feuer::N,tuli,tân
76,Licht::N,valgus,golau
77,Schatten::N,vari,cysgod
78,Wetter::N,ilm,tywydd
