,Concept_ID,he,zh
0,Auge::N,עין,眼睛
1,Ohr::N,אזן,耳朵
2,Nase::N,אף,鼻子
3,Nase::N,חטם,鼻子
4,Mund::N,פה,嘴
5,Zahn::N,שן,牙齿
6,Zunge::N,לשון,舌头
7,Lippe::N,שפה,嘴唇
8,Wange::N,לחי,面颊
9,Gesicht::N,פנים,脸
10,Stirn::N,מצח,额
11,Haar::N,שערה,头发
12,Schnurrbart::N,שפם,髭须
13,Bart::N,זקן,胡子
14,Kinn::N,סנטר,下巴
15,Kiefer[Anatomie]::N,לסת,颌
16,Kehle::N,גרון,嗓子
17,Hals::N,צואר,颈
18,Genick::N,ערף,后颈
19,Kopf::N,ראש,头
20,Rücken::N,גב,背
21,Bauch::N,בטן,肚子
22,Nabel::N,טבור,肚脐
23,Busen::N,שד,胸脯
24,Brust::N,חזה,胸
25,Schulter::N,כתף,肩膀
26,Arm::N,זרוע,臂膀
27,Ellenbogen::N,מרפק,肘
28,Hand::N,יד,手
29,Handfläche::N,כף יד,手掌
30,Finger::N,אצבע,手指
31,Fingernagel::N,צפרן,指甲
32,Nagel[Anatomie]::N,צפרן,指甲
33,Zeh::N,אצבע,脚趾
34,Fuß::N,רגל,脚
35,Ferse::N,עקב,后跟
36,Knie::N,ברך,膝
37,Oberschenkel::N,ירך,大腿
38,Bein::N,רגל,腿
39,Körper::N,גוף,身体
40,Haut::N,עור,皮肤
41,Blut::N,דם,血
42,Ader::N,וריד,血管
43,Sehne::N,גיד,腱
44,Knochen::N,עצם,骨
45,Gehirn::N,מוח,脑
46,Herz::N,לב,心
47,Magen::N,קבה,胃
48,Leber::N,כבד,肝
49,Atem::N,נשימה,呼吸
50,Hunger::N,רעב,饿
51,Träne::N,דמעה,眼泪
52,Geschmack::N,טעם,味道
53,Geruch::N,ריח,气味
54,Schlaf::N,שנה,睡眠
55,Traum::N,חלום,梦
56,Himmel::N,שמים,天空
57,Sonne::N,שמש,太阳
58,Mond::N,ירח,月亮
59,Stern::N,כוכב,星
60,Luft::N,אויר,空气
61,Wind::N,רוח,风
62,Welle::N,גל,波
63,Wasser::N,מים,水
64,Stein::N,אבן,石头
