,Concept_ID,bg,cv
0,Auge::N,око,куҫ
1,Ohr::N,ухо,хӑлха
2,Nase::N,нос,сӑмса
3,Mund::N,уста,ҫӑвар
4,Zahn::N,зъб,шӑл
5,Zunge::N,език,чӗлхе
6,Lippe::N,устна,тута
7,Wange::N,буза,пит ҫӑмарти
8,Gesicht::N,лице,пит
9,Gesicht::N,лице,пит-куҫ
10,Gesicht::N,образ,пит
11,Gesicht::N,образ,пит-куҫ
12,Stirn::N,чело,ҫамка
13,Haar::N,коса,ҫӳҫ
14,Haar::N,косъм,ҫӳҫ
15,Schnurrbart::N,мустаци,усси
16,Bart::N,брада,сухал
17,Kinn::N,брада,янах
18,Kinn::N,брадичка,янах
19,Kiefer[Anatomie]::N,челюст,янах
20,Kehle::N,гърло,пыр
21,Kehle::N,гърло,карланкӑ
22,Hals::N,врат,пыр
23,Genick::N,тил,ӗнсе
24,Kopf::N,глава,пуҫ
25,Rücken::N,гръб,ҫурӑм
26,Bauch::N,корем,
27,Nabel::N,пъп,кӑвапа
28,Busen::N,бозка,кӑкӑр
29,Brust::N,гръд,умӗ
30,Schulter::N,рамо,хул пуҫҫи
31,Schulter::N,плещи,хул пуҫҫи
32,Arm::N,ръка,алӑ
33,Ellenbogen::N,лакът,чавса
34,Hand::N,ръка,алӑ сыппи
35,Hand::N,китка,алӑ сыппи
36,Handfläche::N,длан,ал лаппи
37,Finger::N,пръст,пӳрне
38,Fingernagel::N,нокът,чӗрне
39,Nagel[Anatomie]::N,нокът,чӗрне
40,Zeh::N,пръст на крак,пӳрне
41,Fuß::N,крак,ура лаппи
42,Fuß::N,нога,ура лаппи
43,Ferse::N,пета,кӗле
44,Knie::N,коляно,чӗркуҫҫи
45,Oberschenkel::N,бедро,пӗҫӗ
46,Bein::N,крак,ура
47,Bein::N,нога,ура
48,Körper::N,тяло,ӳт
49,Körper::N,тяло,ӳт-пӳ
50,Haut::N,кожа,тир
51,Blut::N,кръв,юн
52,Ader::N,вена,вена
53,Ader::N,артерия,вена
54,Sehne::N,жила,шӑнӑр
55,Sehne::N,сухожилие,шӑнӑр
56,Knochen::N,кост,шӑмӑ
57,Gehirn::N,мозък,миме
58,Herz::N,сърце,чӗре
59,Magen::N,стомах,хырӑмлӑх
60,Leber::N,черен дроб,пӗвер
61,Atem::N,дишане,сывлав
62,Hunger::N,глад,выҫлӑх
63,Träne::N,сълза,куҫҫуль
64,Geschmack::N,вкус,техӗм
65,Geruch::N,миризма,шӑршӑ
66,Schlaf::N,сън,ыйхӑ
67,Traum::N,сън,тӗлӗк
68,Himmel::N,небе,пӗлӗт
69,Sonne::N,слънце,хӗвел
70,Mond::N,луна,уйӑх
71,Mond::N,месец,уйӑх
72,Stern::N,звезда,ҫӑлтӑр
73,Luft::N,въздух,сывлӑш
74,Wind::N,вятър,ҫил
75,Welle::N,вълна,хум
76,Wasser::N,вода,шыв
77,Wasser::N,вода,шыв-шур
78,Stein::N,камък,чул
79,Boden::N,земя,тӑпра
80,Boden::N,почва,тӑпра
81,Erde::N,земя,ҫӗр
82,Erde::N,почва,ҫӗр
83,Staub::N,прах,тусан
84,Rauch::N,дим,тӗтӗм
85,Rauch::N,пушек,тӗтӗм
86,Funke::N,искра,хӗм
87,Feuer::N,огън,вут
88,Feuer::N,огън,ҫулӑм
89,Licht::N,светлина,ҫутӑ
90,Schatten::N,сянка,сулхӑн
91,Wetter::N,време,ҫанталӑк
92,Nebel::N,мъгла,тӗтре
93,Wolke::N,облак,пӗлӗт
94,Regen::N,дъжд,ҫумӑр
95,Schnee::N,сняг,юр
96,Eis::N,лед,пӑр
97,Frost::N,мраз,сивӗ
98,Kälte::N,студ,сивӗ
99,Hitze::N,жега,вӗри
100,Hitze::N,жега,шӑрӑх
101,Hitze::N,горещина,вӗри
102,Hitze::N,горещина,шӑрӑх
103,Raureif::N,скреж,пас
104,Raureif::N,слана,пас
105,Regenbogen::N,дъга,асамат кӗперӗ
106,Donner::N,гръм,аслати
107,Strömung::N,течение,юхӑ
108,Tropfen::N,капка,тумлам
109,Schaum::N,пяна,кӑпӑк
110,Schmutz::N,кал,пылчӑк
111,Schmutz::N,мръсотия,пылчӑк
112,See::N,езеро,кӳлӗ
113,Sumpf::N,блато,шур
114,Sumpf::N,блато,шурлӑх
115,Moor::N,мочурище,торфлӑ шурлӑх
116,Wiese::N,ливада,улӑх
117,Wiese::N,ливада,ҫаран
118,Wald::N,гора,вӑрман
119,Hügel::N,рид,сӑрт
120,Hügel::N,рид,тӗмеске
121,Hügel::N,хълм,сӑрт
122,Hügel::N,хълм,тӗмеске
123,Anhöhe::N,могила,сӑрт
124,Anhöhe::N,възвишение,сӑрт
125,Berg::N,планина,ту
126,Gipfel::N,връх,тӳпе
127,Höhle::N,пещера,ҫӗр хӑвӑлӗ
128,Abhang::N,склон,тӑвайкки
129,Abhang::N,стръмнина,тӑвайкки
130,Quelle::N,извор,ҫӑл куҫ
131,Bach::N,поток,пӗчӗк шыв
132,Fluss::N,река,юхан шыв
133,Ufer::N,бряг,ҫыран
134,Küste::N,бряг,тинӗс ҫыранӗ
135,Küste::N,крайбрежие,тинӗс ҫыранӗ
136,Festland::N,суша,тип ҫӗр
137,Meer::N,море,тинӗс
138,Bucht::N,залив,тинӗс кукӑрӗ
139,Insel::N,остров,утрав
140,Blume::N,цвете,чечек
141,Gras::N,трева,курӑк
142,Wurzel::N,корен,тымар
143,Baum::N,дърво,йывӑҫ
144,Stamm::N,стъбло,вулӑ
145,Rinde::N,кора,хуйӑр
146,Ast::N,клон,турат
147,Zweig::N,клон,турат
148,Blatt::N,лист,ҫулҫӑ
149,Birke::N,бреза,хурӑн
150,Kiefer[Baum]::N,бор,хыр
151,Weide[Baum]::N,върба,хӑва
152,Tanne::N,ела,чӑрӑш
153,Horn::N,рог,мӑйрака
154,Feder::N,перо,тӗк
155,Fell::N,кожа,ҫӑм
156,Flügel::N,крило,ҫунат
157,Klaue::N,нокът,чӗрне
158,Kralle::N,нокът,ура
159,Schwanz::N,опашка,хӳре
160,Ei::N,яйце,ҫӑмарта
161,Nest::N,гнездо,йӑва
162,Bau::N,дупка,йӗнӗ
163,Tier::N,животно,выльӑх
164,Herde::N,стадо,кӗтӳ
165,Kuh::N,крава,ӗне
166,Bulle::N,бик,вӑкӑр
167,Pferd::N,кон,лаша
168,Schaf::N,овца,сурӑх
169,Schwein::N,свиня,сысна
170,Hund::N,куче,йытӑ
171,Katze::N,котка,кушак
172,Bär::N,мечка,упа
173,Eichhörnchen::N,катерица,пакша
174,Elch::N,лос,пӑши
175,Fuchs::N,лисица,тилӗ
176,Hase::N,заек,куян
177,Hase::N,заек,мулкач
