,Concept_ID,es,ca
0,Auge::N,ojo,ull
1,Ohr::N,oreja,orella
2,Nase::N,nariz,nas
3,Mund::N,boca,boca
4,Zahn::N,diente,dent
5,Zunge::N,lengua,llēngua
6,Lippe::N,labio,llavi
7,Wange::N,mejilla,galta
8,Gesicht::N,cara,cara
9,Stirn::N,frente,front
10,Haar::N,cabello,cabēll
11,Schnurrbart::N,bigote,bigoti
12,Bart::N,barba,barba
13,Kinn::N,barbilla,mentó
14,Kinn::N,barbilla,barbeta
15,Kiefer[Anatomie]::N,mandíbula,queix
16,Kiefer[Anatomie]::N,mandíbula,mandíbula
17,Kehle::N,garganta,gola
18,Kehle::N,garganta,gorja
19,Hals::N,cuello,coll
20,Genick::N,nuca,nuca
21,Genick::N,cerviz,nuca
22,Kopf::N,cabeza,cap
23,Rücken::N,espalda,esquena
24,Bauch::N,vientre,panxa
25,Nabel::N,ombligo,llombrígol
26,Busen::N,pecho,pit
27,Busen::N,pecho,mama
28,Brust::N,pecho,pit
29,Schulter::N,hombro,espatlla
30,Arm::N,brazo,braç
31,Ellenbogen::N,codo,colze
32,Hand::N,mano,mà
33,Handfläche::N,palma,palma
34,Finger::N,dedo,dit
35,Fingernagel::N,uña,ungla
36,Nagel[Anatomie]::N,uña,ungla
37,Zeh::N,dedo del pie,dit del peu
38,Fuß::N,pie,peu
39,Ferse::N,talón,taló
40,Knie::N,rodilla,genoll
41,Oberschenkel::N,muslo,cuixa
42,Bein::N,pierna,cama
43,Körper::N,cuerpo,cos
44,Haut::N,piel,pell
45,Blut::N,sangre,sang
46,Ader::N,vena,vena
47,Sehne::N,tendón,tendó
48,Knochen::N,hueso,os
49,Gehirn::N,cerebro,cervell
50,Gehirn::N,encéfalo,cervell
51,Herz::N,corazón,cor
52,Magen::N,estómago,estómac
53,Leber::N,hígado,fetge
54,Atem::N,aliento,alè
55,Atem::N,aliento,hàlit
56,Hunger::N,hambre,fam
57,Hunger::N,hambre,gana
58,Träne::N,lágrima,llàgrima
59,Geschmack::N,gusto,gust
60,Geschmack::N,gusto,sabor
61,Geruch::N,olor,olor
62,Schlaf::N,sueño,son
63,Traum::N,sueño,somni
64,Traum::N,ensueño,somni
65,Himmel::N,cielo,celm
66,Sonne::N,sol,sol
67,Mond::N,luna,lluna
68,Stern::N,estrella,estel
69,Stern::N,estrella,estrella
70,Luft::N,aire,aire
71,Wind::N,viento,vent
72,Welle::N,ola,ona
73,Welle::N,onda,ona
74,Wasser::N,agua,āigua
75,Stein::N,piedra,pedra
76,Boden::N,suelo,sòl
77,Erde::N,tierra,terra
78,Staub::N,polvo,pols
79,Rauch::N,humo,fum
80,Funke::N,chispa,guspira
81,Funke::N,chispa,centella
82,Feuer::N,fuego,foc
83,Licht::N,luz,llum
84,Schatten::N,sombra,ombra
85,Wetter::N,tiempo,temps
86,Nebel::N,niebla,boira
87,Wolke::N,nube,núvol
88,Regen::N,lluvia,pluja
89,Schnee::N,nieve,neu
90,Eis::N,hielo,gel
91,Eis::N,hielo,glaç
92,Frost::N,helada,glaçada
93,Kälte::N,frío,fred
94,Hitze::N,calor,calor
95,Raureif::N,escarcha,gebre
96,Regenbogen::N,arco iris,arc iris
97,Donner::N,trueno,tro
98,Strömung::N,corriente,corrent
99,Tropfen::N,gota,gota
100,Schaum::N,espuma,escuma
101,Schmutz::N,suciedad,brutícia
102,See::N,lago,llac
103,Sumpf::N,pantano,pantà
104,Moor::N,turbera,pantà
105,Wiese::N,prado,prat
106,Wiese::N,prado,prada
107,Wiese::N,pradera,prat
108,Wiese::N,pradera,prada
109,Wald::N,bosque,bosc
110,Hügel::N,colina,puig
111,Hügel::N,colina,pujol
112,Anhöhe::N,cerro,turó
113,Berg::N,monte,muntanya
114,Berg::N,montaña,muntanya
115,Gipfel::N,cima,cim
116,Gipfel::N,cumbre,cim
117,Höhle::N,cueva,cova
118,Höhle::N,caverna,cova
119,Abhang::N,cuesta,coster
120,Abhang::N,declive,coster
121,Quelle::N,fuente,font
122,Quelle::N,manantial,font
123,Bach::N,arroyo,riera
124,Fluss::N,río,riu
125,Ufer::N,orilla,riba
126,Küste::N,costa,costa
127,Festland::N,tierra firme,terra ferma
128,Meer::N,mar,mar
129,Bucht::N,cala,cala
130,Bucht::N,cala,badia
131,Bucht::N,bahía,cala
132,Bucht::N,bahía,badia
133,Insel::N,isla,illa
134,Blume::N,flor,flor
135,Gras::N,hierba,herba
136,Wurzel::N,raíz,rel
137,Wurzel::N,raíz,arrel
138,Baum::N,árbol,arbre
139,Stamm::N,tronco,tronc
140,Rinde::N,corteza,escorça
141,Ast::N,rama,branca
142,Zweig::N,ramo,ram
143,Blatt::N,hoja,fulla
144,Birke::N,abedul,bedoll
145,Kiefer[Baum]::N,pino,pi
146,Weide[Baum]::N,sauce,salze
147,Tanne::N,abeto,avet
148,Horn::N,asta,corn
149,Horn::N,asta,banya
150,Horn::N,cuerno,corn
151,Horn::N,cuerno,banya
152,Feder::N,pluma,ploma
153,Fell::N,piel,pell
154,Flügel::N,ala,ala
155,Klaue::N,garra,urpa
156,Kralle::N,uña,grapa
157,Kralle::N,garra,grapa
158,Schwanz::N,cola,cua
159,Ei::N,huevo,ou
160,Nest::N,nido,niu
161,Bau::N,madriguera,cau
162,Tier::N,animal,animāl
163,Herde::N,rebaño,ramat
164,Kuh::N,vaca,vaca
165,Bulle::N,toro,toro
166,Pferd::N,caballo,cavāll
167,Schaf::N,oveja,be
168,Schaf::N,oveja,ovella
169,Schwein::N,cerdo,bacó
170,Hund::N,perro,ca
171,Hund::N,perro,gos
172,Katze::N,gato,gat
173,Bär::N,oso,ós
174,Eichhörnchen::N,ardilla,esquirol
175,Elch::N,alce,ant
176,Fuchs::N,zorro,guilla
177,Hase::N,liebre,llebre
178,Maus::N,ratón,ratolí
179,Wolf::N,lobo,llop
180,Vogel::N,ave,au
181,Vogel::N,ave,ocēll
182,Vogel::N,pájaro,au
183,Vogel::N,pájaro,ocēll
184,Schwarm::N,bandada,bandada
185,Huhn::N,gallina,gallina
186,Hahn::N,gallo,gall
187,Gans::N,oca,oca
188,Gans::N,ganso,oca
189,Adler::N,águila,àguila
190,Ente::N,pato,ànec
191,Eule::N,lechuza,òliba
192,Eule::N,lechuza,mussol
193,Kranich::N,grulla,grua
194,Krähe::N,corneja,cornella
195,Kuckuck::N,cuco,cucut
196,Schwan::N,cisne,cigne
197,Fisch::N,pez,peix
198,Barsch::N,perca,perca
199,Hecht::N,lucio,lluç
200,Schlange[Tier]::N,serpiente,serp
201,Wurm::N,gusano,cuc
202,Spinne::N,araña,aranya
203,Ameise::N,hormiga,formiga
204,Laus::N,piojo,poll
205,Mücke::N,mosquito,mosquit
206,Fliege::N,mosca,mosca
207,Schmetterling::N,mariposa,papallona
208,Beere::N,baya,baia
209,Apfel::N,manzana,poma
210,Pilz::N,seta,bolet
211,Pilz::N,hongo,bolet
212,Zwiebel::N,cebolla,ceba
213,Saat::N,siembra,sembra
214,Korn::N,grano,gra
215,Heu::N,heno,fenc
216,Schale::N,cáscara,closca
217,Grube::N,foso,sot
218,Grube::N,foso,clot
219,Falle::N,trampa,trampa
220,Schlinge::N,lazo,baga
221,Spur::N,huella,traça
222,Asche::N,ceniza,cendra
223,Dreck::N,suciedad,llot
224,Eisen::N,hierro,ferro
225,Gold::N,oro,or
226,Silber::N,plata,plata
227,Kohle::N,carbón,carbó
228,Glas::N,vidrio,vidre
229,Glas::N,cristal,vidre
230,Lehm::N,barro,fang
231,Lehm::N,barro,argila
232,Sand::N,arena,arena
233,Mensch::N,hombre,humà
234,Mensch::N,hombre,persona
235,Mensch::N,ser humano,humà
236,Mensch::N,ser humano,persona
237,Mann::N,hombre,home
238,Frau::N,mujer,dona
239,Kind::N,niño,nen
240,Junge::N,chico,noi
241,Junge::N,muchacho,noi
242,Mädchen::N,chica,noia
243,Mädchen::N,muchacha,noia
244,Familie::N,familia,família
245,Großvater::N,abuelo,avi
246,Großmutter::N,abuela,àvia
247,Eltern::N,padres,pares
248,Vater::N,padre,pare
249,Mutter::N,madre,mare
250,Sohn::N,hijo,fill
251,Tochter::N,hija,filla
252,Bruder::N,hermano,germà
253,Schwester::N,hermana,germana
254,Onkel::N,tío,oncle
255,Tante::N,tía,tia
256,Ehemann::N,esposo,espòs
257,Ehefrau::N,esposa,muller
258,Freude::N,placer,goig
259,Freude::N,placer,alegria
260,Freude::N,alegría,goig
261,Freude::N,alegría,alegria
262,Gelächter::N,risa,riallada
263,Gelächter::N,carcajada,riallada
264,Glück::N,felicidad,felicitat
265,Kummer::N,pena,pena
266,Wunsch::N,deseo,desig
267,Lust::N,ganas,ganes
268,Geist::N,mente,ment
269,Geist::N,mente,esperit
270,Geist::N,espíritu,ment
271,Geist::N,espíritu,esperit
272,Gedanke::N,idea,pensament
273,Gedanke::N,pensamiento,pensament
274,Gedächtnis::N,memoria,memòria
275,Verstand::N,razón,raó
276,Verstand::N,razón,seny
277,Verstand::N,entendimiento,raó
278,Verstand::N,entendimiento,seny
279,Sinn::N,sentido,solta
280,Sinn::N,sentido,sentit
281,Sinn::N,significado,solta
282,Sinn::N,significado,sentit
283,Grund::N,causa,raó
284,Grund::N,causa,causa
285,Wahrheit::N,verdad,veritāt
286,Gespräch::N,conversación,conversa
287,Märchen::N,cuento,conte
288,Erzählung::N,cuento,narració
289,Erzählung::N,narración,narració
290,Nachricht::N,mensaje,missatge
291,Neuigkeit::N,noticia,novetat
292,Name::N,nombre,nom
293,Rätsel::N,acertijo,endevinalla
294,Rätsel::N,adivinanza,endevinalla
295,Rede::N,discurso,discurs
296,Sprache::N,lengua,llēngua
297,Stimme::N,voz,veu
298,Wort::N,palabra,mot
299,Wort::N,palabra,paraula
300,Zeichen::N,señal,signe
301,Zeichen::N,señal,senyal
302,Ruf::N,llamada,crida
303,Lärm::N,ruido,sorōll
304,Lärm::N,barullo,sorōll
305,Laut::N,sonido,so
306,Ton::N,tono,to
307,Lied::N,canción,cançó
308,Ruhe::N,calma,calma
309,Ruhe::N,calma,silenci
310,Ruhe::N,silencio,calma
311,Ruhe::N,silencio,silenci
312,Leute::N,gente,gent
313,Volk::N,pueblo,poble
314,Arbeit::N,trabajo,labor
315,Arbeit::N,trabajo,treball
316,Gast::N,huésped,hoste
317,Gast::N,invitado,hoste
318,Geschenk::N,regalo,regal
319,Geschenk::N,regalo,obsequi
320,Spiel::N,juego,joc
321,Gesellschaft::N,compañía,companyia
322,Hilfe::N,ayuda,ajut
323,Hilfe::N,socorro,ajut
324,Freund::N,amigo,amīc
325,Kamerad::N,camarada,company
326,Kamerad::N,camarada,camarada
327,Kamerad::N,compañero,company
328,Kamerad::N,compañero,camarada
329,Angelegenheit::N,asunto,afer
330,Angelegenheit::N,asunto,assumpte
331,Anzahl::N,cantidad,nombre
332,Anzahl::N,cantidad,quantitat
333,Art::N,tipo,tipus
334,Art::N,tipo,classe
335,Art::N,clase,tipus
336,Art::N,clase,classe
337,Stück::N,pieza,peça
338,Teil::N,parte,part
339,Hälfte::N,mitad,meitat
340,Kreis::N,círculo,cercle
341,Kreuz::N,cruz,creu
342,Linie::N,línea,línia
343,Strich::N,raya,traç
344,Strich::N,raya,ratlla
345,Strich::N,trazo,traç
346,Strich::N,trazo,ratlla
347,Abstand::N,distancia,distància
348,Entfernung::N,distancia,distància
349,Gegend::N,región,regió
350,Gegend::N,región,contrada
351,Gegend::N,comarca,regió
352,Gegend::N,comarca,contrada
353,Platz::N,espacio,cabuda
354,Ort::N,sitio,lloc
355,Seite::N,lado,banda
356,Seite::N,lado,costāt
357,Seite::N,costado,banda
358,Seite::N,costado,costāt
359,Mitte::N,medio,mig
360,Mitte::N,medio,centre
361,Mitte::N,centro,mig
362,Mitte::N,centro,centre
363,Gegenstand::N,objeto,objecte
364,Sache::N,cosa,cosa
365,Rand::N,borde,vora
366,Rand::N,borde,marge
367,Kante::N,borde,caire
368,Kante::N,borde,cantell
369,Ecke::N,esquina,cantonada
370,Spitze::N,punta,punta
371,Ende::N,cabo,cap
372,Ende::N,extremo,cap
373,Loch::N,agujero,forāt
374,Loch::N,abertura,forāt
375,Winkel::N,ángulo,racó
376,Muster::N,dibujo,dibuix
377,Muster::N,dibujo,disseny
378,Größe::N,tamaño,grandària
379,Länge::N,longitud,longitud
380,Höhe::N,altura,altura
381,Höhe::N,altura,altitud
382,Höhe::N,altitud,altura
383,Höhe::N,altitud,altitud
384,Gewicht::N,peso,pes
385,Menge::N,cantidad,quantitat
386,Haufen::N,montón,pila
387,Reihe::N,fila,fila
388,Boot::N,bote,bot
389,Boot::N,bote,barca
390,Boot::N,barca,bot
391,Boot::N,barca,barca
392,Ruder::N,remo,rem
393,Schlitten::N,trineo,trineu
394,Ski::N,esquí,esquí
395,Lagerfeuer::N,hoguera,foc de campament
396,Last::N,carga,càrrega
397,Gang::N,marcha,marxa
398,Schritt::N,paso,pas
399,Norden::N,norte,nord
400,Süden::N,sur,sud
401,Westen::N,oeste,oest
402,Westen::N,oeste,occident
403,Osten::N,este,est
404,Osten::N,este,orient
405,Holz::N,madera,fusta
406,Brett::N,tabla,taula
407,Platte::N,placa,placa
408,Platte::N,plancha,placa
409,Stütze::N,sostén,suport
410,Stütze::N,soporte,suport
411,Stange::N,vara,vara
412,Stange::N,percha,vara
413,Stock::N,palo,pal
414,Stock::N,bastón,pal
415,Stab::N,vara,bastó
416,Stab::N,bastón,bastó
417,Rohr::N,tubo,tub
418,Haus::N,casa,casa
419,Heim::N,hogar,llar
420,Ofen::N,estufa,estufa
421,Fußboden::N,suelo,terra
422,Tisch::N,mesa,taula
423,Stuhl::N,silla,cadira
424,Wiege::N,cuna,bressol
425,Bett::N,cama,llit
426,Regal::N,estantería,prestatgeria
427,Kiste::N,caja,caixa
428,Fenster::N,ventana,finestra
429,Tür::N,puerta,porta
430,Tor::N,puerta,portal
431,Zaun::N,valla,tanca
432,Zaun::N,cercado,tanca
433,Dach::N,techo,teulada
434,Dach::N,tejado,teulada
435,Leiter::N,escalera,escala
436,Leiter::N,escalera,escala de mà
437,Besen::N,escoba,escombra
438,Spaten::N,pala,pala
439,Schaufel::N,pala,pala
440,Schaufel::N,paleta,pala
441,Gabel::N,tenedor,forquilla
442,Löffel::N,cuchara,cullera
443,Messer::N,cuchillo,coltell
444,Nagel::N,clavo,clau
445,Netz::N,red,filat
446,Haken::N,gancho,ganxo
447,Haken::N,corchete,ganxo
448,Griff::N,asa,puny
449,Griff::N,asa,mànec
450,Griff::N,mango,puny
451,Griff::N,mango,mànec
452,Schloss::N,cerradura,pany
453,Bild::N,imagen,imatge
454,Figur::N,figura,figura
455,Puppe::N,muñeca,nina
