,Concept_ID,kv,udm
0,Auge::N,син,син
1,Ohr::N,пель,пель
2,Nase::N,ныр,ныр
3,Mund::N,ӧм,ым
4,Zahn::N,пинь,пинь
5,Zunge::N,кыв,кыл
6,Lippe::N,тырп,ымдур
7,Wange::N,рожабан,бам
8,Gesicht::N,бан,ымныр
9,Stirn::N,кымӧс,кымес
10,Haar::N,юрси,йырси
11,Schnurrbart::N,уссэз,мыйык
12,Bart::N,тош,туш
13,Kinn::N,тшӧка,ангес
14,Kiefer[Anatomie]::N,ан,ан
15,Kiefer[Anatomie]::N,ан,анлы
16,Kehle::N,юан,гульым
17,Hals::N,юан,чырты
18,Genick::N,юр бӧр,йырбер
19,Kopf::N,юр,йыр
20,Rücken::N,мышк,мыш
21,Bauch::N,кынӧм,кӧт
22,Nabel::N,гӧг,гогы
23,Busen::N,морос,ноны
24,Brust::N,морос,мӧля
25,Schulter::N,пельпон,пельпум
26,Arm::N,ки,суй
27,Ellenbogen::N,гырдзза,гырпум
28,Hand::N,кикар,ки
29,Handfläche::N,ки пыдӧс,ки пыдэс
30,Handfläche::N,ки пыдӧс,кырым пыдэс
31,Finger::N,чунь,чиньы
32,Fingernagel::N,гыж,гижы
33,Fingernagel::N,гыж,гиждӥнь
34,Nagel[Anatomie]::N,гыж,гижы
35,Zeh::N,чунь,пыдчиньы
36,Fuß::N,кокпыдӧс,пыд
37,Ferse::N,кокдзир,пыдбер
38,Knie::N,пидзӧс,пыдес
39,Oberschenkel::N,лядьбей,макес
40,Bein::N,кок,пыд
41,Körper::N,вывтыр,мугор
42,Körper::N,вывтыр,вылтыр
43,Haut::N,кучик,ку
44,Blut::N,вир,вир
45,Ader::N,сӧн,вирсэр
46,Sehne::N,жила,вуж
47,Knochen::N,коска,лы
48,Gehirn::N,вем,вим
49,Herz::N,сьӧлӧм,сюлэм
50,Magen::N,жӧвдӧк,ӝуш
51,Leber::N,мус,мус
52,Atem::N,лолалӧм,лул
53,Atem::N,лолалӧм,шокан
54,Hunger::N,тшыг,кӧтсюман
55,Träne::N,синва,синкыли
56,Geschmack::N,кӧр,шӧм
57,Geruch::N,дук,зын
58,Schlaf::N,он,вӧт
59,Traum::N,вӧт,уйвӧт
60,Himmel::N,небо,ин
61,Sonne::N,шондi,шунды
62,Mond::N,тӧлiсь,толэзь
63,Stern::N,кӧдзыв,кизили
