,Concept_ID,cv,ba
0,Auge::N,куҫ,күҙ
1,Ohr::N,хӑлха,ҡолаҡ
2,Nase::N,сӑмса,танау
3,Mund::N,ҫӑвар,ауыҙ
4,Zahn::N,шӑл,теш
5,Zunge::N,чӗлхе,тел
6,Lippe::N,тута,ирен
7,Wange::N,пит ҫӑмарти,яцаҡтар
8,Gesicht::N,пит,бит
9,Gesicht::N,пит-куҫ,бит
10,Stirn::N,ҫамка,маңлай
11,Haar::N,ҫӳҫ,сәс
12,Schnurrbart::N,усси,мылтыҡ
13,Bart::N,сухал,һаҡал
14,Kinn::N,янах,эйэк
15,Kiefer[Anatomie]::N,янах,яңаҡ һөйәге
16,Kehle::N,пыр,тамаҡ
17,Kehle::N,карланкӑ,тамаҡ
18,Hals::N,пыр,муйын
19,Genick::N,ӗнсе,соңҡа
20,Kopf::N,пуҫ,баш
21,Rücken::N,ҫурӑм,арҡа
22,Nabel::N,кӑвапа,кендек
23,Busen::N,кӑкӑр,күкрәк
24,Brust::N,умӗ,түш
25,Schulter::N,хул пуҫҫи,яурын
26,Arm::N,алӑ,ҡул
27,Ellenbogen::N,чавса,терһәк
28,Hand::N,алӑ сыппи,ҡул
29,Hand::N,алӑ сыппи,ҡул суғы
30,Handfläche::N,ал лаппи,ус төбө
31,Finger::N,пӳрне,бармаҡ
32,Fingernagel::N,чӗрне,тырнаҡ
33,Nagel[Anatomie]::N,чӗрне,тырнаҡ
34,Zeh::N,пӳрне,бармаҡ
35,Fuß::N,ура лаппи,табан
36,Ferse::N,кӗле,үксә
37,Knie::N,чӗркуҫҫи,тубыҡ
38,Oberschenkel::N,пӗҫӗ,сандыр
39,Bein::N,ура,аяҡ
40,Körper::N,ӳт,тән
41,Körper::N,ӳт-пӳ,тән
42,Haut::N,тир,тире
43,Blut::N,юн,ҡан
44,Ader::N,вена,тамыр
45,Sehne::N,шӑнӑр,һеңер
46,Sehne::N,шӑнӑр,тарамыш
47,Knochen::N,шӑмӑ,һойәк
48,Gehirn::N,миме,мейе
49,Herz::N,чӗре,йорәк
50,Magen::N,хырӑмлӑх,ашҡаҙан
51,Leber::N,пӗвер,бауыр
52,Atem::N,сывлав,һулыш
53,Hunger::N,выҫлӑх,аслыҡ
