,Concept_ID,lbe,ce
100,Hügel::N,бакӏу,барз
101,Berg::N,зунтту,лам
102,Gipfel::N,мицӏ,бохь
103,Höhle::N,нух,хьех
104,Abhang::N,сун,басе
105,Quelle::N,дайдихьу,шовда
106,Quelle::N,бакӏ,шовда
107,Bach::N,чӏрир нех,татол
108,Fluss::N,нех,хи
109,Ufer::N,зума,хийист
110,Küste::N,зумаинхалу,йист
111,Küste::N,зуманицӏалу,йист
112,Festland::N,кьири,латта
113,Meer::N,хьхьири,xӏорд
114,Insel::N,жазира,гӏайре
115,Blume::N,тӏутӏи,зезаг
116,Gras::N,уртту,буц
117,Wurzel::N,мархха,орам
118,Baum::N,мурхь,дитт
119,Stamm::N,ттарцӏ,гӏад
120,Stamm::N,ттарцӏ,тайпа
121,Rinde::N,ккамара,кевстиг
122,Ast::N,матӏи,га
123,Zweig::N,къяртта,га
124,Blatt::N,чӏапӏи,гӏа
125,Birke::N,кӏялахӏи,дакх
126,Birke::N,кӏялахӏилул мурхь,дакх
127,Kiefer[Baum]::N,ттар,бага
128,Kiefer[Baum]::N,ттарлил мурхь,бага
129,Weide[Baum]::N,щавщи,дак
130,Tanne::N,ттарлил мурхь,база
131,Horn::N,хъи,маӏа
132,Feder::N,лелуххул тӏиму,пелаг
133,Fell::N,бурчу,цӏока
134,Flügel::N,хъа,тӏам
135,Flügel::N,ххурупӏайрал тӏиму,тӏам
136,Klaue::N,михь,мӏара
137,Kralle::N,ххяппа,тlод
138,Schwanz::N,магъ,цӏога
139,Ei::N,ккунук,xӏoa
140,Nest::N,кюру,бен
141,Bau::N,цукъуккутӏ,lуьрг
142,Tier::N,хӏайван,дийнат
143,Herde::N,газу,жа
144,Kuh::N,оьл,етт
145,Bulle::N,ниц,сту
146,Pferd::N,чу,говр
147,Schaf::N,тта,жий
148,Schaf::N,тта,уьстагӏ
149,Schwein::N,дунгъуз,хьакха
150,Hund::N,ккаччи,жӏаьла
151,Katze::N,ччиту,цициг
152,Bär::N,цуша,ча
153,Eichhörnchen::N,бюрхттукку,тарсал
154,Elch::N,ниц-бюрин,сай
155,Fuchs::N,цулчӏа,цхьогал
156,Fuchs::N,куча цулчӏа,цхьогал
157,Hase::N,бюрх,пхьагал
158,Maus::N,кӏулу,дахка
159,Wolf::N,барцӏ,борз
160,Vogel::N,лелуххи,олхазар
161,Schwarm::N,гьухъала,
162,Huhn::N,аьнакӏи,котам
163,Hahn::N,ажари,нӏаьна
164,Hahn::N,ажари,боргӏал
165,Gans::N,къаз,гӏаз
166,Adler::N,барзу,aьрзу
167,Ente::N,урдак,бад
168,Eule::N,ису,бухӏа
169,Eule::N,ччиккумяв,бухӏа
170,Kranich::N,кьурукь,гӏаргӏули
171,Krähe::N,хъатӏу,къиг
172,Kuckuck::N,ччикку,aттйокх
173,Schwan::N,урттил къаз,гӏургӏаз
174,Fisch::N,чавахъ,чӏара
