,Concept_ID,vep,ku
189,Ameise::N,murahaine,mîro
190,Ameise::N,murahaine,gêrîk
191,Laus::N,täi,spi
192,Mücke::N,säs'k,mêş
193,Fliege::N,kärbhaine,mêş
194,Schmetterling::N,lipkaine,perperîk
195,Beere::N,marj,hirç
196,Apfel::N,jablok,sêv
197,Pilz::N,sen',bîrov
198,Pilz::N,babuk,bîrov
199,Zwiebel::N,lauk,pîvaz
200,Saat::N,semned,tov
201,Korn::N,jüvä,dexl
202,Korn::N,vill',dexl
203,Heu::N,hein,sap
204,Schale::N,kor',qaşik
205,Grube::N,kop,çahl
206,Falle::N,rida,dafik
207,Schlinge::N,rihm,dahf
208,Spur::N,jäl'g,rêç
209,Asche::N,tuhk,xweli
210,Dreck::N,redu,gemarî
211,Dreck::N,pačak,gemarî
212,Eisen::N,raud,hesing
213,Gold::N,kuld,zêr
214,Silber::N,hobed,zîv
215,Kohle::N,hil',komir
216,Glas::N,stökol,qedeh
217,Lehm::N,savi,kelpîç
218,Sand::N,lete,qûm
219,Mensch::N,mez',mirov
220,Mensch::N,ristit,mirov
221,Mann::N,mez',mêr
222,Frau::N,naine,jin
223,Kind::N,laps',zarok
224,Junge::N,poig,kur
225,Junge::N,prihaine,kur
226,Mädchen::N,neičukaine,keç
227,Mädchen::N,neičukaine,keçik
228,Familie::N,kanz,malbat
229,Familie::N,pereh,malbat
230,Großvater::N,ded,bapîr
231,Großmutter::N,bab,pîrik
232,Eltern::N,vanhembad,bavudê
233,Eltern::N,kazvatajad,bavudê
234,Vater::N,tat,bav
235,Mutter::N,mam,dê
236,Mutter::N,mam,dayik
237,Sohn::N,poig,kur
238,Tochter::N,tütär,keç
239,Bruder::N,veik,bira
240,Bruder::N,vell',bira
241,Schwester::N,čiža,xweh
242,Schwester::N,sizar,xweh
243,Onkel::N,däd',am
244,Onkel::N,däd',xal
245,Tante::N,tädi,metik
246,Tante::N,tädi,xaltîk
247,Ehemann::N,mužik,mêr
248,Ehefrau::N,ak,kulfet
249,Freude::N,ilo,kêfxweşî
250,Freude::N,ihastuz,kêfxweşî
251,Gelächter::N,nagr,pîrqînî
252,Glück::N,oza,bext
253,Kummer::N,gor'a,derd
