,Concept_ID,te,de
0,Auge::N,కన్ను,Auge
1,Ohr::N,చెవి,Ohr
2,Nase::N,ముక్కు,Nase
3,Mund::N,నోరు,Mund
4,Zahn::N,పల్లు,Zahn
5,Zunge::N,నాలుక,Zunge
6,Lippe::N,పెదవి,Lippe
7,Wange::N,చెంప,Wange
8,Gesicht::N,ముఖము,Gesicht
9,Stirn::N,నుదురు,Stirn
10,Haar::N,వెండ్రుక,Haar
11,Schnurrbart::N,మీసము,Schnurrbart
12,Bart::N,గడ్డము,Bart
13,Kinn::N,గడ్డము,Kinn
14,Kiefer[Anatomie]::N,దౌడ,Kiefer
15,Kehle::N,గొంతు,Kehle
16,Hals::N,మెడ,Hals
17,Genick::N,మూపు,Genick
18,Kopf::N,తల,Kopf
19,Rücken::N,వెన్ను,Rücken
20,Bauch::N,కడుపు,Bauch
21,Nabel::N,బొడ్డు,Nabel
22,Busen::N,స్తనము,Busen
23,Brust::N,ఱొమ్ము,Brust
24,Schulter::N,భుజము,Schulter
25,Arm::N,చేయి,Arm
26,Ellenbogen::N,మోచేయి,Ellenbogen
27,Hand::N,చేయి,Hand
28,Handfläche::N,అరచేయు,Handfläche
29,Finger::N,చేతిప్రేలు,Finger
30,Fingernagel::N,గోరు,Fingernagel
31,Nagel[Anatomie]::N,గోరు,Nagel
32,Zeh::N,కాలిప్రేలు,Zeh
33,Fuß::N,అడుగు,Fuß
34,Ferse::N,మడమ,Ferse
35,Knie::N,మోకాలు,Knie
36,Oberschenkel::N,తొడ,Oberschenkel
37,Bein::N,కాలు,Bein
38,Körper::N,కాయము,Körper
39,Haut::N,చర్మము,Haut
40,Blut::N,రక్తము,Blut
41,Ader::N,సిర,Ader
42,Sehne::N,స్నాయువు,Sehne
43,Knochen::N,ఎముక,Knochen
44,Gehirn::N,మెదడు,Gehirn
45,Herz::N,హృదయము,Herz
46,Magen::N,కడుపు,Magen
47,Leber::N,కాలేయము,Leber
48,Atem::N,ఉపిరి,Atem
49,Hunger::N,ఆకలి,Hunger
50,Träne::N,కన్నీటిచుక్క,Träne
51,Geschmack::N,రుచి,Geschmack
52,Geruch::N,వాసన,Geruch
53,Schlaf::N,నిద్ర,Schlaf
54,Traum::N,కల,Traum
55,Himmel::N,ఆకాశము,Himmel
56,Sonne::N,సూర్యుడు,Sonne
57,Mond::N,చంద్రుడు,Mond
58,Stern::N,నక్షత్రము,Stern
59,Luft::N,గాలి,Luft
60,Wind::N,వీచుచున్నగాలి,Wind
61,Welle::N,అల,Welle
62,Wasser::N,నీరు,Wasser
63,Stein::N,ఱాయి,Stein
64,Boden::N,నేల,Boden
65,Erde::N,మన్ను,Erde
66,Staub::N,దుమ్ము,Staub
67,Rauch::N,పొగ,Rauch
68,Funke::N,అగ్నికణము,Funke
69,Feuer::N,అగ్ని,Feuer
70,Licht::N,కాంతి,Licht
71,Schatten::N,నీడ,Schatten
72,Wetter::N,వాతావరణ స్థితి,Wetter
73,Nebel::N,పొగమంచు,Nebel
74,Wolke::N,మేఘము,Wolke
75,Regen::N,వాన,Regen
76,Schnee::N,హిమము,Schnee
77,Eis::N,మంచుగడ్డ,Eis
78,Frost::N,పేరిన మంచు,Frost
79,Kälte::N,చలి,Kälte
80,Hitze::N,వేడిమి,Hitze
81,Raureif::N,మంచు,Raureif
82,Regenbogen::N,ఇంద్రధనుస్సు,Regenbogen
83,Donner::N,ఉరుము,Donner
84,Strömung::N,ప్రవాహము,Strömung
