,Concept_ID,kk,fr
0,Auge::N,көз,œil
1,Ohr::N,құлақ,oreille
2,Nase::N,мұрын,nez
3,Mund::N,ауыз,bouche
4,Zahn::N,тіс,dent
5,Zunge::N,тіл,langue
6,Lippe::N,ерін,lèvre
7,Wange::N,ұрт,joue
8,Gesicht::N,бет-аузы,face
9,Gesicht::N,бет-аузы,visage
10,Stirn::N,маңдай,front
11,Haar::N,қыл,cheveu
12,Schnurrbart::N,мұрт,moustache
13,Bart::N,сақал,barbe
14,Kinn::N,иек,menton
15,Kiefer[Anatomie]::N,жақ,mâchoire
16,Kehle::N,алқым,gorge
17,Hals::N,мойын,cou
18,Genick::N,желке,nuque
19,Kopf::N,кәллә,tête
20,Rücken::N,арқа,dos
21,Bauch::N,қарын,ventre
22,Nabel::N,кіндік,nombril
23,Busen::N,омырау,sein
24,Brust::N,кеуде,poitrine
25,Schulter::N,иық,épaule
26,Arm::N,қол,bras
27,Ellenbogen::N,шынтақ,coude
28,Hand::N,қол,main
29,Handfläche::N,алақан,paume
30,Finger::N,саусақ,doigt
31,Fingernagel::N,тырнақ,ongle
32,Nagel[Anatomie]::N,тырнақ,ongle
33,Zeh::N,тырнақ,orteil
34,Zeh::N,тырнақ,doigt de pied
35,Zeh::N,тұяқ,orteil
36,Zeh::N,тұяқ,doigt de pied
37,Fuß::N,аяқ-басы,pied
38,Ferse::N,өкше,talon
39,Ferse::N,өкшелік,talon
40,Knie::N,тізе,genou
41,Oberschenkel::N,жамбас,cuisse
42,Bein::N,аяқ,jambe
43,Körper::N,дене,corps
44,Haut::N,тері,peau
45,Blut::N,қан,sang
46,Ader::N,көктамыр,veine
47,Ader::N,күретамыр,veine
48,Sehne::N,сіңір,tendon
49,Knochen::N,жілік,os
50,Gehirn::N,ми,cerveau
51,Herz::N,жүрек,cœur
52,Magen::N,асқазан,estomac
53,Leber::N,бауыр,foie
54,Atem::N,леп,haleine
55,Hunger::N,ашаршылық,faim
56,Träne::N,жас,larme
57,Geschmack::N,дәм,goût
58,Geschmack::N,дәм,saveur
59,Geschmack::N,татым,goût
60,Geschmack::N,татым,saveur
61,Geschmack::N,талғам,goût
62,Geschmack::N,талғам,saveur
63,Geruch::N,иіс,odeur
64,Schlaf::N,ұйқы,sommeil
65,Schlaf::N,ұйықтау,sommeil
66,Traum::N,түс,songe
67,Himmel::N,аспан,ciel
68,Himmel::N,көқ,ciel
69,Himmel::N,таңдай,ciel
70,Sonne::N,күн,soleil
71,Mond::N,ай,lune
72,Stern::N,жұлдыз,étoile
73,Luft::N,әуе,air
74,Wind::N,жел,vent
75,Welle::N,толқын,vague
76,Wasser::N,су,eau
77,Stein::N,тас,pierre
78,Boden::N,қыртыс,sol
79,Boden::N,қыртыс,terrain
80,Erde::N,топырақ,terre
81,Staub::N,шаң,poussière
82,Rauch::N,түтін,fumée
83,Funke::N,ұшқын,étincelle
84,Feuer::N,алау,feu
85,Licht::N,шұғыла,lumière
86,Schatten::N,көлеңке,ombre
87,Wetter::N,ауа райы,temps
88,Nebel::N,тұман,brume
89,Nebel::N,тұман,brouillard
90,Wolke::N,бұлт,nuage
91,Regen::N,жаңбыр,pluie
92,Schnee::N,қар,neige
93,Eis::N,мұз,glace
94,Frost::N,суық,gel
95,Frost::N,суық,gelée
96,Kälte::N,ызғар,froid
97,Kälte::N,суықтық,froid
98,Hitze::N,аптап,chaleur
99,Raureif::N,қырау,givre
100,Regenbogen::N,кемпірқосақ,arc-en-ciel
101,Donner::N,күн күркіреу,tonnerre
102,Strömung::N,ағын,courant
103,Tropfen::N,тамшы,goutte
104,Schaum::N,көбік,écume
105,Schaum::N,көбік,mousse
106,Schmutz::N,кір,boue
107,Schmutz::N,кір,saleté
108,See::N,көл,lac
109,Sumpf::N,саз,marais
110,Sumpf::N,саз,marécage
111,Moor::N,саз,tourbière
112,Wiese::N,шалғын,pré
113,Wald::N,орман,bois
114,Wald::N,орман,forêt
115,Hügel::N,төбе,coteau
116,Hügel::N,төбе,colline
117,Hügel::N,белес,coteau
118,Hügel::N,белес,colline
119,Hügel::N,белес-белес,coteau
120,Hügel::N,белес-белес,colline
121,Anhöhe::N,дөң,éminence
122,Anhöhe::N,дөң,élévation
123,Anhöhe::N,адыр,éminence
124,Anhöhe::N,адыр,élévation
125,Anhöhe::N,қырат,éminence
126,Anhöhe::N,қырат,élévation
127,Berg::N,тау,mont
128,Berg::N,тау,montagne
129,Gipfel::N,төбе,cime
130,Gipfel::N,төбе,sommet
131,Höhle::N,үңгір,caverne
132,Abhang::N,бауыр,pente
133,Abhang::N,бауыр,versant
134,Quelle::N,қайнар,source
135,Quelle::N,қайнар,fontaine
136,Bach::N,жылға,ruisseau
137,Fluss::N,өзен,fleuve
138,Fluss::N,өзен,rivière
139,Ufer::N,жиек,bord
140,Ufer::N,жиек,rivage
141,Küste::N,жиегі,côte
142,Küste::N,жағалау,côte
143,Festland::N,құрылық,terre ferme
144,Meer::N,теңіз,mer
145,Bucht::N,шығанақ,baie
146,Insel::N,арал,île
147,Blume::N,гүл,fleur
148,Gras::N,от,herbe
149,Wurzel::N,түбір,racine
150,Baum::N,ағаш,arbre
151,Baum::N,дарақ,arbre
152,Stamm::N,сояу,tronc
153,Stamm::N,оқпан,tronc
154,Rinde::N,қабық,écorce
155,Ast::N,бұтақ,branche
156,Zweig::N,шыбық,rameau
157,Blatt::N,жапырақ,feuille
158,Birke::N,қайың,bouleau
159,Kiefer[Baum]::N,қарағай,pin
160,Weide[Baum]::N,тал,saule
161,Tanne::N,шырша,sapin
162,Horn::N,мүйіз,corne
163,Feder::N,қаламұш,plume
164,Fell::N,тері,peau
165,Flügel::N,қанат,aile
166,Klaue::N,тырнақ,serre
167,Kralle::N,аяқ,ongle
168,Kralle::N,аяқ,griffe
169,Schwanz::N,құйрық,queue
170,Ei::N,жұмыртқа,œuf
171,Nest::N,ұя,nid
172,Bau::N,жатақ,terrier
173,Tier::N,айуан,animal
174,Tier::N,жануар,animal
175,Herde::N,пада,troupeau
176,Kuh::N,сиыр,vache
177,Bulle::N,өгіз,taureau
178,Pferd::N,жылқы,cheval
179,Schaf::N,қой,mouton
180,Schwein::N,шошқа,porc
181,Schwein::N,шошқа,cochon
182,Hund::N,ит,chien
183,Katze::N,мысық,chat
184,Bär::N,аю,ours
185,Eichhörnchen::N,тиін,écureuil
186,Elch::N,бұғы,élan
187,Fuchs::N,түлкі,renard
188,Hase::N,қоян,lièvre
189,Maus::N,қаптесер,souris
190,Wolf::N,бөрі,loup
191,Wolf::N,қасқыр,loup
192,Vogel::N,құс,oiseau
193,Schwarm::N,топ,nuée
194,Schwarm::N,топ,volée
195,Schwarm::N,үйір,nuée
196,Schwarm::N,үйір,volée
197,Huhn::N,тауық,poule
198,Huhn::N,мекиен,poule
199,Hahn::N,әтеш,coq
200,Hahn::N,қораз,coq
201,Gans::N,қаз,oie
202,Adler::N,бүркіт,aigle
203,Ente::N,үйрек,canard
204,Eule::N,жапалақ,hibou
205,Kranich::N,тырна,grue
206,Krähe::N,қарға,corneille
207,Kuckuck::N,көкек,coucou
208,Schwan::N,аққу,cygne
209,Fisch::N,балық,poisson
210,Barsch::N,алабұға,perche
211,Hecht::N,шортан,brochet
212,Schlange[Tier]::N,жылан,serpent
213,Wurm::N,шұбалшаң,ver
214,Spinne::N,өрмекші,araignée
215,Ameise::N,қүмырска,fourmi
216,Laus::N,бит,pou
217,Mücke::N,маса,moucheron
218,Fliege::N,шыбын,mouche
219,Schmetterling::N,көбелек,papillon
220,Beere::N,жидек,baie
221,Apfel::N,алма,pomme
222,Pilz::N,қозықұйрық,champignon
223,Pilz::N,саңыраукулақ,champignon
224,Zwiebel::N,жуа,oignon
225,Saat::N,тұқым,semence
226,Korn::N,дән,grain
227,Heu::N,шөп,foin
228,Schale::N,қабық,pelure
229,Schale::N,қабығы,pelure
230,Grube::N,ор,fosse
231,Falle::N,дұзақ,piège
232,Falle::N,қақпан,piège
233,Schlinge::N,ілмек,lacs
234,Spur::N,із,trace
235,Asche::N,күл,cendre
236,Dreck::N,былғаныш,crotte
237,Eisen::N,темір,fer
238,Gold::N,алтын,or
239,Silber::N,күміс,argent
240,Kohle::N,көмір,charbon
241,Glas::N,шыны,verre
242,Lehm::N,балшық,glaise
243,Sand::N,құм,sable
244,Mensch::N,адам,homme
245,Mann::N,еркек,homme
246,Mann::N,ер адам,homme
247,Frau::N,бике,femme
248,Frau::N,қатын,femme
249,Kind::N,бала,enfant
250,Kind::N,перзент,enfant
251,Junge::N,бала,garçon
252,Junge::N,ер бала,garçon
253,Mädchen::N,қыз,fille
254,Mädchen::N,қыз,jeune fille
255,Familie::N,жанұя,famille
256,Großvater::N,ата,grand-père
257,Großmutter::N,әже,grand-mère
258,Großmutter::N,әжей,grand-mère
259,Eltern::N,ата-аналар,parents
260,Vater::N,әке,père
261,Mutter::N,ана,mère
262,Sohn::N,ұл,fils
263,Tochter::N,қызым,fille
