,Concept_ID,be,is
0,Auge::N,вока,auga
1,Ohr::N,вуха,eyra
2,Nase::N,нос,nef
3,Mund::N,рот,munnur
4,Zahn::N,зуб,tönn
5,Zunge::N,язык,tunga
6,Lippe::N,губа,vör
7,Wange::N,шчака,kinn
8,Wange::N,шчака,vangi
9,Gesicht::N,твар,andlit
10,Stirn::N,лоб,enni
11,Haar::N,волас,hár
12,Haar::N,валасы,hár
13,Schnurrbart::N,вус,yfirskegg
14,Schnurrbart::N,вусы,yfirskegg
15,Bart::N,барада,skegg
16,Kinn::N,падбародак,haka
17,Kiefer[Anatomie]::N,сківіца,kjálki
18,Kiefer[Anatomie]::N,сківіца,skoltur
19,Kehle::N,горла,kverk
20,Hals::N,шыя,háls
21,Genick::N,патыліца,hnakki
22,Kopf::N,галава,höfuð
23,Rücken::N,спіна,hryggur
24,Bauch::N,жывот,kviður
25,Nabel::N,пупок,nafli
26,Busen::N,грудзі,barmur
27,Brust::N,грудзі,brjóst
28,Schulter::N,плячо,öxl
29,Arm::N,рука,armur
30,Ellenbogen::N,локаць,olnbogi
31,Hand::N,кісць,hönd
32,Handfläche::N,далонь,lófi
33,Finger::N,палец,fingur
34,Fingernagel::N,ногаць,fingurnögl
35,Nagel[Anatomie]::N,ногаць,nögl
36,Zeh::N,палец,tá
37,Fuß::N,нага,fótur
38,Ferse::N,пята,hæll
39,Ferse::N,пятка,hæll
40,Knie::N,калена,kné
41,Oberschenkel::N,бядро,læri
42,Oberschenkel::N,сцягно,læri
43,Bein::N,нага,fótleggur
44,Körper::N,цела,búkur
45,Körper::N,цела,líkami
46,Haut::N,скура,húð
47,Haut::N,скура,skinn
48,Blut::N,кроў,blóð
49,Ader::N,вена,æð
50,Ader::N,сасуд,æð
51,Sehne::N,жыла,sin
52,Sehne::N,цеціва,sin
53,Sehne::N,сухажылле,sin
54,Knochen::N,косць,bein
55,Gehirn::N,мозг,heili
56,Herz::N,сэрца,hjarta
57,Magen::N,страўнік,magi
58,Leber::N,печань,lifur
59,Atem::N,дыханне,andi
60,Atem::N,дыханне,andardráttur
61,Hunger::N,голад,hungur
62,Träne::N,сляза,tár
63,Geschmack::N,смак,smekkur
64,Geruch::N,пах,lykt
65,Schlaf::N,сон,svefn
66,Traum::N,сон,draumur
67,Himmel::N,неба,himinn
68,Sonne::N,сонца,sól
69,Mond::N,месяц,tungl
70,Stern::N,зорка,stjarna
71,Luft::N,паветра,loft
72,Wind::N,вецер,vindur
73,Welle::N,хваля,alda
74,Welle::N,хваля,bylgja
75,Wasser::N,вада,vatn
76,Stein::N,камень,steinn
77,Boden::N,глеба,botn
78,Erde::N,зямля,jörð
79,Staub::N,пыл,ryk
80,Staub::N,пыл,duft
81,Rauch::N,дым,reykur
82,Funke::N,іскра,neisti
83,Feuer::N,агонь,eldur
84,Licht::N,святло,ljós
85,Schatten::N,цень,skuggi
86,Wetter::N,пагода,veður
87,Wetter::N,надворʼе,veður
88,Nebel::N,туман,þoka
89,Wolke::N,воблака,ský
90,Regen::N,дождж,regn
91,Schnee::N,снег,snjór
92,Eis::N,лёд,ís
93,Frost::N,мароз,frost
94,Kälte::N,холад,kuldi
95,Hitze::N,спёка,hiti
96,Raureif::N,іней,hrím
97,Regenbogen::N,вясёлка,regnbogi
98,Donner::N,гром,þruma
99,Strömung::N,цячэнне,straumur
100,Tropfen::N,кропля,dropi
101,Schaum::N,пена,froða
102,Schmutz::N,гразь,óhreinindi
103,See::N,возера,stöðuvatn
104,Sumpf::N,багна,fen
105,Moor::N,балота,mýri
106,Wiese::N,луг,engi
107,Wald::N,лес,skógur
108,Hügel::N,узгорак,hæð
109,Hügel::N,узгорак,hóll
110,Anhöhe::N,узвышша,hæð
111,Anhöhe::N,узвышша,hóll
112,Berg::N,гара,fell
113,Berg::N,гара,fjall
114,Gipfel::N,вяршыня,tindur
115,Höhle::N,пячора,hellir
116,Abhang::N,схіл,hlíð
117,Abhang::N,схіл,brekka
118,Quelle::N,крыніца,lind
119,Quelle::N,крыніца,uppspretta
120,Bach::N,ручай,lækur
121,Fluss::N,рака,á
122,Fluss::N,рака,fljót
123,Ufer::N,бераг,árbakki
124,Ufer::N,бераг,sjávarbakki
125,Küste::N,узбярэжжа,strönd
126,Festland::N,суша,meginland
127,Meer::N,мора,haf
128,Meer::N,мора,sjór
129,Bucht::N,бухта,vík
130,Insel::N,востраў,eyja
131,Blume::N,кветка,blóm
132,Gras::N,трава,gras
133,Wurzel::N,корань,rót
134,Baum::N,дрэва,tré
135,Stamm::N,ствол,stofn
136,Rinde::N,кара,börkur
137,Ast::N,сук,grein
138,Zweig::N,галіна,angi
139,Zweig::N,галіна,kvistur
140,Blatt::N,ліст,blað
141,Birke::N,бяроза,birki
142,Kiefer[Baum]::N,хвоя,fura
143,Kiefer[Baum]::N,сасна,fura
144,Weide[Baum]::N,вярба,víðir
145,Tanne::N,яліна,greni
146,Horn::N,рог,horn
147,Feder::N,пяро,fjöður
148,Fell::N,шкура,skinn
149,Flügel::N,крыло,vængur
150,Klaue::N,кіпцюр,kló
151,Kralle::N,лапа,kló
152,Schwanz::N,хвост,rófa
153,Schwanz::N,хвост,skott
154,Ei::N,яйка,egg
155,Nest::N,гняздо,hreiður
156,Bau::N,нара,greni
157,Bau::N,нара,bæli
158,Tier::N,жывёла,dýr
159,Herde::N,статак,hjörð
160,Kuh::N,карова,kýr
161,Bulle::N,бык,boli
162,Pferd::N,конь,hestur
163,Schaf::N,авечка,kind
164,Schwein::N,свіння,svín
165,Hund::N,сабака,hundur
166,Katze::N,кошка,köttur
167,Bär::N,мядзведзь,björn
168,Eichhörnchen::N,вавёрка,íkorni
169,Elch::N,лось,elgur
170,Fuchs::N,ліса,refur
171,Hase::N,заяц,héri
172,Maus::N,мыш,mús
173,Wolf::N,воўк,úlfur
174,Vogel::N,птах,fugl
175,Vogel::N,птушка,fugl
176,Schwarm::N,чарада,sægur
177,Huhn::N,курыца,hæna
178,Hahn::N,певень,hani
179,Gans::N,гусь,gæs
180,Adler::N,арол,örn
181,Ente::N,качка,önd
182,Eule::N,сава,uggla
183,Kranich::N,жораў,trana
184,Kranich::N,журавель,trana
185,Krähe::N,варона,kráka
186,Kuckuck::N,зязюля,gaukur
187,Schwan::N,лебедзь,svanur
188,Fisch::N,рыба,fiskur
189,Barsch::N,акунь,aborri
190,Hecht::N,шчупак,gedda
191,Schlange[Tier]::N,змяя,naðra
192,Wurm::N,чарвяк,ormur
193,Spinne::N,павук,kónguló
194,Ameise::N,мурашка,maur
195,Laus::N,вош,lús
196,Mücke::N,камар,mý
197,Mücke::N,камар,mýfluga
198,Fliege::N,муха,fluga
199,Schmetterling::N,матыль,fiðrildi
200,Beere::N,ягада,ber
201,Apfel::N,яблык,epli
202,Pilz::N,грыб,sveppur
203,Zwiebel::N,цыбуля,laukur
204,Saat::N,семя,fræ
205,Saat::N,семя,útsæði
206,Korn::N,зерне,korn
207,Heu::N,сена,hey
208,Schale::N,шалупінне,hýði
209,Grube::N,яма,gryfja
210,Falle::N,пастка,gildra
211,Schlinge::N,сіло,snara
212,Spur::N,след,spor
213,Asche::N,попел,aska
214,Dreck::N,бруд,óþverri
215,Eisen::N,жалеза,járn
216,Gold::N,золата,gull
217,Silber::N,сребра,silfur
218,Kohle::N,вугаль,kol
219,Glas::N,шкло,gler
220,Lehm::N,гліна,leir
221,Sand::N,пясок,sandur
222,Mensch::N,чалавек,maður
223,Mensch::N,чалавек,manneskja
224,Mann::N,мужчына,maður
225,Mann::N,мужчына,karlmaður
226,Frau::N,жанчына,kona
227,Kind::N,дзіця,barn
228,Kind::N,дзіця,krakki
229,Junge::N,хлопчык,drengur
230,Mädchen::N,дзяўчынка,stelpa
231,Familie::N,сямʼя,fjölskylda
232,Großvater::N,дзядуля,afi
233,Großmutter::N,бабуля,amma
234,Eltern::N,бацькі,foreldrar
235,Vater::N,бацька,faðir
236,Mutter::N,маці,móðir
237,Sohn::N,сын,sonur
238,Tochter::N,дачка,dóttir
239,Bruder::N,брат,bróðir
240,Schwester::N,сястра,systir
241,Onkel::N,дзядзька,föðurbróðir
242,Tante::N,цётка,frænka
243,Tante::N,цётка,móðursystir
244,Ehemann::N,муж,eiginmaður
245,Ehefrau::N,жонка,eiginkona
246,Freude::N,радасць,gleði
247,Gelächter::N,смех,hlátur
248,Glück::N,шчасце,gæfa
249,Kummer::N,гора,sorg
250,Wunsch::N,жаданне,ósk
251,Lust::N,цяга,fýsn
252,Lust::N,цяга,löngun
253,Geist::N,дух,andi
254,Gedanke::N,думка,hugsun
255,Gedächtnis::N,памяць,minni
256,Verstand::N,розум,vit
257,Sinn::N,сэнс,merking
258,Grund::N,зачэпка,ástæða
259,Wahrheit::N,праўда,sannleikur
260,Gespräch::N,размова,samtal
261,Märchen::N,казка,ævintýri
262,Erzählung::N,расказ,saga
263,Erzählung::N,апавяданне,saga
264,Nachricht::N,вестка,frétt
265,Nachricht::N,паведамленне,frétt
266,Neuigkeit::N,навіна,frétt
267,Name::N,імя,nafn
268,Rätsel::N,загадка,gáta
269,Rede::N,прамова,ræða
270,Sprache::N,мова,mál
271,Sprache::N,мова,tungumál
272,Stimme::N,голас,rödd
273,Wort::N,слова,orð
274,Zeichen::N,знак,tákn
275,Zeichen::N,знак,merki
276,Ruf::N,кліч,kall
277,Lärm::N,шум,hávaði
278,Laut::N,гук,hljóð
279,Ton::N,гучанне,tónn
280,Lied::N,песня,ljóð
281,Lied::N,песня,söngur
282,Ruhe::N,спакой,ró
283,Ruhe::N,спакой,kyrrð
284,Leute::N,людзі,fólk
285,Volk::N,народ,þjóð
286,Arbeit::N,праца,vinna
287,Arbeit::N,работа,vinna
288,Gast::N,госць,gestur
289,Geschenk::N,падарунак,gjöf
290,Spiel::N,гульня,leikur
291,Gesellschaft::N,таварыства,selskapur
292,Hilfe::N,дапамога,hjálp
293,Freund::N,друг,vinur
294,Freund::N,сябар,vinur
295,Kamerad::N,прыяцель,félagi
296,Angelegenheit::N,справа,mál
297,Angelegenheit::N,справа,málefni
298,Anzahl::N,колькасць,tala
299,Anzahl::N,колькасць,fjöldi
300,Art::N,від,tegund
