,Concept_ID,tt,ga
0,Auge::N,күз,súil
1,Ohr::N,колак,cluas
2,Nase::N,борын,soc
3,Mund::N,авыз,béal
4,Mund::N,тамак,béal
5,Zahn::N,теш,fiacail
6,Zunge::N,тел,teanga
7,Lippe::N,ирен,liopa
8,Wange::N,яңак,grua
9,Wange::N,яңак,leiceann
10,Gesicht::N,йөз,éadan
11,Gesicht::N,йөз,aghaidh
12,Stirn::N,маңгай,baithis
13,Stirn::N,маңгай,clár éadain
14,Haar::N,чәч,gruaig
15,Schnurrbart::N,мыек,croiméal
16,Bart::N,сакал,féasóg
17,Kinn::N,ияк,smig
18,Kiefer[Anatomie]::N,казналык,giall
19,Kehle::N,тамак,scornach
20,Hals::N,бугаз,muinéal
21,Genick::N,җилкә,baic
22,Kopf::N,баш,ceann
23,Rücken::N,сырт,droim
24,Bauch::N,корсак,bolg
25,Nabel::N,кендек,imleacán
26,Busen::N,түш,cíoch
27,Brust::N,имчәк,brollach
28,Brust::N,күкрәк,brollach
29,Schulter::N,иңбаш,gualainn
30,Schulter::N,кулбаш,gualainn
31,Arm::N,кул,lámh
32,Ellenbogen::N,терсәк,uillinn
33,Hand::N,кул,lámh
34,Handfläche::N,уч,bos
35,Finger::N,бармак,méar
36,Fingernagel::N,тырнак,ionga
37,Nagel[Anatomie]::N,тырнак,ionga
38,Zeh::N,бармак,ladhar
39,Fuß::N,табан,cos
40,Fuß::N,табан,troigh
41,Ferse::N,үкчә,sáil
42,Knie::N,тез,glúin
43,Oberschenkel::N,бот,ceathrú
44,Bein::N,аяк,cos
45,Körper::N,тән,corp
46,Körper::N,тән,colainn
47,Körper::N,җисем,corp
48,Körper::N,җисем,colainn
49,Haut::N,тире,cneas
50,Haut::N,тире,craiceann
51,Blut::N,кан,fuil
52,Ader::N,тамыр,
53,Sehne::N,сеңер,teannán
54,Sehne::N,сеңер,féitheog
55,Knochen::N,сөяк,cnámh
56,Gehirn::N,ми,inchinn
57,Herz::N,йөрәк,croí
58,Magen::N,ашказаны,bolg
59,Magen::N,ашказаны,goile
60,Leber::N,бавыр,ae
61,Atem::N,сулыш,anáil
62,Hunger::N,ачлык,ocras
63,Träne::N,яшь,deoir
64,Geschmack::N,тәм,blas
65,Geschmack::N,зәвык,blas
66,Geruch::N,ис,boladh
67,Schlaf::N,йокы,suan
68,Schlaf::N,йокы,codladh
69,Traum::N,төш,taibhreamh
70,Himmel::N,күк,spéir
71,Sonne::N,кояш,grian
72,Mond::N,ай,ré
73,Mond::N,ай,gealach
74,Stern::N,йолдыз,rinn
75,Stern::N,йолдыз,réalta
76,Luft::N,һава,aer
77,Wind::N,җил,gaoth
78,Welle::N,дулкын,tonn
79,Wasser::N,су,uisce
80,Stein::N,таш,cloch
81,Boden::N,туфрак,talamh
82,Erde::N,җир,cré
83,Erde::N,җир,ithir
84,Staub::N,тузан,dusta
85,Staub::N,тузан,deannach
86,Rauch::N,төтен,toit
87,Rauch::N,төтен,deatach
88,Funke::N,очкын,drithle
89,Feuer::N,ут,tine
90,Licht::N,якты,solas
91,Schatten::N,күләгә,scáth
92,Wetter::N,һава,aimsir
93,Nebel::N,томан,ceo
94,Wolke::N,болыт,néal
95,Wolke::N,болыт,scamall
96,Regen::N,яңгыр,báisteach
97,Regen::N,яңгыр,fearthainn
98,Schnee::N,кар,sneachta
99,Eis::N,боз,oighear
100,Frost::N,суык,sioc
101,Frost::N,салкын,sioc
102,Kälte::N,суык,fuacht
103,Kälte::N,салкын,fuacht
104,Hitze::N,эсселек,teas
105,Hitze::N,эсселек,teocht
106,Raureif::N,бәс,sioc bán
107,Raureif::N,сыкы,sioc bán
108,Regenbogen::N,салават күпере,stua ceatha
109,Regenbogen::N,салават күпере,bogha báistí
110,Donner::N,күкрәү,toirneach
111,Strömung::N,агыш'агым,sruth
112,Tropfen::N,тамчы,deoir
113,Schaum::N,күбек,cúr
114,Schmutz::N,пычрак,salachar
115,See::N,күл,loch
116,Sumpf::N,саз,portach
117,Moor::N,торфлык,caorán
118,Moor::N,торфлык,móinteán
119,Wiese::N,болын,cluain
120,Wiese::N,болын,móinéar
121,Wald::N,урман,coill
122,Wald::N,урман,foraois
123,Hügel::N,калку,ard
124,Anhöhe::N,үр,ard
125,Anhöhe::N,үр,ardán
126,Berg::N,тау,sliabh
127,Gipfel::N,оч,barr
128,Gipfel::N,оч,mullach
129,Höhle::N,мәгарә,uaimh
130,Höhle::N,мәгарә,pluais
131,Abhang::N,кабырга,fána
132,Quelle::N,чишмә,foinse
133,Bach::N,елга,sruthán
134,Fluss::N,дәрья,abhainn
135,Ufer::N,су кырые,bruach
136,Küste::N,яр буе,cósta
137,Küste::N,яр буе,cladach
138,Festland::N,коры җир,míntír
139,Meer::N,диңгез,muir
140,Meer::N,диңгез,farraige
141,Bucht::N,бухта,bá
142,Bucht::N,бухта,cuan
143,Bucht::N,култык,bá
144,Bucht::N,култык,cuan
145,Insel::N,атау,inis
146,Insel::N,атау,oileán
147,Insel::N,утрау,inis
148,Insel::N,утрау,oileán
