,Concept_ID,no,tr
0,Auge::N,øye,göz
1,Ohr::N,øre,kulak
2,Nase::N,nese,burun
3,Mund::N,munn,ağız
4,Zahn::N,tann,diş
5,Zunge::N,tunge,dil
6,Lippe::N,leppe,dudak
7,Wange::N,kinn,yanak
8,Gesicht::N,fjes,yüz
9,Gesicht::N,ansikt,yüz
10,Stirn::N,panne,alın
11,Haar::N,hår,saç
12,Schnurrbart::N,bart,bıyık
13,Bart::N,skjegg,sakal
14,Kinn::N,hake,çene
15,Kiefer[Anatomie]::N,kjeve,çene
16,Kehle::N,strupe,boğaz
17,Hals::N,hals,boyun
18,Hals::N,hals,gerdan
19,Genick::N,nakke,ense
20,Kopf::N,hode,baş
21,Kopf::N,hode,kafa
22,Rücken::N,rygg,arka
23,Bauch::N,buk,karın
24,Bauch::N,mage,karın
25,Nabel::N,navle,göbek
26,Busen::N,barm,koyun
27,Brust::N,bryst,göğüs
28,Schulter::N,skulder,omuz
29,Arm::N,arm,kol
30,Ellenbogen::N,albue,dirsek
31,Hand::N,hånd,el
32,Handfläche::N,håndflate,avuç
33,Handfläche::N,håndflate,el ayası
34,Finger::N,finger,parmak
35,Fingernagel::N,fingernegl,el tırnağı
36,Nagel[Anatomie]::N,negl,tırnak
37,Zeh::N,tå,ayak parmağı
38,Fuß::N,fot,ayak
39,Ferse::N,hæl,topuk
40,Knie::N,kne,diz
41,Oberschenkel::N,lår,uyluk
42,Bein::N,bein,bacak
43,Körper::N,kropp,vücut
44,Körper::N,legeme,vücut
45,Haut::N,hud,cilt
46,Haut::N,skinn,cilt
47,Blut::N,blod,kan
48,Ader::N,åre,damar
49,Sehne::N,sene,kiriş
50,Knochen::N,bein,kemik
51,Knochen::N,knokkel,kemik
52,Gehirn::N,hjerne,beyin
53,Herz::N,hjerte,kalp
54,Herz::N,hjerte,yürek
55,Magen::N,mage,mide
56,Leber::N,lever,karaciğer
57,Atem::N,pust,nefes
58,Hunger::N,sult,açlık
