,Concept_ID,uk,ab
0,Auge::N,око,ала
1,Ohr::N,вухо,алымҳа
2,Nase::N,ніс,аҧынҵа
3,Mund::N,рот,аҧышə
4,Zahn::N,зуб,ахаҧыц
5,Zunge::N,язик,абз
6,Lippe::N,губа,ақьышə
7,Wange::N,щока,аӡамҩа
8,Gesicht::N,обличчя,аҿы
9,Stirn::N,лоб,алахь
10,Haar::N,волосся,ахəыц
11,Schnurrbart::N,вуса,аҧаҵа
12,Bart::N,борода,ажакьа
13,Kinn::N,підборіддя,ацламкəыгə
14,Kiefer[Anatomie]::N,щелепа,ацламҳəа
15,Kehle::N,горло,ахəда
16,Hals::N,шия,ахəда
17,Genick::N,потилиця,ахəдаџьал
18,Kopf::N,голова,ахы
19,Rücken::N,спина,азқəа
20,Bauch::N,живіт,амгəа
21,Nabel::N,пупок,аҷапан
22,Busen::N,груди,агəыҧҳəы
23,Brust::N,груди,агəышҧы
24,Schulter::N,плече,ажəҩахыр
25,Arm::N,рука,амахəар
26,Ellenbogen::N,лікоть,амашьхəылҵ
27,Hand::N,рука,анапы
28,Handfläche::N,долоня,анапсаргəыҵа
29,Finger::N,палець,анацəа
30,Fingernagel::N,ніготь,анапхыц
31,Nagel[Anatomie]::N,ніготь,ашьапхыц
32,Zeh::N,палець на нозі,ашьацəа
33,Fuß::N,нога,ашьапсыргəыҵа
34,Ferse::N,п’ятка,ашьхəа
35,Knie::N,коліно,ашьамхы
36,Oberschenkel::N,стегно,ауаҭəа
37,Bein::N,нога,ашьапы
38,Körper::N,тіло,ацəеижь
39,Haut::N,шкіра,ацəа
40,Blut::N,кров,ашьа
41,Ader::N,вена,ада
42,Sehne::N,сухожилля,адаш
43,Knochen::N,кістка,абаҩ
44,Gehirn::N,мозок,ахшлыбаҩ
45,Gehirn::N,мозок,ахшыбаҩ
46,Herz::N,серце,агəы
47,Magen::N,шлунок,аца
48,Magen::N,шлунок,ацар
49,Leber::N,печінка,агəаҵəа
50,Atem::N,дихання,аҧсыҧлагаҩгара
51,Hunger::N,голод,амла
52,Träne::N,сльоза,алабжыш
53,Geschmack::N,смак,агьама
54,Geruch::N,запах,афҩы
55,Schlaf::N,сон,ацəа
56,Schlaf::N,сплячка,ацəа
57,Traum::N,сон,аҧхыӡ
58,Himmel::N,небо,ажəҩан
59,Sonne::N,сонце,амра
60,Mond::N,місяць,амза
