,Concept_ID,es,tt
0,Auge::N,ojo,күз
1,Ohr::N,oreja,колак
2,Nase::N,nariz,борын
3,Mund::N,boca,авыз
4,Mund::N,boca,тамак
5,Zahn::N,diente,теш
6,Zunge::N,lengua,тел
7,Lippe::N,labio,ирен
8,Wange::N,mejilla,яңак
9,Gesicht::N,cara,йөз
10,Stirn::N,frente,маңгай
11,Haar::N,cabello,чәч
12,Schnurrbart::N,bigote,мыек
13,Bart::N,barba,сакал
14,Kinn::N,barbilla,ияк
15,Kiefer[Anatomie]::N,mandíbula,казналык
16,Kehle::N,garganta,тамак
17,Hals::N,cuello,бугаз
18,Genick::N,nuca,җилкә
19,Genick::N,cerviz,җилкә
20,Kopf::N,cabeza,баш
21,Rücken::N,espalda,сырт
22,Bauch::N,vientre,корсак
23,Nabel::N,ombligo,кендек
24,Busen::N,pecho,түш
25,Brust::N,pecho,имчәк
26,Brust::N,pecho,күкрәк
27,Schulter::N,hombro,иңбаш
28,Schulter::N,hombro,кулбаш
29,Arm::N,brazo,кул
30,Ellenbogen::N,codo,терсәк
31,Hand::N,mano,кул
32,Handfläche::N,palma,уч
33,Finger::N,dedo,бармак
34,Fingernagel::N,uña,тырнак
35,Nagel[Anatomie]::N,uña,тырнак
36,Zeh::N,dedo del pie,бармак
37,Fuß::N,pie,табан
38,Ferse::N,talón,үкчә
39,Knie::N,rodilla,тез
40,Oberschenkel::N,muslo,бот
41,Bein::N,pierna,аяк
42,Körper::N,cuerpo,тән
43,Körper::N,cuerpo,җисем
44,Haut::N,piel,тире
45,Blut::N,sangre,кан
46,Ader::N,vena,тамыр
47,Sehne::N,tendón,сеңер
48,Knochen::N,hueso,сөяк
49,Gehirn::N,cerebro,ми
50,Gehirn::N,encéfalo,ми
51,Herz::N,corazón,йөрәк
52,Magen::N,estómago,ашказаны
53,Leber::N,hígado,бавыр
54,Atem::N,aliento,сулыш
55,Hunger::N,hambre,ачлык
56,Träne::N,lágrima,яшь
57,Geschmack::N,gusto,тәм
58,Geschmack::N,gusto,зәвык
59,Geruch::N,olor,ис
60,Schlaf::N,sueño,йокы
61,Traum::N,sueño,төш
62,Traum::N,ensueño,төш
63,Himmel::N,cielo,күк
64,Sonne::N,sol,кояш
65,Mond::N,luna,ай
66,Stern::N,estrella,йолдыз
67,Luft::N,aire,һава
68,Wind::N,viento,җил
69,Welle::N,ola,дулкын
70,Welle::N,onda,дулкын
71,Wasser::N,agua,су
72,Stein::N,piedra,таш
73,Boden::N,suelo,туфрак
74,Erde::N,tierra,җир
75,Staub::N,polvo,тузан
76,Rauch::N,humo,төтен
77,Funke::N,chispa,очкын
78,Feuer::N,fuego,ут
79,Licht::N,luz,якты
80,Schatten::N,sombra,күләгә
81,Wetter::N,tiempo,һава
82,Nebel::N,niebla,томан
83,Wolke::N,nube,болыт
84,Regen::N,lluvia,яңгыр
85,Schnee::N,nieve,кар
86,Eis::N,hielo,боз
87,Frost::N,helada,суык
88,Frost::N,helada,салкын
89,Kälte::N,frío,суык
90,Kälte::N,frío,салкын
91,Hitze::N,calor,эсселек
92,Raureif::N,escarcha,бәс
93,Raureif::N,escarcha,сыкы
94,Regenbogen::N,arco iris,салават күпере
95,Donner::N,trueno,күкрәү
96,Strömung::N,corriente,агыш'агым
97,Tropfen::N,gota,тамчы
98,Schaum::N,espuma,күбек
99,Schmutz::N,suciedad,пычрак
100,See::N,lago,күл
101,Sumpf::N,pantano,саз
102,Moor::N,turbera,торфлык
103,Wiese::N,prado,болын
104,Wiese::N,pradera,болын
105,Wald::N,bosque,урман
106,Hügel::N,colina,калку
107,Anhöhe::N,cerro,үр
108,Berg::N,monte,тау
109,Berg::N,montaña,тау
110,Gipfel::N,cima,оч
111,Gipfel::N,cumbre,оч
112,Höhle::N,cueva,мәгарә
113,Höhle::N,caverna,мәгарә
114,Abhang::N,cuesta,кабырга
115,Abhang::N,declive,кабырга
116,Quelle::N,fuente,чишмә
117,Quelle::N,manantial,чишмә
118,Bach::N,arroyo,елга
119,Fluss::N,río,дәрья
120,Ufer::N,orilla,су кырые
121,Küste::N,costa,яр буе
122,Festland::N,tierra firme,коры җир
123,Meer::N,mar,диңгез
124,Bucht::N,cala,бухта
125,Bucht::N,cala,култык
126,Bucht::N,bahía,бухта
127,Bucht::N,bahía,култык
128,Insel::N,isla,атау
129,Insel::N,isla,утрау
130,Blume::N,flor,чәчкә
131,Gras::N,hierba,үлән
132,Wurzel::N,raíz,тамыр
133,Baum::N,árbol,агач
134,Stamm::N,tronco,кәүсә
135,Rinde::N,corteza,кабык
136,Ast::N,rama,ботак
137,Zweig::N,ramo,ботак
138,Zweig::N,ramo,тармак
139,Blatt::N,hoja,яфрак
140,Birke::N,abedul,каен
141,Kiefer[Baum]::N,pino,нарат
142,Weide[Baum]::N,sauce,тал
143,Tanne::N,abeto,чыршы
144,Horn::N,asta,мөгез
145,Horn::N,cuerno,мөгез
146,Feder::N,pluma,йон
147,Fell::N,piel,тире
148,Flügel::N,ala,канат
149,Klaue::N,garra,тырнак
150,Kralle::N,uña,тырнак
151,Kralle::N,garra,тырнак
152,Schwanz::N,cola,койрык
153,Ei::N,huevo,күкәй
154,Ei::N,huevo,йомырка
155,Nest::N,nido,оя
156,Bau::N,madriguera,өн
157,Tier::N,animal,хайван
158,Herde::N,rebaño,көтү
159,Kuh::N,vaca,сыер
160,Bulle::N,toro,үгез
161,Pferd::N,caballo,ат
162,Schaf::N,oveja,сарык
163,Schwein::N,cerdo,дуңгыз
164,Hund::N,perro,эт
165,Katze::N,gato,песи
166,Bär::N,oso,аю
167,Eichhörnchen::N,ardilla,тиен
168,Elch::N,alce,поши
169,Fuchs::N,zorro,төлке
170,Hase::N,liebre,куян
171,Maus::N,ratón,тычкан
172,Wolf::N,lobo,бүре
173,Vogel::N,ave,кош
174,Vogel::N,pájaro,кош
175,Schwarm::N,bandada,көтү
176,Huhn::N,gallina,тавык
177,Hahn::N,gallo,әтәч
178,Gans::N,oca,каз
179,Gans::N,ganso,каз
180,Adler::N,águila,каракош
181,Ente::N,pato,үрдәк
182,Eule::N,lechuza,ябалак
183,Kranich::N,grulla,торна
184,Krähe::N,corneja,карга
185,Kuckuck::N,cuco,күке
186,Kuckuck::N,cuco,кәккүк
187,Schwan::N,cisne,аккош
188,Fisch::N,pez,балык
189,Barsch::N,perca,алабуга
190,Hecht::N,lucio,чуртан
191,Schlange[Tier]::N,serpiente,елан
192,Wurm::N,gusano,корт
193,Spinne::N,araña,үрмәкүч
194,Ameise::N,hormiga,кырмыска
195,Laus::N,piojo,бет
196,Mücke::N,mosquito,черки
197,Mücke::N,mosquito,озынборын
198,Fliege::N,mosca,чебен
199,Schmetterling::N,mariposa,күбәләк
200,Beere::N,baya,җиләк
201,Apfel::N,manzana,алма
202,Pilz::N,seta,гөмбә
203,Pilz::N,hongo,гөмбә
204,Zwiebel::N,cebolla,суган
205,Zwiebel::N,cebolla,суганбаш
206,Saat::N,siembra,орлык
207,Korn::N,grano,иген
208,Korn::N,grano,орлык
209,Heu::N,heno,печән
