,Concept_ID,mdf,cs
0,Auge::N,сельме,oko
1,Ohr::N,пиле,ucho
2,Nase::N,шалхка,nos
3,Mund::N,курга,pusa
4,Zahn::N,пей,zub
5,Zunge::N,кяль,jazyk
6,Lippe::N,търва́,ret
7,Wange::N,щёка,tvář
8,Gesicht::N,шама,obličej
9,Stirn::N,коня,čelo
10,Haar::N,шя́ярь,vlas
11,Haar::N,шя́ярь,vlasy
12,Schnurrbart::N,уса́,kníry
13,Bart::N,сакал,vousy
14,Kinn::N,ула,brada
15,Kiefer[Anatomie]::N,саласка,čelist
16,Kehle::N,кълдома,hrdlo
17,Kehle::N,кърга́парь,hrdlo
18,Hals::N,сялдаз,krk
19,Genick::N,шовонь,týl
20,Kopf::N,пря,hlava
21,Rücken::N,копорь,záda
22,Rücken::N,копорь,hřbet
23,Bauch::N,пеке,břicho
24,Nabel::N,по́кон,pupek
25,Busen::N,потя,ňadra
26,Brust::N,мяште,prsa
27,Schulter::N,лафту,plece
28,Schulter::N,лафту,rameno
29,Arm::N,кядь,ruka
30,Ellenbogen::N,кенерьба́карь,loket
31,Hand::N,кядь,ruka
32,Handfläche::N,кядьлапш,dlaň
33,Finger::N,сур,prst
34,Fingernagel::N,кенже,nehet
35,Nagel[Anatomie]::N,кенже,nehet
36,Zeh::N,пильгосу́р,prst u nohy
37,Fuß::N,пильге,noha
38,Fuß::N,пильгелапа,noha
39,Ferse::N,кочкяря,pata
40,Knie::N,эль,koleno
41,Knie::N,пълма́нжа,koleno
42,Oberschenkel::N,пильгепукша,stehno
43,Bein::N,пильге,noha
44,Körper::N,ро́нга,tělo
45,Körper::N,по́нда,tělo
46,Haut::N,киське,kůže
47,Blut::N,вер,krev
48,Ader::N,сан,céva
49,Ader::N,верза́н,céva
50,Sehne::N,коське сан,šlacha
51,Knochen::N,пакарь,kost
52,Gehirn::N,уй,mozek
53,Herz::N,седи,srdce
54,Magen::N,коткърдазь,žaludek
55,Leber::N,макса,játra
56,Atem::N,лекома,dech
57,Atem::N,ваймонь тарксема,dech
58,Hunger::N,вачеши,hlad
59,Träne::N,сельмове́дь,slza
60,Geschmack::N,таньф,vkus
61,Geruch::N,шине,vůně
62,Geruch::N,шине,zápach
63,Schlaf::N,удома́,spánek
64,Traum::N,он,sen
65,Himmel::N,менель,nebe
66,Sonne::N,ши,slunce
67,Mond::N,ков,měsíc
68,Stern::N,тяште,hvězda
69,Luft::N,кожф,vzduch
70,Wind::N,варма,vítr
71,Welle::N,тавла,vlna
72,Wasser::N,ведь,voda
73,Stein::N,кев,kámen
74,Boden::N,мода,půda
75,Boden::N,потмакс,půda
76,Erde::N,мода,země
77,Erde::N,мастор,země
78,Staub::N,пуль,prach
79,Rauch::N,качам,dým
80,Rauch::N,качам,kouř
81,Funke::N,ця́тка,jiskra
82,Feuer::N,тол,oheň
