,Concept_ID,kl,vep
0,Auge::N,isi,sil'm
1,Ohr::N,siut,korv
2,Mund::N,paaq,su
3,Mund::N,qaneq,su
4,Zahn::N,kigut,pi
5,Zahn::N,kigut,hambaz
6,Zunge::N,oqaq,kel'
7,Lippe::N,qarloq,hul'
8,Wange::N,ersaq,modpolišk
9,Gesicht::N,kiinaq,mod
10,Stirn::N,qaaq,oc
11,Haar::N,meqqoq,tuk
12,Haar::N,meqqoq,hibuz
13,Bart::N,umik,bard
14,Kinn::N,talloq,löug
15,Kiefer[Anatomie]::N,alleroq,hambazlu
16,Kehle::N,malaq,kurk
17,Hals::N,qungaseq,kagl
18,Genick::N,pukusuk,tagarai
19,Kopf::N,niaqoq,pä
20,Rücken::N,qimerlut,sel'g
21,Bauch::N,naaq,vac
22,Bauch::N,naaq,koht
23,Nabel::N,qalaseq,naba
24,Busen::N,iviangeq,niža
25,Brust::N,iviangeq,rind
26,Schulter::N,ersik,oug
27,Schulter::N,assaqqoq,oug
28,Arm::N,taleq,käzi
29,Ellenbogen::N,ikusik,künambruz
30,Hand::N,assak,käzi
31,Hand::N,assak,käzitera
32,Handfläche::N,itumak,kämen
33,Finger::N,inuak,sor'm
34,Fingernagel::N,kikiak,künz'
35,Nagel[Anatomie]::N,kukik,künz'
36,Zeh::N,isigak,barbaz
37,Ferse::N,kimmik,kand
38,Knie::N,seeqqoq,komb
39,Knie::N,seeqqoq,pol'v
40,Oberschenkel::N,uppat,riiže
41,Oberschenkel::N,quttoraq,riiže
42,Bein::N,isigak,jaug
43,Körper::N,timi,hibj
44,Haut::N,mattak,nahk
45,Blut::N,aak,čak
46,Blut::N,aak,veri
47,Ader::N,taqaq,son'
48,Sehne::N,ujalu,jände
49,Sehne::N,ujaloq,jände
50,Knochen::N,saanikut,lu
51,Gehirn::N,qarasaq,aivod
52,Herz::N,uummat,südäin
53,Magen::N,aqajaroq,südäikoht
54,Leber::N,tinguk,maks
55,Atem::N,anerneq,hengaiduz
56,Hunger::N,kaanneq,näl'g
57,Träne::N,qia,kündal'
58,Träne::N,qiak,kündal'
59,Geschmack::N,qilanaartuut,magu
60,Geruch::N,tipi,haju
61,Geruch::N,tipik,haju
62,Traum::N,sinnattoq,unikuva
63,Traum::N,sinnattugaq,unikuva
64,Himmel::N,qilak,taivaz
65,Sonne::N,seqineq,päiväine
66,Mond::N,qaammat,kudmaine
67,Stern::N,ulloriaq,tähtaz
68,Luft::N,silaannaq,il'm
69,Wind::N,anori,döl
70,Wind::N,anori,tullei
71,Wind::N,anorsarik,döl
72,Wind::N,anorsarik,tullei
73,Welle::N,aalappaa,ald
74,Welle::N,aalappaa,laineh
75,Wasser::N,imeq,vezi
76,Stein::N,ujarak,kivi
77,Boden::N,nateq,ma
78,Boden::N,nateq,pohj
79,Erde::N,issoq,ma
80,Staub::N,pujualanerit,pölü
81,Staub::N,pujoralanerit,pölü
82,Rauch::N,iseq,savu
83,Rauch::N,pujoq,savu
84,Funke::N,illoorneq,kibin
85,Feuer::N,inneq,lämoi
86,Licht::N,qaamaneq,vauktuz
87,Schatten::N,tarraq,pil'vez
88,Schatten::N,tarraq,kuvahaine
89,Wetter::N,sila,sä
90,Nebel::N,pujoq,sumeg
91,Wolke::N,nuia,pil'v
92,Regen::N,sialuk,vihm
93,Schnee::N,aput,lumi
94,Eis::N,siku,jä
95,Frost::N,issi,hala
96,Frost::N,issi,pakaine
97,Frost::N,issik,hala
98,Frost::N,issik,pakaine
99,Kälte::N,issi,vilu
100,Hitze::N,kianneq,räk
101,Hitze::N,kiassuseq,räk
102,Raureif::N,kaneq,hüde
103,Regenbogen::N,neriusaaq,jumalanbembel'
104,Donner::N,kalleq,juru
105,Donner::N,kalleq,jumalanjuru
106,Tropfen::N,kuseriarneq,tilkuine
107,Schaum::N,qapuk,vaht
108,Schmutz::N,minguk,redu
109,Schmutz::N,minguk,pačak
110,See::N,taseq,järv
111,Sumpf::N,maqulluk,so
112,Wiese::N,masarsuk,nit
113,Hügel::N,qattuneq,kukaz
114,Hügel::N,majuariaq,kukaz
