,Concept_ID,ca,ml
0,Auge::N,ull,കണ്ണ്
1,Ohr::N,orella,ചെവി
2,Nase::N,nas,മൂക്ക്
3,Mund::N,boca,വായ
4,Zahn::N,dent,പല്ല്
5,Zunge::N,llēngua,നാക്ക്
6,Lippe::N,llavi,ചുണ്ട്
7,Wange::N,galta,കവിൾത്തടം
8,Gesicht::N,cara,മുഖം
9,Stirn::N,front,നെറ്റി
10,Haar::N,cabēll,തലമുടി
11,Schnurrbart::N,bigoti,മീശ
12,Bart::N,barba,താടിരോമം
13,Kinn::N,mentó,താടി
14,Kinn::N,barbeta,താടി
15,Kiefer[Anatomie]::N,queix,താടിയെല്ല്
16,Kiefer[Anatomie]::N,mandíbula,താടിയെല്ല്
17,Kehle::N,gola,കണ്ഠനാളം
18,Kehle::N,gorja,കണ്ഠനാളം
19,Hals::N,coll,കഴുത്ത്
20,Genick::N,nuca,പിടലി
21,Kopf::N,cap,തല
22,Rücken::N,esquena,മുതുക്
23,Bauch::N,panxa,നയറ്
24,Nabel::N,llombrígol,നാഭി
25,Busen::N,pit,സ്തനം
26,Busen::N,mama,സ്തനം
27,Brust::N,pit,സ്തനം
28,Schulter::N,espatlla,തോൾ
29,Arm::N,braç,കൈ
30,Ellenbogen::N,colze,കൈമുട്ട്
31,Hand::N,mà,കൈ
32,Handfläche::N,palma,ഉള്ളം കൈ
33,Finger::N,dit,വിരൽ
34,Fingernagel::N,ungla,നഖം
35,Nagel[Anatomie]::N,ungla,നഖം
36,Zeh::N,dit del peu,കാൽവിരൽ
37,Fuß::N,peu,കാൽപ്പാദം
38,Ferse::N,taló,ഉപ്പൂറ്റി
39,Knie::N,genoll,കാൽമുട്ട്
40,Oberschenkel::N,cuixa,തുട
41,Bein::N,cama,കാൽ
42,Körper::N,cos,ശരീരം
43,Haut::N,pell,ചർമ്മം
44,Blut::N,sang,രക്തം
45,Ader::N,vena,ഞരമ്പ്
46,Sehne::N,tendó,സ്നായു
47,Knochen::N,os,അസ്ഥി
