,Concept_ID,hi,ady
0,Auge::N,आँख,нэ
1,Auge::N,चक्षु,нэ
2,Ohr::N,कान,тхьакӏу́м
3,Ohr::N,कर्ण,тхьакӏу́м
4,Nase::N,नाक,пэ
5,Nase::N,नासा,пэ
6,Mund::N,मुख,жэ
7,Mund::N,मुँह,жэ
8,Zahn::N,दंत,цэ
9,Zahn::N,दाँत,цэ
10,Zunge::N,जीभ,бзэгу
11,Zunge::N,ज़बान,бзэгу
12,Zunge::N,जिह्वा,бзэгу
13,Lippe::N,ओंठ,ӏупшӏэ́
14,Lippe::N,होंठ,ӏупшӏэ́
15,Wange::N,गाल,нэкӏу́шъу
16,Wange::N,कपोल,нэкӏу́шъу
17,Gesicht::N,मुँह,нэ́гу
18,Gesicht::N,चेहरा,нэ́гу
19,Stirn::N,माथा,натӏэ́
20,Stirn::N,मस्तक,натӏэ́
21,Haar::N,बाल,шъхьацы́
22,Schnurrbart::N,मूँछें,
23,Bart::N,दाढ़ी,жакӏэ́
24,Kinn::N,चिबुक,жэкӏэпэпкъ
25,Kiefer[Anatomie]::N,जबड़ा,жэпкъы́
26,Kehle::N,गला,чый
27,Hals::N,गला,пшъэ
28,Hals::N,गरदन,пшъэ
29,Genick::N,गरदन,шъхьэпхэтыку
30,Genick::N,ग्रीवा,шъхьэпхэтыку
31,Kopf::N,सिर,шъхьэ́
32,Kopf::N,शीर्ष,шъхьэ́
33,Rücken::N,पीठ,кӏыбы́
34,Bauch::N,उदर,ныбэ́
35,Nabel::N,नाभि,
36,Nabel::N,ढोंढी,
37,Busen::N,कुच,бгъэ́
38,Busen::N,स्तन,бгъэ́
39,Brust::N,वक्ष,бгъэ́
40,Schulter::N,कंधा,блыпкъ
41,Schulter::N,स्कंध,блыпкъ
42,Arm::N,बाँह,ӏэ
43,Arm::N,बाज़ू,ӏэ
44,Ellenbogen::N,कुहनी,ӏэнтэ́гъу
45,Hand::N,हाथ,ӏэтхьэцу
46,Hand::N,हस्त,ӏэтхьэцу
47,Handfläche::N,हथेली,ӏэ́гу
48,Finger::N,उँगली,ӏэхъуа́мб
49,Finger::N,अँगुली,ӏэхъуа́мб
