,Concept_ID,mdf,os
0,Auge::N,сельме,цӕст
1,Ohr::N,пиле,хъус
2,Nase::N,шалхка,фындз
3,Mund::N,курга,дзых
4,Zahn::N,пей,дӕндаг
5,Zunge::N,кяль,ӕвзаг
6,Lippe::N,търва́,был
7,Wange::N,щёка,рус
8,Wange::N,щёка,уадул
9,Wange::N,щёка,ӕхсӕрфарс
10,Gesicht::N,шама,цӕсгом
11,Stirn::N,коня,ных
12,Haar::N,шя́ярь,хил
13,Schnurrbart::N,уса́,рихи
14,Bart::N,сакал,зачъе
15,Kinn::N,ула,роцъо
16,Kiefer[Anatomie]::N,саласка,ӕфсӕр
17,Kehle::N,кълдома,хъуыр
18,Kehle::N,кърга́парь,хъуыр
19,Hals::N,сялдаз,къубал
20,Genick::N,шовонь,къӕбут
21,Kopf::N,пря,сӕр
22,Rücken::N,копорь,фӕсонтӕ
23,Bauch::N,пеке,гуыбын
24,Nabel::N,по́кон,бикъ
25,Busen::N,потя,дзидзи
26,Brust::N,мяште,риу
27,Schulter::N,лафту,уӕхск
28,Arm::N,кядь,цонг
29,Ellenbogen::N,кенерьба́карь,рæмбын
30,Hand::N,кядь,къух
31,Handfläche::N,кядьлапш,армытъӕпӕн
32,Finger::N,сур,ӕнруылдз
33,Fingernagel::N,кенже,ных
34,Nagel[Anatomie]::N,кенже,ных
35,Zeh::N,пильгосу́р,къух
36,Fuß::N,пильге,фад
37,Fuß::N,пильгелапа,фад
38,Ferse::N,кочкяря,зӕвӕт
39,Knie::N,эль,уӕраг
40,Knie::N,пълма́нжа,уӕраг
41,Oberschenkel::N,пильгепукша,агъд
42,Bein::N,пильге,зӕнг
43,Körper::N,ро́нга,буар
44,Körper::N,по́нда,буар
45,Haut::N,киське,царм
46,Blut::N,вер,туг
47,Ader::N,сан,дадзин
48,Ader::N,сан,тугдадзин
49,Ader::N,верза́н,дадзин
50,Ader::N,верза́н,тугдадзин
51,Sehne::N,коське сан,хъиутæ
52,Sehne::N,коське сан,нуар
53,Knochen::N,пакарь,стӕг
54,Gehirn::N,уй,магъз
55,Herz::N,седи,зӕрдӕ
56,Magen::N,коткърдазь,ахсӕн
57,Leber::N,макса,игæр
58,Atem::N,лекома,улӕфт
59,Atem::N,ваймонь тарксема,улӕфт
60,Hunger::N,вачеши,стонг
61,Träne::N,сельмове́дь,цæссыг
62,Geschmack::N,таньф,ад
63,Geruch::N,шине,смаг
64,Schlaf::N,удома́,хуыссӕг
65,Traum::N,он,фын
66,Himmel::N,менель,арв
67,Himmel::N,менель,уӕларв
68,Sonne::N,ши,хур
69,Mond::N,ков,мӕй
70,Stern::N,тяште,стъалы
71,Luft::N,кожф,уӕлдӕф
72,Wind::N,варма,дымгӕ
73,Welle::N,тавла,уылӕн
74,Wasser::N,ведь,дон
75,Stein::N,кев,дур
76,Boden::N,мода,зӕхх
77,Boden::N,потмакс,зӕхх
78,Erde::N,мода,сыджыт
79,Erde::N,мастор,сыджыт
80,Staub::N,пуль,рыг
81,Rauch::N,качам,фӕздӕг
82,Funke::N,ця́тка,цӕхӕр
83,Feuer::N,тол,зынг
84,Licht::N,ва́лда,рухс
85,Schatten::N,цильф,аууон
86,Wetter::N,уша,боныхъӕд
87,Nebel::N,тума́н,мигъ
88,Wolke::N,ковол,ӕврагъ
89,Regen::N,пизем,уарын
90,Schnee::N,лов,мит
91,Eis::N,эй,их
92,Frost::N,ке́льме,ихæн
93,Kälte::N,якшама,уазал
94,Hitze::N,пси,ӕнтӕф
95,Raureif::N,леш,халас
96,Regenbogen::N,а́тямъёнга,арвырон
97,Regenbogen::N,а́тямъёнга,арвырдын
98,Donner::N,атям,æрвнæрын
99,Strömung::N,шудема́,цыд
100,Tropfen::N,путькс,æртах
101,Tropfen::N,пътняфкс,æртах
102,Schaum::N,шов,фынк
103,Schmutz::N,ърда́з,цъыф
104,See::N,эрьхке,цад
105,Sumpf::N,шяй,цъыфдзаст
106,Moor::N,шяй,цъыфдзаст
107,Wiese::N,луга,уыгӕрдӕн
108,Wald::N,вирь,хъӕд
109,Hügel::N,губо́р,обау
110,Hügel::N,губо́р,къуыбыр
111,Hügel::N,пандоня,обау
112,Hügel::N,пандоня,къуыбыр
113,Anhöhe::N,губо́р,уæлвæз
114,Anhöhe::N,губо́р,уæлхох
115,Berg::N,панда,хох
116,Gipfel::N,пря,цъупп
117,Höhle::N,у́нда,лӕгӕт
118,Abhang::N,па́нда ша́ма,къул
119,Quelle::N,эшиня,суадон
120,Bach::N,шудерькс,мӕсчъыдон
121,Fluss::N,ляй,дон
122,Fluss::N,ляй,цӕугӕдон
123,Ufer::N,търва́,был
124,Küste::N,ляйтърва́,донбыл
125,Festland::N,мода,сурзæхх
126,Meer::N,моря,денджыз
127,Bucht::N,ведьуське,донбакæлæн
128,Insel::N,цёнга,сакъадах
129,Blume::N,панчф,дидинӕг
130,Gras::N,тише,кӕрдӕг
131,Wurzel::N,юр,уидаг
132,Wurzel::N,ункс,уидаг
133,Baum::N,шуфта,бӕлас
134,Stamm::N,ро́нга,хӕтӕл
135,Rinde::N,кер,цъар
136,Ast::N,морга,арх
137,Zweig::N,тарад,къалиу
138,Blatt::N,лопа,сыф
139,Birke::N,ке́лу,бæрз
140,Kiefer[Baum]::N,пиче,нӕзы
141,Weide[Baum]::N,каль,хӕрис
142,Tanne::N,куз,наз
143,Horn::N,сюра,сыкъа
144,Feder::N,толга,сис
145,Fell::N,кедь,царм
146,Flügel::N,паця,базыр
147,Klaue::N,кенже,ных
148,Kralle::N,кенже,дзӕмбы
149,Schwanz::N,пула,къӕдзил
150,Ei::N,ал,айк
151,Nest::N,пиза,ахстон
152,Bau::N,пиза,хуынкъ
153,Tier::N,жува́та,сырд
154,Tier::N,жува́та,цӕрӕгой
155,Herde::N,нал,дзуг
156,Herde::N,нал,рӕгъау
157,Herde::N,стада,дзуг
158,Herde::N,стада,рӕгъау
159,Kuh::N,скал,хъуг
160,Kuh::N,тракс,хъуг
161,Bulle::N,бука,гал
162,Pferd::N,лишме,бӕх
163,Schaf::N,уча́,фыс
164,Schwein::N,тува,хуы
165,Hund::N,пине,куыдз
166,Katze::N,катоня,гӕды
167,Katze::N,аваката,гӕды
168,Bär::N,офта,арс
169,Eichhörnchen::N,ур,æхсæрæг
170,Elch::N,ся́рда,цæгатаг саг
171,Fuchs::N,келазь,рувас
172,Hase::N,ну́мол,тæрхъус
173,Maus::N,шеер,мыст
174,Wolf::N,върьгаз,бирӕгъ
175,Vogel::N,нармонь,цъиу
176,Vogel::N,нармонь,маргъ
177,Schwarm::N,ко́вол,бал
178,Schwarm::N,ме́швеле,бал
179,Huhn::N,сараз,карк
180,Hahn::N,а́тякш,уасӕг
181,Gans::N,маци,хъаз
182,Adler::N,куцькан,цӕргӕс
183,Ente::N,яксярга,ацц
184,Eule::N,ко́рож, уыг
185,Eule::N,ко́рож,сидахъ
186,Kranich::N,ка́рга,зырнæг
187,Kranich::N,ка́рга,хърихъупп
188,Krähe::N,ва́рси,халон
189,Kuckuck::N,ку́ку,гаккук
190,Schwan::N,ло́ксти,доныхъаз
191,Fisch::N,кал,кӕсаг
192,Barsch::N,о́кунь,окунь
193,Hecht::N,щу́ка,хихор кӕсаг
194,Schlange[Tier]::N,куй,калм
195,Wurm::N,сукс,зулкъ
196,Wurm::N,сукс,къуыдыргалм
197,Spinne::N,унжа́,хӕлуарӕг
198,Ameise::N,панжам,мæлдзыг
199,Laus::N,си,сыст
200,Mücke::N,ся́ське,къогъо
201,Fliege::N,кару,бындз
202,Schmetterling::N,ме́лав,гæлæбу
203,Beere::N,и́мож,гагадыргъ
204,Apfel::N,марь,фӕткъуы
205,Pilz::N,панга,зокъо
206,Pilz::N,панга,къозо
207,Zwiebel::N,шурьхкя́,хъӕдындз
208,Saat::N,видьмот,тауинаг
209,Saat::N,видьмот,мыггаг
210,Korn::N,сёра,мыггаг
211,Korn::N,сёра,тауинаг
212,Heu::N,тише,хос
213,Schale::N,кедь,цъар
214,Grube::N,лотка,урм
215,Grube::N,лотка,къахт
216,Grube::N,лотка,дзыхъхъ
217,Falle::N,туфкс,цъысым
218,Falle::N,туфкс,къӕппӕг
219,Falle::N,кунда́ма,цъысым
220,Falle::N,кунда́ма,къӕппӕг
221,Schlinge::N,килькш,цасм
222,Spur::N,пильгоки́,фæд
223,Asche::N,кулу,фӕнык
224,Asche::N,кулу,ӕртхутӕг
225,Dreck::N,ърда́з,цъыф
226,Eisen::N,кшни,ӕфсӕйнаг
227,Gold::N,ока,сыгъзӕрин
228,Gold::N,золота,сыгъзӕрин
229,Silber::N,сия́,ӕвзист
230,Kohle::N,седь,ӕвзалы
231,Kohle::N,седьвальмя,ӕвзалы
232,Glas::N,кля́нцек,авг
233,Lehm::N,сёвонь,ӕлыг
234,Sand::N,шува́р,змис
235,Mensch::N,ломань,лӕг
236,Mensch::N,ломань,адӕймаг
237,Mensch::N,ломань,удгоймаг
238,Mann::N,аля,лӕг
239,Mann::N,аля,нӕлгоймаг
240,Mann::N,цёраломань,лӕг
241,Mann::N,цёраломань,нӕлгоймаг
242,Frau::N,ава,сылгоймаг
243,Kind::N,идь,сывӕллон
244,Kind::N,шаба,сывӕллон
245,Junge::N,цёраня,лӕппу
246,Mädchen::N,стирня́,чызг
247,Familie::N,тнал,бинонтæ
248,Familie::N,семья,бинонтæ
249,Großvater::N,атя,фыдыфыд
250,Großvater::N,атя,мадыфыд
251,Großvater::N,щя́тя,фыдыфыд
252,Großvater::N,щя́тя,мадыфыд
253,Großmutter::N,баба,фыды мад
254,Großmutter::N,баба,мады мад
255,Eltern::N,тя́дят-а́лят,ныййарджытæ
256,Vater::N,аля,фыд
257,Mutter::N,ава,мад
258,Mutter::N,тядя,мад
259,Sohn::N,цёра,фырт
260,Tochter::N,стирь,чызг
261,Bruder::N,дуган,ӕфсымӕр
262,Bruder::N,пяльне,ӕфсымӕр
263,Schwester::N,ака,хо
264,Schwester::N,сазор,хо
265,Onkel::N,оця,фыдыфсымӕр
266,Onkel::N,патя,фыдыфсымӕр
267,Onkel::N,щеня́,фыдыфсымӕр
268,Tante::N,ака,мадыхо
269,Tante::N,щака,мадыхо
270,Ehemann::N,мирде,мой
271,Ehefrau::N,ърьвя́,ус
272,Freude::N,ке́нярдема,цин
273,Freude::N,ке́нярдема,циндзинад
274,Gelächter::N,рахсема,худын
275,Gelächter::N,рахсема,худт
276,Gelächter::N,рахсема,худæг
277,Glück::N,паваз,амонд
278,Kummer::N,ризф,хъыг
279,Kummer::N,пичефкс,хъыг
280,Wunsch::N,мяль,бӕллиц
281,Wunsch::N,таколдома,бӕллиц
282,Lust::N,таколдома,монц
283,Geist::N,вайме,уд
284,Gedanke::N,мяль,хъуыды
285,Gedächtnis::N,прявий,мысæн
286,Gedächtnis::N,прявий,мысын
287,Gedächtnis::N,прявий,зæрдылдарын
288,Verstand::N,прявий,зонд
289,Sinn::N,ён,нысаниуæг
290,Grund::N,туфта́л,ӕфсон
291,Wahrheit::N,ви́де,æцæг
292,Wahrheit::N,видеши́,æцæг
293,Gespräch::N,корхтама,ныхас
294,Märchen::N,ёфкс,аргъау
295,Erzählung::N,азкс,радзырд
296,Nachricht::N,куля́,уац
297,Neuigkeit::N,куля́,хабар
298,Name::N,лем,ном
299,Rätsel::N,со́дама ёфкс,уыци-уыци
300,Rätsel::N,со́дама ёфкс,базон-базон
301,Rede::N,вал,раныхас
302,Rede::N,корхтама,раныхас
303,Sprache::N,кяль,ӕвзаг
304,Stimme::N,вайгяль,хъӕлӕс
305,Wort::N,вал,дзырд
306,Zeichen::N,тя́ште,нысан
307,Zeichen::N,тя́штькс,нысан
308,Ruf::N,тердема,сидт
309,Lärm::N,гайф,уынæр
310,Lärm::N,жалакодома,уынæр
311,Laut::N,вайгяль,зӕл
312,Laut::N,вайгяль,мыр
313,Ton::N,вайгяль,мыр
314,Lied::N,мора,зарӕг
315,Ruhe::N,сетьме,æнцой
316,Leute::N,ломатть,адӕм
317,Volk::N,наро́д,адӕм
318,Arbeit::N,тев,фӕллой
319,Gast::N,и́нжи,уазӕг
320,Gast::N,ко́нак,уазӕг
321,Geschenk::N,казне,хуын
322,Spiel::N,налхкома,хъазт
323,Spiel::N,налхксема,хъазт
324,Gesellschaft::N,кружок,дзыллæ
325,Gesellschaft::N,кружок,æхсæнад
326,Hilfe::N,лездома,æххуыс
327,Hilfe::N,лездома,ахъаз
328,Freund::N,я́лга,лымӕн
329,Kamerad::N,я́лга,ӕмбал
330,Angelegenheit::N,тев,хъуыддаг
331,Anzahl::N,лувкс,бӕрц
332,Art::N,вид,хуыз
333,Art::N,вид,хуызад
334,Stück::N,пакш,кæрдих
335,Stück::N,пакш,комдзаг
336,Teil::N,часть,хай
337,Teil::N,пялькс,хай
338,Hälfte::N,пяле,æрдæг
339,Hälfte::N,пяле,æмбис
340,Kreis::N,шаркс,зиллакк
341,Kreuz::N,крёз,дзуар
342,Linie::N,межа,хахх
343,Linie::N,китькс,хахх
344,Strich::N,межа,хахх
345,Abstand::N,ётка,æхсæнуат
346,Entfernung::N,ётка,дæрддзæг
347,Entfernung::N,ётка,дардцæг
348,Gegend::N,ва́ста,ран
349,Gegend::N,перьфпя́ль,ран
350,Platz::N,ва́ста,бууат
351,Ort::N,ва́ста,ран
352,Ort::N,ва́ста,бынат
353,Seite::N,пяле,фахс
354,Mitte::N,кучка́,астӕу
355,Gegenstand::N,веща,дзаума
356,Sache::N,тев,дзаума
357,Sache::N,веща,дзаума
358,Rand::N,пе,кӕрон
359,Kante::N,и́рдез,фӕрск
360,Ecke::N,ужа,тигъ
361,Ecke::N,ужа,фисын
