,Concept_ID,ga,hu
0,Auge::N,súil,szem
1,Ohr::N,cluas,fül
2,Nase::N,soc,orr
3,Mund::N,béal,száj
4,Zahn::N,fiacail,fog
5,Zunge::N,teanga,nyelv
6,Lippe::N,liopa,ajak
7,Wange::N,grua,orca
8,Wange::N,leiceann,orca
9,Gesicht::N,éadan,arc
10,Gesicht::N,aghaidh,arc
11,Stirn::N,baithis,homlok
12,Stirn::N,clár éadain,homlok
13,Haar::N,gruaig,haj
14,Schnurrbart::N,croiméal,bajusz
15,Bart::N,féasóg,szakáll
16,Kinn::N,smig,áll
17,Kiefer[Anatomie]::N,giall,állkapocs
18,Kehle::N,scornach,gége
19,Kehle::N,scornach,torok
20,Hals::N,muinéal,nyak
21,Genick::N,baic,tarkó
22,Kopf::N,ceann,fő
23,Kopf::N,ceann,fej
24,Rücken::N,droim,hát
25,Bauch::N,bolg,has
26,Nabel::N,imleacán,köldök
27,Busen::N,cíoch,mell
28,Busen::N,cíoch,kebel
29,Brust::N,brollach,mell
30,Schulter::N,gualainn,váll
31,Arm::N,lámh,kar
32,Ellenbogen::N,uillinn,könyök
33,Hand::N,lámh,kéz
34,Handfläche::N,bos,tenyér
35,Finger::N,méar,ujj
36,Fingernagel::N,ionga,köröm
37,Nagel[Anatomie]::N,ionga,köröm
38,Zeh::N,ladhar,lábujj
39,Fuß::N,cos,láb
40,Fuß::N,troigh,láb
41,Ferse::N,sáil,sarok
42,Knie::N,glúin,térd
43,Oberschenkel::N,ceathrú,comb
44,Bein::N,cos,láb
45,Bein::N,cos,lábszár
46,Körper::N,corp,test
47,Körper::N,colainn,test
48,Haut::N,cneas,bőr
49,Haut::N,craiceann,bőr
50,Blut::N,fuil,vér
51,Sehne::N,teannán,ín
52,Sehne::N,féitheog,ín
53,Knochen::N,cnámh,csont
54,Gehirn::N,inchinn,agy
55,Gehirn::N,inchinn,agyvelő
56,Herz::N,croí,szív
57,Magen::N,bolg,gyomor
58,Magen::N,goile,gyomor
59,Leber::N,ae,máj
60,Atem::N,anáil,lehelet
61,Atem::N,anáil,lélegzet
62,Hunger::N,ocras,éhség
63,Träne::N,deoir,könny
64,Geschmack::N,blas,íz
65,Geruch::N,boladh,szag
66,Schlaf::N,suan,álom
67,Schlaf::N,suan,alvás
68,Schlaf::N,codladh,álom
69,Schlaf::N,codladh,alvás
70,Traum::N,taibhreamh,álom
71,Himmel::N,spéir,ég
72,Himmel::N,spéir,menny
73,Sonne::N,grian,nap
74,Mond::N,ré,hold
75,Mond::N,gealach,hold
76,Stern::N,rinn,csillag
77,Stern::N,réalta,csillag
78,Luft::N,aer,levegő
79,Wind::N,gaoth,szél
80,Welle::N,tonn,hullám
81,Wasser::N,uisce,víz
82,Stein::N,cloch,kő
83,Boden::N,talamh,föld
84,Boden::N,talamh,talaj
85,Erde::N,cré,föld
86,Erde::N,ithir,föld
87,Staub::N,dusta,por
88,Staub::N,deannach,por
89,Rauch::N,toit,füst
90,Rauch::N,deatach,füst
91,Funke::N,drithle,szikra
92,Feuer::N,tine,tűz
93,Licht::N,solas,fény
94,Schatten::N,scáth,árnyék
95,Wetter::N,aimsir,idő
96,Wetter::N,aimsir,időjárás
97,Nebel::N,ceo,köd
98,Wolke::N,néal,felhő
99,Wolke::N,scamall,felhő
100,Regen::N,báisteach,eső
101,Regen::N,fearthainn,eső
102,Schnee::N,sneachta,hó
103,Eis::N,oighear,jég
104,Frost::N,sioc,fagy
105,Kälte::N,fuacht,hideg
106,Hitze::N,teas,hő
107,Hitze::N,teas,hőség
108,Hitze::N,teocht,hő
109,Hitze::N,teocht,hőség
110,Raureif::N,sioc bán,zúzmara
111,Regenbogen::N,stua ceatha,szivárvány
112,Regenbogen::N,bogha báistí,szivárvány
113,Donner::N,toirneach,dörgés
114,Donner::N,toirneach,mennydörgés
115,Strömung::N,sruth,áramlat
116,Tropfen::N,deoir,csepp
117,Schaum::N,cúr,hab
118,Schaum::N,cúr,tajték
119,Schmutz::N,salachar,piszok
120,See::N,loch,tó
121,Sumpf::N,portach,mocsár
122,Moor::N,caorán,láp
123,Moor::N,móinteán,láp
124,Wiese::N,cluain,rét
125,Wiese::N,cluain,mező
126,Wiese::N,móinéar,rét
127,Wiese::N,móinéar,mező
128,Wald::N,coill,erdő
129,Wald::N,foraois,erdő
130,Hügel::N,ard,domb
131,Anhöhe::N,ard,magaslat
132,Anhöhe::N,ardán,magaslat
133,Berg::N,sliabh,hegy
134,Gipfel::N,barr,csúcs
135,Gipfel::N,mullach,csúcs
136,Höhle::N,uaimh,barlang
137,Höhle::N,pluais,barlang
138,Abhang::N,fána,lejtő
139,Quelle::N,foinse,forrás
140,Bach::N,sruthán,patak
141,Fluss::N,abhainn,folyó
142,Ufer::N,bruach,part
143,Küste::N,cósta,tengerpart
144,Küste::N,cladach,tengerpart
145,Festland::N,míntír,szárazföld
146,Meer::N,muir,tenger
147,Meer::N,farraige,tenger
148,Bucht::N,bá,öböl
149,Bucht::N,cuan,öböl
150,Insel::N,inis,sziget
151,Insel::N,oileán,sziget
152,Blume::N,bláth,virág
153,Gras::N,féar,fű
154,Wurzel::N,rúta,gyökér
155,Wurzel::N,fréamh,gyökér
156,Baum::N,crann,fa
157,Stamm::N,stoc,tő
158,Stamm::N,stoc,törzs
159,Stamm::N,tamhan,tő
160,Stamm::N,tamhan,törzs
161,Rinde::N,coirt,kéreg
162,Rinde::N,craiceann,kéreg
163,Ast::N,géag,ág
164,Zweig::N,géag,gally
165,Zweig::N,craobh,gally
166,Blatt::N,duille,levél
167,Blatt::N,duilleog,levél
168,Birke::N,beith,nyír
169,Birke::N,crann beithe,nyír
170,Kiefer[Baum]::N,péine,fenyő
171,Weide[Baum]::N,saileach,fűz
172,Tanne::N,giúis,fenyő
173,Horn::N,adharc,szarv
174,Feder::N,cleite,toll
175,Fell::N,clúmh,szőr
176,Fell::N,clúmh,bunda
177,Flügel::N,eite,szárny
178,Flügel::N,sciathán,szárny
179,Klaue::N,crúb,köröm
180,Klaue::N,crobh,köröm
181,Kralle::N,crobh,karom
182,Schwanz::N,eireaball,farok
183,Ei::N,ubh,tojás
184,Nest::N,nead,fészek
185,Bau::N,brocais,odú
186,Tier::N,ainmhí,állat
187,Tier::N,beithíoch,állat
188,Herde::N,tréad,nyáj
189,Herde::N,tréad,csorda
190,Kuh::N,bó,tehén
191,Bulle::N,tarbh,bika
192,Pferd::N,each,ló
193,Pferd::N,capall,ló
194,Schaf::N,caora,juh
195,Schaf::N,caora,birka
196,Schwein::N,muc,sertés
197,Hund::N,madra,eb
198,Hund::N,madra,kutya
199,Katze::N,cat,macska
200,Bär::N,béar,medve
201,Eichhörnchen::N,iora,mókus
202,Elch::N,eilc,jávorszarvas
203,Fuchs::N,sionnach,róka
204,Fuchs::N,madra rua,róka
205,Hase::N,giorria,nyúl
206,Maus::N,luch,egér
207,Wolf::N,mac tíre,farkas
208,Vogel::N,éan,madár
209,Schwarm::N,saithe,raj
210,Huhn::N,cearc,tyúk
211,Hahn::N,coileach,kakas
212,Gans::N,gé,lúd
213,Gans::N,gé,liba
214,Adler::N,iolar,sas
215,Ente::N,lacha,kacsa
216,Eule::N,ulchabhán,bagoly
217,Kranich::N,grús,daru
218,Krähe::N,caróg,varjú
219,Krähe::N,préachán,varjú
220,Kuckuck::N,cuach,kakukk
221,Schwan::N,eala,hattyú
222,Fisch::N,iasc,hal
223,Barsch::N,péirse,sügér
224,Hecht::N,liús,csuka
225,Schlange[Tier]::N,nathair,kígyó
226,Wurm::N,péist,kukac
227,Spinne::N,damhán alla,pók
228,Ameise::N,seangán,hangya
229,Laus::N,míol,tetű
230,Mücke::N,muiscít,szúnyog
231,Mücke::N,corrmhíol,szúnyog
232,Fliege::N,cuil,légy
233,Fliege::N,cuileog,légy
234,Schmetterling::N,féileacán,lepke
235,Schmetterling::N,féileacán,pillangó
236,Beere::N,caor,bogyó
237,Apfel::N,úll,alma
238,Pilz::N,beacán,gomba
239,Pilz::N,muisiriún,gomba
240,Zwiebel::N,oinniún,hagyma
241,Saat::N,síol,vetőmag
242,Korn::N,gráinne,mag
243,Korn::N,gráinne,szem
244,Heu::N,féar,széna
245,Schale::N,scaimh,héj
246,Grube::N,poll,verem
247,Falle::N,gaiste,csapda
248,Schlinge::N,sealán,tőr
249,Spur::N,rian,nyom
250,Asche::N,luaith,hamu
251,Dreck::N,salachar,sár
252,Dreck::N,salachar,piszok
253,Eisen::N,iarann,vas
254,Gold::N,ór,arany
255,Silber::N,airgead,ezüst
256,Kohle::N,gual,szén
257,Glas::N,gloine,üveg
258,Lehm::N,cré,agyag
259,Lehm::N,cré,vályog
260,Sand::N,gaineamh,homok
261,Mensch::N,duine,ember
262,Mann::N,fear,úr
263,Mann::N,fear,férfi
