,Concept_ID,ba,kv
0,Auge::N,күҙ,син
1,Ohr::N,ҡолаҡ,пель
2,Nase::N,танау,ныр
3,Mund::N,ауыҙ,ӧм
4,Zahn::N,теш,пинь
5,Zunge::N,тел,кыв
6,Lippe::N,ирен,тырп
7,Wange::N,яцаҡтар,рожабан
8,Gesicht::N,бит,бан
9,Stirn::N,маңлай,кымӧс
10,Haar::N,сәс,юрси
11,Schnurrbart::N,мылтыҡ,уссэз
12,Bart::N,һаҡал,тош
13,Kinn::N,эйэк,тшӧка
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,ан
15,Kehle::N,тамаҡ,юан
16,Hals::N,муйын,юан
17,Genick::N,соңҡа,юр бӧр
18,Kopf::N,баш,юр
19,Rücken::N,арҡа,мышк
20,Bauch::N,ҡорһаҡ,кынӧм
21,Nabel::N,кендек,гӧг
22,Busen::N,күкрәк,морос
23,Brust::N,түш,морос
24,Schulter::N,яурын,пельпон
25,Arm::N,ҡул,ки
26,Ellenbogen::N,терһәк,гырдзза
27,Hand::N,ҡул,кикар
28,Hand::N,ҡул суғы,кикар
29,Handfläche::N,ус төбө,ки пыдӧс
30,Finger::N,бармаҡ,чунь
31,Fingernagel::N,тырнаҡ,гыж
32,Nagel[Anatomie]::N,тырнаҡ,гыж
33,Zeh::N,бармаҡ,чунь
34,Fuß::N,табан,кокпыдӧс
35,Ferse::N,үксә,кокдзир
36,Knie::N,тубыҡ,пидзӧс
37,Oberschenkel::N,сандыр,лядьбей
38,Bein::N,аяҡ,кок
39,Körper::N,тән,вывтыр
40,Haut::N,тире,кучик
41,Blut::N,ҡан,вир
42,Ader::N,тамыр,сӧн
43,Sehne::N,һеңер,жила
44,Sehne::N,тарамыш,жила
45,Knochen::N,һойәк,коска
46,Gehirn::N,мейе,вем
47,Herz::N,йорәк,сьӧлӧм
48,Magen::N,ашҡаҙан,жӧвдӧк
49,Leber::N,бауыр,мус
50,Atem::N,һулыш,лолалӧм
51,Hunger::N,аслыҡ,тшыг
52,Träne::N,күҙ иәше,синва
53,Geschmack::N,тәм,кӧр
54,Geruch::N,еҫ,дук
