,Concept_ID,de,av
0,Auge::N,Auge,
1,Ohr::N,Ohr,гӏин
2,Nase::N,Nase,мегӏер
3,Mund::N,Mund,кӏал
4,Zahn::N,Zahn,гӏус
5,Zunge::N,Zunge,мацӏ
6,Lippe::N,Lippe,кӏветӏ
7,Wange::N,Wange,гӏоно
8,Gesicht::N,Gesicht,гьумер
9,Stirn::N,Stirn,нодо
10,Haar::N,Haar,рас
11,Schnurrbart::N,Schnurrbart,михъ
12,Bart::N,Bart,мегеж
13,Kinn::N,Kinn,нилъу
14,Kiefer[Anatomie]::N,Kiefer,чанагъ
15,Kehle::N,Kehle,щекъер
16,Hals::N,Hals,габур
17,Genick::N,Genick,гъванща
18,Kopf::N,Kopf,бетӏер
19,Rücken::N,Rücken,мугъ
20,Bauch::N,Bauch,чехь
21,Nabel::N,Nabel,цӏину
22,Busen::N,Busen,керен
23,Brust::N,Brust,керен
24,Schulter::N,Schulter,гъажазубетӏер
25,Arm::N,Arm,гъеж
26,Ellenbogen::N,Ellenbogen,гӏункӏрукь
27,Hand::N,Hand,квер
28,Handfläche::N,Handfläche,огъохъат
29,Handfläche::N,Handfläche,жанисахъат
30,Finger::N,Finger,килищ
31,Fingernagel::N,Fingernagel,малъ
32,Nagel[Anatomie]::N,Nagel,малъ
33,Zeh::N,Zeh,килищ
34,Fuß::N,Fuß,хӏетӏ
35,Fuß::N,Fuß,хӏетӏе
36,Ferse::N,Ferse,эгъе
37,Knie::N,Knie,наку
38,Oberschenkel::N,Oberschenkel,мачӏ
39,Bein::N,Bein,бох
40,Körper::N,Körper,къаркъала
41,Haut::N,Haut,тӏом
42,Blut::N,Blut,би
43,Ader::N,Ader,бидурихь
44,Sehne::N,Sehne,
45,Knochen::N,Knochen,ракьа
46,Gehirn::N,Gehirn,гӏадалнах
47,Herz::N,Herz,ракӏ
48,Magen::N,Magen,кванирукъ
49,Leber::N,Leber,тӏул
50,Atem::N,Atem,хӏухь
51,Hunger::N,Hunger,ракъи
52,Träne::N,Träne,магӏу
53,Geschmack::N,Geschmack,тату
54,Geruch::N,Geruch,махӏ
55,Schlaf::N,Schlaf,макьу
56,Traum::N,Traum,макьу
57,Himmel::N,Himmel,зоб
58,Sonne::N,Sonne,бакъ
59,Mond::N,Mond,моцӏ
60,Stern::N,Stern,цӏва
61,Luft::N,Luft,гьава
62,Wind::N,Wind,гьури
63,Welle::N,Welle,карачел
64,Wasser::N,Wasser,лъим
65,Stein::N,Stein,гьецӏо
66,Boden::N,Boden,ракь
67,Erde::N,Erde,ракь
68,Erde::N,Erde,дуниял
69,Staub::N,Staub,хӏур
70,Rauch::N,Rauch,кӏкӏуй
71,Funke::N,Funke,
72,Feuer::N,Feuer,цӏа
73,Licht::N,Licht,канлъи
74,Schatten::N,Schatten,рагӏад
75,Wetter::N,Wetter,гьава-бакъ
76,Nebel::N,Nebel,гӏодобнакӏкӏ
77,Wolke::N,Wolke,накӏкӏ
78,Regen::N,Regen,цӏад
79,Schnee::N,Schnee,гӏазу
80,Eis::N,Eis,цӏер
81,Frost::N,Frost,замгьари
82,Kälte::N,Kälte,квач
83,Hitze::N,Hitze,багӏари
84,Raureif::N,Raureif,мартӏ
85,Regenbogen::N,Regenbogen,нур
86,Regenbogen::N,Regenbogen,чамбара
87,Donner::N,Donner,гъугъай
88,Donner::N,Donner,гъугъади
89,Strömung::N,Strömung,чвахи
90,Tropfen::N,Tropfen,резел
91,Tropfen::N,Tropfen,тӏинкӏ
92,Tropfen::N,Tropfen,къатӏра
93,Tropfen::N,Tropfen,тӏенкӏел
94,Schaum::N,Schaum,полоп
95,Schmutz::N,Schmutz,чороклъи
96,See::N,See,хӏор
97,Sumpf::N,Sumpf,хьуцӏ
98,Moor::N,Moor,
99,Wiese::N,Wiese,мегъ
100,Wiese::N,Wiese,гӏурдаллъи
101,Wald::N,Wald,рохь
102,Hügel::N,Hügel,гохӏ
103,Anhöhe::N,Anhöhe,сийитма
104,Berg::N,Berg,мегӏер
105,Gipfel::N,Gipfel,тӏогь
106,Höhle::N,Höhle,нохъо
107,Abhang::N,Abhang,лабаллъи
108,Quelle::N,Quelle,ицц
109,Bach::N,Bach,лъар
110,Fluss::N,Fluss,гӏор
111,Ufer::N,Ufer,рагӏал
112,Küste::N,Küste,рагӏал
113,Festland::N,Festland,ракь
114,Festland::N,Festland,ракъдаллъи
115,Meer::N,Meer,ралъад
116,Bucht::N,Bucht,кӏветӏ
117,Insel::N,Insel,чӏинкӏиллъи
118,Blume::N,Blume,тӏегь
119,Gras::N,Gras,хер
120,Wurzel::N,Wurzel,кьибил
121,Baum::N,Baum,гъветӏ
122,Stamm::N,Stamm,рохти
123,Rinde::N,Rinde,макъар
124,Ast::N,Ast,ноцӏ
125,Zweig::N,Zweig,гӏаркьел
126,Blatt::N,Blatt,тӏамах
127,Birke::N,Birke,мах
128,Birke::N,Birke,махигъветӏ
129,Kiefer[Baum]::N,Kiefer,накӏкӏигъветӏ
130,Weide[Baum]::N,Weide,рицӏцӏ
131,Weide[Baum]::N,Weide,рицӏцӏигъветӏ
132,Tanne::N,Tanne,ёлка
133,Horn::N,Horn,лълъар
134,Feder::N,Feder,хӏули
135,Fell::N,Fell,тӏом
136,Fell::N,Fell,цӏоко
137,Flügel::N,Flügel,кваркьи
138,Klaue::N,Klaue,галъ
139,Kralle::N,Kralle,квачӏ
140,Kralle::N,Kralle,катиквачӏ
141,Schwanz::N,Schwanz,рачӏ
142,Ei::N,Ei,хоно
143,Nest::N,Nest,бусен
144,Bau::N,Bau,каратӏ
145,Tier::N,Tier,хӏайван
146,Herde::N,Herde,рехъен
147,Herde::N,Herde,рехъед
148,Kuh::N,Kuh,гӏака
149,Bulle::N,Bulle,оц
150,Pferd::N,Pferd,чу
151,Schaf::N,Schaf,чахъу
152,Schwein::N,Schwein,болъон
153,Hund::N,Hund,гьой
154,Katze::N,Katze,кету
155,Bär::N,Bär,ци
156,Eichhörnchen::N,Eichhörnchen,гвангва
157,Elch::N,Elch,
158,Fuchs::N,Fuchs,цер
159,Hase::N,Hase,гӏанкӏ
160,Maus::N,Maus,гӏункӏкӏ
161,Wolf::N,Wolf,бацӏ
162,Vogel::N,Vogel,хӏинчӏ
163,Schwarm::N,Schwarm,тӏел
164,Huhn::N,Huhn,гӏанкӏу
165,Hahn::N,Hahn,хӏелеко
166,Gans::N,Gans,хъаз
167,Adler::N,Adler,цӏум
168,Ente::N,Ente,ордек
169,Eule::N,Eule,беццаруз
170,Kranich::N,Kranich,къункъра
171,Krähe::N,Krähe,гъеду
172,Kuckuck::N,Kuckuck,гагу
