,Concept_ID,lt,ar
0,Auge::N,akis,عين
1,Ohr::N,ausis,أذن
2,Nase::N,nosis,أنف
3,Mund::N,burna,فم
4,Zahn::N,dantis,سن
5,Zunge::N,liežuvis,لسان
6,Lippe::N,lūpa,شفة
7,Wange::N,žandas,خد
8,Wange::N,žandas,وجنة
9,Wange::N,skruostas,خد
10,Wange::N,skruostas,وجنة
11,Gesicht::N,veidas,وجه
12,Stirn::N,kakta,جبين
13,Haar::N,plaukai,شعر
14,Schnurrbart::N,ūsai,شارب
15,Bart::N,barzda,لحية
16,Kinn::N,smakras,ذقن
17,Kiefer[Anatomie]::N,žandikaulis,فك
18,Kehle::N,gerklė,حلق
19,Hals::N,kaklas,عنق
20,Hals::N,kaklas,رقبة
21,Genick::N,sprandas,قفا
22,Kopf::N,galva,رأس
23,Rücken::N,nugara,ظهر
24,Bauch::N,pilvas,بطن
25,Nabel::N,bamba,سرة
26,Busen::N,krūtinė,ثدي
27,Brust::N,krūtis,صدر
28,Schulter::N,petys,كتف
29,Arm::N,ranka,ذراع
30,Ellenbogen::N,alkūnė,كوع
31,Hand::N,ranka,يد
32,Hand::N,plaštaka,يد
33,Handfläche::N,delnas,كف
34,Handfläche::N,plaštaka,كف
35,Finger::N,pirštas,إصبع
36,Fingernagel::N,nagas,ظفر
37,Nagel[Anatomie]::N,nagas,ظفر
38,Zeh::N,pirštas,إصبع القدم
39,Fuß::N,pėda,قدم
40,Ferse::N,kulnas,كعب
41,Knie::N,kelis,ركبة
42,Oberschenkel::N,kulšis,فخذ
43,Oberschenkel::N,šlaunis,فخذ
44,Bein::N,koja,ساق
45,Körper::N,kūnas,جسم
46,Haut::N,oda,بشرة
47,Blut::N,kraujas,دم
48,Ader::N,kraujagyslė,عرق
49,Sehne::N,sausgyslė,طنب
50,Knochen::N,kaulas,عظم
51,Gehirn::N,smegenys,دماغ
52,Herz::N,širdis,قلب
53,Magen::N,skrandis,معدة
54,Leber::N,kepenys,كبد
55,Atem::N,kvapas,نفس
56,Hunger::N,badas,جوع
57,Hunger::N,alkis,جوع
58,Träne::N,ašara,دمعة
59,Geschmack::N,skonis,طعم
60,Geschmack::N,skonis,مذاق
61,Geruch::N,kvapas,رائحة
62,Schlaf::N,miegas,نوم
63,Schlaf::N,miegas,منام
64,Traum::N,sapnas,حلم
65,Himmel::N,dangus,سماء
66,Sonne::N,saulė,شمس
67,Mond::N,mėnulis,قمر
68,Stern::N,žvaigždė,نجم
69,Stern::N,žvaigždė,كوكب
70,Luft::N,oras,هواء
71,Wind::N,vėjas,ريح
72,Welle::N,banga,موجة
73,Welle::N,vilnis,موجة
74,Wasser::N,vanduo,ماء
75,Stein::N,akmuo,حجر
76,Boden::N,žemė,تراب
77,Boden::N,dugnas,تراب
78,Erde::N,žemė,أرض
79,Staub::N,dulkės,غبار
80,Rauch::N,dūmai,دخان
81,Funke::N,kibirkštis,شرارة
82,Feuer::N,ugnis,نار
83,Licht::N,šviesa,نور
84,Licht::N,šviesa,ضوء
85,Schatten::N,paūksmė,ظل
86,Schatten::N,paūksmė,فيء
87,Wetter::N,oras,جو
88,Wetter::N,oras,طقس
89,Nebel::N,migla,ضباب
90,Nebel::N,rūkas,ضباب
91,Wolke::N,debesis,غيمة
92,Wolke::N,debesis,سحابة
93,Regen::N,lietus,مطر
94,Schnee::N,sniegas,ثلج
95,Eis::N,ledas,جليد
96,Frost::N,šalna,صقيع
97,Kälte::N,šaltis,برد
98,Hitze::N,karštis,حر
99,Hitze::N,karštis,حرارة
100,Raureif::N,šerkšnas,صقيع
