,Concept_ID,tr,ta
0,Auge::N,göz,கண்
1,Ohr::N,kulak,காது
2,Nase::N,burun,மூக்கு
3,Mund::N,ağız,வாய்
4,Zahn::N,diş,பல்
5,Zunge::N,dil,நாக்கு
6,Lippe::N,dudak,உதடு
7,Wange::N,yanak,கன்னம்
8,Gesicht::N,yüz,முகம்
9,Stirn::N,alın,முன்னெற்றி
10,Haar::N,saç,முடி
11,Schnurrbart::N,bıyık,மீசை
12,Bart::N,sakal,தாடி
13,Kinn::N,çene,கீழதாடை
14,Kiefer[Anatomie]::N,çene,தாடை
15,Kehle::N,boğaz,தொண்டை
16,Hals::N,boyun,கழுத்து
17,Hals::N,gerdan,கழுத்து
18,Genick::N,ense,கழுத்து
19,Kopf::N,baş,தலை
20,Kopf::N,kafa,தலை
21,Rücken::N,arka,முதுகு
22,Bauch::N,karın,வயிறு
23,Nabel::N,göbek,தொப்புள்
24,Busen::N,koyun,மார்பகம்
25,Brust::N,göğüs, மார்பு
26,Schulter::N,omuz,தோள்பட்டை
27,Arm::N,kol,கரம்
28,Ellenbogen::N,dirsek,முழங்கை
29,Hand::N,el,கை
30,Handfläche::N,avuç,உள்ளங்கை
31,Handfläche::N,el ayası,உள்ளங்கை
32,Finger::N,parmak,விரல்
33,Fingernagel::N,el tırnağı,விரல் நகம்
34,Nagel[Anatomie]::N,tırnak,நகம்
35,Zeh::N,ayak parmağı,கால்விரல்
36,Fuß::N,ayak,கால்
37,Ferse::N,topuk,குதிகால்
38,Knie::N,diz,முழங்கால்
39,Oberschenkel::N,uyluk,தொடை
40,Bein::N,bacak,கால்
41,Körper::N,vücut,உடல்
42,Haut::N,cilt,சருமம்
43,Blut::N,kan,இரத்தம்
44,Ader::N,damar,நாளம்
45,Sehne::N,kiriş,தசைநார்
46,Knochen::N,kemik,எலுமபு
47,Gehirn::N,beyin,மூனை
48,Herz::N,kalp,இதயம
49,Herz::N,yürek,இதயம
50,Magen::N,mide,வயிறு
51,Leber::N,karaciğer,கல்லீரல்
52,Atem::N,nefes,மூச்சு
53,Hunger::N,açlık,பசி
54,Träne::N,gözyaşı,கண்ணீர்
55,Geschmack::N,tat,நறுமணம்
56,Geschmack::N,lezzet,நறுமணம்
57,Geruch::N,koku,துர்நாற்றம்
58,Schlaf::N,uyku,தூக்கம்
59,Traum::N,düş,கனவு
60,Traum::N,rüya,கனவு
61,Himmel::N,gök,வானம்
62,Sonne::N,güneş,சூரியன்
63,Mond::N,ay,சந்திரன்
64,Stern::N,yıldız,நட்சத்திரம்
65,Luft::N,hava,காறறு
66,Wind::N,yel,காற்று
67,Wind::N,rüzgâr,காற்று
68,Welle::N,dalga,அலை
69,Wasser::N,su,நீர்
70,Stein::N,taş,கல்
71,Boden::N,yer,தரை
72,Boden::N,zemin,தரை
73,Erde::N,toprak,மண்
74,Staub::N,toz,தூசி
75,Rauch::N,duman,புகை
76,Funke::N,kıvılcım,தீப்பொறி
77,Feuer::N,ateş,தீ
78,Licht::N,ışık,வெளிச்சம்
79,Schatten::N,gölge,நிழல்
80,Wetter::N,hava,வானிலை
81,Nebel::N,pus,பனிமூட்டம்
82,Wolke::N,bulut,மேகம்
83,Regen::N,yağmur,மழை
84,Schnee::N,kar,உறைபனி
85,Eis::N,buz,பனிக்கட்டி
86,Frost::N,don,உறைபனி
87,Kälte::N,soğukluk,குளிர்ந்த
88,Hitze::N,sıcaklık,சூடு
89,Raureif::N,kırç,உறைபனி வெண்திரை
90,Regenbogen::N,gökkuşağı,வானவில்
91,Donner::N,gök gürlemesi,இடி
92,Strömung::N,akıntı,நீரோட்டம்
93,Strömung::N,cereyan,நீரோட்டம்
94,Tropfen::N,damla,துளி
95,Schaum::N,köpük,நுரை
96,Schmutz::N,çamur,அழுக்கு
97,Schmutz::N,pislik,அழுக்கு
98,See::N,göl,ஏரி
99,Sumpf::N,batak,சதுப்பு நிலம்
100,Moor::N,cılgıt,முட்புதற்காடு
101,Wiese::N,çimen,பசும் புல்தரை
102,Wald::N,koru,காடு
103,Wald::N,orman,காடு
104,Hügel::N,tepe,குன்று
105,Anhöhe::N,tümsek,பதுக்கை
106,Anhöhe::N,yükseklik,பதுக்கை
107,Berg::N,dağ,மலை
108,Gipfel::N,zirve,உச்சி மாநாடு
109,Höhle::N,in,குகை
110,Höhle::N,mağara,குகை
111,Abhang::N,bayır,சரிவு
112,Quelle::N,pınar,மூலம்
113,Quelle::N,kaynak,மூலம்
114,Bach::N,çay,ஓடை
115,Bach::N,dere,ஓடை
116,Fluss::N,nehir,ஆறு
117,Ufer::N,kıyı,நீர்க்கரை
118,Ufer::N,sahil,நீர்க்கரை
119,Küste::N,kıyı,கடற்கரை
120,Küste::N,sahil,கடற்கரை
121,Festland::N,kara,நிலம்
122,Meer::N,deniz,கடல்
123,Bucht::N,koy,சிறுகுடா
124,Bucht::N,körfez,சிறுகுடா
125,Insel::N,ada,தீவு
126,Blume::N,çiçek,பூ
127,Gras::N,ot,புல்தரை
128,Gras::N,çim,புல்தரை
129,Wurzel::N,kök,வேர்
130,Baum::N,ağaç,மரம்
131,Stamm::N,gövde,அடிமரம்
132,Rinde::N,kabuk,பட்டை
133,Rinde::N,kabuk,மரப்பட்டை
134,Ast::N,dal,கினை
135,Ast::N,budak,கினை
136,Zweig::N,dal,குச்சி
137,Blatt::N,yaprak,இலை
138,Birke::N,huş,பிர்ச் மரம்
139,Kiefer[Baum]::N,çam,தேவதாரு மரம்
140,Weide[Baum]::N,söğüt,மர வகைகளுள் ஒன்று
141,Tanne::N,çam,சாதிக்கய்
142,Tanne::N,köknar,சாதிக்கய்
143,Horn::N,boynuz,கொம்பு
144,Feder::N,tüy,இறகு
145,Fell::N,post,மென்முடி
146,Flügel::N,kanat,இறக்கை
147,Klaue::N,pençe,நகம்
148,Kralle::N,tırnak,நகம்
149,Schwanz::N,kuyruk,வால்
150,Ei::N,yumurta,முட்டை
151,Nest::N,yuva,கூடு
152,Bau::N,in,குகை
153,Tier::N,hayvan,விலங்கு
154,Herde::N,sürü,கூட்டம்
155,Kuh::N,inek,பசு
156,Bulle::N,boğa,காளை
157,Pferd::N,at,குதிரை
158,Pferd::N,beygir,குதிரை
159,Schaf::N,koyun,செம்மறிஆடு
160,Schwein::N,domuz,பன்றி
161,Hund::N,it,நாய்
162,Hund::N,köpek,நாய்
163,Katze::N,kedi,பூனை
164,Bär::N,ayı,கரடி
165,Eichhörnchen::N,sincap,அணில்
166,Elch::N,büyük kuzey geyiği,கடம்பை
167,Fuchs::N,tilki,நரி
168,Hase::N,tavşan,முயல்
169,Maus::N,fare,எலி
170,Maus::N,sıçan,எலி
171,Wolf::N,kurt,ஓநாய்
172,Vogel::N,kuş,பறவை
173,Schwarm::N,sürü,தொகுதி
174,Huhn::N,tavuk,கோழிக்குஞசு
175,Hahn::N,horoz,சேவல்
176,Gans::N,kaz,பெண் வாத்து
177,Adler::N,kartal,பருநது
178,Adler::N,karakuş,பருநது
179,Ente::N,ördek,வாத்து
180,Eule::N,baykuş,ஆந்தை
181,Kranich::N,turna,நாரை
182,Krähe::N,karga,காகம்
183,Kuckuck::N,guguk,குயில்
184,Schwan::N,kuğu,அன்னம்
185,Fisch::N,balık,மீன்
186,Barsch::N,hani,பேர்ச்
187,Barsch::N,levrek,பேர்ச்
188,Hecht::N,turnabalığı,கோலாச்சி மீன்
189,Schlange[Tier]::N,yılan,பாம்பு
190,Wurm::N,kurt,புழு
191,Wurm::N,solucan,புழு
192,Spinne::N,örümcek,சிலந்தி
193,Ameise::N,karınca,எறும்பு
194,Laus::N,bit,பேன்
195,Mücke::N,sivrisinek,கொசுவினப்பூச்சி
196,Fliege::N,sinek,ஈ
197,Schmetterling::N,kelebek,வண்ணத்துப்பூச்சி
198,Beere::N,tane,சதைப்பழம்
199,Apfel::N,elma,ஆப்பிள பழம்
200,Pilz::N,mantar,காளான்
201,Zwiebel::N,soğan,வெங்காயம்
202,Saat::N,ekin,விதை
203,Korn::N,tane,தானியம்
204,Heu::N,kuru ot,வைக்கோல்
205,Schale::N,kabuk,தோல்
206,Grube::N,çukur,குழி
207,Falle::N,tuzak,பொறி
208,Schlinge::N,ilmik,கண்ணி
209,Spur::N,iz,சுவடு
210,Asche::N,kül,சாம்பல்
211,Dreck::N,pislik,அழுக்கு
212,Eisen::N,demir,இரும்பு
213,Gold::N,altın,தங்கம்
214,Silber::N,gümüş,வெள்ளி
215,Kohle::N,kömür,நிலக்கரி
216,Glas::N,cam,கண்ணாடி
217,Lehm::N,balçık,களிமண்
218,Sand::N,kum,மணல்
219,Mensch::N,insan,மனிதர்கள்
220,Mann::N,adam,மனிதன்
221,Mann::N,erkek,மனிதன்
222,Frau::N,bayan,பெண்
223,Kind::N,çocuk,குழந்தை
224,Junge::N,erkek çocuk,பையன்
225,Mädchen::N,kız,சிறுமி
226,Familie::N,aile,குடும்பம்
227,Großvater::N,dede,தாத்தா
228,Großvater::N,büyükbaba,தாத்தா
229,Großmutter::N,nine,பாட்டி
230,Großmutter::N,büyükanne,பாட்டி
231,Eltern::N,ebeveyn,பெற்றோர்
232,Eltern::N,ana baba,பெற்றோர்
233,Vater::N,ata,தந்தை
234,Vater::N,baba,தந்தை
235,Mutter::N,ana,தாய்
236,Mutter::N,anne,தாய்
237,Sohn::N,oğul,மகன்
238,Tochter::N,kız,மகள்
239,Tochter::N,kız evlât,மகள்
240,Bruder::N,abi,சகோதரன்
241,Bruder::N,erkek kardeş,சகோதரன்
242,Schwester::N,abla,அக்கா
243,Schwester::N,kız kardeş,அக்கா
244,Onkel::N,dayı,தாய் மாமன்
245,Tante::N,hala,அத்தை
246,Tante::N,teyze,அத்தை
247,Ehemann::N,koca,கணவன்
248,Ehefrau::N,karı,மனைவி
249,Freude::N,neşe,கொண்டாட்டம்
250,Freude::N,sevinç,கொண்டாட்டம்
251,Gelächter::N,gülme,சிரிப்பு
252,Gelächter::N,kahkaha,சிரிப்பு
253,Glück::N,mutluluk,மகிழ்ச்சி
254,Kummer::N,dert,துயரம்
255,Kummer::N,keder,துயரம்
256,Wunsch::N,arzu,விருப்பம்
257,Wunsch::N,istek,விருப்பம்
258,Lust::N,arzu,விருப்பம்
259,Lust::N,heves,விருப்பம்
260,Geist::N,tin,ஆன்மா
261,Gedanke::N,fikir,எண்ணம்
262,Gedanke::N,düşünce,எண்ணம்
263,Gedächtnis::N,bellek,ஞாபகம்
264,Verstand::N,zekâ,மனம்
265,Sinn::N,anlam,அர்த்தம்
266,Grund::N,sebep,காரணம்
267,Wahrheit::N,doğruluk,உண்நை
268,Wahrheit::N,gerçeklik,உண்நை
269,Gespräch::N,görüşme,பெசு
270,Märchen::N,masal,நம்பத்தகாத கதை
271,Erzählung::N,öykü,கதை
272,Erzählung::N,hikâye,கதை
273,Nachricht::N,haber,செய்தி
274,Neuigkeit::N,haber,செய்தி
275,Name::N,ad,பெயர்
276,Name::N,isim,பெயர்
277,Rätsel::N,bilmece,புதிர்
278,Rede::N,söylev,பேச்சு
279,Rede::N,konuşma,பேச்சு
280,Sprache::N,dil,மொழி
281,Sprache::N,lisan,மொழி
282,Stimme::N,ses,குரல்
283,Wort::N,kelime,வார்த்தை
284,Zeichen::N,işaret,குறி
285,Ruf::N,çağırma,அழைப்பு
286,Lärm::N,şamata,சத்தம்
287,Lärm::N,gürültü,சத்தம்
288,Laut::N,ses,ஒலி
289,Ton::N,ses,குரல்
290,Lied::N,türkü,பாட்டு
291,Ruhe::N,sakinlik,அமைதி
292,Leute::N,halk,மக்கள்
293,Leute::N,insanlar,மக்கள்
294,Volk::N,ulus,மக்கள்
295,Volk::N,millet,மக்கள்
296,Arbeit::N,iş,வேலை
297,Arbeit::N,çalışma,வேலை
298,Gast::N,konuk,விருந்தாளி
299,Gast::N,misafir,விருந்தாளி
300,Geschenk::N,hediye,பரிசுப் பொருள்
301,Geschenk::N,armağan,பரிசுப் பொருள்
302,Spiel::N,oyun,விளையாட்டு
303,Gesellschaft::N,çevre,சமுதாயம்
304,Gesellschaft::N,arkadaşlık,சமுதாயம்
305,Hilfe::N,yardım,உதவி
306,Freund::N,dost,நண்பன்
307,Freund::N,arkadaş,நண்பன்
308,Kamerad::N,arkadaş,உடனிருப்பவன்
309,Angelegenheit::N,iş,செய்தி
310,Angelegenheit::N,husus,செய்தி
311,Anzahl::N,sayı,எண்ணிக்கை
312,Art::N,çeşit,வகை
313,Stück::N,tane,துண்டம்
314,Stück::N,parça,துண்டம்
315,Teil::N,kısım,பகுதி
316,Hälfte::N,yarı,பாதி
317,Kreis::N,daire,வட்டம்
318,Kreuz::N,haç,சிலுவை
319,Linie::N,hat,கோடு
320,Linie::N,çizgi,கோடு
321,Strich::N,çizgi,வாத நோய்
322,Abstand::N,aralık,இடைவெளி
323,Entfernung::N,mesafe,தூரம்
324,Entfernung::N,uzaklık,தூரம்
325,Gegend::N,yöre,வட்டாரம்
326,Platz::N,yer,வெற்றிடம்
