,Concept_ID,lez,lbe
0,Auge::N,вил,я
1,Ohr::N,яб,вичӏи
2,Nase::N,нер,май
3,Mund::N,сив,кьацӏ
4,Zahn::N,сас,ккарччи
5,Zahn::N,свах,ккарччи
6,Zunge::N,мез,маз
7,Lippe::N,пӏуз,мурччи
8,Wange::N,хъвехъ,чӏав
9,Gesicht::N,ччин,лажин
10,Stirn::N,пел,ненттабакӏ
11,Haar::N,чӏар,чӏара
12,Schnurrbart::N,спел,ссирссилтту
13,Schnurrbart::N,спелар,ссирссилтту
14,Bart::N,ччуру,чӏири
15,Kinn::N,чене,лунттубакӏ
16,Kiefer[Anatomie]::N,чене,ххинчулул
17,Kehle::N,туьд,кьакьари
18,Hals::N,гардан,ссурссу
19,Genick::N,кьам,махъабакӏ
20,Kopf::N,кьил,бакӏ
21,Rücken::N,далу,ттиликӏ
22,Bauch::N,руфун,лякьа
23,Nabel::N,пицӏ,цӏумуккутӏ
24,Busen::N,мам,ккукку
25,Brust::N,хур,хъазам
26,Schulter::N,къуьн,хъачӏ
27,Arm::N,гъил,ка
28,Ellenbogen::N,кьуьнт,ссюрхъ
29,Hand::N,капаш,бартка
30,Handfläche::N,капан юкь,хъат
31,Handfläche::N,капан юкь,битӏянхъ
32,Finger::N,тӏуб,кӏисса
33,Fingernagel::N,кек,михь
34,Nagel[Anatomie]::N,кек,михь
35,Zeh::N,кул,кӏисса
36,Fuß::N,кӏвач,чӏанччан
37,Ferse::N,дабан,никъа
38,Knie::N,мет,ник
39,Bein::N,кӏвач,ччан
40,Körper::N,беден,чурх
41,Haut::N,хам,бурчу
42,Blut::N,иви,оь
43,Ader::N,дамар,тунну
44,Sehne::N,кьуру дамар,хьхьа
45,Knochen::N,кӏараб,ттаркӏ
46,Gehirn::N,мефт,ня
47,Herz::N,рикӏ,дакӏ
48,Herz::N,рикӏ,къюкӏ
49,Magen::N,хук,лякьа
50,Leber::N,лекь,
51,Atem::N,ял,ссихӏ ласаву
52,Atem::N,ял,ссихӏ бигьаву
53,Atem::N,нефес,ссихӏ ласаву
54,Atem::N,нефес,ссихӏ бигьаву
55,Hunger::N,каш,ккаши
56,Träne::N,вилин нагъв,макь
57,Geschmack::N,дад,тӏин
58,Geschmack::N,дад,тӏааьн
59,Geschmack::N,тӏям,тӏин
60,Geschmack::N,тӏям,тӏааьн
61,Geruch::N,ни,кьанкь
62,Schlaf::N,ахвар,шану
63,Traum::N,ахвар,макӏру
64,Himmel::N,цав,ссав
65,Sonne::N,рагъ,баргъ
66,Mond::N,варз,барз
67,Stern::N,гъед,цӏуку
68,Luft::N,гьава,гьава
69,Wind::N,гар,марч
70,Welle::N,лепе,щатӏи
71,Wasser::N,яд,щин
72,Stein::N,къван,чару
73,Boden::N,накьв,аьрщи
74,Erde::N,ччил,аьрщи
75,Staub::N,руг,ххит
76,Rauch::N,гум,пуркӏу
77,Funke::N,цӏелхем,пиягь
78,Feuer::N,цӏай,цӏу
79,Licht::N,экв,чани
80,Schatten::N,серин,ххют
81,Wetter::N,гьава,гьава
82,Nebel::N,ччилин циф,шархь ттурлу
83,Wolke::N,циф,ттурлу
84,Regen::N,марф,гъарал
85,Schnee::N,жив,марххала
86,Eis::N,мурк,микӏ
87,Frost::N,аяз,дяркъу
88,Frost::N,аяз,замгьар
89,Kälte::N,мекь,дяркъу
90,Kälte::N,мекьивал,дяркъу
91,Hitze::N,зегьем,кӏиришиву
92,Raureif::N,къирав,сил
93,Raureif::N,къирав,бурса
94,Regenbogen::N,яргъируш,ссурул ккуртта
95,Donner::N,цавун ван,къув
96,Tropfen::N,стӏал,кӏунтӏ
97,Schaum::N,каф,хьама
98,Schmutz::N,чирк,кьяркьи
